Zr-96(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 1.14851
1.25000E-05 1.02726
1.50000E-05 0.937757
2.00000E-05 0.812121
2.75000E-05 0.692579
3.50000E-05 0.613906
4.25000E-05 0.557111
5.00000E-05 0.513631
6.25000E-05 0.459406
7.50000E-05 0.419378
0.000100000 0.363192
0.000125000 0.324849
0.000150000 0.296545
0.000200000 0.256816
0.000275000 0.219014
0.000350000 0.194135
0.000425000 0.176175
0.000500000 0.162426
0.000625000 0.145278
0.000750000 0.132621
0.00100000 0.114853
0.00125000 0.102728
0.00150000 0.0937781
0.00200000 0.0812149
0.00275000 0.0692612
0.00350000 0.0613943
0.00425000 0.0557152
0.00500000 0.0513675
0.00625000 0.0459455
0.00750000 0.0419432
0.0100000 0.0363255
0.0125000 0.0324919
0.0150000 0.0296622
0.0200000 0.0256905
0.0253000 0.0228438
0.0314750 0.0204829
0.0376500 0.0187301
0.0500000 0.0162566
0.0625000 0.0145435
0.0750000 0.0132793
0.100000 0.0115052
0.125000 0.0102951
0.150000 0.00940217
0.200000 0.00814963
0.275000 0.00695914
0.350000 0.00617670
0.500000 0.00518134
0.750000 0.00424903
1.00000 0.00369583
1.50000 0.00304400
2.00000 0.00265917
2.75000 0.00229742
3.50000 0.00206302
5.00000 0.00177122
7.50000 0.00150942
10.0000 0.00136390
15.0000 0.00121125
20.0000 0.00113973
27.5000 0.00109892
35.0000 0.00109949
50.0000 0.00116787
75.0000 0.00141317
100.000 0.00182077
125.000 0.00245878
150.000 0.00348276
175.000 0.00523047
200.000 0.00851967
212.598 0.0113786
225.195 0.0158312
237.793 0.0232901
250.390 0.0371472
256.689 0.0489971
262.988 0.0673146
269.286 0.0977682
275.585 0.153887
278.734 0.201577
281.884 0.274930
285.033 0.396174
288.183 0.617992
289.757 0.805297
291.332 1.09174
292.907 1.56169
294.481 2.41276
295.269 3.12437
296.056 4.20216
296.843 5.94815
297.631 9.05190
298.024 11.5999
298.418 15.3908
298.812 21.3829
299.205 31.6628
299.599 51.5208
299.796 69.1906
299.993 97.5888
300.190 147.274
300.386 244.824
300.485 331.931
300.583 469.944
300.682 699.217
300.780 1087.71
300.890 1755.86
301.000 2207.31
301.110 1755.01
301.220 1087.35
301.317 703.182
301.414 474.833
301.511 336.557
301.608 248.965
301.802 150.347
301.997 99.9076
302.191 70.9617
302.385 52.9241
302.773 32.6118
303.161 22.0673
303.550 15.9138
303.938 12.0142
304.326 9.39060
305.103 6.18918
305.879 4.38514
306.656 3.26949
307.432 2.53190
308.985 1.64767
310.538 1.15800
312.091 0.858706
313.644 0.662467
316.750 0.429154
319.856 0.300949
322.962 0.222970
326.068 0.172002
332.279 0.111575
338.491 0.0784345
344.703 0.0582895
350.915 0.0451197
363.339 0.0294869
375.763 0.0208910
388.186 0.0156486
400.610 0.0122089
425.458 0.00810377
450.305 0.00582829
475.153 0.00442930
500.000 0.00350402
546.180 0.00244590
592.360 0.00183032
684.720 0.00117222
777.080 0.000854925
823.260 0.000815128
