In-113(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
32.0284 165.293
32.0486 202.852
32.0687 254.487
32.0889 327.985
32.1091 436.843
32.1293 606.339
32.1495 885.578
32.1697 1374.23
32.1899 2256.07
32.2100 3637.66
32.2300 4583.42
32.2501 3694.54
32.2701 2327.29
32.2914 1405.45
32.3126 904.087
32.3339 621.378
32.3552 451.072
32.3765 341.943
32.3977 268.293
32.4403 178.594
32.4828 128.282
32.5253 97.3119
32.6104 62.7338
32.6955 44.8307
32.7806 34.3409
32.8656 27.6455
32.9507 23.0980
33.1209 17.4624
33.2910 14.2083
33.4612 12.1427
33.6313 10.7394
33.9716 8.99009
34.3119 7.96710
34.6522 7.32237
34.8224 7.13743
34.9074 7.19026
34.9500 7.42394
34.9712 7.72965
34.9925 8.34219
35.0300 9.81368
35.0675 8.26020
35.0863 7.65781
35.1050 7.31199
35.1425 6.97074
35.2176 6.71087
35.3676 6.49711
35.6677 6.24415
36.2680 5.90026
37.4685 5.48001
38.6689 5.22462
39.8694 5.05042
41.0699 4.93142
41.6701 4.89679
42.2704 4.89483
42.8706 4.97246
43.1707 5.08575
43.4708 5.32220
43.7710 5.86320
43.9210 6.40981
44.0711 7.39616
44.2211 9.42949
44.2962 11.3620
44.3712 14.6953
44.4462 21.1866
44.4837 27.0201
44.5213 36.4921
44.5588 53.3167
44.5963 87.1610
44.6150 118.158
44.6338 168.495
44.6526 254.985
44.6713 407.351
44.6907 652.427
44.7100 819.501
44.7294 661.240
44.7487 418.620
44.7654 279.015
44.7820 194.025
44.7987 141.674
44.8153 108.129
44.8486 70.1080
44.8819 50.7879
44.9152 40.0630
44.9485 33.9088
45.0151 29.1710
45.0816 31.8263
45.1149 36.6973
45.1482 45.7570
45.1815 62.7173
45.2148 96.9730
45.2315 127.705
45.2481 176.124
45.2648 255.635
45.2814 387.726
45.2911 496.016
45.3007 620.646
45.3200 781.030
45.3393 632.923
45.3586 402.740
45.3767 260.153
45.3949 176.836
45.4130 127.104
45.4311 95.8743
45.4674 60.9702
45.5037 43.1350
45.5399 32.8450
45.5762 26.3653
45.6487 18.9323
45.7212 14.9510
45.7937 12.5451
45.9388 9.86130
46.0838 8.44362
46.2289 7.58633
46.5190 6.62040
46.8090 6.10031
47.0991 5.77924
47.6793 5.40633
48.2595 5.19599
48.8397 5.05942
50.0000 4.88877
50.5313 4.83870
50.7969 4.83161
50.8633 4.84082
50.9297 4.86976
50.9629 4.90413
50.9961 4.97395
51.0127 5.03702
51.0293 5.13711
51.0459 5.30271
51.0625 5.58044
51.0813 6.05616
51.1000 6.37299
