Se-76(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1353.74 1.66329
1354.03 2.74160
1354.17 3.71979
1354.31 5.32872
1354.45 8.26882
1354.52 10.7233
1354.59 14.3502
1354.66 20.1767
1354.73 29.8877
1354.80 47.8010
1354.87 81.2741
1354.94 130.146
1355.00 161.930
1355.06 129.337
1355.13 80.6447
1355.19 50.6463
1355.25 33.4302
1355.31 23.3090
1355.37 17.0335
1355.43 12.9322
1355.49 10.1263
1355.62 6.66652
1355.74 4.70801
1355.86 3.49788
1356.10 2.15076
1356.35 1.45367
1356.59 1.04911
1356.84 0.793839
1357.08 0.623170
1357.57 0.414640
1358.05 0.297739
1358.54 0.225575
1359.03 0.177925
1360.00 0.120859
1360.98 0.0893496
1362.93 0.0574989
1364.88 0.0425191
1366.82 0.0342938
1370.72 0.0260030
1378.52 0.0199109
1386.32 0.0176558
1417.50 0.0151322
1448.69 0.0153767
1456.49 0.0164970
1464.28 0.0200566
1468.18 0.0251728
1470.13 0.0303275
1472.08 0.0397795
1474.03 0.0599915
1475.00 0.0800706
1475.98 0.116427
1476.47 0.146921
1476.95 0.193078
1477.44 0.267950
1477.93 0.401373
1478.17 0.511433
1478.42 0.675747
1478.66 0.936706
1478.90 1.38519
1479.15 2.26300
1479.27 3.05297
1479.39 4.32408
1479.51 6.59769
1479.57 8.45289
1479.63 11.1806
1479.69 15.3867
1479.76 22.2406
1479.82 34.0570
1479.88 54.5187
1479.94 87.2294
1480.00 109.040
1480.06 87.2319
1480.12 54.5223
1480.17 39.3605
1480.21 29.2152
1480.29 17.2632
1480.37 11.1833
1480.45 7.77077
1480.53 5.69131
1480.61 4.33939
1480.77 2.75516
1480.93 1.90155
1481.10 1.39111
1481.42 0.839405
1481.74 0.562163
1482.07 0.404082
1482.39 0.305547
1482.71 0.240195
1483.36 0.161154
1484.01 0.117217
1485.30 0.0725189
1486.60 0.0514035
1487.89 0.0397795
1490.48 0.0280697
1495.66 0.0195399
1500.84 0.0164648
1521.56 0.0132175
1563.00 0.0119148
1604.44 0.0115668
1625.16 0.0125934
1630.34 0.0138656
1635.52 0.0175868
1638.11 0.0227940
1640.70 0.0374691
1642.00 0.0575800
1642.64 0.0774234
1643.29 0.113062
1643.94 0.187354
1644.26 0.259101
1644.59 0.384701
1644.91 0.637126
1645.07 0.871077
1645.23 1.26074
1645.40 1.99121
1645.48 2.61805
1645.56 3.58768
1645.64 5.19147
1645.72 8.08192
1645.76 10.4767
1645.80 13.8630
1645.84 18.8503
1645.88 26.1775
1645.94 41.8794
1646.00 52.3484
1646.06 41.8807
1646.12 26.1792
1646.16 18.2607
1646.21 13.1752
1646.25 9.81118
1646.29 7.52860
1646.38 4.75676
1646.47 3.26558
1646.55 2.36447
1646.64 1.79369
1646.81 1.12941
1646.99 0.776209
1647.16 0.566820
1647.50 0.342246
1647.85 0.230234
1648.19 0.166796
1648.89 0.101062
1649.58 0.0694858
1650.27 0.0519740
1651.65 0.0342050
1654.42 0.0212062
1657.18 0.0165603
1662.71 0.0131666
1668.24 0.0119330
1690.36 0.0105811
1734.59 0.00994079
1823.06 0.00939564
2000.00 0.00973489
2059.92 0.0117188
2074.90 0.0135388
2089.87 0.0184879
2097.36 0.0252436
2101.11 0.0319601
2104.85 0.0442098
2106.73 0.0545538
2108.60 0.0703775
2110.47 0.0963939
2112.34 0.143709
2113.28 0.183515
2114.22 0.244084
2115.15 0.342951
2116.09 0.520791
2116.56 0.668538
2117.02 0.891005
2117.49 1.24850
2117.96 1.87699
2118.19 2.38717
2118.43 3.13809
2118.66 4.30790
2118.90 6.27423
2119.01 7.80053
2119.07 8.78846
2119.13 9.95226
2119.19 11.3869
2119.25 13.1168
2119.31 15.3062
2119.36 18.0256
2119.42 21.5848
2119.48 26.1777
2119.54 32.4551
2119.60 40.9609
2119.66 53.2324
2119.71 70.8267
2119.77 97.5315
2119.83 136.626
2119.92 218.717
2120.00 272.422
2120.04 255.947
2120.09 217.676
2120.17 135.808
2120.23 98.6295
2120.28 73.0602
2120.39 43.4738
2120.50 28.1867
2120.61 19.6523
2120.72 14.3879
2120.83 10.9901
2121.05 6.99166
2121.26 4.82082
2121.48 3.52640
2121.92 2.11808
2122.36 1.41217
2122.79 1.00917
2123.23 0.757774
2123.67 0.590524
2124.54 0.388697
2125.42 0.276479
2126.29 0.207660
2127.16 0.162445
2128.91 0.108597
2130.66 0.0790183
2132.41 0.0610370
2134.16 0.0493141
2137.66 0.0354664
2141.15 0.0279295
2148.15 0.0204666
2162.13 0.0152976
2176.12 0.0137024
2232.07 0.0136243
2288.02 0.0163243
2343.97 0.0218496
2399.91 0.0337913
2427.89 0.0455155
2455.86 0.0664017
2462.86 0.0741900
2469.85 0.0835704
2473.35 0.0889965
2476.85 0.0950074
2480.34 0.101690
2483.84 0.109146
2487.34 0.117504
2490.83 0.126912
2494.33 0.137555
2497.83 0.149653
2501.32 0.163492
2504.82 0.179418
2508.32 0.197870
2511.81 0.219404
2518.81 0.274881
2525.80 0.354930
2532.79 0.476408
2539.79 0.673155
2543.28 0.820476
2546.78 1.02131
2550.28 1.30417
2553.77 1.71822
2557.27 2.35348
2560.77 3.38148
2564.26 5.13785
2567.76 8.21190
2571.38 13.1277
2575.00 16.3824
2578.62 13.0803
2582.24 8.16626
2584.54 5.97008
2586.83 4.44761
2591.42 2.65633
2596.01 1.73241
2600.60 1.20918
2605.20 0.888439
2609.79 0.679059
2618.97 0.432785
2628.15 0.299627
2637.33 0.219865
2655.69 0.133375
2674.06 0.0900844
2692.42 0.0654250
2710.78 0.0500889
2729.15 0.0399282
2765.87 0.0277852
2802.60 0.0211661
2876.05 0.0148869
2949.50 0.0127266
3022.96 0.0129171
3096.41 0.0159407
3133.13 0.0202696
3142.32 0.0226715
3151.50 0.0277331
3156.09 0.0337718
3160.68 0.0496679
3162.98 0.0709946
3164.12 0.0919814
3165.27 0.129838
3166.42 0.209481
3166.99 0.287356
3167.57 0.425982
3167.85 0.540363
3168.14 0.711232
3168.43 0.982866
3168.71 1.45299
3169.00 2.37325
3169.14 3.20791
3169.29 4.56091
3169.43 6.99961
3169.50 9.00697
3169.57 11.9329
3169.65 16.5440
3169.72 24.0291
3169.79 37.3172
3169.86 60.9449
3169.93 97.2964
3170.00 121.447
3170.07 96.7433
3170.14 60.5141
3170.19 43.8308
3170.23 32.6024
3170.32 19.3405
3170.41 12.5626
3170.50 8.77848
3170.60 6.43607
3170.69 4.91173
3170.87 3.13081
3171.05 2.16370
3171.23 1.58788
3171.59 0.961344
3171.96 0.647460
3172.32 0.468341
3173.04 0.282535
3173.77 0.192953
3174.50 0.143196
3175.95 0.0927267
3178.85 0.0561793
3181.75 0.0435662
3187.56 0.0353683
3193.36 0.0335215
3216.58 0.0383926
3239.79 0.0510629
3263.01 0.0744586
3274.62 0.0937295
3280.43 0.106543
3286.23 0.122344
3289.13 0.131667
3292.03 0.142140
3294.94 0.153962
3297.84 0.167375
3299.29 0.174768
3300.74 0.182674
3303.64 0.200230
3306.54 0.220505
3309.45 0.244087
3312.35 0.271741
3315.25 0.304429
3318.15 0.343454
3321.06 0.390547
3323.96 0.448068
3326.86 0.519293
3329.76 0.608869
3332.66 0.723549
3335.57 0.873475
3338.47 1.07406
3341.37 1.35005
3344.27 1.74216
3347.17 2.32010
3350.08 3.20644
3352.98 4.61541
3355.88 6.87403
3359.44 10.9836
3363.00 13.7061
3366.57 10.9475
3370.13 6.83558
3372.36 5.02121
3374.58 3.75594
3379.03 2.25659
3383.48 1.47714
3387.93 1.03359
3392.38 0.760680
3396.83 0.582108
3405.73 0.371499
3414.63 0.257325
3423.54 0.188797
3441.34 0.114337
3459.14 0.0769628
3476.94 0.0556114
3494.74 0.0422850
3512.54 0.0334154
3548.14 0.0227162
3583.75 0.0167591
3654.95 0.0107312
3726.16 0.00797266
3797.36 0.00670090
3832.97 0.00655659
3868.57 0.00715648
3886.37 0.00834406
3895.27 0.00960976
3904.17 0.0119836
3913.07 0.0171465
3917.52 0.0223310
3921.97 0.0318286
3924.20 0.0398618
3926.42 0.0521584
3928.65 0.0723756
3930.87 0.109118
3931.99 0.139975
3933.10 0.186866
3934.21 0.263340
3935.32 0.400397
3935.88 0.514159
3936.44 0.684701
3936.99 0.957652
3937.55 1.43469
3938.11 2.38548
3938.38 3.25775
3938.66 4.70825
3938.80 5.82225
3938.94 7.37711
3939.08 9.63417
3939.15 11.1747
3939.22 13.0740
3939.29 15.5231
3939.36 18.6463
3939.43 22.8283
3939.50 28.3873
3939.57 36.1703
3939.64 46.9883
3939.71 62.7054
3939.77 84.7700
3939.83 108.734
3939.89 135.627
3940.00 169.528
3940.06 159.387
3940.11 135.620
3940.23 84.7628
3940.32 57.1296
3940.41 39.9543
3940.50 28.9535
3940.59 21.8231
3940.77 13.4813
3940.95 9.08399
3941.13 6.51312
3941.31 4.88938
3941.67 3.03893
3942.04 2.06787
3942.40 1.49708
3942.76 1.13375
3943.12 0.888422
3943.85 0.588128
3944.57 0.418394
3945.29 0.313233
3946.02 0.243619
3947.47 0.160102
3948.91 0.113829
3950.36 0.0855493
3951.81 0.0670135
3954.71 0.0449989
3957.60 0.0329227
3963.39 0.0208125
3969.19 0.0151655
3974.98 0.0120866
3986.56 0.00902532
4009.73 0.00688926
4032.90 0.00624964
4079.23 0.00623888
4125.56 0.00723372
4171.90 0.00988572
4195.07 0.0126512
4218.23 0.0177519
4229.82 0.0220606
4241.40 0.0286350
4252.98 0.0393793
4264.57 0.0587123
4270.36 0.0747750
4276.15 0.0989583
4281.94 0.137811
4287.73 0.206078
4290.63 0.261485
4292.08 0.298082
4293.53 0.343014
4294.25 0.369416
4294.97 0.399004
4295.70 0.432310
4296.42 0.469980
4297.15 0.512807
4297.87 0.561770
4298.59 0.618091
4299.32 0.683308
4300.04 0.759381
4300.77 0.848833
4302.21 1.08210
4303.66 1.42503
4305.11 1.95666
4305.83 2.33822
4306.56 2.83886
4307.28 3.51100
4308.01 4.43686
4308.73 5.74843
4309.45 7.65955
4310.18 10.5065
