Sr-84(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
711.809 312.511
711.847 405.328
711.923 676.278
712.000 883.523
712.038 850.983
712.077 740.570
712.154 486.161
712.224 325.788
712.294 228.575
712.364 168.835
712.435 130.416
712.575 86.2871
712.716 63.0259
712.856 49.2471
712.997 40.3896
713.278 29.9699
713.559 24.2295
713.840 20.6828
714.121 18.3107
714.402 16.6298
714.965 14.4311
715.527 13.0729
716.089 12.1584
716.651 11.5038
717.776 10.6324
718.900 10.0797
720.024 9.69731
721.149 9.41616
723.398 9.02751
725.646 8.76810
730.144 8.43463
734.642 8.22119
739.139 8.06718
748.134 7.84984
757.130 7.69599
766.125 7.57671
784.115 7.39666
820.096 7.15463
856.077 6.98925
892.058 6.86400
928.038 6.76328
1000.00 6.60594
1074.96 6.47809
1149.92 6.36959
1224.87 6.26969
1299.83 6.16907
1374.79 6.05472
1412.27 5.98452
1449.75 5.89600
1487.23 5.77075
1505.97 5.68097
1524.71 5.55581
1534.08 5.47098
1543.45 5.36207
1552.82 5.21570
1562.19 5.00653
1566.87 4.86345
1571.56 4.67994
1576.24 4.43588
1580.92 4.09610
1583.27 3.87166
1585.61 3.59545
1587.95 3.25128
1590.29 2.82519
1591.47 2.58433
1592.64 2.34284
1593.81 2.15078
1594.98 2.16313
1595.57 2.37831
1595.86 2.59106
1596.15 2.91159
1596.44 3.38900
1596.74 4.09388
1596.88 4.56612
1597.03 5.13814
1597.18 5.83763
1597.32 6.69670
1597.47 7.76552
1597.61 9.08580
1597.91 12.8457
1598.20 19.0081
1598.35 23.5601
1598.49 29.6409
1598.64 37.9974
1598.79 49.6022
1598.93 66.4199
1599.08 91.2939
1599.23 130.128
1599.37 192.679
1599.52 298.496
1599.66 480.719
1599.83 818.173
1600.00 1084.39
1600.17 920.478
1600.34 609.719
1600.52 381.693
1600.71 255.959
1600.89 183.734
1601.08 139.376
1601.27 110.251
1601.45 90.3188
1601.82 65.3243
1602.19 50.7053
1602.56 41.3838
1603.30 30.4158
1604.04 24.3434
1604.78 20.5609
1605.53 18.0084
1606.27 16.1835
1607.75 13.7684
1609.23 12.2551
1610.71 11.2244
1612.19 10.4800
1615.16 9.48023
1618.12 8.84168
1621.09 8.39935
