Pd-102(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
70000.0 8.58307
80000.0 8.65258
90000.0 8.69876
100000 8.71936
150000 8.69495
200000 8.61421
250000 8.53040
300000 8.43558
317763 8.39829
317764 8.39829
350000 8.32664
360119 8.30354
360119 8.30354
400000 8.21166
424025 8.15692
424025 8.15692
442738 8.11390
442738 8.11390
450000 8.09714
459907 8.07425
459907 8.07425
473722 8.04226
473722 8.04226
500000 7.98134
550000 7.86632
562039 7.83808
562039 7.83808
600000 7.74785
650000 7.62766
700000 7.50783
750000 7.39061
800000 7.27308
850000 7.15278
900000 7.02834
950000 6.90009
1.00000E+06 6.77951
1.10000E+06 6.59099
1.20000E+06 6.40784
1.28867E+06 6.23305
1.28867E+06 6.23304
1.30000E+06 6.21167
1.40000E+06 6.03414
1.50000E+06 5.87568
1.54976E+06 5.80249
1.54976E+06 5.80249
1.60000E+06 5.73172
1.60878E+06 5.71965
1.60878E+06 5.71965
1.67461E+06 5.63161
1.67461E+06 5.63161
1.70000E+06 5.59871
1.73198E+06 5.55688
1.73198E+06 5.55688
1.80000E+06 5.46422
1.90000E+06 5.32410
1.93799E+06 5.27073
1.93800E+06 5.27072
1.96363E+06 5.23492
1.96363E+06 5.23492
2.00000E+06 5.18455
2.10000E+06 5.05168
2.13242E+06 5.01009
2.13242E+06 5.01009
2.13268E+06 5.00976
2.13268E+06 5.00976
2.13887E+06 5.00190
2.13887E+06 5.00190
2.15926E+06 4.97621
2.15926E+06 4.97621
2.20000E+06 4.92575
2.27096E+06 4.84061
2.27096E+06 4.84061
2.30000E+06 4.80677
2.31738E+06 4.78679
2.31738E+06 4.78679
2.32414E+06 4.77908
2.32414E+06 4.77908
2.36620E+06 4.73177
2.36620E+06 4.73177
2.40000E+06 4.69462
2.41487E+06 4.67852
2.41487E+06 4.67852
2.45567E+06 4.63508
2.45567E+06 4.63508
2.49896E+06 4.59016
2.49896E+06 4.59016
2.50000E+06 4.58910
2.50485E+06 4.58421
2.50485E+06 4.58421
2.60000E+06 4.48877
2.70000E+06 4.39123
2.80000E+06 4.29866
2.90000E+06 4.21254
3.00000E+06 4.13393
3.10000E+06 4.07055
3.20000E+06 4.02339
3.50000E+06 3.93107
4.00000E+06 3.84264
4.50000E+06 3.82817
5.00000E+06 3.87323
5.50000E+06 3.94289
5.62760E+06 3.96503
5.62760E+06 3.96503
5.78648E+06 3.99457
5.78648E+06 3.99457
5.81118E+06 3.99907
5.81118E+06 3.99907
5.93592E+06 4.02024
5.93592E+06 4.02024
5.98642E+06 4.02778
5.98642E+06 4.02778
6.00000E+06 4.02968
6.11040E+06 4.04402
6.11040E+06 4.04402
6.38275E+06 4.07549
6.38275E+06 4.07549
6.38300E+06 4.07552
6.38301E+06 4.07552
6.48743E+06 4.08844
6.48743E+06 4.08844
6.50000E+06 4.09009
6.52974E+06 4.09407
6.52974E+06 4.09407
6.53580E+06 4.09488
6.53580E+06 4.09488
6.53836E+06 4.09522
6.53836E+06 4.09522
6.54225E+06 4.09574
6.54225E+06 4.09574
6.61568E+06 4.10550
6.61569E+06 4.10550
6.63346E+06 4.10785
6.63346E+06 4.10785
6.67355E+06 4.11313
6.67355E+06 4.11313
6.69577E+06 4.11606
6.69577E+06 4.11606
6.96087E+06 4.15070
6.96087E+06 4.15070
7.00000E+06 4.15582
7.00042E+06 4.15587
7.00042E+06 4.15587
7.11299E+06 4.17073
7.11299E+06 4.17073
7.17375E+06 4.17869
7.17376E+06 4.17869
7.50000E+06 4.22051
7.87420E+06 4.26987
7.87421E+06 4.26987
8.00000E+06 4.28427
8.50000E+06 4.31717
9.00000E+06 4.34430
9.50000E+06 4.35784
1.00000E+07 4.36263
1.05000E+07 4.37673
1.06639E+07 4.37936
1.06639E+07 4.37936
1.10000E+07 4.38131
1.15000E+07 4.37498
1.20000E+07 4.35846
1.24231E+07 4.34089
1.24231E+07 4.34089
1.25000E+07 4.33733
1.30000E+07 4.31085
1.34078E+07 4.28008
1.34078E+07 4.28007
1.35000E+07 4.27183
1.40000E+07 4.22298
1.45000E+07 4.18598
1.50000E+07 4.14169
1.55000E+07 4.09113
1.56169E+07 4.07914
1.60000E+07 4.03717
1.65000E+07 3.97385
1.70000E+07 3.90659
1.75000E+07 3.84015
1.78635E+07 3.79361
1.80000E+07 3.77648
1.85000E+07 3.71542
1.90000E+07 3.65692
1.90262E+07 3.65393
1.90263E+07 3.65392
1.95000E+07 3.60177
2.00000E+07 3.54998
2.10000E+07 3.45960
2.20000E+07 3.38502
2.30000E+07 3.32644
2.40000E+07 3.27673
2.50000E+07 3.21990
2.60000E+07 3.16733
2.70000E+07 3.12910
2.80000E+07 3.09802
2.90000E+07 3.07508
3.00000E+07 3.06216
