80-Hg_n-g
> 80-Hg-196:0.001500
> 80-Hg-198:0.099700
> 80-Hg-199:0.168700
> 80-Hg-200:0.231000
> 80-Hg-201:0.131800
> 80-Hg-202:0.298600
> 80-Hg-204:0.068700
3.207940e+01 1.72485799e+01
3.228770e+01 2.34164256e+01
3.249590e+01 3.36480861e+01
3.260010e+01 4.14915419e+01
3.270420e+01 5.24205210e+01
3.280830e+01 6.82552962e+01
3.291250e+01 9.23334278e+01
3.301660e+01 1.31232361e+02
3.312070e+01 1.98968872e+02
3.317280e+01 2.52451623e+02
3.320460e+01 2.98337358e+02
3.322490e+01 3.27629240e+02
3.327690e+01 4.34905479e+02
3.332900e+01 5.87099779e+02
3.341450e+01 9.38538842e+02
3.350000e+01 1.17176138e+03
3.358550e+01 9.35623405e+02
3.367100e+01 5.83703245e+02
3.373480e+01 4.04169219e+02
3.379860e+01 2.87747550e+02
3.386240e+01 2.12007885e+02
3.392620e+01 1.61318146e+02
3.405370e+01 1.01142800e+02
3.418130e+01 6.87695516e+01
3.428500e+01 5.31877490e+01
3.430890e+01 4.95966342e+01
3.443640e+01 3.73821880e+01
3.469160e+01 2.33526386e+01
3.488420e+01 1.77564490e+01
3.494670e+01 1.59405226e+01
3.500000e+01 1.50272405e+01
3.520190e+01 1.15678047e+01
3.545700e+01 8.77886056e+00
3.571210e+01 6.89397977e+00
3.571350e+01 6.88764880e+00
3.622240e+01 4.58849028e+00
3.656370e+01 3.71845863e+00
3.673270e+01 3.28780222e+00
3.714200e+01 2.64369340e+00
3.724300e+01 2.48579927e+00
3.775330e+01 1.96177572e+00
3.857050e+01 1.46574388e+00
3.877380e+01 1.34618382e+00
3.928480e+01 1.18888058e+00
3.979440e+01 1.04750836e+00
3.992280e+01 1.02921283e+00
3.999900e+01 1.01840013e+00
4.035610e+01 9.83811797e-01
4.063720e+01 9.72561180e-01
4.071330e+01 9.69515900e-01
4.081490e+01 9.75838517e-01
4.107040e+01 1.01035441e+00
4.142750e+01 1.13126616e+00
4.178460e+01 1.41993691e+00
4.183550e+01 1.50130866e+00
4.196320e+01 1.71261261e+00
4.214180e+01 2.21358617e+00
4.232030e+01 3.14775764e+00
4.240960e+01 3.94309376e+00
4.249890e+01 5.15978130e+00
4.250000e+01 5.18413992e+00
4.258820e+01 7.13725896e+00
4.267740e+01 1.06052974e+01
4.276670e+01 1.72518955e+01
4.281140e+01 2.28365489e+01
4.285600e+01 3.08074496e+01
4.292800e+01 4.89078324e+01
4.300000e+01 6.09170781e+01
4.307200e+01 4.88133821e+01
4.314400e+01 3.06812858e+01
4.319760e+01 2.14212342e+01
4.325110e+01 1.53987261e+01
4.328190e+01 1.31413549e+01
4.330470e+01 1.14703222e+01
4.335830e+01 8.83505889e+00
4.346540e+01 5.69806605e+00
4.357250e+01 4.00386145e+00
4.367960e+01 2.99570221e+00
4.378680e+01 2.34977392e+00
4.387660e+01 2.03531891e+00
4.400100e+01 1.60428222e+00
4.421530e+01 1.20722358e+00
4.442950e+01 9.68836845e-01
4.464380e+01 8.13194940e-01
4.485800e+01 7.04828909e-01
4.528650e+01 5.64600943e-01
4.571500e+01 4.76991491e-01
4.591780e+01 4.47871177e-01
4.614350e+01 4.19404940e-01
4.657200e+01 3.79733500e-01
4.742900e+01 3.22935537e-01
4.795890e+01 2.97144020e-01
4.828600e+01 2.84278018e-01
5.000000e+01 2.35450842e-01
5.258300e+01 1.96892553e-01
5.312500e+01 1.90390599e-01
5.496570e+01 1.76088002e-01
5.516600e+01 1.74556690e-01
5.625000e+01 1.68059307e-01
5.774900e+01 1.63587480e-01
5.993150e+01 1.61273832e-01
6.033200e+01 1.60910651e-01
6.082440e+01 1.62402793e-01
6.250000e+01 1.67512615e-01
6.252360e+01 1.67628933e-01
6.291500e+01 1.69559723e-01
6.420650e+01 1.84845495e-01
6.489720e+01 2.00641685e-01
6.549800e+01 2.14545011e-01
6.614380e+01 2.40048545e-01
6.623660e+01 2.45635554e-01
6.678950e+01 2.78938866e-01
6.743530e+01 3.41935978e-01
6.808100e+01 4.53193124e-01
6.872680e+01 6.76814897e-01
6.875000e+01 6.91718859e-01
6.904960e+01 8.84452326e-01
6.937250e+01 1.23290966e+00
6.969540e+01 1.88318241e+00
6.985680e+01 2.44140908e+00
6.986290e+01 2.47404274e+00
7.001830e+01 3.30545954e+00
7.017970e+01 4.73633149e+00
7.034110e+01 7.32071704e+00
7.042190e+01 9.43611942e+00
7.050260e+01 1.25110522e+01
7.058330e+01 1.70785277e+01
7.066400e+01 2.38511885e+01
7.078200e+01 3.80356159e+01
7.090000e+01 4.74534963e+01
7.101800e+01 3.79698068e+01
7.113600e+01 2.37700498e+01
7.124880e+01 1.49689535e+01
7.136150e+01 9.91255880e+00
7.147430e+01 6.93947396e+00
7.158700e+01 5.09645551e+00
7.164880e+01 4.43678147e+00
7.169980e+01 3.89239248e+00
7.181250e+01 3.06901006e+00
7.203800e+01 2.05435802e+00
7.226350e+01 1.48051108e+00
7.234580e+01 1.35121691e+00
7.248900e+01 1.12632025e+00
7.294000e+01 7.31534055e-01
7.339100e+01 5.28750147e-01
7.384200e+01 4.11275107e-01
7.429300e+01 3.37309884e-01
7.435490e+01 3.30515550e-01
7.474400e+01 2.87828398e-01
7.482860e+01 2.82209289e-01
7.500000e+01 2.70984529e-01
7.564600e+01 2.29229739e-01
7.654800e+01 1.97445132e-01
7.706090e+01 1.86757937e-01
7.731150e+01 1.81562018e-01
7.745000e+01 1.78960171e-01
7.835200e+01 1.69115228e-01
7.976700e+01 1.62340843e-01
7.979440e+01 1.62215535e-01
8.015600e+01 1.61631784e-01
8.103580e+01 1.63791760e-01
8.126180e+01 1.65216114e-01
8.196000e+01 1.69618740e-01
8.227720e+01 1.72405760e-01
8.247310e+01 1.75527567e-01
8.351870e+01 1.92528076e-01
8.382620e+01 2.02128221e-01
8.476010e+01 2.31674547e-01
8.517920e+01 2.54429895e-01
8.538080e+01 2.65531015e-01
8.556800e+01 2.81331304e-01
8.600150e+01 3.18500447e-01
8.653230e+01 3.92791730e-01
8.662220e+01 4.05517197e-01
8.724290e+01 5.63163141e-01
8.750000e+01 6.71789661e-01
8.755330e+01 6.94350806e-01
8.786370e+01 8.92704286e-01
8.788530e+01 9.15011161e-01
8.817400e+01 1.21368102e+00
8.822360e+01 1.30463940e+00
8.848440e+01 1.78320073e+00
8.856190e+01 2.01634245e+00
8.863960e+01 2.25016814e+00
8.873100e+01 2.65940827e+00
8.879470e+01 2.94466192e+00
8.881560e+01 3.09247259e+00
8.890010e+01 3.69011926e+00
8.894990e+01 4.04236565e+00
8.898470e+01 4.40336913e+00
8.902750e+01 4.84738479e+00
8.906630e+01 5.34590480e+00
8.906920e+01 5.38934956e+00
8.910510e+01 5.92718579e+00
8.912450e+01 6.25481579e+00
8.914390e+01 6.61086029e+00
8.915380e+01 6.80876278e+00
8.916330e+01 6.99867499e+00
8.917600e+01 7.27574065e+00
8.918270e+01 7.42191274e+00
8.920210e+01 7.88548595e+00
8.922150e+01 8.39438278e+00
8.923840e+01 8.90778973e+00
8.926030e+01 9.57310701e+00
8.929910e+01 1.10210027e+01
8.932290e+01 1.21275276e+01
8.933790e+01 1.28249277e+01
8.937670e+01 1.51112180e+01
8.940750e+01 1.74552603e+01
8.941550e+01 1.80641087e+01
8.945430e+01 2.19665661e+01
8.949210e+01 2.71360562e+01
8.949300e+01 2.72591400e+01
8.953180e+01 3.46685782e+01
8.957060e+01 4.54267400e+01
8.957660e+01 4.79512571e+01
8.960940e+01 6.17519964e+01
8.964820e+01 8.77668051e+01
8.968700e+01 1.31297707e+02
8.972580e+01 2.05555851e+02
8.974580e+01 2.64014454e+02
8.976790e+01 3.28611260e+02
8.981000e+01 4.10511551e+02
8.985220e+01 3.28260778e+02
8.989430e+01 2.05090133e+02
8.991490e+01 1.65909844e+02
8.993380e+01 1.29962929e+02
8.997330e+01 8.63559336e+01
9.001270e+01 6.04976301e+01
9.005220e+01 4.43699489e+01
9.008400e+01 3.71826286e+01
9.013120e+01 2.65148064e+01
9.021010e+01 1.75257845e+01
9.025320e+01 1.47415727e+01
9.028910e+01 1.24226136e+01
9.036800e+01 9.26404821e+00
9.042230e+01 8.05004808e+00
9.052590e+01 5.73433495e+00
9.059140e+01 4.98061469e+00
9.068380e+01 3.91826429e+00
9.084170e+01 2.86632348e+00
9.092970e+01 2.49753439e+00
9.099960e+01 2.20601159e+00
9.115750e+01 1.76729726e+00
9.126790e+01 1.58343605e+00
9.147330e+01 1.24866577e+00
9.160620e+01 1.13272839e+00
9.177530e+01 9.92816472e-01
9.178910e+01 9.82057980e-01
9.194450e+01 9.18695164e-01
9.210490e+01 8.64834902e-01
9.211360e+01 8.63685056e-01
9.228270e+01 8.60394755e-01
9.242070e+01 8.83452453e-01
9.245190e+01 8.93619965e-01
9.262100e+01 1.00497724e+00
9.278400e+01 1.21777637e+00
9.279010e+01 1.22574202e+00
9.287470e+01 1.41201989e+00
9.295920e+01 1.68634580e+00
9.304380e+01 2.10263966e+00
9.305230e+01 2.16835962e+00
9.312840e+01 2.76478849e+00
9.321290e+01 3.83628355e+00
9.329750e+01 5.58150563e+00
9.339880e+01 8.70690068e+00
9.350000e+01 1.07785887e+01
9.360130e+01 8.66497875e+00
9.368390e+01 6.09188103e+00
9.370250e+01 5.51341227e+00
9.380090e+01 3.53718063e+00
9.389930e+01 2.40960398e+00
9.399770e+01 1.74839984e+00
9.409610e+01 1.33775720e+00
9.419450e+01 1.06781005e+00
9.429290e+01 8.81261411e-01
9.431560e+01 8.54131706e-01
9.448970e+01 6.50830754e-01
9.468650e+01 5.16783940e-01
9.488330e+01 4.30287127e-01
9.494720e+01 4.13194879e-01
9.527690e+01 3.31967612e-01
9.567050e+01 2.76375429e-01
9.606410e+01 2.39139797e-01
9.621040e+01 2.28775661e-01
9.645770e+01 2.14691406e-01
9.685130e+01 1.97530609e-01
9.747360e+01 1.77025706e-01
9.763840e+01 1.72684209e-01
9.842560e+01 1.57640927e-01
9.873680e+01 1.52796368e-01
9.921280e+01 1.47069853e-01
1.000000e+02 1.39123659e-01
1.014250e+02 1.31930176e-01
1.015630e+02 1.31233894e-01
1.028500e+02 1.26594747e-01
1.031250e+02 1.26200196e-01
1.062500e+02 1.25295592e-01
1.073730e+02 1.25838061e-01
1.093750e+02 1.31591082e-01
1.125000e+02 1.41747260e-01
1.147460e+02 1.49874940e-01
1.168670e+02 1.69960826e-01
1.184330e+02 1.84948888e-01
1.187500e+02 1.90736449e-01
1.202760e+02 2.18844032e-01
1.221190e+02 2.78601240e-01
1.239620e+02 4.01658063e-01
1.248840e+02 5.20684358e-01
1.250000e+02 5.47266635e-01
1.250220e+02 5.52311616e-01
1.258060e+02 7.32098053e-01
1.267270e+02 1.16554663e+00
1.271880e+02 1.57846643e+00
1.276490e+02 2.29477294e+00
1.278790e+02 2.86896853e+00
1.281100e+02 3.70412604e+00
1.283400e+02 4.98487098e+00
1.285700e+02 7.09087944e+00
1.288010e+02 1.09019049e+01
1.289160e+02 1.40702975e+01
1.290310e+02 1.88169798e+01
1.291460e+02 2.63263102e+01
1.292620e+02 3.90140556e+01
1.293770e+02 6.20512088e+01
1.294340e+02 8.04540107e+01
1.294920e+02 1.05694223e+02
1.295960e+02 1.68709904e+02
1.297000e+02 2.10510041e+02
1.298050e+02 1.68157894e+02
1.299090e+02 1.04948017e+02
1.299960e+02 6.97652852e+01
1.300830e+02 4.81030146e+01
1.301700e+02 3.46183079e+01
1.302570e+02 2.59029189e+01
1.304320e+02 1.58937935e+01
1.306060e+02 1.06861233e+01
1.307800e+02 7.66434967e+00
1.308850e+02 6.51990342e+00
1.309540e+02 5.76783894e+00
1.313020e+02 3.61804043e+00
1.316510e+02 2.49648519e+00
1.319990e+02 1.84015404e+00
1.326950e+02 1.14401095e+00
1.333920e+02 8.03224183e-01
1.340890e+02 6.12413404e-01
1.354820e+02 4.19653290e-01
1.368750e+02 3.31630570e-01
1.375000e+02 3.11480827e-01
1.382680e+02 2.86826091e-01
1.410540e+02 2.52018587e-01
1.466270e+02 2.66234012e-01
1.500000e+02 3.15080986e-01
1.522000e+02 3.47489143e-01
1.549860e+02 4.22997230e-01
1.577720e+02 5.39772711e-01
1.589210e+02 6.18537545e-01
1.605590e+02 7.30827704e-01
1.619520e+02 8.74909166e-01
1.625000e+02 9.52776799e-01
1.625110e+02 9.54342658e-01
1.633450e+02 1.07306455e+00
1.647380e+02 1.35575530e+00
1.661310e+02 1.77849910e+00
1.675240e+02 2.45202557e+00
1.682210e+02 2.94981322e+00
1.687500e+02 3.46089513e+00
1.689170e+02 3.62229558e+00
1.696140e+02 4.56204525e+00
1.703110e+02 5.93084964e+00
1.710070e+02 8.03417294e+00
1.717040e+02 1.15024657e+01
1.724000e+02 1.78090676e+01
1.727490e+02 2.30790567e+01
1.730970e+02 3.10155172e+01
1.734450e+02 4.36646122e+01
1.737940e+02 6.52681354e+01
1.741420e+02 1.05134614e+02
1.743160e+02 1.37469158e+02
1.744900e+02 1.82380626e+02
1.747950e+02 2.92157358e+02
1.750000e+02 3.41174264e+02
1.751000e+02 3.65085018e+02
