Mo-92(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
3051.21 0.0765273
3052.65 0.0988887
3054.09 0.138967
3055.53 0.223008
3056.25 0.305198
3056.96 0.451861
3057.32 0.573162
3057.68 0.754897
3058.04 1.04502
3058.40 1.55028
3058.76 2.54934
3058.94 3.46144
3059.12 4.96818
3059.30 7.71264
3059.39 10.0092
3059.48 13.4717
3059.57 18.9967
3059.66 28.4437
3059.75 45.8895
3059.84 79.1552
3059.92 126.723
3060.00 157.805
3060.08 126.081
3060.16 78.6556
3060.21 56.8186
3060.26 42.1385
3060.36 25.0212
3060.47 16.2022
3060.57 11.2932
3060.67 8.26778
3060.77 6.31845
3060.98 4.02662
3061.18 2.78309
3061.39 2.03946
3061.80 1.23539
3062.21 0.831772
3062.62 0.602150
3063.03 0.458687
3063.43 0.363583
3064.25 0.248969
3065.07 0.185391
3066.71 0.121331
3068.35 0.0916996
3069.99 0.0759601
3073.26 0.0614838
3079.81 0.0550906
3086.37 0.0580953
3099.47 0.0763447
3112.57 0.113049
3115.85 0.126917
3119.13 0.143637
3120.76 0.153308
3122.40 0.164017
3124.04 0.175913
3125.68 0.189177
3127.32 0.204023
3128.95 0.220711
3130.59 0.239554
3132.23 0.260936
3133.87 0.285331
3135.51 0.313328
3138.78 0.383287
3142.06 0.479555
3145.33 0.617011
3148.61 0.822588
3151.89 1.14890
3153.52 1.38842
3155.16 1.70909
3156.80 2.15049
3158.44 2.77800
3160.08 3.70356
3161.71 5.12443
3163.35 7.38624
3164.99 11.0187
3167.00 17.6272
3169.00 22.0204
3171.01 17.5987
3173.01 10.9912
3175.19 6.48925
3177.38 4.09398
3179.56 2.76637
3181.75 1.97709
3183.93 1.47664
3186.11 1.14187
3190.48 0.738448
3194.85 0.515075
3199.22 0.379129
3207.95 0.229520
3216.69 0.153527
3225.42 0.109796
3234.16 0.0823657
3242.89 0.0640462
3260.36 0.0418737
3277.83 0.0294863
3295.31 0.0218742
3312.78 0.0168673
3347.72 0.0109020
3382.66 0.00762265
3417.60 0.00563148
3452.54 0.00433434
3522.42 0.00280770
3592.30 0.00198391
3662.19 0.00149686
3732.07 0.00119440
3871.83 0.000902472
3941.71 0.000876808
4011.60 0.000957118
4081.48 0.00125440
4116.42 0.00159418
4151.36 0.00224704
4186.30 0.00368921
4203.77 0.00515046
4221.24 0.00784489
4229.98 0.0101353
4238.71 0.0136587
4247.45 0.0194864
4256.18 0.0301652
4260.55 0.0392018
4264.92 0.0530547
4269.29 0.0758664
4273.65 0.117406
4275.84 0.152356
4278.02 0.205631
4280.21 0.292687
4282.39 0.449409
4283.48 0.579820
4284.57 0.776422
4285.66 1.09286
4286.76 1.65042
4287.30 2.10404
4287.85 2.77315
4288.39 3.81855
4288.94 5.58302
4289.49 8.90441
4289.76 11.7812
4290.03 16.2742
4290.31 23.8093
4290.58 37.6765
4290.72 49.2933
4290.85 66.3544
4290.99 92.2172
4291.12 131.461
4291.31 210.478
4291.50 262.737
4291.69 210.011
4291.88 131.100
4292.05 83.8515
4292.22 56.1027
4292.40 39.4890
4292.57 29.0505
4292.92 17.4150
4293.26 11.5180
4293.61 8.15543
4293.95 6.06751
4294.65 3.72828
4295.34 2.51678
4296.03 1.81236
4296.72 1.36621
4297.41 1.06683
4298.79 0.701813
4300.18 0.496475
4301.56 0.369664
4302.94 0.285911
4305.71 0.185663
4308.48 0.130241
4311.24 0.0964180
4314.01 0.0742708
4319.54 0.0479868
4325.07 0.0335822
4330.60 0.0248413
4336.14 0.0191409
4347.20 0.0124029
4358.27 0.00872310
4380.39 0.00504320
4402.52 0.00332825
4424.65 0.00239070
4468.91 0.00144971
4513.17 0.00100745
4557.42 0.000763054
4645.94 0.000513902
4734.46 0.000395259
4822.97 0.000331154
5000.00 0.000280869
5144.28 0.000297574
5216.42 0.000335833
5288.55 0.000417151
5360.69 0.000602532
5432.83 0.00113954
5468.90 0.00189077
5504.97 0.00402928
5523.00 0.00701077
5541.04 0.0154768
5550.05 0.0272384
5554.56 0.0389844
5559.07 0.0604279
5563.58 0.106161
5565.83 0.151485
5568.09 0.233550
5569.22 0.302249
5570.34 0.406284
5571.47 0.574943
5572.60 0.875261
5573.16 1.12246
5573.72 1.49026
5574.29 2.07416
5574.85 3.07820
5575.42 5.03291
5575.70 6.78526
5575.98 9.61051
5576.26 14.6184
5576.40 18.6821
5576.54 24.6250
5576.68 33.7235
5576.82 48.4061
5576.97 73.3891
5577.11 116.493
5577.25 186.667
5577.40 233.035
5577.55 186.156
5577.70 116.491
5577.81 80.4977
5577.92 57.2194
5578.03 42.1125
5578.14 32.0948
5578.36 20.1383
5578.58 13.7038
5578.80 9.87714
5579.02 7.45073
5579.47 4.65973
5579.91 3.17964
5580.35 2.30708
5580.79 1.74831
5581.24 1.37087
5582.12 0.906939
5583.01 0.643987
5583.89 0.480757
5584.77 0.372649
5586.54 0.242591
5588.31 0.170428
5591.85 0.0973358
5595.39 0.0629079
5598.93 0.0440106
5606.01 0.0250407
5613.09 0.0161826
5620.17 0.0113453
5634.33 0.00651472
5662.64 0.00305400
5690.96 0.00185048
5747.59 0.00103198
5804.22 0.000832341
5917.48 0.00150874
5945.79 0.00240610
5974.11 0.00501084
5988.26 0.00865972
6002.42 0.0190274
6009.50 0.0334191
6013.04 0.0477798
6016.58 0.0739649
6020.12 0.129709
6021.89 0.184858
6023.66 0.284417
6024.54 0.367516
6025.43 0.493166
6026.31 0.696229
6027.20 1.05561
6027.64 1.35036
6028.08 1.78665
6028.52 2.47527
6028.97 3.64805
6029.41 5.90002
6029.63 7.88297
6029.85 11.0393
6030.07 16.4801
6030.29 26.9269
6030.40 36.0820
6030.51 50.0989
6030.63 72.8111
6030.74 109.317
6030.87 175.194
6031.00 218.678
6031.13 174.660
6031.27 109.313
6031.38 72.8106
6031.49 50.2591
6031.60 36.1848
6031.71 27.0628
6031.93 16.5810
6032.15 11.1144
6032.37 7.94027
6032.59 5.94495
6033.02 3.68472
6033.46 2.50012
6033.90 1.80706
6034.34 1.36557
6034.78 1.06851
6035.66 0.704514
6036.54 0.499306
6037.42 0.372253
6038.30 0.288186
6040.06 0.187335
6041.82 0.131520
6045.33 0.0750625
6048.85 0.0485120
6052.37 0.0339494
6059.40 0.0193463
6073.47 0.00881263
6087.53 0.00509812
6115.67 0.00243504
6143.80 0.00150693
6256.33 0.000721724
6312.60 0.000800999
6340.73 0.000957908
6368.86 0.00128196
6397.00 0.00201220
6411.06 0.00275325
6425.13 0.00411618
6432.16 0.00527111
6439.20 0.00704216
6446.23 0.00995920
6453.26 0.0152730
6456.78 0.0197439
6460.30 0.0265592
6463.81 0.0376967
6467.33 0.0577529
6469.09 0.0744473
6470.85 0.0996028
6472.60 0.140091
6474.36 0.211430
6475.24 0.269550
6476.12 0.355203
6477.00 0.489035
6477.88 0.714954
6478.76 1.14032
6479.20 1.50935
6479.64 2.08458
6480.08 3.05203
6480.52 4.82987
6480.74 6.31731
6480.96 8.52141
6481.18 11.8745
6481.40 16.9550
6481.70 27.1580
6482.00 33.9325
6482.30 27.1178
6482.61 16.9523
6482.93 10.1250
6483.25 6.44929
6483.57 4.38196
6483.89 3.14698
6484.21 2.35693
6484.53 1.82786
6485.18 1.18698
6485.82 0.830013
6486.46 0.612413
6487.75 0.371949
6489.03 0.249377
6490.32 0.178748
6491.60 0.134372
6492.89 0.104693
6495.46 0.0687043
6498.03 0.0485662
6500.60 0.0361664
6503.17 0.0280004
6508.31 0.0182488
6513.45 0.0128720
6518.59 0.00959722
6523.73 0.00745669
6534.02 0.00492297
6544.30 0.00354007
6564.86 0.00216766
6605.99 0.00123053
6647.12 0.00100518
6688.24 0.00112238
6708.81 0.00135469
6729.37 0.00183521
6739.65 0.00225903
6749.93 0.00292008
6760.22 0.00402242
6770.50 0.00605172
6775.64 0.00777260
6780.78 0.0104138
6785.92 0.0147682
6791.06 0.0227120
6793.63 0.0294061
6796.20 0.0396210
6798.77 0.0563549
6801.34 0.0865804
6802.63 0.111826
6803.91 0.149983
6805.20 0.211670
6806.48 0.321068
6807.77 0.543665
6808.41 0.753510
6809.05 1.11165
6809.38 1.39526
6809.70 1.80036
6810.02 2.40862
6810.34 3.37945
6810.50 4.09842
6810.66 5.06657
6810.82 6.40884
6810.98 8.32009
6811.14 11.1864
6811.30 15.6181
6811.46 22.8440
6811.62 34.6169
6811.81 55.3417
6812.00 69.1382
6812.10 64.9988
6812.19 55.2208
6812.38 34.5217
6812.53 23.0133
6812.69 15.8969
6812.85 11.4515
6813.00 8.56825
6813.31 5.25266
6813.63 3.52220
6813.94 2.51693
6814.25 1.88479
6814.87 1.16816
6815.50 0.792791
6816.12 0.573008
6816.74 0.433095
6817.37 0.338886
6818.61 0.223526
6819.86 0.158463
6821.11 0.118182
6822.36 0.0915315
6824.85 0.0595671
6827.34 0.0418756
6829.84 0.0310671
6832.33 0.0239848
6837.32 0.0155747
6842.31 0.0109635
6847.30 0.00816577
6852.29 0.00634244
6862.27 0.00418960
6872.24 0.00301765
6882.22 0.00231190
6892.20 0.00185646
6912.15 0.00133125
6932.11 0.00106404
6972.02 0.000874344
7011.93 0.000980018
7031.88 0.00118595
7051.84 0.00161271
7061.81 0.00198987
7071.79 0.00257890
7081.77 0.00356255
7091.75 0.00537560
7096.74 0.00691437
7101.72 0.00927743
7106.71 0.0131758
7111.70 0.0202909
7114.20 0.0262914
7116.69 0.0354533
7119.18 0.0504660
7121.68 0.0776192
7122.93 0.100324
7124.17 0.134673
7125.42 0.190283
7126.67 0.289107
7127.29 0.370283
7127.91 0.490846
7128.54 0.681715
7129.16 1.00875
7129.79 1.64159
7130.10 2.20533
7130.41 3.10853
7130.56 3.78166
7130.72 4.69328
7130.88 5.96636
7131.03 7.81001
7131.19 10.5960
7131.34 15.0129
7131.50 22.3491
7131.58 27.7585
7131.66 34.6450
7131.83 55.4953
7132.00 69.2869
7132.09 65.1433
7132.17 55.3638
7132.35 34.6421
7132.55 19.6146
7132.75 12.0205
7132.96 7.96854
7133.16 5.63041
7133.36 4.16588
7133.57 3.19923
7133.98 2.05157
7134.38 1.42242
7134.79 1.04352
7135.61 0.628883
7136.42 0.419675
7137.24 0.299746
7138.05 0.224717
7138.87 0.174696
7140.50 0.114255
7142.13 0.0805265
7143.76 0.0598125
7145.38 0.0461943
7148.64 0.0299503
7151.90 0.0210096
7155.16 0.0155670
7158.42 0.0120117
7164.94 0.00780043
7171.46 0.00549700
7177.98 0.00410090
7184.50 0.00319103
7197.54 0.00211572
7210.58 0.00152802
7223.62 0.00117151
7236.65 0.000938737
7262.73 0.000662489
7288.81 0.000510379
7340.96 0.000356245
7393.12 0.000283288
7445.27 0.000243372
7549.58 0.000205534
7758.19 0.000193515
7966.81 0.000224630
8175.42 0.000311990
8279.73 0.000399462
8384.04 0.000552844
8488.35 0.000858270
8540.50 0.00114208
8592.66 0.00162741
8644.81 0.00258420
8670.89 0.00347698
8696.96 0.00502414
8723.04 0.00815605
8736.08 0.0111626
8749.12 0.0165123
8755.64 0.0209531
8762.16 0.0276742
8768.68 0.0386107
8775.19 0.0583067
8778.45 0.0747470
8781.71 0.0996504
8784.97 0.140085
8788.23 0.212295
8789.86 0.271925
8791.49 0.361194
8793.12 0.503544
