Hg-196(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 159090
1.25000E-05 142306
1.50000E-05 129916
2.00000E-05 112525
2.75000E-05 95977.2
3.50000E-05 85086.6
4.25000E-05 77224.6
5.00000E-05 71205.7
6.25000E-05 63699.2
7.50000E-05 58158.1
0.000100000 50380.0
0.000125000 45071.8
0.000150000 41153.4
0.000200000 35652.9
0.000275000 30418.9
0.000350000 26974.0
0.000425000 24486.9
0.000500000 22582.7
0.000625000 20207.7
0.000750000 18454.3
0.00100000 15992.6
0.00125000 14312.3
0.00150000 13071.5
0.00200000 11329.3
0.00275000 9670.41
0.00350000 8577.81
0.00425000 7788.42
0.00500000 7183.61
0.00625000 6428.56
0.00750000 5870.47
0.0100000 5085.60
0.0125000 4548.58
0.0150000 4151.14
0.0200000 3591.20
0.0253000 3187.74
0.0314750 2851.24
0.0376500 2599.89
0.0500000 2242.23
0.0625000 1991.72
0.0750000 1804.88
0.100000 1538.94
0.125000 1354.25
0.150000 1215.82
0.200000 1017.81
0.237500 910.400
0.275000 824.729
0.350000 695.058
0.500000 527.544
0.750000 370.738
1.00000 280.587
1.25000 222.357
1.50000 182.036
2.00000 130.731
2.75000 89.3921
3.50000 66.9852
4.25000 53.3973
5.00000 44.4932
6.25000 35.1798
7.50000 29.5244
8.75000 25.7968
10.0000 23.1867
12.5000 19.8151
15.0000 17.7545
17.5000 16.3717
20.0000 15.3787
23.7500 14.3158
27.5000 13.5541
35.0000 12.4950
42.5000 11.7311
50.0000 11.0773
60.8244 10.1162
66.2366 9.54721
71.6488 8.85595
74.3549 8.44675
77.0609 7.99078
79.7670 7.50587
82.4731 7.08653
83.8262 7.00132
85.1792 7.15483
86.5323 7.86614
87.8853 9.97694
88.2236 10.9496
88.5619 12.2214
88.7310 13.0006
88.8156 13.4331
88.9001 13.8972
88.9847 14.3957
89.0692 14.9315
89.1538 15.5079
89.2384 16.1284
89.3229 16.7972
89.4075 17.5185
89.4921 18.2975
89.5766 19.1393
89.7458 21.0376
89.9149 23.2716
90.0840 25.9157
90.2532 29.0643
90.4223 32.8401
90.5914 37.4034
90.9297 49.8204
91.2679 69.1305
91.6062 100.940
91.7753 124.914
91.9445 157.640
92.1136 203.677
92.2827 270.884
92.4519 373.681
92.6210 540.665
92.7901 834.418
92.8747 1070.24
92.9592 1410.26
93.0438 1919.77
93.1284 2715.84
93.2129 4009.65
93.2975 6137.82
93.3988 10023.4
93.5000 12785.2
93.6013 10437.7
93.7025 6659.48
93.8009 4236.55
93.8993 2837.18
93.9977 2010.10
94.0961 1494.18
94.1945 1154.73
94.2929 920.787
94.4897 629.138
94.6865 461.331
94.8833 355.917
95.2769 235.450
95.6705 171.349
96.0641 132.908
96.4577 107.870
96.8513 90.5466
97.6384 68.5689
98.4256 55.5014
99.2128 46.9933
100.000 41.0836
101.425 34.0694
102.850 29.6586
102.850 96.6675
116.867 91.1503
130.885 86.5225
158.921 79.1330
186.957 73.4349
214.993 68.8638
243.029 65.0886
271.065 61.9007
327.137 56.7723
383.209 52.7879
439.281 49.5742
495.353 46.9092
551.425 44.6515
663.568 41.0068
775.712 38.1649
887.856 35.8666
1000.00 33.9570
1281.25 31.7971
1562.50 30.1671
2125.00 27.8050
2687.50 26.1262
3250.00 24.8422
4375.00 22.9592
5500.00 21.6074
6625.00 20.5671
7750.00 19.7291
10000.0 18.4397
12812.5 17.5826
15625.0 16.9250
21250.0 15.9545
26875.0 15.2509
32500.0 14.7042
43750.0 13.8884
55000.0 13.2911
77500.0 12.4440
100000 11.8495
125000 11.0307
150000 10.4038
200000 9.48643
237500 8.97748
275000 8.56494
350000 7.92716
425000 7.44836
428170 7.43061
428173 7.43060
428193 7.43049
430000 7.42045
447500 7.32605
465000 7.23643
500000 7.06989
600000 6.54542
700000 6.16948
800000 5.86132
1.00000E+06 5.52717
1.04153E+06 5.53163
1.04153E+06 5.53162
1.06636E+06 5.53425
1.06636E+06 5.53425
1.07018E+06 5.53459
1.09883E+06 5.53748
1.15614E+06 5.54306
1.25000E+06 5.55263
1.27076E+06 5.55344
1.32569E+06 5.55953
1.38538E+06 5.56294
1.39776E+06 5.56455
1.50000E+06 5.57170
1.76584E+06 5.88338
1.76584E+06 5.88339
1.78444E+06 5.90398
1.79419E+06 5.91473
1.82404E+06 5.94737
1.82404E+06 5.94738
1.85027E+06 5.97575
1.85028E+06 5.97576
1.85450E+06 5.98032
1.93139E+06 6.06192
1.93139E+06 6.06192
1.98888E+06 6.12289
1.98889E+06 6.12289
2.00000E+06 6.13292
2.02266E+06 6.16123
2.07432E+06 6.22530
2.07432E+06 6.22530
2.27425E+06 6.44729
2.35808E+06 6.53872
2.37175E+06 6.55344
2.46784E+06 6.65765
2.50000E+06 6.68908
2.50834E+06 6.69514
2.50835E+06 6.69514
2.50885E+06 6.69551
3.00000E+06 7.05527
3.25000E+06 7.10762
3.50000E+06 7.15643
3.75000E+06 7.20219
4.00000E+06 7.24524
4.36697E+06 7.12403
4.42869E+06 7.10481
4.68348E+06 7.02886
5.00000E+06 6.94105
5.25000E+06 6.78401
5.50000E+06 6.63785
5.75000E+06 6.50101
6.00000E+06 6.37264
6.30152E+06 6.17818
6.60303E+06 6.00033
6.60303E+06 6.00033
6.66475E+06 5.96496
6.95227E+06 5.80796
7.30151E+06 5.63282
7.65075E+06 5.46979
8.00000E+06 5.31845
8.39686E+06 5.23951
8.79372E+06 5.16470
8.79372E+06 5.16470
8.83101E+06 5.15539
9.09529E+06 5.09561
9.39686E+06 5.03976
1.00000E+07 4.96286
1.02500E+07 4.95610
1.05000E+07 4.95219
1.07500E+07 4.95100
1.10000E+07 4.95240
1.12500E+07 4.95628
1.15000E+07 4.96253
1.20000E+07 4.98172
1.22500E+07 5.00717
1.25000E+07 5.03333
1.27500E+07 5.06015
1.30000E+07 5.08762
1.32500E+07 5.11571
1.35000E+07 5.14438
1.37500E+07 5.17362
1.40000E+07 5.20340
1.42360E+07 5.23636
1.44720E+07 5.26940
1.49439E+07 5.33571
1.54159E+07 5.40228
1.58878E+07 5.46910
1.60000E+07 5.48427
1.63182E+07 5.51078
1.65000E+07 5.52589
1.70000E+07 5.56731
1.75000E+07 5.60854
1.80000E+07 5.64958
1.90000E+07 5.65825
2.00000E+07 5.66729
2.00000E+07 5.62720
2.10000E+07 5.59926
2.18772E+07 5.55730
2.20000E+07 5.55010
2.20946E+07 5.54437
2.21132E+07 5.54322
2.22000E+07 5.53784
2.30000E+07 5.48329
2.40000E+07 5.40300
2.48556E+07 5.32758
2.50000E+07 5.31446
2.52494E+07 5.29142
2.57565E+07 5.24277
2.60000E+07 5.21840
2.70000E+07 5.11690
2.80000E+07 5.01460
2.88833E+07 4.92350
2.90000E+07 4.91161
2.92244E+07 4.88896
3.00000E+07 4.81360
3.05725E+07 4.76140
3.10000E+07 4.72401
3.20000E+07 4.64133
3.24517E+07 4.60597
3.30000E+07 4.56453
3.31444E+07 4.55386
3.40000E+07 4.49269
3.44454E+07 4.46210
3.50000E+07 4.42510
3.60000E+07 4.36571
3.70000E+07 4.31744
3.71516E+07 4.31097
3.75219E+07 4.29602
3.80000E+07 4.27839
3.83234E+07 4.26746
3.90000E+07 4.24696
4.00000E+07 4.22180
4.07970E+07 4.20634
4.10000E+07 4.20316
4.10947E+07 4.20177
4.17326E+07 4.19407
4.20000E+07 4.19168
4.30000E+07 4.18684
4.40000E+07 4.18821
4.50000E+07 4.19540
4.51464E+07 4.19687
4.54984E+07 4.20043
4.60000E+07 4.20570
4.70000E+07 4.21736
4.80000E+07 4.23139
4.90000E+07 4.24867
4.94264E+07 4.25723
5.00000E+07 4.27000
5.03013E+07 4.27710
5.10000E+07 4.29347
5.20000E+07 4.31671
5.30000E+07 4.33974
5.38232E+07 4.35856
5.40000E+07 4.36259
5.47652E+07 4.37998
5.50000E+07 4.38530
5.60000E+07 4.40790
5.70000E+07 4.43035
5.73588E+07 4.43835
5.80000E+07 4.45254
5.90000E+07 4.47439
5.92923E+07 4.48070
6.00000E+07 4.49580
6.10000E+07 4.51590
6.13481E+07 4.52244
6.20000E+07 4.53413
6.23867E+07 4.54076
6.30000E+07 4.55087
6.40000E+07 4.56649
6.50000E+07 4.58130
6.60000E+07 4.59477
6.69307E+07 4.60559
6.70000E+07 4.60634
6.80000E+07 4.61624
6.90000E+07 4.62472
7.00000E+07 4.63200
7.10000E+07 4.63798
7.18938E+07 4.64207
7.20000E+07 4.64248
7.30000E+07 4.64558
7.40000E+07 4.64736
7.50000E+07 4.64790
7.60000E+07 4.64727
7.70000E+07 4.64552
7.70439E+07 4.64542
7.80000E+07 4.64265
7.90000E+07 4.63867
7.98750E+07 4.63429
8.00000E+07 4.63360
8.10000E+07 4.62756
8.20000E+07 4.62067
8.30000E+07 4.61291
8.40000E+07 4.60426
8.49880E+07 4.59482
8.50000E+07 4.59470
8.60000E+07 4.58439
8.70000E+07 4.57345
8.80000E+07 4.56188
8.90000E+07 4.54963
9.00000E+07 4.53670
9.10000E+07 4.52318
9.20000E+07 4.50919
9.30000E+07 4.49478
9.40000E+07 4.47997
9.50000E+07 4.46480
9.60000E+07 4.44926
9.70000E+07 4.43330
9.80000E+07 4.41696
9.90000E+07 4.40022
1.00000E+08 4.38310
1.02000E+08 4.34821
1.04000E+08 4.31275
1.06000E+08 4.27676
1.08000E+08 4.24023
1.10000E+08 4.20320
1.12000E+08 4.16593
1.14000E+08 4.12864
1.16000E+08 4.09128
1.18000E+08 4.05381
1.20000E+08 4.01620
1.22000E+08 3.97886
1.24000E+08 3.94210
1.26000E+08 3.90574
1.28000E+08 3.86962
1.30000E+08 3.83360
1.32000E+08 3.79796
1.34000E+08 3.76301
1.36000E+08 3.72869
1.38000E+08 3.69494
1.40000E+08 3.66170
1.42000E+08 3.62906
1.44000E+08 3.59707
1.46000E+08 3.56569
1.48000E+08 3.53485
1.50000E+08 3.50450
