Mg-24(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
226572 7.93848
226663 7.95195
226810 7.97636
227047 8.01570
227285 8.05560
227523 8.09570
227760 8.13570
227998 8.17623
228279 8.22427
228561 8.27296
228842 8.32163
228927 8.33636
229123 8.36757
229404 8.41248
229463 8.42198
229686 8.46161
229967 8.51162
230248 8.56195
230529 8.61257
230811 8.66386
231092 8.71508
231373 8.76659
231936 8.87085
232485 8.97341
232498 8.97567
232533 8.98183
232568 8.98800
232639 9.00034
232780 9.02506
233061 9.07474
233197 9.09877
233623 9.18101
234186 9.29074
234748 9.40100
235311 9.51250
235873 9.62439
236043 9.65846
236436 9.73397
236931 9.82935
236998 9.84312
237139 9.87214
237280 9.90118
237561 9.95938
238123 10.0757
239248 10.3097
239601 10.3834
240373 10.5424
241499 10.7743
241515 10.7774
241550 10.7846
241584 10.7917
241654 10.8060
241792 10.8346
242070 10.8917
242624 11.0057
243220 11.1273
243749 11.2364
244739 11.4380
244874 11.4660
245155 11.5238
245437 11.5812
245999 11.6954
246093 11.7142
246351 11.7673
246609 11.8200
247124 11.9245
247302 11.9601
247776 12.0571
248249 12.1527
248378 12.1785
248858 12.2763
249337 12.3725
249374 12.3803
249452 12.3963
249531 12.4122
249687 12.4440
250000 12.5069
250000 12.0667
250001 12.0668
250002 12.0669
250003 12.0671
250006 12.0676
250012 12.0685
250024 12.0703
250048 12.0740
250096 12.0813
250192 12.0958
250499 12.1438
250954 12.2131
251631 12.3170
252235 12.4096
252749 12.4885
252775 12.4924
252854 12.5045
252932 12.5165
253089 12.5402
253251 12.5649
253412 12.5894
253573 12.6139
253594 12.6171
253664 12.6263
253734 12.6354
253896 12.6568
254057 12.6779
254218 12.6989
254379 12.7200
254540 12.7410
254701 12.7621
254822 12.7780
254943 12.7939
254999 12.8013
255064 12.8097
255185 12.8254
255266 12.8360
255346 12.8462
255427 12.8568
255507 12.8672
255588 12.8777
255669 12.8883
255749 12.8986
255830 12.9092
255870 12.9143
255910 12.9194
255951 12.9250
255991 12.9301
256031 12.9353
256072 12.9408
256112 12.9459
256152 12.9510
256193 12.9565
256233 12.9618
256273 12.9668
256313 12.9720
256354 12.9775
256394 12.9828
256414 12.9853
256434 12.9879
256454 12.9906
256475 12.9935
256495 12.9961
256515 12.9987
256535 13.0014
256555 13.0040
256575 13.0066
256596 13.0096
256616 13.0123
256636 13.0149
256656 13.0176
256676 13.0203
256696 13.0229
256711 13.0250
256716 13.0272
256726 13.0316
256737 13.0368
256747 13.0412
256757 13.0457
256767 13.0501
256777 13.0545
256787 13.0591
256797 13.0634
256807 13.0680
256817 13.0724
256827 13.0769
256837 13.0814
256847 13.0859
256857 13.0904
256868 13.0961
256878 13.1006
256888 13.1052
256898 13.1099
256908 13.1145
256918 13.1192
256922 13.1212
256928 13.1300
256938 13.1442
256943 13.1513
256948 13.1584
256953 13.1656
256958 13.1728
256966 13.1843
256974 13.1958
256982 13.2073
256990 13.2190
256994 13.2248
256999 13.2342
257003 13.2401
257006 13.2448
257007 13.2484
257011 13.2622
257015 13.2759
257019 13.2897
257023 13.3036
257027 13.3174
257031 13.3314
257035 13.3453
257039 13.3594
257043 13.3734
257047 13.3876
257051 13.4015
257051 13.4017
257052 13.4049
257052 13.4081
257053 13.4146
257055 13.4273
257059 13.4544
257063 13.4817
257067 13.5090
257071 13.5364
257075 13.5639
257079 13.5916
257080 13.5993
257083 13.6347
257087 13.6805
257091 13.7264
257095 13.7725
257097 13.7944
257097 13.7969
257098 13.8055
257098 13.8141
257099 13.8300
257101 13.8649
257103 13.8999
257105 13.9351
257107 13.9702
257109 14.0054
257111 14.0389
257111 14.0425
257112 14.0549
257112 14.0675
257113 14.0906
257115 14.1415
257117 14.1927
257119 14.2438
257121 14.2951
257122 14.3221
257123 14.3594
257125 14.4304
257127 14.5016
257129 14.5729
257130 14.6049
257131 14.6509
257134 14.8413
257136 14.9412
257137 14.9878
257138 15.0488
257140 15.1768
257142 15.3055
257143 15.3705
257144 15.4551
257146 15.6172
257148 15.7719
257148 15.7904
257149 15.8408
257149 15.8923
257150 15.9879
257152 16.1966
257153 16.2959
257154 16.4243
257156 16.6838
257157 16.8026
257157 16.8351
257158 16.9123
257158 16.9755
257159 17.1316
257160 17.2721
257160 17.3019
257161 17.3929
257161 17.4675
257162 17.6563
257163 17.8458
257164 18.0188
257164 18.0663
257165 18.1802
257165 18.2736
257166 18.5041
257167 18.7117
257167 18.7544
257168 18.8875
257168 18.9966
257169 19.2715
257170 19.5197
257170 19.5812
257171 19.7397
257171 19.8698
257172 20.1905
257173 20.4873
257173 20.5699
257174 20.7546
257174 20.9062
257175 21.2416
257175 21.3150
257176 21.5265
257176 21.6999
257177 22.1324
257178 22.5248
257178 22.6219
257179 22.8629
257179 23.0603
257180 23.5043
257180 23.6164
257181 24.0407
257181 24.1417
257182 24.4233
257182 24.6531
257183 25.2136
257184 25.8486
257186 27.1048
257187 27.7416
257188 28.4006
257190 29.7117
257191 30.3809
257192 30.9825
257193 31.5231
257193 31.6241
257194 32.0558
257194 32.1653
257195 32.3998
257195 32.5757
257196 32.9728
257196 33.0252
257197 33.2982
257197 33.3625
257198 33.4776
257198 33.5527
257199 33.7206
257199 33.7114
257200 33.7536
257200 33.7688
257201 33.6863
257201 33.6610
257202 33.4837
257202 33.5787
257203 33.3679
257203 33.2971
257204 33.0427
257204 33.0082
257205 32.8044
257205 32.6279
257206 32.2456
257206 32.1519
257207 31.7557
257207 31.6088
257208 31.2578
257208 30.8970
257209 30.2275
257210 29.3173
257212 28.0793
257214 26.9007
257214 26.7982
257215 26.5018
257215 26.2095
257216 25.6955
257217 25.1691
257217 25.0579
257218 24.7914
257218 24.5826
257219 24.1029
257219 24.0003
257220 23.7537
257220 23.5609
257220 23.4619
257221 23.1234
257221 23.0281
257222 22.8020
257222 22.6258
257223 22.2310
257223 22.0351
257224 21.7509
257224 21.4727
257225 20.9867
257226 20.6478
