Sn-120(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 7.01870
1.25000E-05 6.27772
1.50000E-05 5.73075
2.00000E-05 4.96297
2.75000E-05 4.23244
3.50000E-05 3.75166
4.25000E-05 3.40457
5.00000E-05 3.13886
6.25000E-05 2.80748
7.50000E-05 2.56287
0.000100000 2.21951
0.000125000 1.98519
0.000150000 1.81222
0.000200000 1.56943
0.000275000 1.33841
0.000350000 1.18638
0.000425000 1.07662
0.000500000 0.992591
0.000625000 0.887800
0.000750000 0.810446
0.00100000 0.701865
0.00125000 0.627766
0.00150000 0.573069
0.00200000 0.496290
0.00275000 0.423235
0.00350000 0.375156
0.00425000 0.340447
0.00500000 0.313874
0.00625000 0.280735
0.00750000 0.256273
0.0100000 0.221935
0.0125000 0.198501
0.0150000 0.181202
0.0200000 0.156920
0.0253000 0.139513
0.0314750 0.125076
0.0376500 0.114355
0.0500000 0.0992227
0.0625000 0.0887392
0.0750000 0.0810000
0.100000 0.0701350
0.125000 0.0627191
0.150000 0.0572438
0.200000 0.0495562
0.275000 0.0422382
0.350000 0.0374194
0.500000 0.0312726
0.750000 0.0254868
1.00000 0.0220315
1.50000 0.0179224
2.00000 0.0154642
2.75000 0.0131155
3.50000 0.0115620
5.00000 0.00956839
7.50000 0.00767278
10.0000 0.00652719
15.0000 0.00514537
20.0000 0.00430541
27.5000 0.00349226
35.0000 0.00295008
50.0000 0.00226519
58.6408 0.00206155
62.9611 0.00223748
64.0412 0.00251197
65.1213 0.00333881
65.6614 0.00450259
66.2014 0.00776683
66.4714 0.0121942
66.6065 0.0165126
66.7415 0.0241852
66.8765 0.0398327
66.9440 0.0546024
67.0115 0.0799005
67.0790 0.128632
67.1127 0.171869
67.1465 0.241136
67.1803 0.361708
67.2140 0.596592
67.2309 0.804564
67.2478 1.13077
67.2646 1.66570
67.2815 2.55477
67.3008 4.08686
67.3200 5.10862
67.3393 4.08803
67.3585 2.55623
67.3744 1.70531
67.3904 1.17880
67.4063 0.849808
67.4223 0.636373
67.4541 0.390890
67.4860 0.262775
