Cr-53(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
16255.1 10.0829
16481.5 9.67843
16934.2 8.90216
17839.7 7.37889
18292.4 6.53067
18745.2 5.44494
18971.5 4.68078
19084.7 4.18638
19197.9 3.57204
19311.1 2.78945
19367.7 2.32738
19424.2 1.84530
19480.8 1.46633
19509.1 1.44035
19537.4 1.71138
19551.6 2.05865
19565.7 2.64564
19579.9 3.59952
19594.0 5.12190
19608.2 7.54256
19622.3 11.3904
19636.5 17.4968
19650.6 27.0257
19676.8 56.4515
19689.8 73.4359
19702.9 84.5903
19729.1 79.4793
19755.3 60.4504
19785.9 43.6581
19816.5 33.4850
19847.1 27.1822
19877.7 23.0404
19908.2 20.1603
19938.8 18.0628
20000.0 15.2391
20054.9 13.5953
20109.7 12.4338
20137.2 11.9877
20150.9 11.8008
20164.6 11.6493
20178.3 11.5640
20185.2 11.5749
20192.1 11.6668
20198.9 11.9472
20202.3 12.2496
20205.8 12.7960
20209.2 13.8799
20210.9 14.8544
20212.6 16.4066
20214.4 19.1081
20216.1 24.2651
20216.9 28.7742
20217.8 35.6264
20218.6 46.6836
20219.5 64.2609
20220.5 96.5718
20221.6 117.928
20222.6 96.4008
20223.7 64.4141
20224.8 42.8572
20225.9 31.2725
20227.0 24.7373
20228.1 20.8002
20229.2 18.2775
20230.3 16.5749
20232.5 14.4994
20234.7 13.3280
20236.9 12.6064
20241.3 11.7875
20245.7 11.3466
20250.1 11.0740
20258.9 10.7471
20267.7 10.5455
20276.5 10.3979
20294.1 10.1740
20311.7 9.99405
20329.4 9.83663
20364.6 9.56081
20435.0 9.10249
20505.5 8.72498
20787.3 7.65731
21350.9 6.40553
21914.6 5.55341
22196.4 5.18597
22337.3 5.01018
22407.7 4.92443
22443.0 4.88483
22460.6 4.87629
22469.4 4.91012
22473.8 5.03620
22476.0 5.33141
22477.1 5.79328
22477.6 6.27110
22478.2 7.09089
22478.8 8.46641
22479.4 9.36918
22480.0 8.44689
22480.6 7.09592
22481.5 5.93190
22482.4 5.44701
22484.2 5.09142
22487.8 4.91468
22495.0 4.84338
22509.5 4.80676
22538.4 4.76644
22596.3 4.69527
22712.0 4.55615
22943.4 4.27980
23406.2 3.71899
23869.0 3.12015
24100.4 2.79405
24216.1 2.62237
24274.0 2.53647
24302.9 2.49966
24317.4 2.49895
24324.6 2.54781
24328.2 2.70854
24330.0 3.12433
24330.9 3.94512
24331.4 5.07068
24331.8 7.81388
24332.1 10.8001
24332.4 12.7987
24332.7 10.6016
24332.9 7.41259
24333.3 5.01710
24333.7 3.88655
24334.4 3.02749
24335.8 2.59632
24338.7 2.44969
24344.4 2.40900
24355.8 2.38886
24378.6 2.35491
24424.2 2.28186
24515.5 2.12662
24698.0 1.78918
25063.0 0.986428
25245.5 0.528001
25336.7 0.317370
25382.4 0.235175
25428.0 0.185822
25450.8 0.180626
25473.6 0.194146
25496.4 0.232494
25519.3 0.303833
25542.1 0.419359
25564.9 0.594233
25587.7 0.849655
25610.5 1.21532
25633.3 1.73367
25656.1 2.46493
25678.9 3.49748
25701.8 4.96059
25724.6 7.04526
25747.4 10.0258
25770.2 14.2891
25793.0 20.3247
25844.5 42.1376
25896.0 64.0103
25947.0 61.0366
25998.0 46.3011
26048.2 34.7311
26098.4 27.2223
26148.6 22.4005
26198.8 19.2238
26299.1 15.6271
26399.5 14.0589
26600.3 14.3515
26801.0 18.7968
27016.0 29.3513
27231.0 40.4592
27446.5 37.7729
27662.0 27.7041
27801.3 22.1972
27940.7 17.9903
28219.3 12.3404
28498.0 8.74585
28637.3 7.38375
28707.0 6.79796
28741.8 6.53695
28759.2 6.42960
28767.9 6.42863
28772.3 6.58062
28774.4 7.02244
28775.5 7.84011
28776.1 8.81539
28776.6 10.7730
28777.1 13.4277
28777.5 15.1925
28778.0 13.3810
28778.4 10.7019
28778.8 9.15176
28779.2 8.22266
28780.0 7.29007
28781.5 6.66051
28784.7 6.36295
28790.9 6.22912
28803.5 6.12685
28828.6 5.98825
28841.1 5.93817
28853.6 5.91742
28859.9 5.93657
28866.2 6.01847
28869.3 6.12440
28872.4 6.35395
28874.0 6.57771
28875.6 6.96095
28877.1 7.68387
28878.7 9.11067
28880.0 10.9720
28881.2 12.1335
28882.5 10.7054
28883.7 8.69434
28885.3 7.21503
28886.9 6.53111
28890.1 5.99698
28893.2 5.80823
28896.4 5.72120
28909.1 5.60353
28934.4 5.53784
28959.7 5.52443
28985.0 5.55804
29086.4 6.42593
29137.0 7.62264
29187.7 9.76210
29238.3 13.4263
29289.0 19.4630
29382.5 39.1139
29429.3 50.9345
29476.0 59.1248
29570.0 57.1620
29664.0 45.1165
29724.1 38.4041
29784.2 33.1429
29904.5 25.9561
30024.7 21.5082
30145.0 18.5591
30385.4 14.9344
30625.9 12.7917
30866.4 11.3640
31106.8 10.3355
31227.1 9.92210
31347.3 9.56630
31407.4 9.41608
31437.5 9.35380
31467.6 9.30892
31497.6 9.30331
31512.6 9.33472
31527.7 9.41963
31542.7 9.63019
31550.2 9.84411
31557.7 10.2208
31565.3 10.9580
31569.0 11.6142
31572.8 12.6596
31576.5 14.4697
31580.3 17.9361
31582.2 20.9622
31584.0 25.6355
31585.9 33.1314
31587.8 45.1979
31590.0 66.9642
31592.3 81.5023
31594.6 67.0249
31596.8 45.2434
31599.0 31.6200
31601.1 23.8528
31603.3 19.2751
31605.5 16.4552
31609.8 13.3470
31614.1 11.7903
31618.5 10.9071
31622.8 10.3588
31631.4 9.74017
31640.1 9.41287
31648.7 9.21550
31666.1 8.98989
31683.4 8.86095
31700.7 8.77258
31735.3 8.64720
31769.9 8.55098
31804.5 8.46755
31873.8 8.31909
31943.0 8.18429
32012.3 8.06021
32046.9 8.00481
32081.5 7.96525
32098.8 7.96755
32107.5 7.98632
32116.1 8.03437
32124.8 8.15523
32129.1 8.28142
32133.4 8.51016
32137.8 8.97718
32139.9 9.41075
32142.1 10.1269
32144.3 11.4358
32145.3 12.5193
32146.4 14.1361
32147.5 16.6739
32148.6 20.9029
32149.7 28.4108
32150.7 42.1933
32151.8 63.4455
32152.8 77.5478
32153.9 63.7058
32154.9 43.0892
32155.6 33.2285
32156.3 26.6157
32157.7 18.9807
32159.1 15.1060
32160.5 12.9281
32161.9 11.5961
32163.3 10.7258
32166.1 9.69704
32168.9 9.13469
32171.7 8.79283
32177.3 8.41251
32182.9 8.21308
32188.5 8.09328
32199.7 7.95685
32211.0 7.87960
32222.2 7.82765
32244.6 7.75624
32267.0 7.70366
32289.4 7.65933
32334.2 7.58208
32423.8 7.44677
32513.5 7.32344
32872.0 6.89280
33589.1 6.21705
34306.2 5.69688
34664.8 5.48209
34754.4 5.43737
34799.2 5.41926
34844.0 5.40773
34888.9 5.41211
34911.3 5.42871
34933.7 5.46843
34956.1 5.56372
34967.3 5.66046
34978.5 5.83260
34989.7 6.17645
34995.3 6.48954
35000.9 7.00279
35006.5 7.92359
35009.3 8.68088
35012.1 9.80212
35014.9 11.5466
35017.7 14.4239
35020.5 19.4702
35023.3 28.6082
35026.1 42.6791
35028.8 52.1525
35031.5 42.8532
35034.3 28.7829
35037.0 19.7729
35039.7 14.7270
35042.5 11.7988
35045.2 10.0115
35047.9 8.84889
35050.6 8.06111
35056.1 7.09403
35061.5 6.54734
35067.0 6.20973
35077.9 5.83166
35088.8 5.63441
35099.6 5.51762
35121.4 5.38887
35143.2 5.32001
35165.0 5.27627
35208.6 5.22036
35252.2 5.18201
35295.8 5.15095
35382.9 5.09817
35557.2 5.00648
35731.5 4.92212
36428.8 4.61848
37126.1 4.35139
37474.7 4.22842
37649.0 4.16956
37736.2 4.14316
37779.8 4.14209
37790.7 4.15304
37801.6 4.19103
37807.0 4.24614
37812.4 4.39730
37815.2 4.59342
37817.9 5.07833
37819.3 5.64048
37820.6 6.84919
37821.3 8.03866
37822.0 10.1298
37822.7 14.1542
37823.0 17.5515
37823.3 22.5608
37823.9 33.6522
37824.4 41.2728
37825.0 33.8455
37825.5 22.8096
37826.0 16.0327
37826.5 12.1213
37827.0 9.73565
37827.5 8.26807
37828.6 6.61270
37829.6 5.77926
37831.6 4.99979
37833.6 4.66231
37837.6 4.38304
37841.6 4.27219
37849.7 4.18434
37857.7 4.14948
37873.8 4.11962
37889.9 4.10513
37954.2 4.07448
38082.9 4.03039
38340.2 3.94932
38854.9 3.79622
39884.2 3.51584
40913.5 3.26393
41428.2 3.14923
41685.5 3.09700
41814.2 3.07384
41878.5 3.06392
41910.7 3.06020
41926.8 3.06010
41934.8 3.06368
41938.9 3.07382
41940.9 3.09835
41941.9 3.15200
41942.9 3.59007
41943.2 3.96651
41943.6 3.42740
41944.5 3.07161
41945.5 3.04881
41947.4 3.04536
41951.2 3.04713
41958.8 3.04861
41974.1 3.04846
42004.6 3.04636
42065.6 3.04341
42126.6 3.04567
42187.6 3.05869
42248.6 3.09682
42279.1 3.13752
42309.6 3.21100
42340.1 3.35837
42355.4 3.49289
42370.6 3.71425
42385.9 4.11522
42393.5 4.44970
42401.1 4.95233
42408.8 5.75512
42416.4 7.12968
42424.0 9.69367
42431.6 14.7427
42438.0 21.6448
42444.4 26.3232
42450.7 21.6303
42457.1 14.4781
42463.5 9.88640
42469.9 7.35602
42476.3 5.91746
42482.8 5.04896
42489.2 4.49333
42495.6 4.11980
42508.4 3.66833
42521.2 3.41820
42534.0 3.26633
42559.7 3.09932
42585.3 3.01398
42611.0 2.96397
42662.3 2.90863
42713.5 2.87781
42764.8 2.85677
42867.4 2.82627
42970.0 2.80191
43072.6 2.78085
43123.8 2.77246
43175.1 2.76970
43200.8 2.77624
43226.4 2.80577
43239.2 2.85181
43245.7 2.89866
43252.1 2.98370
43258.5 3.15973
43261.7 3.32721
43264.9 3.61349
43268.1 4.16484
43269.7 4.64953
43271.3 5.41878
43272.9 6.74799
43274.5 9.26259
43275.3 11.4284
43276.1 14.7333
43276.9 19.9513
43277.7 28.2509
43278.7 43.8147
43279.7 54.1874
43280.7 43.9634
43281.7 28.6464
43282.4 21.7057
43283.0 16.9503
43284.3 11.2785
43285.5 8.33788
43286.8 6.66537
43288.1 5.63611
43289.3 4.96174
43291.9 4.16674
43294.4 3.73180
43296.9 3.47032
43302.0 3.18305
43307.1 3.03671
43312.2 2.95206
43322.3 2.86189
43342.6 2.78993
43362.9 2.76027
43403.5 2.73252
43444.0 2.71698
43525.2 2.69506
43606.3 2.67681
43930.9 2.61119
44580.1 2.48779
45229.3 2.36988
45553.9 2.31328
45716.2 2.28582
45797.4 2.27244
45837.9 2.26600
45858.2 2.26326
45868.4 2.26315
45873.4 2.26666
45876.0 2.27799
45878.5 2.48426
45879.1 2.68575
45879.7 2.46042
45882.2 2.26845
45884.7 2.26000
45889.8 2.25711
45899.9 2.25518
45920.1 2.25201
45960.5 2.24566
46041.4 2.23306
46203.1 2.20896
