15-P_n-tot
>   15-P-31:1.000000
1.288380e+00 4.12326000e+00
1.364130e+00 4.12260000e+00
1.486210e+00 4.12164000e+00
1.500000e+00 4.12154000e+00
1.619200e+00 4.12072000e+00
1.765750e+00 4.11983000e+00
1.904820e+00 4.11909000e+00
2.000000e+00 4.11863000e+00
2.035470e+00 4.11846000e+00
2.157110e+00 4.11793000e+00
2.387740e+00 4.11703000e+00
2.576750e+00 4.11639000e+00
2.728270e+00 4.11592000e+00
2.750000e+00 4.11586000e+00
2.972410e+00 4.11524000e+00
3.238400e+00 4.11460000e+00
3.414000e+00 4.11421000e+00
3.500000e+00 4.11404000e+00
3.695400e+00 4.11366000e+00
4.000000e+00 4.11312000e+00
4.426730e+00 4.11247000e+00
4.776390e+00 4.11201000e+00
5.000000e+00 4.11174000e+00
5.056650e+00 4.11167000e+00
5.508170e+00 4.11118000e+00
6.000000e+00 4.11071000e+00
7.500000e+00 4.11051000e+00
9.000000e+00 4.11030000e+00
1.000000e+01 4.11029000e+00
1.500000e+01 4.11021000e+00
2.000000e+01 4.11014000e+00
2.750000e+01 4.11004000e+00
3.500000e+01 4.10993000e+00
4.232300e+01 4.10982000e+00
5.000000e+01 4.10975000e+00
6.900100e+01 4.10958000e+00
7.500000e+01 4.10955000e+00
1.000000e+02 4.10941000e+00
1.119300e+02 4.10934000e+00
1.500000e+02 4.10921000e+00
1.701800e+02 4.10914000e+00
2.000000e+02 4.10909000e+00
2.750000e+02 4.10895000e+00
3.500000e+02 4.10881000e+00
3.542600e+02 4.10880000e+00
5.000000e+02 4.10867000e+00
6.445400e+02 4.10854000e+00
7.500000e+02 4.10848000e+00
1.000000e+03 4.10835000e+00
1.093600e+03 4.10831000e+00
1.500000e+03 4.10818000e+00
1.721700e+03 4.10811000e+00
2.000000e+03 4.10807000e+00
2.750000e+03 4.10795000e+00
3.500000e+03 4.10783000e+00
3.656300e+03 4.10780000e+00
5.000000e+03 4.10770000e+00
6.000000e+03 4.10763000e+00
7.000000e+03 4.60755000e+00
7.133300e+03 4.76750000e+00
8.000000e+03 5.80750000e+00
8.400000e+03 4.50749000e+00
8.900000e+03 5.60747000e+00
9.200000e+03 4.80746000e+00
9.600000e+03 6.30744000e+00
9.900000e+03 4.50743000e+00
1.000000e+04 4.50742000e+00
1.050000e+04 4.50740000e+00
1.090000e+04 4.60739000e+00
1.130000e+04 5.10737000e+00
1.190000e+04 4.80735000e+00
1.240900e+04 4.63766000e+00
1.250000e+04 4.60732000e+00
1.400000e+04 5.70729000e+00
1.510000e+04 4.30726000e+00
1.520000e+04 5.40726000e+00
1.580000e+04 3.70725000e+00
1.630000e+04 4.80724000e+00
1.680000e+04 3.50722000e+00
1.800000e+04 4.90720000e+00
1.950000e+04 3.70716000e+00
1.993000e+04 3.71497000e+00
2.000000e+04 3.71624000e+00
2.500000e+04 3.80707000e+00
3.000000e+04 4.10700000e+00
3.250000e+04 4.25695000e+00
4.000000e+04 4.70682000e+00
5.000000e+04 4.55663000e+00
6.000000e+04 4.40644000e+00
9.000000e+04 4.20589000e+00
1.000000e+05 3.00570000e+00
1.250000e+05 2.30524000e+00
1.370000e+05 1.20502000e+00
1.430000e+05 2.90491000e+00
1.470000e+05 2.60483000e+00
1.510000e+05 4.00476000e+00
1.550000e+05 6.00469000e+00
1.630000e+05 3.00454000e+00
1.730000e+05 1.80435000e+00
1.810000e+05 4.20420000e+00
1.830000e+05 4.70417000e+00
1.950000e+05 2.10394000e+00
2.010000e+05 2.70383000e+00
2.070000e+05 4.70372000e+00
2.190000e+05 2.20350000e+00
2.310000e+05 1.90328000e+00
2.400000e+05 2.60311000e+00
2.490000e+05 2.60294000e+00
2.550000e+05 4.60283000e+00
2.690000e+05 1.70257000e+00
2.770000e+05 3.90243000e+00
2.850000e+05 2.20228000e+00
2.890000e+05 3.20220000e+00
3.000000e+05 2.40200000e+00
3.110000e+05 1.60200000e+00
3.190000e+05 2.50199000e+00
3.290000e+05 1.90199000e+00
3.400000e+05 2.00198000e+00
3.610000e+05 3.80197000e+00
3.690000e+05 5.80197000e+00
3.950000e+05 2.10195000e+00
4.170000e+05 2.10194000e+00
4.250000e+05 1.80194000e+00
4.300000e+05 3.90194000e+00
4.370000e+05 7.20193000e+00
4.530000e+05 2.10193000e+00
4.560000e+05 4.00193000e+00
4.650000e+05 2.10192000e+00
4.690000e+05 5.50192000e+00
4.710000e+05 4.50192000e+00
4.750000e+05 6.60192000e+00
4.910000e+05 2.80191000e+00
5.250000e+05 2.00189000e+00
5.290000e+05 3.90189000e+00
5.500000e+05 1.50188000e+00
5.610000e+05 5.60187000e+00
5.850000e+05 3.00186000e+00
8.500000e+05 2.20174000e+00
8.690000e+05 4.40173000e+00
9.000000e+05 2.30171000e+00
9.300000e+05 4.30170000e+00
9.360000e+05 3.30169000e+00
9.480000e+05 6.50169000e+00
9.680000e+05 3.60168000e+00
9.950000e+05 2.90167000e+00
1.010000e+06 2.10166000e+00
1.016000e+06 2.10166000e+00
1.022000e+06 3.30165000e+00
1.030000e+06 3.30165000e+00
1.056000e+06 2.70164000e+00
1.060000e+06 2.90163000e+00
1.076000e+06 2.10163000e+00
1.082000e+06 3.50162000e+00
1.092000e+06 2.80162000e+00
1.115000e+06 1.80161000e+00
1.127000e+06 3.00160000e+00
1.150000e+06 5.00159000e+00
1.200000e+06 3.30157000e+00
1.310000e+06 3.19151000e+00
1.310010e+06 3.19151000e+00
1.500000e+06 3.05142000e+00
1.590000e+06 2.99868000e+00
1.650000e+06 2.96635000e+00
1.750000e+06 2.91048000e+00
2.000000e+06 2.92082000e+00
2.200000e+06 2.84909000e+00
2.250000e+06 2.83273000e+00
2.306000e+06 2.71921000e+00
2.350000e+06 2.63001000e+00
2.500000e+06 2.90094000e+00
2.650000e+06 3.28696000e+00
2.730000e+06 2.93283000e+00
2.750000e+06 2.83042000e+00
2.780000e+06 2.88164000e+00
2.840000e+06 3.04128000e+00
2.940000e+06 3.22901000e+00
2.950000e+06 3.25436000e+00
3.000000e+06 3.14363000e+00
3.050000e+06 3.03297000e+00
3.125000e+06 3.07949000e+00
3.200000e+06 3.07730000e+00
3.210000e+06 3.03868000e+00
3.300000e+06 2.71084000e+00
3.350000e+06 2.64120000e+00
3.460000e+06 2.51537000e+00
3.500000e+06 2.45652000e+00
3.600000e+06 2.67075000e+00
3.610000e+06 2.68218000e+00
3.720000e+06 2.84984000e+00
3.750000e+06 2.86570000e+00
3.820000e+06 2.82271000e+00
3.850000e+06 2.81601000e+00
4.100000e+06 2.76014000e+00
4.140000e+06 2.74358000e+00
4.220000e+06 2.73921000e+00
4.250000e+06 2.72949000e+00
4.350000e+06 3.03045000e+00
4.400000e+06 2.82538000e+00
4.425000e+06 2.79785000e+00
4.500000e+06 2.73560000e+00
4.540000e+06 2.72641000e+00
4.750000e+06 2.64117000e+00
4.800000e+06 2.71588000e+00
4.850000e+06 2.78302000e+00
5.000000e+06 2.55943000e+00
5.050000e+06 2.53853000e+00
5.500000e+06 2.44161000e+00
6.000000e+06 2.20170000e+00
6.300000e+06 2.36236000e+00
6.750000e+06 2.37834000e+00
7.100000e+06 2.24077000e+00
7.537720e+06 2.15905000e+00
8.000000e+06 2.07374000e+00
9.000000e+06 2.02576000e+00
1.000000e+07 1.99945000e+00
1.100000e+07 1.96091000e+00
1.200000e+07 1.93487000e+00
1.271100e+07 1.91281000e+00
1.300000e+07 1.90584000e+00
1.350000e+07 1.89382000e+00
1.400000e+07 1.88180000e+00
1.450000e+07 1.86454000e+00
1.500000e+07 1.85028000e+00
1.700000e+07 1.77025000e+00
1.800000e+07 1.74857000e+00
2.000000e+07 1.80027000e+00
2.040210e+07 1.94170000e+00
2.100000e+07 1.95551000e+00
2.200000e+07 1.97230000e+00
2.300000e+07 1.98657000e+00
2.346720e+07 1.99282000e+00
2.400000e+07 1.99958000e+00
2.411320e+07 2.00096000e+00
2.439660e+07 2.00429000e+00
2.440170e+07 2.00435000e+00
2.494210e+07 2.01018000e+00
2.500000e+07 2.01076000e+00
2.600000e+07 2.01951000e+00
2.700000e+07 2.02534000e+00
2.718570e+07 2.02613000e+00
2.733080e+07 2.02670000e+00
2.768210e+07 2.02795000e+00
2.800000e+07 2.02895000e+00
