28-Ni_n-g
>  28-Ni-58:0.680770
>  28-Ni-59:0.000000
>  28-Ni-60:0.262230
>  28-Ni-61:0.011399
>  28-Ni-62:0.036346
>  28-Ni-64:0.009255
3.583820e+00 3.43680927e-01
3.667640e+00 3.39960865e-01
3.835290e+00 3.32796339e-01
4.000000e+00 3.26234384e-01
4.170570e+00 3.19438971e-01
4.500000e+00 3.08019452e-01
5.000000e+00 2.90687213e-01
5.004680e+00 2.90562215e-01
5.020320e+00 2.90143714e-01
5.035960e+00 2.89727255e-01
5.067240e+00 2.88898421e-01
5.129800e+00 2.87257773e-01
5.254920e+00 2.84043873e-01
5.499900e+00 2.77995596e-01
5.505150e+00 2.77865979e-01
5.999900e+00 2.66517483e-01
6.005620e+00 2.66386279e-01
6.499900e+00 2.56553967e-01
6.999900e+00 2.46607871e-01
7.206750e+00 2.42493171e-01
7.499900e+00 2.37268165e-01
7.500000e+00 2.37266383e-01
7.500250e+00 2.37262934e-01
7.500490e+00 2.37259624e-01
7.500980e+00 2.37252866e-01
7.501950e+00 2.37239487e-01
7.503910e+00 2.37212452e-01
7.507810e+00 2.37158660e-01
7.515620e+00 2.37050938e-01
7.531240e+00 2.36835493e-01
7.562490e+00 2.36404465e-01
7.624980e+00 2.35542548e-01
7.749950e+00 2.33818852e-01
7.999900e+00 2.30371321e-01
8.499900e+00 2.23474880e-01
8.648090e+00 2.21430913e-01
8.999900e+00 2.17261027e-01
9.499900e+00 2.11334695e-01
9.999900e+00 2.05408363e-01
1.000000e+01 2.05407178e-01
1.000030e+01 2.05404393e-01
1.000060e+01 2.05401609e-01
1.000120e+01 2.05396040e-01
1.000250e+01 2.05383975e-01
1.000490e+01 2.05361700e-01
1.000980e+01 2.05316222e-01
1.001950e+01 2.05226195e-01
1.003910e+01 2.05044284e-01
1.007810e+01 2.04682319e-01
1.015630e+01 2.03956533e-01
1.031250e+01 2.02506816e-01
1.037770e+01 2.01901685e-01
1.062500e+01 1.99771021e-01
1.125000e+01 1.94386206e-01
1.141550e+01 1.92960308e-01
1.245330e+01 1.84863766e-01
1.250000e+01 1.84547078e-01
1.494390e+01 1.67974194e-01
1.500000e+01 1.67627227e-01
1.518330e+01 1.66666242e-01
1.536660e+01 1.65718193e-01
1.573320e+01 1.63859535e-01
1.646640e+01 1.60279735e-01
1.793270e+01 1.53607020e-01
2.000000e+01 1.45104331e-01
2.151920e+01 1.40135251e-01
2.500000e+01 1.30219490e-01
2.582310e+01 1.27874723e-01
2.750000e+01 1.23659040e-01
3.000000e+01 1.18544898e-01
3.098770e+01 1.16577608e-01
3.500000e+01 1.09553893e-01
3.718520e+01 1.06394773e-01
4.000000e+01 1.02821164e-01
4.462230e+01 9.71878808e-02
4.499900e+01 9.67946384e-02
4.999900e+01 9.15750685e-02
5.000000e+01 9.15740245e-02
5.000250e+01 9.15719390e-02
5.000490e+01 9.15699369e-02
5.000980e+01 9.15658492e-02
5.001950e+01 9.15577573e-02
5.003910e+01 9.15414067e-02
5.007810e+01 9.15088722e-02
5.015620e+01 9.14437198e-02
5.031240e+01 9.13134151e-02
5.062490e+01 9.10527222e-02
5.124980e+01 9.05314199e-02
5.249950e+01 8.94888988e-02
5.354670e+01 8.86153065e-02
5.499900e+01 8.75573660e-02
5.999900e+01 8.39150726e-02
6.000000e+01 8.39143441e-02
6.425610e+01 8.09514593e-02
6.499900e+01 8.05191526e-02
6.999900e+01 7.76095636e-02
7.499900e+01 7.46999747e-02
7.500000e+01 7.46993928e-02
7.500250e+01 7.46982067e-02
7.500490e+01 7.46970681e-02
7.500980e+01 7.46947434e-02
7.501950e+01 7.46901416e-02
7.503910e+01 7.46808430e-02
7.507810e+01 7.46623406e-02
7.515620e+01 7.46252885e-02
7.531240e+01 7.45511843e-02
7.562490e+01 7.44029284e-02
7.624980e+01 7.41064640e-02
7.710730e+01 7.36996497e-02
7.749950e+01 7.35255849e-02
7.999900e+01 7.24162654e-02
8.000000e+01 7.24158216e-02
8.481800e+01 7.03439317e-02
8.499900e+01 7.02733783e-02
8.999900e+01 6.83243892e-02
9.252870e+01 6.73383177e-02
9.499900e+01 6.64534308e-02
9.999900e+01 6.46623795e-02
1.000000e+02 6.46620213e-02
1.000030e+02 6.46611773e-02
1.000050e+02 6.46606147e-02
1.000100e+02 6.46592080e-02
1.000200e+02 6.46563947e-02
1.000390e+02 6.46510495e-02
1.000780e+02 6.46400776e-02
1.001560e+02 6.46181340e-02
1.003130e+02 6.45739653e-02
1.006250e+02 6.44861906e-02
1.012500e+02 6.43103598e-02
1.025000e+02 6.39586984e-02
1.050000e+02 6.32553754e-02
1.100000e+02 6.18487295e-02
1.110350e+02 6.15575538e-02
1.200000e+02 5.94044913e-02
1.300000e+02 5.70028600e-02
1.332410e+02 5.62244913e-02
1.400000e+02 5.48353334e-02
1.485250e+02 5.30832145e-02
1.500000e+02 5.27800619e-02
1.550000e+02 5.19818365e-02
1.598900e+02 5.12011720e-02
1.600000e+02 5.11858346e-02
1.650000e+02 5.04886778e-02
1.700000e+02 4.97915210e-02
1.750000e+02 4.90943643e-02
1.800000e+02 4.83972075e-02
1.850000e+02 4.77000507e-02
1.875000e+02 4.73514723e-02
1.900000e+02 4.70028939e-02
1.918680e+02 4.67424362e-02
1.925000e+02 4.66638695e-02
1.950000e+02 4.63530838e-02
1.970500e+02 4.60982395e-02
2.000000e+02 4.57315124e-02
2.010000e+02 4.56331565e-02
2.020000e+02 4.55348006e-02
2.030000e+02 4.54364447e-02
2.034000e+02 4.53971024e-02
2.040000e+02 4.53380889e-02
2.050000e+02 4.52397330e-02
2.060000e+02 4.51413771e-02
2.070000e+02 4.50430212e-02
2.080000e+02 4.49446653e-02
2.090000e+02 4.48463094e-02
2.097500e+02 4.47725425e-02
2.100000e+02 4.47479535e-02
2.106250e+02 4.46864811e-02
2.112500e+02 4.46250087e-02
2.125000e+02 4.45020638e-02
2.150000e+02 4.42561741e-02
2.175000e+02 4.40102844e-02
2.200000e+02 4.37643947e-02
2.250000e+02 4.32726152e-02
2.300000e+02 4.27808358e-02
2.302410e+02 4.27571320e-02
2.350000e+02 4.23630472e-02
2.400000e+02 4.19490057e-02
2.450000e+02 4.15349641e-02
2.500000e+02 4.11209225e-02
2.550000e+02 4.07068809e-02
2.600000e+02 4.02928394e-02
2.650000e+02 3.98787978e-02
2.700000e+02 3.94647562e-02
2.750000e+02 3.90507147e-02
2.762890e+02 3.89636743e-02
2.797430e+02 3.87331978e-02
2.800000e+02 3.87162768e-02
2.823130e+02 3.85639877e-02
2.831970e+02 3.85057847e-02
2.850000e+02 3.83894783e-02
2.900000e+02 3.80669423e-02
2.901040e+02 3.80602336e-02
2.950000e+02 3.77563498e-02
3.000000e+02 3.74460110e-02
3.039180e+02 3.72089282e-02
3.050000e+02 3.71481091e-02
3.100000e+02 3.68670596e-02
3.150000e+02 3.65860101e-02
3.200000e+02 3.63049606e-02
3.250000e+02 3.60239111e-02
3.300000e+02 3.57428617e-02
3.315470e+02 3.56559050e-02
3.350000e+02 3.54755540e-02
3.400000e+02 3.52144030e-02
3.450000e+02 3.49532520e-02
3.500000e+02 3.46921009e-02
3.548750e+02 3.44831660e-02
3.550000e+02 3.44778087e-02
3.553130e+02 3.44643940e-02
3.556250e+02 3.44510221e-02
