Pb-206(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
14316.9 0.000472484
14351.3 0.000277524
14489.2 8.92123E-05
14764.9 4.39091E-05
15040.6 3.87914E-05
15316.4 4.24660E-05
15592.1 5.54686E-05
15729.9 6.94171E-05
15867.8 9.54200E-05
15936.7 0.000117596
16005.7 0.000151760
16074.6 0.000208359
16143.5 0.000312346
16178.0 0.000400610
16212.5 0.000536311
16246.9 0.000760894
16281.4 0.00117285
16298.6 0.00152227
16315.9 0.00205873
16333.1 0.00294477
16350.3 0.00456631
16358.9 0.00593808
16367.6 0.00804014
16376.2 0.0115005
16384.8 0.0177918
16389.1 0.0230873
16393.4 0.0311580
16397.7 0.0443445
16402.0 0.0680195
16404.2 0.0877961
16406.3 0.117465
16408.5 0.165435
16410.6 0.249530
16411.7 0.318231
16412.8 0.419638
16413.9 0.578217
16415.0 0.842944
16416.0 1.34505
16416.6 1.78018
16417.1 2.44428
16417.6 3.57345
16418.2 5.64855
16418.5 7.37672
16418.7 9.92996
16419.0 13.7992
16419.3 19.4054
16419.4 24.9286
16419.6 31.2744
16420.0 39.1676
16420.2 36.9643
16420.4 31.3941
16420.8 19.7596
16421.2 11.6398
16421.6 7.40378
16422.0 4.98680
16422.4 3.58283
16422.8 2.66856
16423.2 2.07151
16424.0 1.34055
16424.8 0.935648
16425.6 0.689090
16427.2 0.417571
16428.9 0.279579
16430.5 0.200112
16432.1 0.150241
16433.7 0.117087
16436.9 0.0766458
16440.2 0.0540888
16443.4 0.0401650
16446.6 0.0310227
16453.1 0.0200904
16459.6 0.0140640
16466.1 0.0103938
16472.5 0.00799438
16485.5 0.00515202
16498.4 0.00359690
16511.3 0.00265468
16524.3 0.00204101
16550.2 0.00131668
16576.1 0.000922119
16601.9 0.000683710
16627.8 0.000528756
16679.6 0.000346286
16731.3 0.000247111
16783.1 0.000187308
16834.9 0.000148512
16938.4 0.000102958
17041.9 7.83149E-05
17249.0 5.40688E-05
17456.0 4.31776E-05
17663.1 3.76185E-05
18077.2 3.32606E-05
18491.3 3.36257E-05
18905.4 3.97470E-05
19319.5 7.48228E-05
19526.5 0.000208731
19630.1 0.000717560
19655.9 0.00122879
19681.8 0.00265421
19694.8 0.00460881
19707.7 0.0100745
19714.2 0.0175642
19717.4 0.0249855
19720.6 0.0383607
19723.9 0.0665500
19725.5 0.0940863
19727.1 0.142727
19728.7 0.242761
19729.5 0.337617
19730.3 0.500999
19731.2 0.818411
19731.6 1.10711
19732.0 1.56284
19732.4 2.38904
19732.8 3.99654
19733.0 5.44532
19733.2 7.76317
19733.4 11.6651
19733.6 18.5179
19733.8 29.8767
19734.0 37.3584
19734.2 30.2899
19734.4 18.8419
19734.7 11.3519
19734.9 7.16833
19735.1 4.84399
19735.3 3.46136
19735.6 2.58474
19735.8 1.99847
19736.3 1.30329
19736.7 0.907910
19737.2 0.671952
19738.1 0.408000
19739.0 0.272534
19739.9 0.195492
19741.7 0.114686
19743.6 0.0752758
19745.4 0.0533812
19749.0 0.0310349
19756.3 0.0148796
19763.6 0.00962990
19778.2 0.0107239
19785.5 0.0306428
19789.2 0.108472
19790.1 0.183950
19791.0 0.381335
19791.4 0.631784
19791.9 1.21968
19792.1 1.89448
19792.3 3.30697
19792.5 4.73353
19792.6 6.95864
19792.7 10.9340
19792.8 18.7938
19792.9 30.3854
19793.0 37.6500
19793.1 30.4170
19793.2 18.8187
19793.3 11.4468
19793.4 7.52295
19793.6 3.81680
19793.8 2.26451
19794.0 1.48895
19794.4 0.769111
19794.8 0.472648
19795.6 0.228745
19796.4 0.134749
19799.7 0.0370733
19806.1 0.0105001
19819.1 0.00330133
19844.9 0.00117223
19896.6 0.000436506
20000.0 0.000164909
20935.9 4.63045E-05
21403.8 6.13279E-05
21637.8 0.000115763
21754.8 0.000324632
21813.2 0.00115063
21842.5 0.00441855
21857.1 0.0172084
21860.8 0.0302077
21864.4 0.0661935
21866.3 0.114877
21868.1 0.246439
21869.0 0.419257
21869.9 0.856269
21870.4 1.39280
21870.6 1.87016
21870.8 2.59459
21871.1 3.89839
21871.3 6.43496
21871.4 8.79692
21871.5 12.1843
21871.6 17.5977
21871.7 26.8625
21871.9 43.3217
21872.0 54.0210
21872.1 43.8277
21872.3 27.1579
21872.4 19.1645
21872.5 13.5845
21872.6 9.97018
21872.7 7.56215
21872.9 4.71985
21873.1 3.25752
21873.3 2.33873
21873.5 1.75689
21873.8 1.10407
21874.6 0.545794
21875.4 0.324019
21877.0 0.152056
21878.6 0.0881786
21881.7 0.0402617
21884.9 0.0230047
21897.5 0.00590918
21922.7 0.00153146
21973.2 0.000424344
22074.2 0.000147535
22276.1 8.22953E-05
22679.9 7.80338E-05
23083.7 9.60126E-05
23487.5 0.000131205
23891.3 0.000200022
24093.3 0.000260831
24295.2 0.000357738
24497.1 0.000525962
24699.0 0.000857750
24799.9 0.00116192
24900.9 0.00167473
24951.4 0.00208567
25001.8 0.00272418
25027.1 0.00324160
25052.3 0.00418192
25077.6 0.00758591
25090.2 0.0193217
25096.5 0.0635166
25098.1 0.107524
25099.6 0.225742
25100.4 0.380974
25101.2 0.780495
25101.6 1.27847
25102.0 2.40946
25102.2 3.66490
25102.4 5.99174
25102.5 8.16037
25102.6 11.6177
25102.7 17.3909
25102.8 25.9488
25102.9 41.5763
25103.0 52.2676
25103.1 42.0539
25103.2 26.3220
25103.3 18.4050
25103.4 13.7401
25103.5 8.24566
25103.7 5.39878
25103.8 3.77919
25104.1 2.09217
25104.4 1.33992
25104.9 0.675729
25105.5 0.406438
25106.6 0.194760
25107.8 0.115429
