S-32(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
145201 4.93009
145230 4.77318
145260 4.69332
145318 4.61100
145377 4.56746
145495 4.51926
145612 4.49054
146083 4.42478
147024 4.33954
148905 4.20015
152668 3.96335
156432 3.75773
158313 3.65160
159254 3.57246
159489 3.53728
159724 3.47757
159842 3.42358
159901 3.38239
159960 3.32268
160018 3.22702
160048 3.15318
160077 3.04621
160107 2.87698
160136 2.56882
160151 2.29692
160165 1.84673
160173 1.49744
160180 1.03710
160187 0.613761
160191 0.904053
160193 1.58369
160195 3.12033
160196 5.34528
160197 8.51101
160200 16.5202
160201 19.0974
160203 19.4424
160205 16.9356
160208 13.4751
160211 11.1443
160215 9.55060
160218 8.49667
160224 7.16015
160230 6.37881
160236 5.87228
160242 5.51923
160254 5.06157
160266 4.77887
160279 4.58729
160303 4.34450
160327 4.19706
160352 4.09793
160401 3.97279
160449 3.89668
160498 3.84519
160596 3.77927
160693 3.73810
160791 3.70933
160986 3.67044
161377 3.62385
161767 3.59300
163328 3.51059
166451 3.38991
169574 3.28573
171136 3.23182
171917 3.19268
172112 3.17570
172307 3.14719
172405 3.12150
172502 3.07330
172551 3.02716
172600 2.93842
172624 2.85327
172649 2.69214
172661 2.54219
172673 2.27279
172679 2.04001
172685 1.66734
172691 1.05908
172694 0.849672
172696 1.16934
172697 2.82259
172699 6.86397
172700 13.2908
172701 15.3454
172701 15.6047
172703 13.6692
172704 10.7794
172706 8.78318
172709 6.74532
172713 5.73205
172716 5.17088
172723 4.55225
172729 4.23069
172743 3.89429
172756 3.72439
172783 3.55182
172809 3.46499
172863 3.37696
172916 3.33217
173023 3.28591
173129 3.26143
173342 3.23421
173556 3.21792
174409 3.18040
176115 3.13214
179527 3.05708
186351 2.96000
189764 2.95602
193176 3.03520
194882 3.15435
196588 3.41148
197441 3.64874
198294 4.03075
199147 4.68271
200000 5.87661
200550 7.19068
201100 9.21931
201865 13.4095
202630 16.2855
203395 13.5457
204160 9.45387
205049 6.54665
205939 5.05297
206828 4.23919
207717 3.75697
209496 3.23988
211274 2.97918
213053 2.82499
214831 2.72275
218388 2.59204
225502 2.44318
232616 2.34502
239730 2.26545
246844 2.19412
250401 2.15967
253958 2.12481
257515 2.08563
259293 2.05389
259738 2.03874
260182 2.01190
260405 1.98687
260627 1.93907
260738 1.89302
260849 1.80479
260905 1.72086
260961 1.56480
260988 1.42325
261016 1.17882
261030 0.978949
261044 0.684344
261058 0.297305
261065 0.270373
261068 0.547092
261072 1.38079
261076 4.07693
261080 8.46223
261082 9.91866
261084 10.3039
261088 9.17566
261093 7.39747
261098 6.13369
261108 4.72871
261118 4.01326
261128 3.59265
261148 3.12582
261168 2.87759
261208 2.61875
261247 2.48599
261327 2.35117
261406 2.28301
261565 2.21405
261723 2.17914
262041 2.14358
262358 2.12538
263628 2.09855
264898 2.09724
266168 2.11778
267438 2.18182
268073 2.24931
268708 2.36655
269343 2.58247
269978 3.01687
270296 3.40335
270613 4.00438
270931 4.96895
271248 6.52858
271664 9.70683
272080 12.2014
272496 10.5985
272912 7.65958
273378 5.49243
273844 4.30792
274310 3.63417
274775 3.22274
275241 2.95434
275707 2.76953
276639 2.53727
277571 2.40115
278502 2.31423
280366 2.21750
282229 2.18796
283161 2.20325
284092 2.25665
285024 2.39259
285490 2.52746
285956 2.75554
286422 3.16885
286887 3.99675
287120 4.73814
287353 5.90522
287586 7.81474
287819 10.9783
288100 16.8604
288380 21.1734
288661 17.7897
288941 12.1604
289256 8.10582
289572 5.93543
289887 4.72252
290202 3.99290
290518 3.52354
290833 3.20431
291463 2.80928
292094 2.58121
292725 2.43578
293986 2.26341
295247 2.16475
296508 2.09976
299030 2.01542
301552 1.95780
304075 1.91012
306597 1.85957
307228 1.84201
307858 1.81598
308173 1.79454
308489 1.75657
308646 1.72146
308804 1.65551
308883 1.59329
308962 1.47753
309001 1.37181
309040 1.18672
309060 1.03212
309080 0.796215
309099 0.451221
309109 0.362017
309114 0.528617
309119 1.17924
309125 3.25573
309130 6.63505
309133 7.81563
309136 8.12969
309141 7.30963
309147 5.99532
309153 5.05186
309166 3.95962
309178 3.39590
309191 3.06223
309216 2.69127
309241 2.49252
309291 2.28401
309341 2.17673
309441 2.06689
309540 2.01072
309740 1.95267
309940 1.92203
310339 1.88808
310739 1.86742
311538 1.83486
311937 1.80877
312137 1.77112
312237 1.70470
312287 1.58529
312312 1.38448
312325 1.10084
312331 0.825977
312337 1.32317
312339 2.88210
312340 5.36371
312342 6.48171
312343 5.87578
312347 3.99102
312352 3.19116
312360 2.59438
312377 2.23140
312411 2.03573
312480 1.93423
312617 1.88112
312890 1.85087
313437 1.82904
314531 1.80579
316719 1.77064
318907 1.73447
319454 1.72278
320001 1.70666
320275 1.69417
320548 1.67291
320685 1.65362
320822 1.61744
320890 1.58289
320958 1.51701
320992 1.45439
321027 1.33777
321061 1.04730
321078 0.667729
321086 0.355665
321091 0.301542
321095 1.07896
321098 3.08843
321100 6.32364
321103 7.75681
321105 6.96252
321111 4.73660
321117 3.69401
321129 2.84911
321141 2.50246
321153 2.31672
321177 2.12269
321201 2.02345
321249 1.92217
321297 1.87082
321394 1.81842
321490 1.79152
321682 1.76328
321874 1.74788
322259 1.72992
322643 1.71840
324182 1.68819
327258 1.64085
333411 1.54367
339564 1.42379
341103 1.38598
342641 1.34006
343410 1.31027
343795 1.29160
344179 1.26814
344564 1.23540
344948 1.18053
345141 1.13207
345333 1.04483
345429 0.966099
345525 0.828076
345573 0.711197
345621 0.529009
345670 0.246249
345694 0.163788
345706 0.321517
345718 1.01767
345723 1.76672
345729 2.90099
345740 5.84244
345746 6.78353
345751 6.97222
345763 6.11644
345777 4.77674
345792 3.88386
345806 3.31607
345821 2.94012
345850 2.47915
345879 2.21498
345937 1.92644
345996 1.77353
346054 1.67866
346112 1.61413
346229 1.53131
346345 1.47991
346462 1.44442
346695 1.39743
346928 1.36649
347161 1.34356
347627 1.30960
348559 1.26075
349491 1.21999
350423 1.18034
351355 1.13742
351821 1.11211
352287 1.07933
352520 1.05574
352753 1.01837
352869 0.986498
352986 0.930060
353044 0.879289
353102 0.789708
353161 0.588869
353190 0.384090
353204 0.311281
353212 0.440163
353219 1.10228
353224 2.65089
353230 4.92472
353236 5.66941
353241 4.89345
353251 3.54205
353260 2.78834
353279 2.09960
353298 1.79573
353317 1.62852
353355 1.45116
353393 1.35909
353468 1.26379
353544 1.21413
353696 1.16110
353847 1.13134
354150 1.09509
354453 1.07036
355058 1.03199
355664 0.998556
358086 0.868712
360508 0.723884
362931 0.555707
365353 0.364126
367775 0.171282
368987 0.101273
369592 0.0848155
370198 0.0896149
370803 0.125984
371409 0.208499
372015 0.357349
372620 0.599474
373111 0.887589
373603 1.27929
374585 2.44102
376550 5.88125
377531 7.16607
378021 7.43962
378267 7.37104
378328 7.28030
378389 7.09303
378420 6.91674
378450 6.61304
378481 6.02915
378496 5.71129
378504 6.06991
378508 6.93687
378512 9.19276
378516 14.7896
378520 22.3732
378524 24.1912
378528 20.9844
378532 17.9257
378536 15.7246
378544 13.0972
378551 11.6933
378559 10.8511
378574 9.90714
378589 9.40607
378620 8.88681
378650 8.62359
378711 8.35968
378772 8.22719
379016 8.01231
379504 7.80315
380480 7.33826
381290 6.90269
381695 6.68583
381897 6.57943
381998 6.52666
382049 6.49992
382074 6.48557
382087 6.47643
382093 6.46854
382099 6.45195
382100 6.55803
382101 6.58124
382105 6.48768
382110 6.47804
382119 6.46941
382138 6.45797
382175 6.43816
382249 6.40024
382397 6.32610
382694 6.18207
383288 5.91086
384476 5.43600
386851 4.71852
389226 4.22121
391601 3.86323
393976 3.59475
396351 3.38462
398726 3.20759
399320 3.16277
399914 3.11070
400211 3.07637
400508 3.02487
400656 2.98198
400805 2.90567
400879 2.83517
400953 2.70362
400990 2.58112
401027 2.35808
401046 2.15989
401064 1.83008
401083 1.20038
401092 0.725418
401097 0.577617
401102 0.938239
401106 2.75247
401110 6.51831
401114 8.92900
401118 8.68144
401129 6.47954
401140 5.34951
401151 4.76086
401162 4.40971
401184 4.01425
401206 3.80051
401250 3.57408
401293 3.45596
401380 3.33284
401468 3.26817
401642 3.19862
401817 3.15944
402166 3.11195
402515 3.08025
403214 3.03348
403912 2.99591
406706 2.87711
408103 2.82661
409500 2.77837
410897 2.72740
411595 2.69924
411770 2.69687
411944 2.71412
412031 2.75295
412119 2.87537
412162 3.03627
412206 3.40790
412228 3.79162
412250 4.48051
412272 5.83006
412293 8.63636
412312 12.7470
412330 15.9242
412348 13.8307
412367 10.0030
412380 8.00893
412393 6.66294
412406 5.74932
412419 5.11506
412446 4.32848
412472 3.88237
412498 3.60500
412524 3.42169
412577 3.19954
412629 3.07338
412682 2.99402
412786 2.90121
412996 2.81635
413206 2.77618
413626 2.73477
414045 2.71076
414884 2.67859
415724 2.65411
417402 2.61346
419080 2.57791
422437 2.51223
423276 2.49458
424115 2.47319
424535 2.45848
424954 2.43556
425164 2.41592
425374 2.38009
425479 2.34628
425584 2.28164
425636 2.21959
425689 2.10203
425715 1.99202
425741 1.79238
425767 1.32878
425780 0.803386
425787 0.436070
425793 0.645154
425797 2.14603
425800 5.34082
425803 7.37997
425807 7.16877
425815 5.36429
425823 4.40423
425840 3.60317
425856 3.26532
425873 3.08153
425906 2.88761
425939 2.78678
426005 2.68301
426071 2.62990
426203 2.57527
426335 2.54686
426599 2.51647
426863 2.49943
427391 2.47883
427920 2.46507
430033 2.42804
434259 2.37404
442712 2.28693
446938 2.24700
451164 2.20408
453277 2.17747
454334 2.16071
455390 2.13921
456447 2.10818
456975 2.08554
457503 2.05353
458032 2.00315
458296 1.96455
458560 1.90874
458824 1.82014
458956 1.75274
459088 1.65698
459220 1.51015
459286 1.40336
459352 1.25911
459418 1.05527
459484 0.755861
459550 0.332967
459583 0.158876
459600 0.180424
459616 0.410134
459630 0.892844
459643 1.79500
459670 4.76268
459683 6.05526
459697 6.70379
459724 6.54817
459771 5.31299
459794 4.83712
459817 4.46803
459864 3.95195
459911 3.61727
459958 3.38598
460005 3.21770
460098 2.99052
460192 2.84495
460285 2.74401
460473 2.61362
460660 2.53339
460847 2.47956
461221 2.41395
461596 2.38149
461970 2.38155
462158 2.40826
462251 2.43907
462345 2.49598
462438 2.61156
462485 2.71772
462532 2.89292
462579 3.21067
462602 3.47533
462626 3.87274
462649 4.50391
462672 5.57754
462696 7.54930
462719 11.3477
462740 16.6971
462760 20.1448
462781 16.4282
462801 11.0479
462819 7.91138
462837 6.05155
462856 4.92955
462874 4.22423
462910 3.43012
462946 3.02799
462983 2.79807
463019 2.65584
463092 2.49637
463164 2.41369
463237 2.36535
463382 2.31322
463673 2.27023
463963 2.25103
464545 2.23068
465126 2.21793
466288 2.19983
467451 2.18611
469776 2.16463
472101 2.14726
476751 2.11844
481401 2.09377
490700 2.05064
500000 2.01131
506658 1.98155
508323 1.97225
509987 1.95977
510820 1.95035
511652 1.93459
512068 1.92043
512484 1.89388
512692 1.86845
512900 1.81948
513004 1.77230
513108 1.68263
513160 1.59860
513212 1.44596
513264 1.09094
513290 0.686200
513303 0.396308
513316 0.462581
513323 1.47047
513330 3.75045
513337 5.31286
513344 5.25496
513363 3.92320
513382 3.25212
513420 2.71022
513459 2.48609
513497 2.36500
513573 2.23775
513650 2.17175
513803 2.10402
513956 2.06934
514263 2.03377
514569 2.01530
515182 1.99564
515795 1.98468
517021 1.97147
518246 1.96261
520697 1.94912
523149 1.93740
525600 1.92559
528051 1.91169
529277 1.90227
530502 1.88776
531115 1.87540
531728 1.85294
532034 1.83175
532341 1.79113
532494 1.75199
532647 1.67705
532724 1.60605
532800 1.47474
532839 1.35650
532877 1.15433
532915 0.750296
532935 0.407323
532954 0.385514
532962 1.35830
532970 3.58526
532978 5.14109
532986 5.11052
533007 3.91658
533028 3.26141
533049 2.91392
533070 2.70483
533113 2.46827
533155 2.33955
533239 2.20325
533323 2.13233
533491 2.05926
533659 2.02182
533995 1.98339
534332 1.96347
535004 1.94236
535677 1.93068
537022 1.91683
538367 1.90775
541057 1.89445
543748 1.88361
554509 1.84680
559889 1.82985
565270 1.81367
570650 1.79851
573341 1.78898
574686 1.77554
575022 1.76668
575358 1.74882
575527 1.73094
575695 1.69552
575863 1.59367
575947 1.41095
575989 1.12054
576031 0.383172
576036 1.23359
576040 3.19305
576045 4.60462
576049 4.61625
576068 3.16595
576088 2.63356
576126 2.26256
576203 2.04566
576281 1.96876
576358 1.92958
576512 1.89015
576667 1.87060
576975 1.85174
577284 1.84328
578519 1.83844
579754 1.85254
580989 1.88590
582224 1.95655
582841 2.02037
583459 2.12168
584076 2.29289
584385 2.42460
584694 2.60677
585002 2.86469
585311 3.23483
585465 3.47528
585620 3.75914
585774 4.11671
585851 4.39599
585928 4.95978
586004 6.35687
586080 9.03988
586156 11.2508
586232 12.0664
586236 12.0940
586246 12.1544
586256 12.2122
586276 12.3243
586317 12.5609
586397 13.1614
586558 14.8065
586880 16.8057
587524 8.83909
587751 6.72739
587977 5.34325
588203 4.42976
588430 3.81069
588883 3.06422
589336 2.65528
589788 2.40914
590241 2.24998
591147 2.06316
592053 1.96111
592958 1.89854
594770 1.82716
596581 1.78758
598393 1.76183
602015 1.72831
605638 1.70523
609261 1.68692
616507 1.65899
623752 1.64632
627375 1.65271
630998 1.67863
634621 1.74728
636432 1.81459
638244 1.92461
640055 2.11231
641867 2.45423
643678 3.13794
644584 3.73815
645037 4.12858
645263 4.31031
645376 4.31776
645433 4.17462
645461 3.92038
645489 3.56809
645495 4.22239
645500 5.79700
645505 6.95430
645511 6.98752
645532 5.91994
645553 5.52095
645596 5.27357
645681 5.21449
645850 5.37872
646190 5.92898
646870 7.47111
648055 11.4158
649240 14.1859
650425 11.5568
651610 7.67073
652506 5.69700
653402 4.42804
654298 3.60257
655193 3.04613
656985 2.37104
658777 1.98810
660568 1.74073
662360 1.55962
664152 1.39905
664600 1.35172
665047 1.28865
665271 1.24146
665495 1.16503
665607 1.10038
665719 0.991312
665831 0.762935
665887 0.542008
665915 0.421006
665943 0.514762
665962 1.13739
665980 2.48745
665998 3.37822
666017 3.31261
666053 2.69590
666089 2.30125
666161 1.92295
666233 1.74890
666305 1.64974
666449 1.53929
666593 1.47734
666881 1.40558
667170 1.36112
667746 1.30053
668322 1.25449
669475 1.17678
670628 1.10440
671780 1.02999
672933 0.947401
674086 0.860241
674374 0.856820
674518 0.872172
674662 0.916811
674806 1.03045
674878 1.14338
674950 1.33116
675022 1.65815
675094 2.25983
675166 3.44589
675238 5.89437
675304 9.91366
675370 13.4497
675436 11.9631
675502 8.45936
675550 6.51498
675598 5.16649
675646 4.23851
675694 3.58612
675790 2.76268
675886 2.28383
675982 1.97935
676078 1.77194
676270 1.51096
676462 1.35457
676654 1.25007
677038 1.11666
677422 1.03140
677806 0.968876
678574 0.875595
680109 0.735856
681645 0.613594
684717 0.375982
686253 0.263086
687021 0.211338
687405 0.185500
687597 0.171363
687693 0.171910
687741 0.216301
687765 0.364333
687777 0.645632
687788 1.60475
687800 3.47410
687812 2.04503
687821 1.15434
687830 0.758518
687848 0.456487
687884 0.292833
687957 0.219469
688103 0.185278
688394 0.163721
688976 0.147404
689558 0.148936
690140 0.170142
690878 0.233300
691615 0.349333
692353 0.532889
693090 0.797403
694565 1.58735
696040 2.60952
697515 3.54069
698990 4.11454
701940 4.29568
704515 4.02934
707090 3.72334
709665 3.46196
712240 3.25798
714815 3.11482
717390 3.05744
718678 3.08995
719965 3.21025
721253 3.51555
722540 4.22910
723665 5.39635
724790 6.41185
725916 5.91968
727041 4.83466
728409 3.92984
729778 3.42772
731146 3.13153
732514 2.93961
733883 2.80483
735251 2.70471
736619 2.62647
737303 2.57732
737474 2.55179
737645 2.50192
737731 2.45236
737816 2.35537
737902 2.09170
737945 1.68666
737987 0.627912
737994 1.29486
738000 3.33327
738006 5.11270
738013 5.39375
738030 4.47147
738048 3.89874
738084 3.40913
738155 3.09029
738226 2.97571
738297 2.92066
738440 2.87602
738582 2.86933
738867 2.91308
739151 3.02361
739436 3.22938
739721 3.60523
740005 4.31573
740290 5.69086
740570 7.99699
740850 9.89827
741130 8.85845
741410 6.75514
741682 5.32346
741954 4.46201
742226 3.93410
742497 3.59325
743041 3.19549
743585 2.97802
744128 2.84292
744672 2.75086
745759 2.63186
746846 2.55581
747933 2.50085
750108 2.42208
754457 2.31643
758806 2.23644
763155 2.16355
767503 2.08503
769678 2.03746
770765 2.00934
771852 1.97638
772940 1.93523
774027 1.87600
774570 1.82861
774842 1.79391
775114 1.74428
775386 1.66501
775658 1.51701
775794 1.38438
775929 1.16547
775997 0.999034
776065 0.775842
776133 0.500191
776201 0.360817
776226 0.507311
776251 0.910486
776275 1.65659
776300 2.66121
776349 4.24969
776399 4.55764
776495 4.07437
776590 3.66499
776686 3.42618
776782 3.29222
776877 3.22415
776973 3.20202
777164 3.26117
777356 3.44359
777547 3.76499
777930 5.01758
778290 7.21654
778650 9.20073
779010 8.39896
779370 6.43500
779639 5.30617
779908 4.52156
780446 3.59194
780984 3.08715
781522 2.76484
782598 2.25972
782867 2.09127
783001 1.98150
783136 1.84129
783270 1.65100
783405 1.37485
783539 0.960270
783606 0.715847
783674 0.604002
783705 0.737574
783737 1.13318
783768 1.88108
783800 2.89769
783863 4.51379
783926 4.82077
783994 4.55917
784061 4.23478
784196 3.75201
784331 3.45311
784466 3.25665
784601 3.11832
784735 3.01541
785005 2.87133
785275 2.77381
785544 2.70233
786083 2.60228
786623 2.53365
787162 2.48246
788240 2.40911
789319 2.35754
790397 2.31832
792554 2.26091
796868 2.18684
801182 2.13677
805496 2.09771
809810 2.06517
811967 2.05209
814124 2.04695
815203 2.05594
815742 2.06958
816281 2.09802
816820 2.16133
817090 2.22240
817360 2.32581
817629 2.51610
817899 2.91074
818034 3.27863
818168 3.88309
818303 4.93153
818438 6.79862
818579 9.90759
818720 12.1707
818861 10.3531
819002 7.35773
819116 5.68067
819230 4.61515
819345 3.93386
819459 3.48292
819687 2.95120
819916 2.66476
820144 2.49324
820372 2.38223
820829 2.25083
821286 2.17766
821742 2.13168
822656 2.07694
823569 2.04426
824483 2.02100
826310 1.98502
828136 1.94993
829050 1.92857
829963 1.90086
830877 1.85998
831333 1.82973
831790 1.78676
832247 1.71949
832475 1.66864
832704 1.59656
832932 1.48614
833160 1.29674
833274 1.14202
833389 0.910640
833617 0.237314
833645 0.334798
833674 0.656874
833702 1.28792
833730 2.16118
833787 3.59801
833843 3.91264
833905 3.71366
833967 3.44760
834091 3.05062
834215 2.80797
834339 2.65123
834587 2.46415
834835 2.35735
835083 2.28834
835331 2.24004
835828 2.17657
836324 2.13635
836820 2.10827
837812 2.07089
838804 2.04638
839796 2.02845
841781 2.00267
843765 1.98369
845749 1.96811
849718 1.94175
853687 1.91753
857655 1.89160
859640 1.87594
861624 1.85516
862616 1.84013
863609 1.81678
864105 1.79742
864601 1.76367
864849 1.73308
865097 1.67655
865221 1.62379
865345 1.52619
865469 1.28179
865531 0.950001
865593 0.270559
865606 0.609633
865620 1.90204
865634 3.16677
865647 3.46449
865697 2.84695
865746 2.49251
865845 2.21038
865944 2.09346
866042 2.02928
866240 1.95934
866437 1.92012
866833 1.87194
867228 1.83511
867623 1.79414
868018 1.73005
868216 1.67348
868413 1.57069
868512 1.47747
868611 1.31405
868709 0.961986
868808 0.215584
868829 0.576354
868850 1.94891
868871 3.30056
868892 3.62029
868953 3.08561
869014 2.70758
869074 2.50083
869135 2.37448
869257 2.22956
869378 2.14912
869621 2.06212
869864 2.01536
870351 1.96490
870837 1.93699
871809 1.90460
872782 1.88416
874726 1.85455
876671 1.82800
878616 1.79686
879589 1.77644
880561 1.74916
881533 1.70828
882020 1.67789
882506 1.63472
882992 1.56738
883235 1.51676
883478 1.44545
883721 1.33741
883964 1.15559
884086 1.01074
884207 0.801076
884451 0.228800
884485 0.295672
884520 0.557565
884555 1.09402
884590 1.85550
884660 3.14779
884730 3.46547
884793 3.35360
884857 3.16956
884985 2.85601
885112 2.64445
885240 2.50063
885495 2.32195
885750 2.21669
886005 2.14748
886260 2.09845
886770 2.03329
887280 1.99147
887790 1.96193
888811 1.92190
889831 1.89478
890851 1.87407
892892 1.84135
894933 1.81178
896973 1.77658
897993 1.75097
899014 1.70869
899524 1.67116
900034 1.60230
900289 1.53832
900544 1.42095
900672 1.31527
900799 1.13400
900863 0.985970
900927 0.765189
901054 0.0932280
901087 0.422532
901120 1.77006
901153 3.12887
901186 3.47516
901331 2.75518
901404 2.53899
901476 2.39865
901622 2.23027
901767 2.13374
902058 2.02748
902348 1.96985
902929 1.90768
903511 1.87348
904673 1.83407
905835 1.80916
908160 1.76966
909322 1.73874
909903 1.69310
910194 1.61087
910339 1.46199
910412 1.21428
910448 0.870920
910484 0.113190
910492 0.423233
910500 1.72355
910508 3.04483
910516 3.38617
910551 2.69258
910586 2.35072
910655 2.09946
910795 1.94689
911075 1.86295
911635 1.81936
912753 1.80310
913872 1.81510
914991 1.85793
916110 1.96305
916670 2.06389
917229 2.22842
917789 2.51260
918348 3.05229
918628 3.52482
918908 4.28185
919187 5.62737
919327 6.72708
919467 8.29834
919492 8.63990
919587 10.0949
919681 11.7086
919870 13.9430
920273 10.7874
920577 9.39031
920880 8.98457
921574 7.64890
922268 5.81045
923033 4.42358
923798 3.62421
924563 3.14844
925328 2.84640
926093 2.64266
926858 2.49806
