B-11(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
19934.3 0.00517228
19936.4 0.00560519
19940.3 0.00651693
19943.8 0.00743557
19946.8 0.00834501
19949.4 0.00923156
19951.8 0.0100842
19955.8 0.0117702
19958.9 0.0132173
19961.2 0.0144182
19964.6 0.0164271
19968.0 0.0187160
19969.3 0.0202411
19971.8 0.0234437
19973.9 0.0266590
19975.8 0.0298321
19977.5 0.0329169
19978.9 0.0358767
19981.4 0.0417110
19983.3 0.0467014
19984.7 0.0508322
19986.9 0.0577235
19989.0 0.0655490
19991.8 0.0734322
19993.8 0.0799608
19996.9 0.0908578
20000.0 0.103240
20002.8 0.0921202
20004.8 0.0845737
20007.9 0.0743971
20011.0 0.0654450
20012.3 0.0605190
20014.8 0.0522601
20016.9 0.0459636
20018.8 0.0410797
20020.5 0.0372339
20021.9 0.0341654
20024.4 0.0293914
20026.3 0.0262540
20027.7 0.0241227
20029.9 0.0212458
20032.0 0.0187120
20034.3 0.0171772
20036.4 0.0158529
20040.3 0.0136388
20043.8 0.0119566
20046.8 0.0106558
20049.4 0.00963429
20051.8 0.00882110
20055.8 0.00755967
20058.9 0.00673345
20061.2 0.00617361
20064.6 0.00541989
20068.0 0.00475820
20072.2 0.00437428
20076.2 0.00404253
20083.7 0.00348682
20090.2 0.00306361
20095.9 0.00273566
20100.9 0.00247763
20105.3 0.00227190
20113.0 0.00195212
20118.7 0.00174219
20123.1 0.00159969
20129.5 0.00140750
20136.0 0.00123840
20144.5 0.00113743
20152.4 0.00105026
20167.3 0.000904426
20180.4 0.000793530
20191.8 0.000707709
20201.8 0.000640265
20210.6 0.000586545
20225.9 0.000503152
20237.4 0.000448485
20246.1 0.000411419
20259.0 0.000361484
20272.0 0.000317610
20294.7 0.000276223
20311.8 0.000248762
20324.6 0.000229973
20343.8 0.000204416
20363.0 0.000181700
20385.7 0.000163319
20402.8 0.000150765
20428.4 0.000133719
20454.0 0.000118600
20684.7 0.000107428
20910.6 9.76100E-05
21131.9 8.89551E-05
21348.4 8.13032E-05
21560.3 7.45187E-05
21767.6 6.84866E-05
21970.3 6.31090E-05
22168.5 5.83025E-05
22362.2 5.39956E-05
22551.4 5.01268E-05
22922.7 4.34023E-05
23276.2 3.79197E-05
23612.7 3.34105E-05
23932.5 2.96714E-05
24236.3 2.65469E-05
24524.5 2.39172E-05
24797.9 2.16889E-05
25057.0 1.97888E-05
25302.3 1.81589E-05
25534.5 1.67531E-05
25754.1 1.55341E-05
26170.9 1.34824E-05
26541.2 1.19108E-05
26869.5 1.06867E-05
27160.1 9.71923E-06
27416.9 8.94482E-06
27872.2 7.73512E-06
28218.6 6.93647E-06
28481.3 6.39207E-06
28879.9 5.65454E-06
29284.0 5.00210E-06
31798.8 4.77061E-06
36730.6 4.39097E-06
39642.0 4.20720E-06
40925.2 4.12620E-06
48132.0 3.75868E-06
50000.0 3.68490E-06
56608.0 3.42390E-06
66748.7 3.16622E-06
75529.4 2.98576E-06
78304.0 2.93714E-06
82865.0 2.85721E-06
95225.6 2.67467E-06
100000 2.61724E-06
109430 2.50380E-06
120000 2.41866E-06
125544 2.37400E-06
140000 2.28232E-06
154270 2.19181E-06
160000 2.16451E-06
180000 2.06920E-06
189570 2.02360E-06
200000 2.00843E-06
220000 1.97935E-06
239010 1.95170E-06
240000 1.95619E-06
260000 2.04683E-06
280000 2.13747E-06
300000 2.22811E-06
320000 2.57649E-06
329848 2.90008E-06
340000 3.26430E-06
349857 3.64950E-06
360000 4.08016E-06
364899 4.55220E-06
372373 5.36460E-06
380000 6.32198E-06
384904 7.40363E-06
385000 7.42761E-06
388624 8.33467E-06
390000 8.71343E-06
391437 9.10900E-06
395000 1.01954E-05
395696 1.04075E-05
400000 1.18910E-05
402447 1.32922E-05
404600 1.46531E-05
405000 1.49285E-05
406494 1.59577E-05
409829 1.85263E-05
410000 1.86751E-05
412349 2.07207E-05
414248 2.25355E-05
415000 2.33288E-05
417114 2.55599E-05
420000 2.89902E-05
425000 2.84797E-05
430000 2.79691E-05
435000 2.74586E-05
440000 2.69480E-05
442452 2.40879E-05
444608 2.18354E-05
445000 2.14638E-05
446504 2.00380E-05
449840 1.72411E-05
450000 1.71244E-05
452359 1.54028E-05
454257 1.41539E-05
455000 1.37163E-05
457120 1.24678E-05
460000 1.09825E-05
462454 1.01490E-05
465000 9.37822E-06
466779 8.83964E-06
470000 7.98299E-06
470050 7.96972E-06
472518 7.37395E-06
475000 6.83359E-06
476244 6.56273E-06
480000 5.84077E-06
484924 5.15326E-06
485000 5.14380E-06
488650 4.69128E-06
490000 4.54374E-06
494292 4.07479E-06
495000 4.00839E-06
500000 3.53932E-06
509902 3.13495E-06
520000 2.77678E-06
529906 2.47081E-06
540000 2.19857E-06
549909 2.03241E-06
560000 1.87882E-06
580000 1.73067E-06
600000 1.59864E-06
620000 1.48054E-06
640000 1.37451E-06
660000 1.27899E-06
680000 1.21503E-06
700000 1.17928E-06
720000 1.14554E-06
740000 1.11365E-06
760000 1.08936E-06
780000 1.07263E-06
800000 1.05656E-06
820000 1.04113E-06
840000 1.03167E-06
860000 1.02864E-06
880000 1.02569E-06
900000 1.03220E-06
920000 1.04736E-06
940000 1.08247E-06
960000 1.16437E-06
969948 1.30763E-06
980000 1.46852E-06
984962 1.63559E-06
988700 1.77326E-06
994334 2.00179E-06
1.00000E+06 2.25977E-06
1.00200E+06 2.23246E-06
1.00400E+06 2.20514E-06
1.00600E+06 2.17783E-06
1.00800E+06 2.15051E-06
1.01000E+06 2.12320E-06
1.01199E+06 2.09609E-06
1.01200E+06 2.09591E-06
1.01400E+06 2.07167E-06
1.01600E+06 2.04742E-06
1.01800E+06 2.02318E-06
1.02000E+06 1.99894E-06
1.02200E+06 1.97469E-06
1.02400E+06 1.95045E-06
1.02600E+06 1.92621E-06
1.02800E+06 1.90196E-06
1.03000E+06 1.87772E-06
1.03331E+06 1.83766E-06
1.04000E+06 1.76667E-06
1.04959E+06 1.66497E-06
1.05000E+06 1.66104E-06
1.06197E+06 1.54619E-06
1.08082E+06 1.38371E-06
1.10000E+06 1.23831E-06
1.12419E+06 1.37846E-06
1.14000E+06 1.48044E-06
1.15000E+06 1.54494E-06
1.16000E+06 1.60944E-06
1.16148E+06 1.61897E-06
1.18000E+06 1.75479E-06
1.20000E+06 1.90144E-06
1.22000E+06 2.14967E-06
1.22426E+06 2.20248E-06
1.24000E+06 2.42079E-06
1.24277E+06 2.45915E-06
1.25000E+06 2.57218E-06
1.25500E+06 2.65032E-06
1.26000E+06 2.72846E-06
1.26500E+06 2.80659E-06
1.27000E+06 2.88473E-06
1.27106E+06 2.90131E-06
1.27500E+06 2.97232E-06
1.28000E+06 3.06245E-06
1.28500E+06 3.15258E-06
1.29000E+06 3.24271E-06
1.30000E+06 3.42297E-06
1.31210E+06 3.04798E-06
1.32000E+06 2.83024E-06
1.32278E+06 2.75372E-06
1.33219E+06 2.51964E-06
1.34000E+06 2.34223E-06
1.34049E+06 2.33121E-06
1.35000E+06 2.13847E-06
1.35512E+06 2.03472E-06
1.36000E+06 1.94786E-06
1.36621E+06 1.83737E-06
1.37458E+06 1.70203E-06
1.38000E+06 1.62292E-06
1.38723E+06 1.51747E-06
1.40000E+06 1.35293E-06
1.42436E+06 1.26025E-06
1.45000E+06 1.17284E-06
1.46169E+06 1.13300E-06
1.50000E+06 1.01859E-06
1.55000E+06 1.06041E-06
1.60000E+06 1.10223E-06
1.61217E+06 1.19948E-06
1.63369E+06 1.39075E-06
1.65000E+06 1.55373E-06
1.65002E+06 1.55397E-06
1.66238E+06 1.68884E-06
1.68108E+06 1.91341E-06
1.70000E+06 2.16783E-06
1.71219E+06 2.51491E-06
1.72000E+06 2.76876E-06
1.72293E+06 2.86390E-06
1.73238E+06 3.20877E-06
1.74000E+06 3.51657E-06
1.74069E+06 3.54443E-06
1.74800E+06 3.86682E-06
1.75000E+06 3.96604E-06
1.76000E+06 4.46088E-06
1.76085E+06 4.50314E-06
1.77056E+06 5.04821E-06
1.77787E+06 5.49989E-06
1.78000E+06 5.64531E-06
1.78890E+06 6.25430E-06
1.80000E+06 7.11218E-06
1.80609E+06 6.41254E-06
1.81182E+06 5.81927E-06
1.81721E+06 5.31303E-06
1.82000E+06 5.07402E-06
1.82228E+06 4.87849E-06
1.82704E+06 4.50345E-06
1.83601E+06 3.87621E-06
1.84000E+06 3.63464E-06
1.84389E+06 3.39948E-06
1.85000E+06 3.07379E-06
1.85081E+06 3.03069E-06
1.85689E+06 2.74097E-06
1.86222E+06 2.51027E-06
1.86690E+06 2.32440E-06
1.87512E+06 2.03163E-06
1.88131E+06 1.83651E-06
1.89063E+06 1.57840E-06
1.90000E+06 1.35657E-06
1.92452E+06 1.21373E-06
1.94312E+06 1.11657E-06
1.95000E+06 1.08456E-06
1.97136E+06 9.85202E-07
2.00000E+06 8.69293E-07
2.05000E+06 8.64476E-07
2.10000E+06 8.59658E-07
2.15000E+06 8.54841E-07
2.20000E+06 8.50023E-07
2.22406E+06 9.85447E-07
2.24533E+06 1.12153E-06
2.25000E+06 1.15499E-06
2.26410E+06 1.25593E-06
2.28066E+06 1.38668E-06
2.29525E+06 1.51220E-06
2.30000E+06 1.55792E-06
2.31935E+06 1.74399E-06
2.31935E+06 1.74403E-06
2.32000E+06 1.75024E-06
2.32100E+06 1.75983E-06
2.34000E+06 1.96637E-06
2.34050E+06 1.97181E-06
2.35000E+06 2.08500E-06
2.35524E+06 2.14739E-06
2.36000E+06 2.21008E-06
2.37751E+06 2.44051E-06
2.38000E+06 2.47735E-06
2.40000E+06 2.77363E-06
2.40155E+06 2.79502E-06
2.40305E+06 2.81576E-06
2.40450E+06 2.83586E-06
2.40591E+06 2.85535E-06
2.40728E+06 2.87424E-06
2.40860E+06 2.89255E-06
2.40988E+06 2.91029E-06
2.41113E+06 2.92748E-06
2.41233E+06 2.94416E-06
2.41350E+06 2.96032E-06
2.41463E+06 2.97599E-06
2.41573E+06 2.99116E-06
2.41679E+06 3.00587E-06
2.41782E+06 3.02013E-06
2.41882E+06 3.03395E-06
2.41979E+06 3.04733E-06
2.42000E+06 3.05022E-06
2.42073E+06 3.06030E-06
2.42164E+06 3.07289E-06
2.42252E+06 3.08507E-06
2.42337E+06 3.09688E-06
2.42413E+06 3.10738E-06
2.42420E+06 3.10843E-06
2.42581E+06 3.13287E-06
2.42731E+06 3.15581E-06
2.42872E+06 3.17732E-06
2.43005E+06 3.19750E-06
2.43129E+06 3.21644E-06
2.43246E+06 3.23419E-06
2.43355E+06 3.25085E-06
2.43457E+06 3.26647E-06
2.43553E+06 3.28111E-06
2.43644E+06 3.29486E-06
2.43728E+06 3.30773E-06
2.43887E+06 3.33190E-06
2.44000E+06 3.34917E-06
2.44026E+06 3.35307E-06
2.44147E+06 3.37160E-06
2.44254E+06 3.38781E-06
2.44347E+06 3.40201E-06
2.44510E+06 3.42687E-06
2.44545E+06 3.43220E-06
2.44632E+06 3.44672E-06
2.44724E+06 3.46194E-06
2.44862E+06 3.48482E-06
2.45000E+06 3.50769E-06
2.45620E+06 3.61046E-06
2.46000E+06 3.67357E-06
2.46163E+06 3.70058E-06
2.46425E+06 3.74414E-06
2.46639E+06 3.78372E-06
2.47057E+06 3.86103E-06
2.47789E+06 3.99665E-06
2.48000E+06 4.03564E-06
2.48340E+06 4.09862E-06
2.48754E+06 4.17524E-06
2.49376E+06 4.29043E-06
2.49751E+06 4.35981E-06
2.50000E+06 4.41182E-06
2.50620E+06 4.54128E-06
2.51000E+06 4.62077E-06
2.51163E+06 4.65483E-06
2.52000E+06 4.82972E-06
2.52117E+06 4.85413E-06
2.52275E+06 4.88714E-06
2.52835E+06 5.01521E-06
2.53000E+06 5.05308E-06
2.53374E+06 5.13871E-06
2.54000E+06 5.28191E-06
2.54184E+06 5.32408E-06
2.54186E+06 5.32446E-06
2.55000E+06 5.52995E-06
2.55500E+06 5.65614E-06
2.55800E+06 5.73186E-06
2.56000E+06 5.78233E-06
2.56300E+06 5.85805E-06
2.56700E+06 5.95900E-06
2.57000E+06 6.03472E-06
2.57076E+06 6.05382E-06
2.57488E+06 6.17078E-06
2.58000E+06 6.31609E-06
2.59000E+06 6.59983E-06
2.60000E+06 6.88358E-06
2.60620E+06 6.42743E-06
2.61000E+06 6.14762E-06
2.61207E+06 5.99527E-06
2.61708E+06 5.67424E-06
2.62000E+06 5.48713E-06
2.62344E+06 5.26689E-06
2.62527E+06 5.16368E-06
2.63143E+06 4.81695E-06
2.63414E+06 4.66460E-06
2.64000E+06 4.37252E-06
2.64070E+06 4.33764E-06
2.64421E+06 4.16267E-06
2.65000E+06 3.90529E-06
2.65369E+06 3.74127E-06
2.66000E+06 3.48912E-06
2.66261E+06 3.38504E-06
2.67099E+06 3.08194E-06
2.67888E+06 2.82247E-06
2.68000E+06 2.78864E-06
2.68629E+06 2.59910E-06
2.69326E+06 2.40578E-06
2.70000E+06 2.23901E-06
2.70638E+06 2.08120E-06
2.71791E+06 1.83333E-06
2.72489E+06 1.70067E-06
2.72804E+06 1.64079E-06
2.73693E+06 1.48897E-06
2.74473E+06 1.36770E-06
2.75000E+06 1.29515E-06
2.75845E+06 1.17876E-06
2.76878E+06 1.05439E-06
2.77655E+06 9.69801E-07
2.78825E+06 8.55471E-07
2.80000E+06 7.54619E-07
2.85000E+06 7.07235E-07
2.89828E+06 6.61485E-07
2.90000E+06 6.60101E-07
2.95000E+06 6.19973E-07
3.00000E+06 5.79846E-07
3.05000E+06 5.77698E-07
3.10000E+06 5.75550E-07
3.15000E+06 5.73402E-07
3.20000E+06 5.71254E-07
3.22490E+06 6.05255E-07
3.24887E+06 6.37977E-07
3.25000E+06 6.39718E-07
3.27490E+06 6.78047E-07
3.30000E+06 7.16671E-07
3.32358E+06 7.52955E-07
3.32491E+06 7.55318E-07
3.35000E+06 7.99875E-07
3.37491E+06 8.44100E-07
3.40000E+06 8.88655E-07
3.42000E+06 8.92163E-07
3.42491E+06 8.93024E-07
3.44000E+06 8.95670E-07
3.45000E+06 8.97424E-07
3.46000E+06 8.99178E-07
3.47491E+06 9.01793E-07
3.48000E+06 9.02686E-07
3.50000E+06 9.06194E-07
3.52000E+06 9.09701E-07
3.53000E+06 9.11455E-07
3.54000E+06 9.13209E-07
3.55000E+06 9.14963E-07
3.56000E+06 9.16717E-07
3.57491E+06 9.19332E-07
3.58000E+06 9.20224E-07
3.60000E+06 9.23732E-07
3.62000E+06 8.83270E-07
3.64000E+06 8.42809E-07
3.64899E+06 8.24619E-07
3.65000E+06 8.22793E-07
3.66000E+06 8.04694E-07
3.68000E+06 7.68497E-07
3.68617E+06 7.57328E-07
3.70000E+06 7.35101E-07
3.74265E+06 6.66546E-07
3.75000E+06 6.56310E-07
3.80000E+06 5.86647E-07
3.85000E+06 5.52446E-07
3.89872E+06 5.19121E-07
3.90000E+06 5.18365E-07
3.95000E+06 4.88866E-07
4.00000E+06 4.59368E-07
4.05000E+06 4.55945E-07
4.10000E+06 4.52522E-07
4.15000E+06 4.49098E-07
4.20000E+06 4.45675E-07
4.25000E+06 4.61558E-07
4.30000E+06 4.77442E-07
4.31000E+06 4.80618E-07
4.32000E+06 4.83795E-07
4.33000E+06 4.86972E-07
4.34000E+06 4.90148E-07
4.35000E+06 4.93325E-07
4.36000E+06 4.96501E-07
4.37000E+06 4.99678E-07
4.38000E+06 5.02855E-07
4.39000E+06 5.06031E-07
4.40000E+06 5.09208E-07
4.41000E+06 5.34367E-07
4.42000E+06 5.59525E-07
4.42452E+06 5.70887E-07
4.43000E+06 5.86163E-07
4.44000E+06 6.14018E-07
4.44608E+06 6.30954E-07
4.45000E+06 6.42891E-07
4.46000E+06 6.73343E-07
4.46504E+06 6.88675E-07
4.47000E+06 7.05640E-07
4.48000E+06 7.39810E-07
4.49000E+06 7.73980E-07
4.49840E+06 8.02682E-07
4.50000E+06 8.08890E-07
4.51000E+06 8.47690E-07
4.52000E+06 8.86490E-07
4.52359E+06 9.00411E-07
4.53000E+06 9.27781E-07
4.54000E+06 9.70466E-07
4.54257E+06 9.81440E-07
4.55000E+06 1.01659E-06
4.56000E+06 1.06390E-06
4.57000E+06 1.11121E-06
4.57120E+06 1.11686E-06
4.58000E+06 1.16397E-06
4.59000E+06 1.21746E-06
4.60000E+06 1.27096E-06
4.61000E+06 1.29333E-06
4.62000E+06 1.31571E-06
4.63000E+06 1.33808E-06
4.64000E+06 1.36046E-06
4.64921E+06 1.38105E-06
4.65000E+06 1.38300E-06
4.66000E+06 1.40750E-06
4.67000E+06 1.43200E-06
4.68000E+06 1.45650E-06
4.69000E+06 1.48100E-06
4.70000E+06 1.50550E-06
4.71000E+06 1.53001E-06
4.72000E+06 1.55451E-06
4.72400E+06 1.56431E-06
4.73000E+06 1.58070E-06
4.74000E+06 1.60801E-06
4.75000E+06 1.63533E-06
4.76000E+06 1.66264E-06
4.77000E+06 1.68996E-06
4.78000E+06 1.71727E-06
4.79000E+06 1.74459E-06
4.80000E+06 1.77190E-06
4.81000E+06 1.82952E-06
4.82000E+06 1.88714E-06
4.83000E+06 1.94476E-06
4.84000E+06 2.00239E-06
4.84924E+06 2.05561E-06
4.85000E+06 2.06057E-06
4.85213E+06 2.07442E-06
4.86000E+06 2.12558E-06
4.87000E+06 2.19059E-06
4.88000E+06 2.25560E-06
4.88650E+06 2.29783E-06
4.89000E+06 2.32277E-06
4.90000E+06 2.39394E-06
4.90622E+06 2.43822E-06
4.91000E+06 2.46511E-06
4.91167E+06 2.47702E-06
4.91463E+06 2.49805E-06
4.91645E+06 2.51233E-06
4.92000E+06 2.54020E-06
4.92063E+06 2.54514E-06
4.92796E+06 2.60262E-06
4.93000E+06 2.61867E-06
4.93346E+06 2.64580E-06
4.93759E+06 2.67821E-06
4.94000E+06 2.69714E-06
4.94379E+06 2.72688E-06
4.95000E+06 2.77560E-06
4.95713E+06 2.83155E-06
4.96000E+06 2.85686E-06
4.97000E+06 2.94504E-06
4.97494E+06 2.98857E-06
4.98000E+06 3.03322E-06
4.99000E+06 3.12140E-06
5.00000E+06 3.20958E-06
5.01000E+06 2.96754E-06
5.01227E+06 2.91257E-06
5.01245E+06 2.90857E-06
5.02000E+06 2.74272E-06
5.02181E+06 2.70285E-06
5.02380E+06 2.65914E-06
5.03000E+06 2.53473E-06
5.03464E+06 2.44161E-06
5.03589E+06 2.41858E-06
5.04000E+06 2.34272E-06
5.04482E+06 2.25386E-06
5.05000E+06 2.16886E-06
5.06000E+06 2.00482E-06
5.06245E+06 1.96457E-06
5.06396E+06 1.93988E-06
5.07000E+06 1.85412E-06
5.07181E+06 1.82836E-06
5.08000E+06 1.71214E-06
5.08077E+06 1.70124E-06
5.08589E+06 1.63719E-06
5.09000E+06 1.58572E-06
5.09552E+06 1.51664E-06
5.10000E+06 1.46646E-06
5.10847E+06 1.37163E-06
5.11000E+06 1.35602E-06
5.11245E+06 1.33106E-06
5.11982E+06 1.25616E-06
5.12000E+06 1.25446E-06
5.12182E+06 1.23750E-06
5.12885E+06 1.17178E-06
5.12977E+06 1.16313E-06
5.13000E+06 1.16123E-06
5.13941E+06 1.08226E-06
5.14000E+06 1.07733E-06
5.14724E+06 1.01659E-06
5.15000E+06 9.96078E-07
5.16000E+06 9.21760E-07
5.16038E+06 9.18936E-07
5.16246E+06 9.05379E-07
5.17000E+06 8.56085E-07
5.18000E+06 7.90752E-07
5.18015E+06 7.89759E-07
5.18119E+06 7.83936E-07
5.19000E+06 7.34675E-07
5.20000E+06 6.78741E-07
5.21000E+06 6.85577E-07
5.22000E+06 6.92413E-07
5.23000E+06 6.99249E-07
5.24000E+06 7.06085E-07
5.25000E+06 7.12921E-07
5.26000E+06 7.19757E-07
5.26246E+06 7.21435E-07
5.27000E+06 7.26593E-07
5.28000E+06 7.33429E-07
5.28119E+06 7.34246E-07
5.29000E+06 7.40265E-07
5.29906E+06 7.46456E-07
5.30000E+06 7.47152E-07
5.31000E+06 7.54530E-07
5.31246E+06 7.56342E-07
5.32000E+06 7.61908E-07
5.33000E+06 7.69285E-07
5.33120E+06 7.70167E-07
5.34000E+06 7.76663E-07
5.35000E+06 7.84040E-07
