Cl-37(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
43895.4 0.000375573
44407.9 0.000437448
44920.4 0.000562594
45176.7 0.000678621
45433.0 0.000872894
45689.2 0.00123353
45817.4 0.00154117
45945.5 0.00201414
46073.6 0.00278987
46137.7 0.00337433
46201.7 0.00417118
46265.8 0.00528622
46329.9 0.00688612
46393.9 0.00922717
46458.0 0.0126441
46555.5 0.0200849
46653.0 0.0252130
46702.0 0.0238422
46751.0 0.0203446
46849.0 0.0127947
46947.5 0.00792406
47045.9 0.00521039
47144.4 0.00365414
47242.9 0.00270688
47341.4 0.00209623
47439.8 0.00168277
47636.8 0.00117842
47833.7 0.000895938
48030.6 0.000722655
48424.5 0.000530498
48818.4 0.000432186
49212.3 0.000375374
49606.1 0.000339766
50000.0 0.000316282
50773.0 0.000291918
50966.2 0.000291255
51159.5 0.000298554
51352.7 0.000355158
51449.3 0.000588428
51473.5 0.000826512
51497.6 0.00148880
51509.7 0.00238464
51521.8 0.00480892
51527.8 0.00797313
51530.9 0.0109613
51533.9 0.0160847
51536.9 0.0259663
51538.4 0.0347492
51539.9 0.0488448
51541.4 0.0734351
51542.9 0.121543
51543.7 0.164652
51544.5 0.231686
51545.2 0.341746
51546.0 0.525181
51546.8 0.839336
51547.7 1.04963
51548.5 0.841618
51549.4 0.526973
51550.2 0.319400
51551.1 0.205318
51552.0 0.140547
51552.9 0.101393
51553.8 0.0762715
51554.6 0.0593206
51556.4 0.0387964
51558.1 0.0272558
51559.9 0.0202265
51563.4 0.0124142
51570.4 0.00611641
51577.4 0.00369440
51591.5 0.00185574
51605.5 0.00118096
51633.6 0.000683883
51661.7 0.000505543
51774.0 0.000329544
51998.7 0.000283282
52223.3 0.000273944
52448.0 0.000270784
52897.3 0.000271119
53346.6 0.000278751
53795.9 0.000298912
54020.6 0.000318626
54245.2 0.000351630
54469.9 0.000411414
54694.6 0.000534552
54806.9 0.000651253
54919.2 0.000852273
55031.5 0.00125222
55087.7 0.00167632
55115.8 0.00225053
55129.8 0.00355324
55136.8 0.00699671
55140.4 0.0144583
55142.1 0.0256883
55143.0 0.0369566
55143.9 0.0554789
55144.9 0.0876945
55145.9 0.109434
55146.9 0.0880854
55147.9 0.0558139
55148.8 0.0365512
55149.7 0.0253037
55151.5 0.0142080
55155.1 0.00701593
55162.3 0.00387495
55176.8 0.00298640
55205.7 0.00322523
55234.5 0.00395361
55263.4 0.00508678
55292.3 0.00683942
55321.2 0.00966173
55350.1 0.0144326
55379.0 0.0226682
55409.8 0.0361532
55440.5 0.0452166
55471.2 0.0363046
55501.9 0.0228100
55523.8 0.0161458
55545.6 0.0117262
55567.5 0.00879522
55589.3 0.00680339
55633.1 0.00440143
55676.8 0.00308869
55720.5 0.00230282
55764.2 0.00179818
55851.7 0.00121381
55939.1 0.000902269
56026.5 0.000717182
56201.4 0.000517685
56376.3 0.000418055
56551.2 0.000361143
56900.9 0.000301636
57250.6 0.000272456
57600.4 0.000255764
58299.9 0.000237883
58999.4 0.000228567
59698.9 0.000222810
61097.9 0.000216013
62496.9 0.000212608
63895.8 0.000213149
64595.3 0.000217396
64945.1 0.000222374
65294.8 0.000231865
65644.6 0.000252122
65819.5 0.000271712
65994.3 0.000305897
66169.2 0.000373567
