Zr-90(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
8761.68 0.0124187
8774.15 0.0166869
8786.62 0.0236208
8799.09 0.0360026
8805.33 0.0462119
8811.56 0.0614691
8817.80 0.0857331
8824.04 0.127745
8830.27 0.210031
8833.39 0.284383
8836.51 0.405835
8839.63 0.623350
8841.19 0.802237
8842.74 1.06733
8844.30 1.48052
8845.86 2.16414
8847.42 3.36900
8848.98 5.56569
8850.49 8.92449
8852.00 11.1685
8853.51 8.91903
8855.02 5.56213
8856.46 3.49494
8857.90 2.30832
8859.33 1.61005
8860.77 1.17680
8862.21 0.893505
8863.64 0.699612
8866.52 0.460427
8869.39 0.324934
8872.27 0.241223
8878.01 0.147740
8883.76 0.0995959
8889.51 0.0716419
8895.26 0.0539947
8901.01 0.0421508
8912.50 0.0277399
8924.00 0.0196428
8935.50 0.0146459
8946.99 0.0113475
8969.99 0.00740067
8992.98 0.00521927
9015.98 0.00388796
9038.97 0.00301620
9084.96 0.00198157
9130.94 0.00141443
9176.93 0.00107055
9222.92 0.000846832
9314.89 0.000585517
9406.86 0.000453800
9498.84 0.000438854
9544.83 0.000697329
9567.82 0.00183260
9579.32 0.00633607
9585.06 0.0236971
9587.94 0.0880325
9588.66 0.149759
9589.38 0.308919
9589.74 0.505275
9590.09 0.965091
9590.27 1.46921
9590.45 2.47029
9590.54 3.38500
9590.63 4.86290
9590.72 7.38195
9590.81 11.7465
9590.91 18.7744
9591.00 23.4932
9591.09 18.7745
9591.19 11.7467
9591.29 7.02786
9591.39 4.46652
9591.49 3.03314
9591.59 2.17535
9591.79 1.26217
9591.99 0.820199
9592.39 0.423120
9592.78 0.256973
9593.58 0.123439
9594.38 0.0723244
9597.58 0.0193774
9603.96 0.00519612
9616.74 0.00152141
9642.29 0.000576950
9693.39 0.000322532
9795.59 0.000234864
10000.0 0.000186141
10276.9 0.000162685
10553.7 0.000156796
11107.4 0.000174422
11661.1 0.000236724
11938.0 0.000305350
12076.4 0.000377559
12111.0 0.000417885
12145.6 0.000507820
12180.2 0.000925293
12197.5 0.00251739
12206.2 0.00869561
12210.5 0.0322277
12212.7 0.117080
12213.2 0.196237
12213.7 0.393875
12214.0 0.626849
12214.3 1.14197
12214.5 2.62842
12214.7 4.71473
12214.8 6.64092
12214.8 9.24802
12214.9 14.9924
12215.0 18.4466
12215.1 14.9924
12215.2 9.19892
12215.3 4.71483
12215.5 2.62851
12215.7 1.14203
12216.0 0.626898
12216.3 0.393915
12216.8 0.194143
12217.4 0.116124
12219.5 0.0318254
12223.9 0.00859965
12232.6 0.00250841
12250.1 0.000957261
12284.9 0.000583654
12354.7 0.000534818
12494.1 0.000649165
12633.6 0.000868736
12773.0 0.00126389
12842.8 0.00158878
12912.5 0.00207280
12982.2 0.00284015
13052.0 0.00416459
13086.8 0.00522115
13104.3 0.00591145
13121.7 0.00675074
13130.4 0.00724046
13139.2 0.00778618
13147.9 0.00839674
13156.6 0.00908189
13165.3 0.00985604
13174.0 0.0107330
13182.7 0.0117341
13191.4 0.0128807
13200.2 0.0142054
13208.9 0.0157444
13217.6 0.0175457
13226.3 0.0196686
13243.7 0.0252363
13261.2 0.0334683
13278.6 0.0462706
13287.3 0.0554342
13296.0 0.0673580
13304.8 0.0831541
13313.5 0.104313
13322.2 0.132918
13330.9 0.171164
13348.0 0.273740
13365.0 0.341743
13373.5 0.321285
13382.1 0.272837
13399.1 0.170298
13412.8 0.114951
13426.4 0.0802037
13440.1 0.0582171
13453.7 0.0438231
13481.1 0.0270930
13508.4 0.0182831
13535.7 0.0131338
13563.0 0.00988499
13617.6 0.00618622
13672.2 0.00424839
13726.9 0.00311220
13836.1 0.00190601
13945.4 0.00131676
14054.6 0.000988932
14273.1 0.000664543
14491.6 0.000526874
14710.1 0.000470132
15147.1 0.000480244
15584.1 0.000624262
15802.6 0.000769748
16021.1 0.00100448
16239.6 0.00140419
16458.1 0.00215617
16567.4 0.00281083
16676.6 0.00386335
16731.3 0.00468092
16758.6 0.00523106
16785.9 0.00595497
16799.6 0.00642907
16813.2 0.00703414
16826.9 0.00786725
16840.5 0.00915445
16854.2 0.0115455
16861.0 0.0137473
16867.8 0.0175786
16874.7 0.0254374
16878.1 0.0330384
16881.5 0.0464690
16883.2 0.0575249
16884.9 0.0740117
16886.6 0.100181
16888.3 0.145057
16890.0 0.233072
16890.9 0.311793
16891.7 0.439561
16892.6 0.669885
16893.0 0.858770
16893.4 1.12988
16893.9 1.55799
16894.3 2.23877
16894.7 3.44070
16895.1 5.51493
16895.6 8.78977
16896.0 10.9605
16896.4 8.70789
16896.9 5.45119
16897.1 4.00853
16897.4 3.00191
16897.9 1.82383
16898.5 1.20429
16899.0 0.848639
16899.5 0.628505
16900.1 0.483765
16901.1 0.312256
16902.2 0.218187
16903.3 0.162195
16905.4 0.101139
16907.5 0.0703063
16909.6 0.0527855
16913.9 0.0346103
16918.1 0.0259162
16922.4 0.0211679
16930.9 0.0165919
16947.8 0.0143813
16956.3 0.0165547
16960.6 0.0260922
16962.7 0.0607642
16963.8 0.174608
16964.3 0.485758
16964.6 1.13560
16964.7 1.98846
16964.8 3.95758
16965.0 7.88011
16965.2 3.93570
16965.3 1.98850
16965.4 1.18061
16965.7 0.540015
16966.2 0.200281
16967.1 0.0697122
16969.0 0.0287196
16972.9 0.0173708
16980.6 0.0146170
16996.0 0.0146277
17026.9 0.0168010
17057.7 0.0201715
17088.6 0.0248759
17119.5 0.0314385
17150.3 0.0407150
17181.2 0.0539863
17212.0 0.0728382
17262.5 0.116124
17313.0 0.144504
17338.3 0.135736
17363.5 0.115224
17414.0 0.0719427
17466.2 0.0435835
17518.4 0.0280146
17570.6 0.0191770
17622.8 0.0138352
17675.1 0.0104088
17727.3 0.00809779
17831.7 0.00529120
17936.1 0.00372802
18040.5 0.00277531
18249.3 0.00173384
18458.2 0.00122598
18667.0 0.000980384
18771.4 0.000939874
18875.8 0.00100139
18928.0 0.00113988
18980.2 0.00156051
19032.5 0.00382176
19058.6 0.0126871
19065.1 0.0217376
19071.6 0.0470208
19074.9 0.0816161
19078.1 0.176241
19079.8 0.301803
19081.4 0.631951
19082.2 1.05105
19082.6 1.43598
19083.0 2.05562
19083.4 3.21309
19083.6 4.21712
19083.8 5.66805
19084.1 8.12635
19084.3 12.1802
19084.5 19.6928
19084.7 34.8711
19084.8 56.1179
19085.0 69.7443
19085.2 56.1172
19085.3 34.8708
19085.5 23.1145
19085.6 16.0897
19085.8 11.4118
19085.9 8.59877
19086.2 5.24407
19086.5 3.50471
19086.8 2.49874
19087.1 1.86813
19087.7 1.15462
19088.8 0.565120
19090.0 0.333984
19092.3 0.156295
19094.6 0.0906397
19099.3 0.0417265
19103.9 0.0241530
19122.4 0.00681407
19159.5 0.00242392
19196.6 0.00165426
19233.7 0.00144333
19307.8 0.00149040
19382.0 0.00190986
19419.1 0.00231444
19456.1 0.00295409
19493.2 0.00401990
19530.3 0.00596018
19548.8 0.00758140
19567.4 0.0100304
19585.9 0.0139779
19604.5 0.0209401
19613.7 0.0266073
19623.0 0.0349688
19632.3 0.0480351
19641.5 0.0700927
19650.8 0.111618
19655.4 0.147635
19660.1 0.203769
19664.7 0.298126
19669.3 0.471414
19671.7 0.616259
19674.0 0.829566
19676.3 1.15477
19678.6 1.64679
19681.8 2.63468
19685.0 3.29234
19688.2 2.63312
19691.4 1.64576
19693.8 1.13548
19696.2 0.807238
19698.6 0.594240
19701.1 0.451938
19705.9 0.283320
19710.7 0.192732
19715.5 0.139024
19720.3 0.104894
19730.0 0.0656711
19739.6 0.0449062
19749.3 0.0326517
19758.9 0.0248210
19768.6 0.0195182
19787.8 0.0130041
19807.1 0.00931020
19826.4 0.00701558
19845.7 0.00549365
19884.3 0.00366080
19922.9 0.00264066
19961.4 0.00201367
20000.0 0.00160032
20101.1 0.00100229
20202.2 0.000712301
20303.3 0.000547644
20404.3 0.000443809
20606.5 0.000322425
20808.7 0.000254638
21213.0 0.000181911
21617.3 0.000143722
22426.0 0.000105329
23234.7 8.84332E-05
24043.3 8.31999E-05
24852.0 9.17384E-05
25256.3 0.000108900
25458.5 0.000126450
25660.6 0.000157990
25862.8 0.000222510
25963.9 0.000283418
26065.0 0.000387896
26166.1 0.000590427
26216.6 0.000772363
26267.1 0.00106978
26317.7 0.00161007
26343.0 0.00206805
26368.2 0.00278111
26393.5 0.00401316
26406.1 0.00502980
26418.8 0.00660704
26431.4 0.00941635
26437.7 0.0118625
26444.0 0.0159112
26450.4 0.0238069
26453.5 0.0311979
26456.7 0.0440794
26459.8 0.0701459
26461.4 0.0948409
26463.0 0.137605
26464.6 0.221777
26465.4 0.298418
26466.2 0.424790
26466.9 0.654502
26467.3 0.849328
26467.7 1.13521
26468.1 1.60252
26468.5 2.37895
26468.9 3.79511
26469.3 6.51525
26469.7 10.4018
26470.0 13.0109
26470.4 10.4016
26470.7 6.50607
26471.0 4.45028
26471.3 3.10484
26471.5 2.25391
26471.8 1.69704
26472.4 1.05126
26472.9 0.711662
26473.5 0.513507
26474.1 0.388576
26475.2 0.247438
26476.3 0.172827
26477.4 0.129549
26479.6 0.0836204
26481.9 0.0615636
26484.1 0.0496959
26488.5 0.0391117
26497.5 0.0375275
26506.4 0.0488034
26510.8 0.0599530
26515.3 0.0771801
26519.8 0.104749
26524.2 0.151945
26528.7 0.241740
26530.9 0.320127
26533.1 0.443418
26535.4 0.652164
26537.6 1.04182
26538.7 1.37333
26539.8 1.86627
26541.0 2.63518
26542.1 3.81731
26543.5 6.10663
26545.0 7.63201
26546.5 6.10534
26547.9 3.81633
26549.1 2.63452
26550.2 1.87673
26551.3 1.38011
26552.4 1.05119
26554.6 0.659146
26556.8 0.448452
26559.0 0.323707
26561.2 0.244222
26565.6 0.153006
26570.0 0.104601
26574.5 0.0759918
26578.9 0.0577063
26583.3 0.0453425
26592.1 0.0301111
26601.0 0.0214717
26609.8 0.0160964
26618.6 0.0125248
26636.3 0.00821818
26654.0 0.00581866
26671.6 0.00434486
26689.3 0.00337503
26724.6 0.00221603
26760.0 0.00157615
26795.3 0.00118546
26830.6 0.000929557
26901.3 0.000625539
26972.0 0.000458719
27113.3 0.000291563
