Rb-87(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
4016.80 0.00784241
4053.21 0.00569192
4089.63 0.00437337
4126.04 0.00351351
4198.87 0.00251681
4271.70 0.00201234
4417.36 0.00166342
4563.02 0.00183236
4635.85 0.00212950
4708.68 0.00266393
4781.51 0.00363507
4854.34 0.00556031
4890.76 0.00729248
4927.17 0.0100973
4963.59 0.0150557
4981.79 0.0190870
5000.00 0.0250075
5021.08 0.0360416
5042.15 0.0559957
5052.69 0.0723495
5063.23 0.0961448
5073.76 0.131538
5084.30 0.184074
5099.65 0.293540
5115.00 0.365290
5130.35 0.291260
5145.70 0.181876
5162.85 0.106102
5180.00 0.0664232
5197.15 0.0446891
5214.30 0.0318755
5231.45 0.0237993
5248.60 0.0184215
5282.91 0.0119711
5317.21 0.00841886
5351.51 0.00626579
5420.11 0.00390802
5488.71 0.00271966
5557.32 0.00204250
5694.52 0.00135027
5831.73 0.00103615
5968.93 0.000885083
6243.34 0.000816441
6517.75 0.000959522
6654.96 0.00113167
6792.16 0.00142376
6929.37 0.00194848
7066.57 0.00303915
7135.17 0.00413676
7203.78 0.00635103
7238.08 0.00866743
7255.23 0.0106463
7272.38 0.0138796
7289.53 0.0200658
7298.10 0.0257585
7306.68 0.0355041
7315.26 0.0546871
7319.54 0.0723236
7323.83 0.101859
7328.12 0.157077
7330.26 0.204663
7332.41 0.278639
7334.55 0.402120
7336.69 0.627817
7337.77 0.814828
7338.84 1.08986
7339.91 1.50440
7340.98 2.12878
7342.49 3.40126
7344.00 4.24940
7345.51 3.39972
7347.02 2.12756
7348.18 1.46279
7349.34 1.03716
7350.50 0.762876
7351.65 0.580935
7353.97 0.366681
7356.29 0.252393
7358.61 0.185119
7360.92 0.142476
7365.56 0.0938482
7370.19 0.0684584
7374.82 0.0537365
7384.09 0.0386296
7393.36 0.0319548
7402.63 0.0289948
7421.16 0.0282959
7439.70 0.0314874
7458.23 0.0377587
7476.77 0.0474998
7495.30 0.0615640
7527.65 0.0962625
7560.00 0.118906
7592.35 0.0947718
7624.70 0.0595085
7657.74 0.0366676
7690.78 0.0240567
7723.81 0.0168742
7756.85 0.0125344
7822.93 0.00791522
7889.00 0.00573693
7955.08 0.00462869
8021.15 0.00408324
8153.30 0.00397819
8285.45 0.00501540
8351.53 0.00616936
8417.60 0.00810158
8483.68 0.0114792
8516.71 0.0141391
8549.75 0.0178949
8582.79 0.0233699
8615.83 0.0316276
8648.86 0.0444574
8681.90 0.0644546
8724.95 0.102510
8768.00 0.127220
8811.05 0.101169
8854.10 0.0631162
8884.88 0.0444217
8915.66 0.0320791
8946.44 0.0239165
8977.22 0.0183799
9038.78 0.0117144
9100.34 0.00807727
9161.90 0.00590236
9223.47 0.00450781
9346.59 0.00290062
9469.71 0.00206486
9592.83 0.00163159
9654.39 0.00156027
9715.95 0.00172185
9746.73 0.00208517
9762.12 0.00248101
9777.51 0.00322896
9792.90 0.00485666
9800.60 0.00648450
9808.29 0.00944544
9812.14 0.0119289
9815.99 0.0156990
9819.83 0.0218263
9823.68 0.0327652
9825.61 0.0417866
9827.53 0.0552683
9829.45 0.0767090
9831.38 0.113808
9833.30 0.186504
9835.22 0.359514
9836.19 0.551756
9836.67 0.709887
9837.15 0.944262
9837.63 1.30963
9837.87 1.57246
9838.11 1.91423
9838.35 2.36962
9838.59 2.97972
9838.83 3.80595
9839.07 4.91526
9839.30 6.29511
9839.54 7.86444
9840.00 9.82339
9840.23 9.24237
9840.47 7.85675
9840.93 4.90908
9841.24 3.53057
9841.55 2.59372
9842.17 1.51997
9842.80 0.978918
9843.42 0.677929
9844.04 0.495104
9844.66 0.376845
9845.90 0.238675
9847.14 0.164391
9848.39 0.120069
9850.87 0.0721721
9853.36 0.0482315
9855.84 0.0345971
9858.33 0.0260993
9860.81 0.0204530
9865.79 0.0136481
9870.76 0.00986038
9875.73 0.00753698
9880.70 0.00600923
9890.64 0.00418670
9900.58 0.00318020
9920.47 0.00215914
9940.35 0.00167230
9960.23 0.00139891
10000.0 0.00111220
10086.4 0.000876612
10172.8 0.000827602
10216.0 0.000879849
10259.2 0.00110048
10280.8 0.00143292
10291.6 0.00177120
10302.4 0.00239467
10313.2 0.00373558
10318.6 0.00507432
10324.0 0.00751619
10326.7 0.00957287
10329.4 0.0127116
10332.1 0.0178488
10334.8 0.0271246
10336.1 0.0348599
10337.5 0.0465501
10338.8 0.0654301
10340.2 0.0988632
10341.5 0.166727
10342.2 0.231069
10342.9 0.339096
10343.6 0.548822
10343.9 0.734276
10344.2 1.01914
10344.6 1.52179
10344.8 1.91932
10344.9 2.44658
10345.1 3.26539
10345.3 4.52331
10345.4 6.52554
10345.6 9.50229
10345.8 15.2577
10346.0 19.1174
10346.1 17.8762
10346.2 15.2570
10346.4 9.50157
10346.6 6.23678
10346.8 4.34365
10346.9 3.15022
10347.1 2.36975
10347.5 1.44557
10347.8 0.976478
10348.2 0.695215
10348.5 0.523304
10349.2 0.326518
10349.9 0.221641
10350.6 0.160203
10351.2 0.121188
10351.9 0.0952084
10353.3 0.0629303
10354.7 0.0448351
10356.1 0.0335451
10357.4 0.0261289
10360.2 0.0171962
10362.9 0.0122489
10365.7 0.00922620
10368.4 0.00724539
10373.9 0.00489325
10379.4 0.00360323
10390.4 0.00230990
10401.4 0.00170713
10412.4 0.00137881
10434.4 0.00105348
10478.4 0.000830660
10522.4 0.000771322
10610.4 0.000804052
10698.4 0.000982443
10786.4 0.00142872
10830.3 0.00188561
10874.3 0.00271519
10896.3 0.00340521
10918.3 0.00444180
10940.3 0.00609909
10962.3 0.00898496
10984.3 0.0146892
10995.3 0.0198908
11006.3 0.0284606
11017.3 0.0440442
11022.8 0.0570533
11028.3 0.0766203
11033.8 0.107743
11036.6 0.130505
11039.3 0.160724
11042.1 0.201624
11044.8 0.257959
11047.6 0.336392
11050.3 0.444292
11055.2 0.708870
11060.0 0.884165
11062.4 0.832082
11064.9 0.708063
11069.7 0.443511
11075.1 0.258599
11080.6 0.161839
11086.0 0.108797
11091.4 0.0775068
11096.9 0.0577762
11102.3 0.0446304
11113.2 0.0288499
11124.0 0.0201422
11134.9 0.0148616
11156.6 0.00906159
11178.3 0.00611954
11200.1 0.00442812
11221.8 0.00336697
11243.5 0.00265772
11286.9 0.00179746
11330.4 0.00131476
11417.3 0.000818541
11504.2 0.000579419
11591.1 0.000444570
11764.9 0.000303017
11938.6 0.000231856
12112.4 0.000189931
12460.0 0.000144667
12460.0 0.0528273
15000.0 0.0453375
17000.0 0.0409004
20000.0 0.0358200
25000.0 0.0299817
30000.0 0.0260272
35000.0 0.0230267
40000.0 0.0207855
50000.0 0.0176926
60000.0 0.0156281
70000.0 0.0143269
80000.0 0.0132652
99999.9 0.0117998
100000 0.0117971
150000 0.00964721
200000 0.00855319
250000 0.00783346
300000 0.00727629
400000 0.00641111
407677 0.00637504
500000 0.00417293
700000 0.00335407
800000 0.00317405
855616 0.00311296
900000 0.00303551
