Ge-73(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
409.955 310.400
410.112 209.537
410.270 152.006
410.428 116.331
410.586 92.7605
410.901 64.4767
411.216 48.7179
411.532 38.9862
412.163 27.9602
412.794 22.0830
413.425 18.5196
414.056 16.1600
414.686 14.4945
415.948 12.3107
417.210 10.9431
419.734 9.30447
422.257 8.32669
424.781 7.65034
429.828 6.71980
439.923 5.53025
450.018 4.70145
460.112 4.19722
465.160 4.23863
470.207 4.84464
472.731 5.61935
475.254 7.04538
477.778 9.72125
480.301 15.0368
481.563 19.6654
482.825 26.7583
484.087 38.1696
485.349 57.7696
486.611 94.6360
487.242 126.012
487.872 173.663
488.503 249.844
489.134 379.331
489.765 614.431
490.396 1057.95
490.998 1751.48
491.600 2263.98
492.202 1872.57
492.804 1210.78
493.254 860.615
493.704 628.996
494.153 475.691
494.603 371.502
495.503 245.280
496.402 175.513
497.302 133.116
498.201 105.426
500.000 72.5135
502.236 51.0674
504.471 38.9916
506.707 31.3909
508.942 26.1902
511.178 22.3598
513.413 19.2819
514.531 17.8599
515.090 17.1466
515.649 16.4273
516.207 15.7460
516.487 15.4898
516.766 15.4366
517.046 15.9988
517.185 16.8937
517.325 18.7940
517.465 23.0093
517.535 26.9886
517.605 33.4733
517.674 44.6751
517.744 65.3951
517.779 82.5120
517.814 107.235
517.849 143.594
517.884 196.952
517.913 257.715
517.942 330.551
518.000 440.604
518.029 430.554
518.058 381.184
518.116 260.485
518.155 199.590
518.194 156.691
518.272 105.172
518.349 77.8273
518.427 61.8389
518.505 51.6974
518.582 44.8389
518.738 36.3526
518.893 31.4144
519.048 28.2355
519.359 24.4182
519.670 22.2107
519.981 20.7605
520.602 18.9269
521.223 17.7648
521.845 16.9234
523.088 15.7112
525.573 14.0909
528.059 12.9214
533.031 11.1492
538.002 9.71132
542.974 8.34484
545.459 7.61793
547.945 6.82417
549.188 6.40027
550.431 5.97283
551.674 5.59043
552.917 5.41136
553.538 5.53684
554.160 5.99811
554.781 7.15369
555.402 9.86573
555.713 12.4290
556.024 16.5390
556.335 23.4063
556.645 35.5736
556.801 45.2602
556.956 59.0195
557.111 79.2346
557.267 110.090
557.422 159.560
557.577 243.381
557.733 394.348
557.888 675.046
558.044 1141.30
558.200 1507.53
558.356 1273.50
558.512 840.346
558.619 622.447
558.726 471.636
558.833 367.736
558.939 294.749
559.153 203.077
559.367 150.495
559.580 117.639
559.794 95.7325
560.221 69.0848
560.648 53.9456
561.076 44.4152
561.930 33.3488
562.785 27.2599
563.639 23.4658
564.494 20.8942
565.348 19.0431
567.058 16.5606
568.767 14.9697
570.476 13.8576
572.185 13.0310
575.603 11.8704
579.021 11.0796
585.857 10.0368
592.694 9.35106
599.530 8.84764
613.203 8.12817
626.875 7.61394
640.548 7.20661
647.384 7.02305
654.221 6.83752
657.639 6.73474
659.348 6.67694
661.057 6.61177
662.766 6.53620
663.621 6.49477
664.475 6.45541
664.902 6.44119
665.330 6.43800
665.757 6.46092
666.184 6.54940
666.398 6.64901
666.612 6.82497
666.825 7.14713
667.039 7.77679
667.252 9.14874
667.359 10.4728
667.466 12.7308
667.573 16.9382
667.626 20.4876
667.680 25.8327
667.733 34.2824
667.786 48.4238
667.840 73.5503
667.867 93.1716
667.893 119.651
667.920 154.038
667.947 194.322
668.000 249.856
668.053 208.151
668.107 136.939
668.142 103.194
668.176 79.5927
668.246 51.6087
668.315 36.9621
668.385 28.5304
668.454 23.2703
668.524 19.7734
668.663 15.5507
668.802 13.1797
668.941 11.7072
669.219 10.0275
669.497 9.12510
669.775 8.57521
670.053 8.20976
670.331 7.95151
670.887 7.61295
671.443 7.40185
672.000 7.25750
672.556 7.15208
673.668 7.00661
674.780 6.90868
677.004 6.77886
679.229 6.69037
681.453 6.62160
685.902 6.51310
694.799 6.34620
703.696 6.20835
712.594 6.08615
721.491 5.97598
725.940 5.92662
728.164 5.90475
730.388 5.88683
732.613 5.87821
733.725 5.88226
734.837 5.89990
735.393 5.91891
735.949 5.95104
736.505 6.00719
737.061 6.11266
737.339 6.20200
737.617 6.33753
737.896 6.55623
738.174 6.94031
738.452 7.70643
738.591 8.41035
738.730 9.58036
738.869 11.7303
738.938 13.5454
739.008 16.3067
739.077 20.7680
739.147 28.5366
739.216 43.2841
739.251 55.5907
739.286 72.9909
739.343 113.314
739.400 140.185
739.457 113.291
739.514 72.9633
739.582 43.7330
739.650 28.9982
739.718 21.1502
739.786 16.6149
739.854 13.7882
739.922 11.9230
740.057 9.70636
740.193 8.49373
740.329 7.76201
740.600 6.96154
740.872 6.55634
741.143 6.32306
741.415 6.17611
741.686 6.07732
742.229 5.95587
742.772 5.88586
743.858 5.80978
744.944 5.76898
746.029 5.74291
748.201 5.71143
750.373 5.69971
751.458 5.70510
752.544 5.72701
753.087 5.75014
753.630 5.78881
754.173 5.85593
754.716 5.98142
754.987 6.08745
755.259 6.24810
755.530 6.50708
755.802 6.96151
756.073 7.86716
756.209 8.69858
756.344 10.0794
756.480 12.6158
756.548 14.7554
756.616 18.0011
756.684 23.2435
756.752 32.3338
756.820 49.5471
756.853 63.8119
756.887 83.9730
756.944 131.089
757.000 162.441
757.056 131.011
757.113 83.9882
757.161 56.9732
757.210 40.6388
757.259 30.6031
757.307 24.1751
757.404 16.8742
757.502 13.1079
757.599 10.9359
757.696 9.57664
757.890 8.04045
758.085 7.23969
758.279 6.77091
758.474 6.47281
758.668 6.27138
759.057 6.02376
759.446 5.88237
759.835 5.79332
760.223 5.73303
761.001 5.65745
761.779 5.61193
763.334 5.55782
764.890 5.52377
766.445 5.49781
769.555 5.45581
775.777 5.38487
781.998 5.31898
788.219 5.25503
794.441 5.19467
797.551 5.16995
799.107 5.16218
800.662 5.16223
802.217 5.18213
802.995 5.21053
803.773 5.26913
804.162 5.32111
804.550 5.40206
804.939 5.53575
805.328 5.77636
805.523 5.97492
805.717 6.27053
805.911 6.73740
806.106 7.53595
806.300 9.06742
806.397 10.4191
806.495 12.5715
806.592 16.2824
806.689 23.4080
806.738 29.6174
806.786 39.2101
806.835 54.6061
806.883 79.5766
806.942 124.414
807.000 154.278
807.058 124.381
807.117 79.6384
807.160 56.9727
807.203 42.1793
807.246 32.5014
807.289 25.9942
807.375 18.2328
807.461 14.0360
807.547 11.5410
807.633 9.94646
807.805 8.10890
807.977 7.13261
808.149 6.55389
808.321 6.18292
808.493 5.93094
808.837 5.61941
809.180 5.44076
809.524 5.32806
809.868 5.25181
810.556 5.15654
811.244 5.09960
812.620 5.03278
813.996 4.99127
815.371 4.95964
818.123 4.90727
823.626 4.80972
829.129 4.69932
834.632 4.55624
837.384 4.46211
840.135 4.34243
841.511 4.26900
842.887 4.18397
844.263 4.08652
845.638 3.98231
846.326 3.93616
847.014 3.90899
847.702 3.93341
848.390 4.09801
848.734 4.30376
849.078 4.68462
849.422 5.40777
849.766 6.86451
850.110 10.1294
850.282 13.3471
850.454 18.9245
850.540 23.3194
850.626 29.5406
850.712 38.6650
850.798 52.6211
850.884 75.1893
850.970 114.076
851.056 185.988
851.099 244.186
851.141 324.675
851.221 537.229
851.300 696.153
851.379 578.652
851.459 376.475
851.526 257.805
851.593 183.417
851.660 136.425
851.727 105.636
851.861 69.5904
851.995 50.3008
852.129 38.8071
852.263 31.3945
852.532 22.6808
852.800 17.8970
853.068 14.9591
853.336 13.0065
853.604 11.6316
854.141 9.84895
854.677 8.76103
855.214 8.03642
855.750 7.52280
856.823 6.84757
857.896 6.42576
858.969 6.13760
860.042 5.92793
862.187 5.64133
864.333 5.45185
868.624 5.20811
872.916 5.04798
877.207 4.92572
885.790 4.72741
894.373 4.53843
898.665 4.43174
902.956 4.30452
907.248 4.13826
909.393 4.03004
911.539 3.89631
912.612 3.81798
913.685 3.73297
914.758 3.64785
915.830 3.58802
916.367 3.59171
916.903 3.65315
917.440 3.84123
917.976 4.32921
918.244 4.81652
918.513 5.62890
918.781 7.04590
919.049 9.69119
919.183 11.8964
919.317 15.1633
919.451 20.2153
919.585 28.4719
919.719 42.9821
919.787 54.5609
919.854 71.0692
919.921 95.4630
919.988 132.668
920.055 191.336
920.122 284.147
920.211 472.096
920.300 613.950
920.389 512.142
920.478 334.498
920.556 227.295
920.634 160.889
920.711 119.351
920.789 92.3245
920.944 60.8905
921.100 44.1536
921.255 34.1977
921.410 27.7859
921.721 20.2445
922.032 16.0961
922.342 13.5413
922.653 11.8383
922.963 10.6356
923.585 9.06979
924.206 8.10868
924.827 7.46525
925.449 7.00705
926.691 6.40076
927.934 6.01888
929.176 5.75604
930.419 5.56342
932.904 5.29765
935.389 5.11985
940.359 4.88805
945.329 4.73411
950.299 4.61680
960.239 4.43300
980.120 4.13141
990.060 3.98103
1000.00 3.81537
1000.00 3.81535
1000.01 3.81528
1000.01 3.81521
1000.02 3.81507
1000.03 3.81480
1000.06 3.81426
1000.12 3.81318
1000.24 3.81100
1000.48 3.80664
1000.97 3.79785
1001.93 3.78004
1003.86 3.74326
1007.72 3.66419
1011.58 3.57510
1015.43 3.47080
1019.29 3.34153
1021.22 3.26204
1023.15 3.16810
1025.08 3.05767
1026.04 3.00032
1027.01 2.95613
1027.49 2.95165
1027.97 2.97760
1028.45 3.07050
1028.94 3.32288
1029.18 3.57924
1029.42 4.01115
1029.66 4.77257
1029.90 6.21285
1030.14 9.24982
1030.26 12.1249
1030.38 16.8835
1030.50 25.5831
1030.56 32.6809
1030.62 43.1019
1030.68 59.3786
1030.74 85.1482
1030.80 128.403
1030.86 202.352
1030.93 333.802
1031.00 431.444
1031.07 357.677
1031.14 232.187
1031.19 161.361
1031.25 116.765
1031.30 87.9163
1031.35 68.6428
1031.46 45.6964
1031.57 33.2162
1031.68 25.7082
1031.79 20.8374
1032.00 15.0843
1032.22 11.9163
1032.43 9.96736
1032.65 8.67154
1032.87 7.75905
1033.30 6.57371
1033.73 5.85125
1034.16 5.36860
1034.59 5.02481
1035.46 4.56749
1036.32 4.27563
1038.05 3.91360
1039.78 3.68340
1041.51 3.50965
1044.97 3.22458
1048.43 2.94629
1050.16 2.79395
1051.88 2.63336
1052.75 2.55713
1053.61 2.49791
1054.48 2.48767
1055.34 2.61537
1055.78 2.80333
1056.21 3.16849
1056.64 3.88270
1057.07 5.35009
1057.29 6.66192
1057.50 8.69286
1057.72 12.0050
1057.94 17.7724
1058.04 22.3257
1058.15 28.7801
1058.26 38.2581
1058.37 52.7908
1058.48 76.2897
1058.58 116.804
1058.69 191.759
1058.75 252.441
1058.80 336.645
1058.90 560.229
1059.00 728.764
1059.10 606.133
1059.20 393.965
1059.29 267.862
1059.37 190.149
1059.46 140.655
1059.54 108.653
1059.71 71.0494
1059.88 50.9618
1060.06 38.9992
