30-Zn_n-tot
>  30-Zn-64:0.491700
>  30-Zn-66:0.277300
>  30-Zn-67:0.040400
>  30-Zn-68:0.184500
>  30-Zn-70:0.006100
5.511400e+00 4.27815870e+00
6.116150e+00 4.27316789e+00
6.608620e+00 4.26927402e+00
6.986270e+00 4.26645128e+00
7.500000e+00 4.26271651e+00
8.726510e+00 4.25536528e+00
8.803060e+00 4.25492217e+00
1.000000e+01 4.24829896e+00
1.046670e+01 4.24605664e+00
1.099750e+01 4.24356205e+00
1.220700e+01 4.23808258e+00
1.319190e+01 4.23374404e+00
1.394720e+01 4.23053224e+00
1.500000e+01 4.22613446e+00
1.742770e+01 4.21706609e+00
1.758080e+01 4.21650570e+00
2.000000e+01 4.20787566e+00
2.090820e+01 4.20484171e+00
2.196970e+01 4.20133527e+00
2.420410e+01 4.19408684e+00
2.635860e+01 4.18719585e+00
2.750000e+01 4.18359215e+00
2.786920e+01 4.18246764e+00
2.873930e+01 4.17982279e+00
2.960940e+01 4.17718522e+00
3.125000e+01 4.17222917e+00
3.134970e+01 4.17193113e+00
3.483010e+01 4.16159297e+00
3.500000e+01 4.16108997e+00
3.513630e+01 4.16069003e+00
3.542450e+01 4.15985102e+00
3.568490e+01 4.15909341e+00
3.584890e+01 4.15861626e+00
3.623350e+01 4.15749878e+00
3.669780e+01 4.15615185e+00
3.733080e+01 4.15431958e+00
3.839560e+01 4.15124690e+00
3.952520e+01 4.14800024e+00
4.179110e+01 4.14152072e+00
4.391410e+01 4.13549291e+00
5.000000e+01 4.11832010e+00
5.269180e+01 4.11075165e+00
5.571310e+01 4.10229396e+00
6.146960e+01 4.08626927e+00
6.963500e+01 4.06364850e+00
7.024730e+01 4.06195796e+00
7.500000e+01 4.04887037e+00
7.889300e+01 4.03790732e+00
7.889310e+01 4.03790715e+00
7.889320e+01 4.03790697e+00
7.889330e+01 4.03790639e+00
7.889370e+01 4.03790569e+00
7.889430e+01 4.03790463e+00
7.889560e+01 4.03790194e+00
7.889820e+01 4.03789123e+00
7.890330e+01 4.03787572e+00
7.891360e+01 4.03784904e+00
7.893420e+01 4.03779116e+00
7.897550e+01 4.03767482e+00
7.905790e+01 4.03744210e+00
7.922280e+01 4.03697728e+00
7.955260e+01 4.03605216e+00
8.021220e+01 4.03419740e+00
8.153140e+01 4.03048257e+00
8.416980e+01 4.02306967e+00
8.944650e+01 4.00825348e+00
1.000000e+02 3.97864740e+00
1.013000e+02 3.97479740e+00
1.013010e+02 3.97479548e+00
1.013020e+02 3.97478824e+00
1.013040e+02 3.97478360e+00
1.013070e+02 3.97477663e+00
1.013140e+02 3.97475587e+00
1.013280e+02 3.97471433e+00
1.013560e+02 3.97463127e+00
1.014130e+02 3.97446282e+00
1.015250e+02 3.97413057e+00
1.017500e+02 3.97346333e+00
1.021990e+02 3.97213078e+00
1.030980e+02 3.96946868e+00
1.048960e+02 3.96413753e+00
1.084930e+02 3.95347548e+00
1.156850e+02 3.93212337e+00
1.300700e+02 3.88926763e+00
1.300710e+02 3.88926552e+00
1.300730e+02 3.88926107e+00
1.300750e+02 3.88925151e+00
1.300800e+02 3.88923990e+00
1.300900e+02 3.88920726e+00
1.301090e+02 3.88914839e+00
1.301480e+02 3.88903446e+00
1.302260e+02 3.88880089e+00
1.303820e+02 3.88833414e+00
1.306930e+02 3.88740708e+00
1.313160e+02 3.88554040e+00
1.325610e+02 3.88181758e+00
1.350530e+02 3.87435430e+00
1.400350e+02 3.85940215e+00
1.500000e+02 3.82937082e+00
1.670200e+02 3.77295684e+00
1.670210e+02 3.77295431e+00
1.670220e+02 3.77295160e+00
1.670240e+02 3.77294142e+00
1.670280e+02 3.77293094e+00
1.670360e+02 3.77290505e+00
1.670520e+02 3.77284833e+00
1.670850e+02 3.77274255e+00
1.671490e+02 3.77253048e+00
1.672780e+02 3.77210418e+00
1.675360e+02 3.77125182e+00
1.680510e+02 3.76955515e+00
1.690810e+02 3.76615623e+00
1.711430e+02 3.75938506e+00
1.752650e+02 3.74597511e+00
1.835100e+02 3.72026501e+00
1.917550e+02 3.69877077e+00
1.938160e+02 3.69493578e+00
1.958780e+02 3.69222901e+00
1.969080e+02 3.69144440e+00
1.979390e+02 3.69113625e+00
1.989690e+02 3.69140984e+00
2.000000e+02 3.69238439e+00
2.018060e+02 3.69533090e+00
2.036130e+02 3.70214432e+00
2.054190e+02 3.71473633e+00
2.072250e+02 3.73623533e+00
2.090310e+02 3.77205896e+00
2.108380e+02 3.83213533e+00
2.126440e+02 3.93617073e+00
2.144500e+02 4.12742932e+00
2.144510e+02 4.12756323e+00
2.144520e+02 4.12774633e+00
2.144540e+02 4.12803576e+00
2.144580e+02 4.12860163e+00
2.144650e+02 4.12960620e+00
2.144660e+02 4.12974976e+00
2.144800e+02 4.13177015e+00
2.144820e+02 4.13205878e+00
2.145100e+02 4.13626948e+00
2.145130e+02 4.13672059e+00
2.145690e+02 4.14502425e+00
2.145770e+02 4.14621053e+00
2.146880e+02 4.16357097e+00
2.147030e+02 4.16591667e+00
2.149260e+02 4.20337261e+00
2.149560e+02 4.20841183e+00
2.154020e+02 4.29616392e+00
2.154610e+02 4.30777238e+00
2.163540e+02 4.55368809e+00
2.164720e+02 4.58618338e+00
2.174840e+02 5.04166211e+00
2.182570e+02 5.65891020e+00
2.184950e+02 5.84895588e+00
2.190000e+02 6.50277194e+00
2.195060e+02 7.45655459e+00
2.200110e+02 8.91743741e+00
2.205170e+02 1.12990288e+01
2.210220e+02 1.55243584e+01
2.212750e+02 1.89504254e+01
2.215280e+02 2.39415885e+01
2.217810e+02 3.15345520e+01
2.220340e+02 4.36495279e+01
2.220640e+02 4.60611950e+01
2.222860e+02 6.39075326e+01
2.225390e+02 9.83961513e+01
2.228200e+02 1.57407475e+02
2.231000e+02 1.98420602e+02
2.233810e+02 1.61449201e+02
2.236610e+02 1.03546160e+02
2.238630e+02 7.44130321e+01
2.240650e+02 5.50704404e+01
2.242670e+02 4.22135032e+01
2.244690e+02 3.34601959e+01
2.248730e+02 2.28567294e+01
2.252770e+02 1.70208668e+01
2.256810e+02 1.34998839e+01
2.260840e+02 1.12204368e+01
2.268920e+02 8.54890253e+00
2.277000e+02 7.10008640e+00
2.285080e+02 6.22425942e+00
2.293160e+02 5.65238993e+00
2.296780e+02 5.47498220e+00
2.301230e+02 5.25691017e+00
2.317390e+02 4.75671018e+00
2.333550e+02 4.46088168e+00
2.349700e+02 4.26909867e+00
2.365860e+02 4.13613064e+00
2.398170e+02 3.96527533e+00
2.430480e+02 3.86035120e+00
2.449050e+02 3.81919519e+00
2.462790e+02 3.78884406e+00
2.495110e+02 3.73630207e+00
2.525190e+02 3.70164285e+00
2.559730e+02 3.66240676e+00
2.601330e+02 3.62901307e+00
2.617010e+02 3.61694768e+00
2.624350e+02 3.61121797e+00
2.639390e+02 3.60285433e+00
2.677460e+02 3.58401459e+00
2.696500e+02 3.57656615e+00
2.715530e+02 3.57199965e+00
2.734570e+02 3.57356899e+00
2.744080e+02 3.57909668e+00
2.750000e+02 3.58700244e+00
2.753600e+02 3.59161591e+00
2.753610e+02 3.59263775e+00
2.753620e+02 3.59264790e+00
2.753630e+02 3.59267158e+00
2.753660e+02 3.59272048e+00
2.753710e+02 3.59281714e+00
2.753820e+02 3.59300627e+00
2.754030e+02 3.59339007e+00
2.754040e+02 3.59340849e+00
2.754460e+02 3.59418073e+00
2.754470e+02 3.59419986e+00
2.755320e+02 3.59582804e+00
2.755340e+02 3.59587043e+00
2.757030e+02 3.59945432e+00
2.757080e+02 3.59958162e+00
2.760460e+02 3.60819410e+00
2.760550e+02 3.60853137e+00
2.767330e+02 3.63397433e+00
2.767500e+02 3.63507637e+00
2.771260e+02 3.65948706e+00
2.774190e+02 3.67845839e+00
2.781050e+02 3.76119410e+00
2.781410e+02 3.76851699e+00
2.784480e+02 3.83101837e+00
2.787910e+02 3.93663974e+00
2.791350e+02 4.10647709e+00
2.794780e+02 4.40376312e+00
2.798210e+02 4.99342381e+00
2.799920e+02 5.53261432e+00
2.801640e+02 6.42306052e+00
2.803350e+02 8.04574640e+00
2.804210e+02 9.40324756e+00
2.805070e+02 1.14463260e+01
2.805930e+02 1.47076896e+01
2.806790e+02 2.02807807e+01
2.807640e+02 3.05680997e+01
2.808500e+02 5.04713939e+01
2.809210e+02 7.71854540e+01
2.809250e+02 7.86904727e+01
2.810000e+02 9.75207579e+01
2.810750e+02 7.87094413e+01
2.811500e+02 5.04956407e+01
2.812210e+02 3.31762589e+01
2.812920e+02 2.31729798e+01
2.813620e+02 1.72491436e+01
2.814330e+02 1.35662746e+01
2.815750e+02 9.49335314e+00
2.817160e+02 7.44678125e+00
2.818570e+02 6.28436955e+00
2.819990e+02 5.56482738e+00
2.822820e+02 4.75999644e+00
2.825650e+02 4.34424279e+00
2.828480e+02 4.10206908e+00
2.831310e+02 3.94854396e+00
2.834140e+02 3.84496081e+00
2.839790e+02 3.71767584e+00
2.845450e+02 3.64479773e+00
2.851110e+02 3.59863860e+00
2.856770e+02 3.56713212e+00
2.864820e+02 3.53857751e+00
2.868090e+02 3.52713220e+00
2.879400e+02 3.50275799e+00
2.890720e+02 3.48572068e+00
2.902040e+02 3.47265139e+00
2.924670e+02 3.45264358e+00
2.925510e+02 3.45205123e+00
2.947310e+02 3.43596827e+00
2.976050e+02 3.41786637e+00
2.992580e+02 3.40830418e+00
3.002640e+02 3.40306794e+00
3.037840e+02 3.38348018e+00
3.041200e+02 3.38168826e+00
3.079760e+02 3.35944898e+00
3.083110e+02 3.35734872e+00
3.087270e+02 3.35479826e+00
3.099040e+02 3.34810243e+00
3.118330e+02 3.33618522e+00
3.125000e+02 3.33162231e+00
3.137610e+02 3.32270573e+00
3.142880e+02 3.31852830e+00
3.156890e+02 3.30862854e+00
3.166530e+02 3.30116367e+00
3.170690e+02 3.29784658e+00
3.173650e+02 3.29617920e+00
3.176170e+02 3.29478198e+00
3.177640e+02 3.29404728e+00
3.184590e+02 3.29403920e+00
3.185810e+02 3.29552168e+00
3.188060e+02 3.29897548e+00
3.189800e+02 3.30452630e+00
3.191540e+02 3.31423427e+00
3.193280e+02 3.33261532e+00
3.195020e+02 3.37212799e+00
3.195450e+02 3.39129295e+00
3.195880e+02 3.41076775e+00
3.196750e+02 3.47730678e+00
3.197620e+02 3.60031813e+00
3.198490e+02 3.83911185e+00
3.199250e+02 4.17628724e+00
3.200000e+02 4.40146387e+00
3.200270e+02 4.32167508e+00
3.200760e+02 4.17744857e+00
3.201510e+02 3.84158226e+00
3.202160e+02 3.64912503e+00
3.202820e+02 3.53304104e+00
3.203470e+02 3.46217488e+00
3.204120e+02 3.41716876e+00
3.205090e+02 3.37996563e+00
3.205430e+02 3.36778210e+00
3.206730e+02 3.34606060e+00
3.208040e+02 3.33575777e+00
3.209350e+02 3.33125195e+00
3.209910e+02 3.33111940e+00
3.211960e+02 3.34279720e+00
3.214730e+02 3.36539300e+00
3.217140e+02 3.40838141e+00
3.217180e+02 3.40961877e+00
3.219550e+02 3.48542724e+00
3.221960e+02 3.62235930e+00
3.222400e+02 3.67025305e+00
3.224370e+02 3.88551420e+00
3.226780e+02 4.45274429e+00
3.227990e+02 5.00134989e+00
3.229190e+02 5.94597614e+00
3.230400e+02 7.74334960e+00
3.231000e+02 9.29996118e+00
3.231600e+02 1.17055822e+01
3.232210e+02 1.56692629e+01
3.232510e+02 1.86464607e+01
3.232810e+02 2.26898492e+01
3.232850e+02 2.34418268e+01
3.233110e+02 2.83297253e+01
3.233410e+02 3.63166477e+01
3.233710e+02 4.78358452e+01
3.234010e+02 6.43824918e+01
3.234260e+02 8.24440485e+01
3.234510e+02 1.03336006e+02
3.235000e+02 1.31361224e+02
3.235010e+02 1.31396761e+02
3.235020e+02 1.31426567e+02
3.235030e+02 1.31421016e+02
3.235060e+02 1.31223289e+02
3.235130e+02 1.30089381e+02
3.235250e+02 1.25182232e+02
3.235500e+02 1.08054973e+02
3.235990e+02 7.03150761e+01
3.236360e+02 5.02977481e+01
3.236740e+02 3.72398141e+01
3.237110e+02 2.86788029e+01
3.237480e+02 2.29047675e+01
3.238230e+02 1.59755402e+01
3.238970e+02 1.21878210e+01
3.239720e+02 9.90788867e+00
3.240470e+02 8.43151631e+00
3.241960e+02 6.69639995e+00
3.243300e+02 5.84443443e+00
3.243450e+02 5.74907809e+00
3.244940e+02 5.17278826e+00
3.246430e+02 4.79365873e+00
3.247930e+02 4.52951676e+00
3.250910e+02 4.19211313e+00
3.253900e+02 3.99033096e+00
3.256880e+02 3.85834562e+00
3.259860e+02 3.76636636e+00
3.265830e+02 3.64791398e+00
3.271800e+02 3.57568751e+00
3.277770e+02 3.52729221e+00
3.283740e+02 3.49261216e+00
3.285080e+02 3.48737589e+00
3.295680e+02 3.44659322e+00
3.307620e+02 3.41690755e+00
3.319550e+02 3.39576810e+00
3.331490e+02 3.37963408e+00
3.354730e+02 3.35647263e+00
3.355370e+02 3.35583346e+00
3.368660e+02 3.34601343e+00
3.379240e+02 3.33938920e+00
3.426990e+02 3.31819061e+00
3.474740e+02 3.30246315e+00
3.500000e+02 3.29551629e+00
3.522490e+02 3.28986078e+00
3.535800e+02 3.28703550e+00
3.535810e+02 3.28601549e+00
3.535820e+02 3.28601412e+00
3.535830e+02 3.28601354e+00
3.535850e+02 3.28600887e+00
3.535860e+02 3.28600817e+00
3.535890e+02 3.28600818e+00
3.535910e+02 3.28600600e+00
3.535980e+02 3.28599570e+00
3.536020e+02 3.28599200e+00
3.536160e+02 3.28597905e+00
3.536240e+02 3.28596947e+00
3.536520e+02 3.28593867e+00
3.536670e+02 3.28592436e+00
3.537250e+02 3.28586467e+00
3.537550e+02 3.28583249e+00
3.538690e+02 3.28571682e+00
3.539290e+02 3.28565711e+00
3.541580e+02 3.28543648e+00
3.542780e+02 3.28531984e+00
3.547360e+02 3.28491389e+00
3.549750e+02 3.28470205e+00
3.558920e+02 3.28404278e+00
3.563700e+02 3.28369927e+00
3.582050e+02 3.28305290e+00
3.591590e+02 3.28271757e+00
3.617990e+02 3.28404086e+00
3.628290e+02 3.28488107e+00
3.647380e+02 3.28644150e+00
3.687500e+02 3.29934600e+00
3.720780e+02 3.31175366e+00
3.758950e+02 3.32598733e+00
3.781250e+02 3.34645253e+00
3.809000e+02 3.37374881e+00
3.870530e+02 3.43521237e+00
3.875000e+02 3.44467000e+00
3.905750e+02 3.51197687e+00
3.921880e+02 3.54727846e+00
3.945310e+02 3.59967097e+00
3.968750e+02 3.65295335e+00
3.982100e+02 3.68385405e+00
3.992190e+02 3.72368065e+00
4.000000e+02 3.75487207e+00
4.015630e+02 3.81737791e+00
4.037890e+02 3.90756513e+00
4.039060e+02 3.91465858e+00
4.062500e+02 4.05814903e+00
4.085940e+02 4.20319188e+00
4.093680e+02 4.25166235e+00
4.109380e+02 4.40468847e+00
4.117990e+02 4.48974025e+00
4.149460e+02 4.80074233e+00
4.156250e+02 4.91215562e+00
4.203130e+02 5.69143593e+00
4.205250e+02 5.72725893e+00
4.250000e+02 7.09213230e+00
4.261040e+02 7.43275464e+00
4.288930e+02 8.85710344e+00
4.296880e+02 9.46333304e+00
4.316830e+02 1.09937946e+01
4.343750e+02 1.42409951e+01
4.344720e+02 1.43585838e+01
4.372610e+02 2.00066079e+01
4.390630e+02 2.65246837e+01
4.400510e+02 3.01062940e+01
4.428400e+02 4.88477853e+01
4.437500e+02 5.86733197e+01
4.455200e+02 7.78163317e+01
4.482000e+02 9.82538034e+01
4.508850e+02 8.08823696e+01
4.531250e+02 5.77542888e+01
4.535700e+02 5.31718582e+01
4.540000e+02 4.95866966e+01
4.540010e+02 4.95795012e+01
4.540020e+02 4.95739219e+01
4.540030e+02 4.95626865e+01
4.540060e+02 4.95402876e+01
4.540110e+02 4.94958219e+01
4.540230e+02 4.94062409e+01
4.540450e+02 4.92277285e+01
4.540900e+02 4.88727956e+01
4.541800e+02 4.81730346e+01
4.543600e+02 4.68094686e+01
4.547190e+02 4.42269729e+01
4.554380e+02 3.96098061e+01
4.559000e+02 3.72479279e+01
4.568750e+02 3.22634749e+01
4.578130e+02 2.92025014e+01
4.597500e+02 2.29367517e+01
4.625000e+02 1.79622467e+01
4.626250e+02 1.77412895e+01
4.655000e+02 1.47904551e+01
4.671880e+02 1.37488234e+01
4.683750e+02 1.30894038e+01
4.712500e+02 1.21840918e+01
4.718750e+02 1.21112645e+01
4.765630e+02 1.20096229e+01
4.770000e+02 1.20669501e+01
4.812500e+02 1.32112977e+01
4.827500e+02 1.40042189e+01
4.859380e+02 1.59096491e+01
4.885000e+02 1.86505623e+01
4.906250e+02 2.10298524e+01
4.953130e+02 3.06825039e+01
4.976560e+02 3.86255177e+01
5.000000e+02 5.02638141e+01
5.030180e+02 7.49187367e+01
5.060350e+02 1.21279938e+02
5.075440e+02 1.60398736e+02
5.090530e+02 2.18604244e+02
5.103690e+02 2.96030745e+02
5.105610e+02 3.07329610e+02
5.120700e+02 4.42745720e+02
5.142350e+02 7.31655537e+02
5.164000e+02 9.43872393e+02
5.185650e+02 7.80399280e+02
5.207300e+02 5.05916207e+02
5.207380e+02 5.05219108e+02
5.226020e+02 3.42809030e+02
5.244740e+02 2.41764022e+02
5.263470e+02 1.78508287e+02
5.282190e+02 1.37290356e+02
5.311060e+02 1.00356318e+02
5.319630e+02 8.93963182e+01
5.357070e+02 6.39249807e+01
5.394520e+02 4.87967009e+01
5.414750e+02 4.35328081e+01
5.431960e+02 3.90595341e+01
5.506840e+02 2.76268660e+01
5.518440e+02 2.66531355e+01
5.581730e+02 2.13524868e+01
5.622130e+02 1.92667569e+01
5.656620e+02 1.74907432e+01
5.673970e+02 1.68943798e+01
5.725810e+02 1.51212707e+01
5.731500e+02 1.49285268e+01
5.751730e+02 1.44461333e+01
5.777660e+02 1.38445750e+01
5.790620e+02 1.35587922e+01
5.803580e+02 1.32955647e+01
5.806390e+02 1.32491352e+01
5.816540e+02 1.31664412e+01
5.823020e+02 1.31517445e+01
5.829500e+02 1.31870692e+01
5.829510e+02 1.31871291e+01
5.829520e+02 1.31872663e+01
5.829530e+02 1.31873530e+01
5.829540e+02 1.31874397e+01
5.829550e+02 1.31875957e+01
5.829570e+02 1.31879058e+01
5.829600e+02 1.31882434e+01
5.829640e+02 1.31886936e+01
5.829700e+02 1.31893947e+01
5.829780e+02 1.31903319e+01
5.829910e+02 1.31919017e+01
5.830060e+02 1.31937124e+01
5.830310e+02 1.31968435e+01
5.830630e+02 1.32008516e+01
5.831120e+02 1.32082501e+01
5.831750e+02 1.32177624e+01
5.832740e+02 1.32372066e+01
5.834000e+02 1.32619534e+01
5.835970e+02 1.33256692e+01
5.838500e+02 1.34074973e+01
5.842440e+02 1.36413012e+01
5.843000e+02 1.36745320e+01
5.847500e+02 1.41670374e+01
5.852000e+02 1.51240579e+01
5.854240e+02 1.59432058e+01
5.855370e+02 1.65650634e+01
5.856490e+02 1.71814181e+01
5.858740e+02 1.91397243e+01
5.860990e+02 2.24044049e+01
5.863240e+02 2.81650379e+01
5.865490e+02 3.86224537e+01
5.867750e+02 5.53395739e+01
5.870000e+02 6.72228269e+01
5.872260e+02 5.71004495e+01
5.874510e+02 4.07781193e+01
5.876080e+02 3.26983156e+01
5.877660e+02 2.72265007e+01
5.879230e+02 2.35270670e+01
5.880800e+02 2.09675598e+01
5.881240e+02 2.05258905e+01
5.883950e+02 1.78056089e+01
5.887090e+02 1.60178165e+01
5.890240e+02 1.49077937e+01
5.893390e+02 1.41656493e+01
5.899680e+02 1.32468644e+01
5.905970e+02 1.26982082e+01
5.912260e+02 1.23249122e+01
5.924850e+02 1.18208042e+01
5.932980e+02 1.15895667e+01
5.937430e+02 1.14629967e+01
5.950010e+02 1.11700095e+01
5.956160e+02 1.10431236e+01
5.962600e+02 1.09489129e+01
5.975180e+02 1.07839295e+01
6.000000e+02 1.04893286e+01
6.000350e+02 1.04851749e+01
6.025510e+02 1.02086599e+01
6.036460e+02 1.00947525e+01
