S-32(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
145106 0.0143931
145114 0.0242919
145122 0.0499485
145126 0.0816380
145130 0.156459
145134 0.404482
145136 0.803051
145137 1.22621
145138 1.90118
145139 3.08411
145140 3.80487
145141 3.08406
145142 1.90113
145144 0.835560
145146 0.443040
145148 0.262723
145149 0.176060
145153 0.0928989
145157 0.0578401
145164 0.0281792
145171 0.0167975
145186 0.00800402
145201 0.00475856
145230 0.00235983
145260 0.00149751
145318 0.000870446
145377 0.000647442
145495 0.000485556
145612 0.000427262
146083 0.000364971
147024 0.000336568
148905 0.000306440
152668 0.000261421
156432 0.000228481
158313 0.000223401
159254 0.000255406
159489 0.000293738
159724 0.000405330
159842 0.000561258
159901 0.000716919
159960 0.00100058
160018 0.00160284
160048 0.00219682
160077 0.00326603
160107 0.00549386
160136 0.0114359
160151 0.0190492
160165 0.0380286
160173 0.0605660
160180 0.109543
160187 0.248614
160191 0.433328
160193 0.592876
160195 0.829676
160196 1.07823
160197 1.34201
160200 1.66857
160201 1.55858
160203 1.32167
160205 0.829624
160208 0.471391
160211 0.293944
160215 0.194855
160218 0.138908
160224 0.0794330
160230 0.0511178
160236 0.0355792
160242 0.0261751
160254 0.0158766
160266 0.0106693
160279 0.00768015
160303 0.00455952
160327 0.00304940
160352 0.00220606
160401 0.00134676
160449 0.000939958
160498 0.000715788
160596 0.000489881
160693 0.000383835
160791 0.000325557
160986 0.000266652
161377 0.000222751
161767 0.000205778
163328 0.000182626
166451 0.000163464
169574 0.000151086
171136 0.000150930
171917 0.000170601
172112 0.000192998
172307 0.000257831
172405 0.000348564
172502 0.000605774
172551 0.000961544
172600 0.00195824
172624 0.00331842
172649 0.00705277
172661 0.0120188
172673 0.0251184
172679 0.0416656
172685 0.0820470
172691 0.226558
172694 0.480673
172696 0.779378
172697 1.38174
172699 2.20116
172700 2.76502
172701 2.57383
172701 2.20113
172703 1.38170
172704 0.752667
172706 0.440617
172709 0.200043
172713 0.110436
172716 0.0704459
172723 0.0353904
172729 0.0213636
172743 0.0101510
172756 0.00596179
172783 0.00280813
172809 0.00166620
172863 0.000828044
172916 0.000529020
173023 0.000312538
173129 0.000235961
173342 0.000180519
173556 0.000160644
174409 0.000139668
176115 0.000130880
179527 0.000123872
186351 0.000125733
189764 0.000141266
193176 0.000185359
194882 0.000234743
196588 0.000331137
197441 0.000416083
198294 0.000549607
199147 0.000773120
200000 0.00117587
200550 0.00161407
201100 0.00228417
201865 0.00364848
202630 0.00454386
203395 0.00359888
204160 0.00224838
205049 0.00130441
205939 0.000826296
206828 0.000569572
207717 0.000419893
209496 0.000263691
211274 0.000188713
213053 0.000147053
214831 0.000121444
218388 9.26912E-05
225502 6.89274E-05
232616 6.07603E-05
239730 6.03688E-05
246844 6.86665E-05
250401 7.85837E-05
253958 9.63887E-05
257515 0.000132406
259293 0.000175719
259738 0.000201208
260182 0.000258656
260405 0.000330229
260627 0.000522575
260738 0.000782292
260849 0.00149715
260905 0.00245921
260961 0.00505017
260988 0.00841459
261016 0.0169763
261030 0.0273115
261044 0.0509292
261058 0.123859
261065 0.228773
261068 0.331946
261072 0.493015
261076 0.787575
261080 0.983467
261082 0.925876
261084 0.787544
261088 0.492985
261093 0.278518
261098 0.170439
261108 0.0801536
261118 0.0457508
261128 0.0294282
261148 0.0150431
261168 0.00915647
261208 0.00446722
261247 0.00268633
261327 0.00134672
261406 0.000860213
261565 0.000506171
261723 0.000383296
262041 0.000301891
262358 0.000281603
263628 0.000314397
264898 0.000409449
266168 0.000577960
267438 0.000899305
268073 0.00117968
268708 0.00162064
269343 0.00236808
269978 0.00376667
270296 0.00495361
270613 0.00674009
270931 0.00951251
271248 0.0138334
271664 0.0221477
272080 0.0276436
272496 0.0220329
272912 0.0137580
273378 0.00803797
273844 0.00505398
274310 0.00342293
274775 0.00246353
275241 0.00186040
275707 0.00146049
276639 0.000985670
277571 0.000731583
278502 0.000586832
280366 0.000464746
282229 0.000489802
283161 0.000569541
284092 0.000733038
285024 0.00107193
285490 0.00137922
285956 0.00187361
286422 0.00273163
286887 0.00438471
287120 0.00582713
287353 0.00805636
287586 0.0116344
287819 0.0174363
288100 0.0278760
288380 0.0347975
288661 0.0277762
288941 0.0173595
289256 0.0101215
289572 0.00634753
289887 0.00428532
290202 0.00307055
290518 0.00230486
290833 0.00179454
291463 0.00118116
292094 0.000841776
292725 0.000634807
293986 0.000405667
295247 0.000287829
296508 0.000218963
299030 0.000145256
301552 0.000108754
304075 8.96738E-05
306597 9.01148E-05
307228 0.000102048
307858 0.000140850
308173 0.000196790
308489 0.000356361
308646 0.000576875
308804 0.00119068
308883 0.00202110
308962 0.00426979
309001 0.00720745
309040 0.0147491
309060 0.0239539
309080 0.0453254
309099 0.113675
309109 0.219065
309114 0.325318
309119 0.504263
309125 0.809372
309130 1.00769
309133 0.945390
309136 0.803427
309141 0.504230
309147 0.289070
309153 0.179925
309166 0.0852205
309178 0.0487650
309191 0.0313813
309216 0.0160511
309241 0.00973337
309291 0.00467727
309341 0.00275531
309441 0.00130330
309540 0.000773418
309740 0.000383951
309940 0.000244815
310339 0.000144488
310739 0.000110524
311538 0.000105087
311937 0.000186016
312137 0.000526489
312237 0.00184923
312287 0.00677039
312312 0.0238823
312325 0.0757566
312331 0.197134
312337 1.00741
312339 1.62280
312340 2.01146
312342 1.62279
312343 1.00411
312347 0.301499
312352 0.131322
312360 0.0457703
312377 0.0136261
312411 0.00376358
312480 0.00102990
312617 0.000309705
312890 0.000123214
313437 7.35183E-05
314531 5.77546E-05
316719 5.04944E-05
318907 5.03666E-05
319454 5.32813E-05
320001 6.28391E-05
320275 7.66964E-05
320548 0.000116506
320685 0.000171989
320822 0.000328372
320890 0.000543607
320958 0.00114021
320992 0.00194613
321027 0.00412145
321061 0.0141720
321078 0.0429783
321086 0.104827
321091 0.196804
321095 0.429517
321098 0.691118
321100 0.859246
321103 0.691105
321105 0.429504
321111 0.148274
