47-Ag_n-g
> 47-Ag-107:0.518390
> 47-Ag-109:0.481610
3.042850e+01 2.19516351e+02
3.044900e+01 2.72288336e+02
3.046960e+01 3.44645955e+02
3.049020e+01 4.45908843e+02
3.051070e+01 5.89594829e+02
3.053130e+01 7.92164862e+02
3.056570e+01 1.26691200e+03
3.060000e+01 1.58289641e+03
3.063440e+01 1.26536621e+03
3.066870e+01 7.90296554e+02
3.069920e+01 5.12330602e+02
3.072960e+01 3.46303335e+02
3.076010e+01 2.45543374e+02
3.079060e+01 1.81620799e+02
3.085150e+01 1.09670824e+02
3.091240e+01 7.28870470e+01
3.097340e+01 5.18013486e+01
3.103430e+01 3.86647193e+01
3.115620e+01 2.38899479e+01
3.127800e+01 1.62350576e+01
3.139990e+01 1.17756500e+01
3.152170e+01 8.95641313e+00
3.164360e+01 7.06432392e+00
3.188730e+01 4.77003950e+00
3.191940e+01 4.60375534e+00
3.213110e+01 3.51011531e+00
3.237480e+01 2.83815657e+00
3.249660e+01 2.79926471e+00
3.255760e+01 3.01342779e+00
3.261850e+01 3.69071020e+00
3.270000e+01 5.11598739e+00
3.278150e+01 3.44176711e+00
3.283970e+01 2.59810902e+00
3.289790e+01 2.18767357e+00
3.301430e+01 1.80587206e+00
3.324720e+01 1.47525255e+00
3.371280e+01 1.15956538e+00
3.384390e+01 1.12161125e+00
3.464410e+01 9.00793528e-01
3.480620e+01 8.89193683e-01
3.528740e+01 8.60831570e-01
3.552790e+01 8.50898789e-01
3.557540e+01 8.56713005e-01
3.576850e+01 9.04212680e-01
3.584000e+01 9.55570844e-01
3.591150e+01 9.15831814e-01
3.608610e+01 8.92217909e-01
3.626070e+01 9.03640947e-01
3.650670e+01 9.27492237e-01
3.660990e+01 9.54206678e-01
3.730830e+01 1.15838642e+00
3.743790e+01 1.20478293e+00
3.790360e+01 1.48702957e+00
3.800670e+01 1.58923851e+00
3.836920e+01 1.99669071e+00
3.860210e+01 2.39101096e+00
3.870520e+01 2.64026857e+00
3.883490e+01 2.99575788e+00
3.906770e+01 3.93975315e+00
3.930050e+01 5.50283882e+00
3.940360e+01 6.59561319e+00
3.941690e+01 6.74437133e+00
3.953330e+01 8.60851617e+00
3.964980e+01 1.14644658e+01
3.975280e+01 1.56935555e+01
3.976620e+01 1.62563424e+01
3.988260e+01 2.54054473e+01
3.994080e+01 3.33978174e+01
3.999900e+01 4.60763490e+01
4.002810e+01 5.54057387e+01
4.005720e+01 6.79306107e+01
4.008630e+01 8.52518368e+01
4.010200e+01 9.86254892e+01
4.011540e+01 1.10058579e+02
4.014450e+01 1.47019874e+02
4.017360e+01 2.04457782e+02
4.020270e+01 2.97465959e+02
4.021730e+01 3.64589153e+02
4.023180e+01 4.49984758e+02
4.026590e+01 7.18199676e+02
4.027660e+01 7.74259698e+02
4.030000e+01 8.96899311e+02
4.031710e+01 8.44186240e+02
4.033410e+01 7.17897079e+02
4.036820e+01 4.49842268e+02
4.040580e+01 2.65525722e+02
4.044350e+01 1.68361852e+02
4.045120e+01 1.57415163e+02
4.048110e+01 1.15002116e+02
4.051870e+01 8.35659325e+01
4.055630e+01 6.38059023e+01
4.059400e+01 5.07264072e+01
4.062580e+01 4.41810293e+01
4.066920e+01 3.55202410e+01
4.074450e+01 2.77291344e+01
4.080040e+01 2.45318362e+01
4.081970e+01 2.37072231e+01
4.097020e+01 2.21573612e+01
4.097500e+01 2.22013457e+01
4.106230e+01 2.51259093e+01
4.112070e+01 2.91480925e+01
4.114960e+01 3.13845547e+01
4.123690e+01 4.46407760e+01
4.127120e+01 5.37028255e+01
4.128060e+01 5.62267087e+01
4.132420e+01 7.42595004e+01
4.136790e+01 1.03635291e+02
4.138970e+01 1.25563901e+02
4.141150e+01 1.55155351e+02
4.142170e+01 1.74279253e+02
4.143330e+01 1.96055852e+02
4.145520e+01 2.53724355e+02
4.147700e+01 3.36281763e+02
4.149880e+01 4.53721633e+02
4.153440e+01 7.23574231e+02
4.157000e+01 9.03180313e+02
4.157220e+01 8.96598622e+02
4.158780e+01 8.49958157e+02
4.160560e+01 7.22646708e+02
4.164120e+01 4.52380354e+02
4.167550e+01 2.83940472e+02
4.170980e+01 1.87641816e+02
4.174410e+01 1.31189208e+02
4.177840e+01 9.62487475e+01
4.181270e+01 7.34298005e+01
4.184700e+01 5.78149193e+01
4.187320e+01 5.04365626e+01
4.191550e+01 3.85786367e+01
4.198410e+01 2.76860253e+01
4.205270e+01 2.09274705e+01
4.217420e+01 1.41801193e+01
4.218990e+01 1.33181042e+01
4.232700e+01 9.39918798e+00
4.246420e+01 7.09780786e+00
4.247520e+01 6.98292674e+00
4.260130e+01 5.70921146e+00
4.273850e+01 5.15220056e+00
4.277620e+01 5.23326761e+00
4.281000e+01 5.31497074e+00
4.288150e+01 4.44760810e+00
4.300300e+01 3.59734025e+00
4.312460e+01 3.18887799e+00
4.336760e+01 2.71357261e+00
4.337810e+01 2.70401545e+00
4.361070e+01 2.53373369e+00
4.385370e+01 2.59425082e+00
4.398010e+01 2.82711743e+00
4.409680e+01 3.05500324e+00
4.421830e+01 3.58955014e+00
4.433980e+01 4.55468732e+00
4.446130e+01 6.45684035e+00
4.452210e+01 8.15102648e+00
4.458290e+01 1.08552955e+01
4.464360e+01 1.55171708e+01
4.470440e+01 2.44376099e+01
4.473480e+01 3.21757130e+01
4.476510e+01 4.40707439e+01
4.479550e+01 6.30340641e+01
4.482590e+01 9.35398042e+01
4.484440e+01 1.19373459e+02
4.486300e+01 1.48873158e+02
4.490000e+01 1.85707774e+02
4.493710e+01 1.48732975e+02
4.497410e+01 9.33522310e+01
4.501340e+01 5.63227793e+01
4.505260e+01 3.62875616e+01
4.509190e+01 2.50357784e+01
4.513120e+01 1.82870418e+01
4.517040e+01 1.39783771e+01
4.518410e+01 1.29687180e+01
4.520970e+01 1.10836745e+01
4.528820e+01 7.57795847e+00
4.536680e+01 5.62756419e+00
4.544530e+01 4.43649061e+00
4.560230e+01 3.12251197e+00
4.575940e+01 2.45632526e+00
4.591650e+01 2.07711407e+00
4.623060e+01 1.69808955e+00
4.638810e+01 1.64793143e+00
4.685880e+01 1.51266693e+00
4.748710e+01 1.62503155e+00
4.759210e+01 1.68075250e+00
4.811530e+01 1.97109087e+00
4.874350e+01 2.65353466e+00
4.879600e+01 2.77022513e+00
4.937180e+01 4.06756997e+00
4.968590e+01 5.36504515e+00
5.000000e+01 7.51652121e+00
5.018460e+01 9.52907180e+00
5.036930e+01 1.25327954e+01
5.055390e+01 1.73100235e+01
5.064620e+01 2.08367110e+01
5.073860e+01 2.55966078e+01
5.083090e+01 3.22403225e+01
5.092320e+01 4.19058880e+01
5.101550e+01 5.67337885e+01
5.110780e+01 8.11303390e+01
5.115400e+01 9.96763055e+01
5.120020e+01 1.25317994e+02
5.124630e+01 1.62090542e+02
5.129250e+01 2.17235879e+02
5.133860e+01 3.04601217e+02
5.138480e+01 4.52516592e+02
5.142800e+01 7.04441572e+02
5.143100e+01 7.21936720e+02
