53-I_n-g
>  53-I-127:1.000000
3.752390e+01 6.51792000e+02
3.757330e+01 1.03180000e+03
3.759810e+01 1.34968000e+03
3.762280e+01 1.82103000e+03
3.764760e+01 2.53906000e+03
3.767230e+01 3.63471000e+03
3.770620e+01 5.81158000e+03
3.774000e+01 7.25846000e+03
3.777390e+01 5.80252000e+03
3.780770e+01 3.62518000e+03
3.783700e+01 2.37420000e+03
3.786630e+01 1.61747000e+03
3.789560e+01 1.15341000e+03
3.792490e+01 8.56616000e+02
3.798360e+01 5.20074000e+02
3.804220e+01 3.46795000e+02
3.810080e+01 2.46983000e+02
3.815940e+01 1.84599000e+02
3.827660e+01 1.14218000e+02
3.839390e+01 7.76345000e+01
3.851110e+01 5.62704000e+01
3.862840e+01 4.27337000e+01
3.874560e+01 3.36283000e+01
3.898010e+01 2.25308000e+01
3.921450e+01 1.62942000e+01
3.944900e+01 1.24555000e+01
3.968350e+01 9.93686000e+00
4.015240e+01 6.97800000e+00
4.062130e+01 5.43402000e+00
4.155920e+01 4.25060000e+00
4.249710e+01 4.63208000e+00
4.296600e+01 5.57030000e+00
4.343500e+01 7.52782000e+00
4.390390e+01 1.18597000e+01
4.413840e+01 1.61247000e+01
4.437280e+01 2.36742000e+01
4.449010e+01 2.98206000e+01
4.460730e+01 3.88779000e+01
4.472450e+01 5.30011000e+01
4.484180e+01 7.67539000e+01
4.490040e+01 9.52004000e+01
4.495900e+01 1.21215000e+02
4.501760e+01 1.59492000e+02
4.507620e+01 2.18891000e+02
4.513490e+01 3.17647000e+02
4.516420e+01 3.93021000e+02
4.519350e+01 4.96984000e+02
4.522280e+01 6.44622000e+02
4.525210e+01 8.60364000e+02
4.528140e+01 1.18294000e+03
4.531070e+01 1.66470000e+03
4.535290e+01 2.66173000e+03
4.539500e+01 3.32502000e+03
4.543720e+01 2.65860000e+03
4.547930e+01 1.66108000e+03
4.551460e+01 1.10225000e+03
4.554990e+01 7.58630000e+02
4.558530e+01 5.45036000e+02
4.562060e+01 4.07023000e+02
4.569120e+01 2.48932000e+02
4.576190e+01 1.66746000e+02
4.583250e+01 1.19115000e+02
4.590310e+01 8.92213000e+01
4.604440e+01 5.53515000e+01
4.618570e+01 3.76755000e+01
4.632690e+01 2.73227000e+01
4.646820e+01 2.07477000e+01
4.660950e+01 1.63145000e+01
4.689200e+01 1.08931000e+01
4.717460e+01 7.82849000e+00
4.745710e+01 5.92684000e+00
4.773970e+01 4.66458000e+00
4.830470e+01 3.14173000e+00
4.886980e+01 2.28911000e+00
4.943490e+01 1.76134000e+00
5.000000e+01 1.41055000e+00
5.092500e+01 1.04470000e+00
5.185000e+01 8.21789000e-01
5.277500e+01 6.92555000e-01
5.323750e+01 7.09106000e-01
5.335310e+01 7.60255000e-01
5.346880e+01 8.94039000e-01
5.352660e+01 1.04249000e+00
5.358440e+01 1.33234000e+00
5.364220e+01 1.97946000e+00
5.367110e+01 2.60978000e+00
5.370000e+01 3.62885000e+00
5.373500e+01 5.46988000e+00
5.377000e+01 6.69724000e+00
5.380500e+01 5.46646000e+00
5.384000e+01 3.61962000e+00
5.388010e+01 2.31112000e+00
5.392020e+01 1.63441000e+00
5.396040e+01 1.26628000e+00
5.400050e+01 1.04946000e+00
5.408070e+01 8.19956000e-01
5.416090e+01 7.07042000e-01
5.448190e+01 5.49332000e-01
5.512380e+01 4.63243000e-01
5.640750e+01 3.86040000e-01
5.897500e+01 3.10188000e-01
6.154250e+01 2.98428000e-01
6.282630e+01 3.38310000e-01
6.346810e+01 3.99074000e-01
6.378910e+01 4.69301000e-01
6.394950e+01 5.57820000e-01
6.402980e+01 6.74637000e-01
6.406990e+01 7.98420000e-01
6.411000e+01 1.02881000e+00
6.418000e+01 1.56681000e+00
6.425000e+01 1.07739000e+00
6.430070e+01 8.42137000e-01
6.435130e+01 7.52550000e-01
6.445260e+01 7.20981000e-01
6.465530e+01 8.23131000e-01
6.485790e+01 1.04489000e+00
6.506060e+01 1.45299000e+00
6.526320e+01 2.28951000e+00
6.536450e+01 3.07840000e+00
6.546580e+01 4.42747000e+00
6.556720e+01 7.01868000e+00
6.561780e+01 9.31177000e+00
6.566850e+01 1.29754000e+01
6.571910e+01 1.93254000e+01
6.576980e+01 3.16248000e+01
6.579510e+01 4.24437000e+01
6.582050e+01 5.93170000e+01
6.584580e+01 8.67398000e+01
6.587110e+01 1.31859000e+02
6.588580e+01 1.68673000e+02
6.590060e+01 2.10692000e+02
6.593000e+01 2.63170000e+02
6.595950e+01 2.10596000e+02
6.598890e+01 1.31740000e+02
6.601330e+01 8.79644000e+01
6.603760e+01 6.08707000e+01
6.606200e+01 4.39248000e+01
6.608630e+01 3.29321000e+01
6.613500e+01 2.02825000e+01
6.618370e+01 1.36795000e+01
6.623240e+01 9.84247000e+00
6.628120e+01 7.42976000e+00
6.637860e+01 4.69237000e+00
6.647600e+01 3.26203000e+00
6.657340e+01 2.42409000e+00
6.676820e+01 1.53391000e+00
6.696310e+01 1.09716000e+00
6.715790e+01 8.51994000e-01
6.754750e+01 6.03274000e-01
6.793720e+01 4.88829000e-01
6.832680e+01 4.29856000e-01
6.910620e+01 3.82749000e-01
7.066480e+01 3.99818000e-01
7.222340e+01 5.09786000e-01
7.378200e+01 7.78797000e-01
7.456130e+01 1.05249000e+00
7.534070e+01 1.55204000e+00
7.573030e+01 1.97171000e+00
7.612000e+01 2.61012000e+00
7.650960e+01 3.65049000e+00
7.689930e+01 5.51785000e+00
7.709410e+01 7.06642000e+00
7.728890e+01 9.39457000e+00
7.748380e+01 1.31289000e+01
7.767860e+01 1.96776000e+01
7.777600e+01 2.49824000e+01
7.787340e+01 3.27738000e+01
7.797080e+01 4.48807000e+01
7.806830e+01 6.51559000e+01
7.811700e+01 8.08408000e+01
7.816570e+01 1.02882000e+02
7.821440e+01 1.35164000e+02
7.826310e+01 1.84949000e+02
7.831180e+01 2.66995000e+02
7.836050e+01 4.14033000e+02
7.838490e+01 5.33518000e+02
7.840920e+01 7.05877000e+02
7.843360e+01 9.59628000e+02
7.845790e+01 1.33227000e+03
7.849450e+01 2.13101000e+03
7.853100e+01 2.66285000e+03
7.856760e+01 2.12961000e+03
7.860410e+01 1.33072000e+03
7.863220e+01 9.12288000e+02
7.866030e+01 6.44321000e+02
7.868840e+01 4.71895000e+02
7.871650e+01 3.57469000e+02
7.877280e+01 2.22829000e+02
7.882900e+01 1.50994000e+02
7.888520e+01 1.08670000e+02
7.894140e+01 8.17967000e+01
7.905390e+01 5.10210000e+01
7.916630e+01 3.47957000e+01
7.927870e+01 2.52327000e+01
7.939120e+01 1.91339000e+01
7.950360e+01 1.50114000e+01
7.972850e+01 9.95997000e+00
7.995330e+01 7.10354000e+00
8.017820e+01 5.33433000e+00
8.040310e+01 4.16430000e+00
8.085280e+01 2.76440000e+00
8.130260e+01 1.99404000e+00
8.175230e+01 1.52883000e+00
8.220210e+01 1.22999000e+00
8.310150e+01 8.94428000e-01
8.400100e+01 7.43565000e-01
8.490050e+01 7.08958000e-01
8.535030e+01 7.59671000e-01
8.557510e+01 8.87207000e-01
8.568760e+01 1.13594000e+00
8.574380e+01 1.48237000e+00
8.577190e+01 1.81100000e+00
8.580000e+01 2.33266000e+00
8.587000e+01 3.93560000e+00
8.594000e+01 2.35082000e+00
8.597420e+01 1.75256000e+00
8.600840e+01 1.41515000e+00
8.607680e+01 1.10328000e+00
8.621350e+01 9.25166000e-01
8.648700e+01 8.95846000e-01
8.703400e+01 1.04378000e+00
8.758100e+01 1.35043000e+00
8.812800e+01 1.93692000e+00
8.840150e+01 2.43640000e+00
8.867500e+01 3.19926000e+00
8.894850e+01 4.44307000e+00
8.922200e+01 6.66834000e+00
8.935880e+01 8.50431000e+00
8.949550e+01 1.12485000e+01
8.963230e+01 1.56126000e+01
8.976900e+01 2.31682000e+01
8.990580e+01 3.79645000e+01
8.997410e+01 5.13344000e+01
9.004250e+01 7.31705000e+01
9.011090e+01 1.12287000e+02
9.014510e+01 1.44463000e+02
9.017930e+01 1.92136000e+02
9.021340e+01 2.66478000e+02
9.024760e+01 3.89519000e+02
9.028180e+01 6.06451000e+02
9.031600e+01 1.00182000e+03
9.034900e+01 1.60314000e+03
9.038200e+01 2.00396000e+03
9.041500e+01 1.60243000e+03
9.044800e+01 1.00099000e+03
9.048530e+01 5.79958000e+02
9.052260e+01 3.61155000e+02
9.055990e+01 2.41956000e+02
9.059730e+01 1.71929000e+02
9.063460e+01 1.27888000e+02
9.067190e+01 9.86136000e+01
9.074650e+01 6.35423000e+01
9.082110e+01 4.42386000e+01
9.089580e+01 3.25363000e+01
9.104500e+01 1.96995000e+01
9.119430e+01 1.31998000e+01
9.134350e+01 9.46558000e+00
9.149280e+01 7.12579000e+00
9.164200e+01 5.56401000e+00
9.194050e+01 3.67426000e+00
9.223900e+01 2.61789000e+00
9.253750e+01 1.96798000e+00
9.283600e+01 1.53966000e+00
9.343300e+01 1.02747000e+00
9.403000e+01 7.43913000e-01
9.462700e+01 5.70198000e-01
9.522400e+01 4.55806000e-01
9.641800e+01 3.18648000e-01
9.761200e+01 2.42151000e-01
1.000000e+02 1.63478000e-01
1.021460e+02 1.28505000e-01
1.042910e+02 1.08207000e-01
1.085830e+02 8.81149000e-02
1.128740e+02 8.19030000e-02
1.171650e+02 8.48926000e-02
1.214560e+02 9.84725000e-02
1.257480e+02 1.31917000e-01
1.278930e+02 1.64887000e-01
1.300390e+02 2.22416000e-01
1.321840e+02 3.37044000e-01
1.332570e+02 4.49431000e-01
1.337940e+02 5.59970000e-01
1.340620e+02 7.17736000e-01
1.341290e+02 8.17029000e-01
1.341960e+02 1.00362000e+00
1.342630e+02 1.43124000e+00
1.342970e+02 1.87316000e+00
1.343300e+02 2.63821000e+00
1.343650e+02 3.86711000e+00
1.344000e+02 4.68887000e+00
1.344350e+02 3.88274000e+00
1.344700e+02 2.66883000e+00
1.345100e+02 1.81044000e+00
1.345510e+02 1.37422000e+00
1.346310e+02 1.01091000e+00
1.347920e+02 8.34657000e-01
1.351140e+02 8.41830000e-01
1.357570e+02 1.07599000e+00
1.364010e+02 1.49873000e+00
1.370450e+02 2.26988000e+00
1.373660e+02 2.91441000e+00
1.376880e+02 3.88918000e+00
1.380100e+02 5.46555000e+00
1.383320e+02 8.26296000e+00
1.384930e+02 1.05558000e+01
1.386540e+02 1.39628000e+01
1.388150e+02 1.93403000e+01
1.388950e+02 2.32808000e+01
1.389750e+02 2.85519000e+01
1.390560e+02 3.58437000e+01
1.391360e+02 4.62978000e+01
1.392170e+02 6.20650000e+01
1.392970e+02 8.73105000e+01
1.393780e+02 1.31345000e+02
1.394180e+02 1.66511000e+02
1.394580e+02 2.17196000e+02
1.394980e+02 2.93545000e+02
1.395390e+02 4.13352000e+02
1.395790e+02 6.10165000e+02
1.396190e+02 9.38308000e+02
1.396650e+02 1.49887000e+03
1.397100e+02 1.87141000e+03
1.397560e+02 1.49822000e+03
1.398010e+02 9.37565000e+02
1.398480e+02 5.70454000e+02
1.398940e+02 3.67996000e+02
1.399410e+02 2.52267000e+02
1.399880e+02 1.82230000e+02
1.400340e+02 1.37091000e+02
1.400810e+02 1.06645000e+02
1.401740e+02 6.95466000e+01
1.402670e+02 4.87736000e+01
1.403610e+02 3.60456000e+01
1.405470e+02 2.19547000e+01
1.407340e+02 1.47515000e+01
1.409200e+02 1.05924000e+01
1.411070e+02 7.97666000e+00
1.412930e+02 6.22637000e+00
1.416660e+02 4.10393000e+00
1.420390e+02 2.91710000e+00
1.424130e+02 2.18801000e+00
1.427860e+02 1.70990000e+00
1.435320e+02 1.14774000e+00
1.442780e+02 8.64028000e-01
1.446510e+02 7.99337000e-01
1.450240e+02 8.26093000e-01
1.452110e+02 9.33622000e-01
1.453970e+02 1.26257000e+00
1.454900e+02 1.67916000e+00
1.455370e+02 2.04864000e+00
1.455840e+02 2.63522000e+00
1.456300e+02 3.63974000e+00
1.456770e+02 5.52926000e+00
1.457000e+02 7.14060000e+00
1.457230e+02 9.57474000e+00
1.457470e+02 1.33672000e+01
1.457700e+02 1.93008000e+01
1.458000e+02 3.04877000e+01
1.458300e+02 3.79048000e+01
1.458600e+02 3.04737000e+01
1.458900e+02 1.92775000e+01
1.459210e+02 1.19409000e+01
1.459510e+02 7.88286000e+00
1.459820e+02 5.55889000e+00
1.460130e+02 4.14465000e+00
1.460740e+02 2.61216000e+00
1.461350e+02 1.85608000e+00
1.461960e+02 1.42931000e+00
1.462580e+02 1.16566000e+00
1.463800e+02 8.67939000e-01
1.466250e+02 6.15015000e-01
1.468700e+02 5.06180000e-01
1.473600e+02 4.04624000e-01
1.478500e+02 3.52389000e-01
1.498100e+02 2.62183000e-01
1.517700e+02 2.41659000e-01
1.527500e+02 2.76447000e-01
1.529950e+02 3.13644000e-01
1.532400e+02 4.09520000e-01
1.533630e+02 5.26095000e-01
1.534850e+02 7.94960000e-01
1.535460e+02 1.08303000e+00
1.536080e+02 1.64288000e+00
1.536380e+02 2.13974000e+00
1.536690e+02 2.91666000e+00
1.536990e+02 4.18805000e+00
1.537300e+02 6.29848000e+00
1.537650e+02 9.93902000e+00
1.538000e+02 1.23648000e+01
1.538350e+02 9.94153000e+00
1.538700e+02 6.30186000e+00
1.538990e+02 4.28854000e+00
1.539280e+02 3.04195000e+00
1.539560e+02 2.25751000e+00
1.539850e+02 1.74909000e+00
