Mn-55(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
6165.04 5.17484
6248.26 5.74478
6289.87 6.13172
6300.27 6.24328
6310.67 6.36597
6315.87 6.43715
6321.07 6.53134
6323.68 6.60756
6324.98 6.66721
6326.28 6.76091
6327.58 6.93505
6328.23 7.09144
6328.88 7.35194
6329.53 7.84105
6329.85 8.26707
6330.18 8.93891
6330.50 10.0843
6330.83 12.2507
6330.99 14.1180
6331.15 16.9442
6331.31 21.4263
6331.48 28.4966
6331.68 41.6648
6331.88 50.4579
6332.09 41.6843
6332.29 28.5249
6332.45 21.7717
6332.60 17.4220
6332.75 14.5889
6332.90 12.6907
6333.21 10.4355
6333.51 9.22166
6333.81 8.50126
6334.12 8.04481
6334.73 7.52263
6335.34 7.24924
6335.94 7.09099
6337.16 6.92840
6338.38 6.85552
6339.59 6.82101
6342.03 6.80065
6346.89 6.82598
6351.76 6.87743
6361.49 7.00267
6371.22 7.14082
6410.16 7.77387
6488.02 9.45904
6565.88 11.9208
6643.75 15.5803
6721.61 21.1518
6799.47 29.8718
6877.34 43.8659
6955.20 66.4176
6959.89 68.1348
6962.24 69.0241
6963.41 69.5183
6964.00 69.8884
6964.29 70.3075
6964.44 70.7949
6964.58 71.8868
6964.68 73.1201
6964.77 73.9621
6964.87 73.1940
6964.96 72.0328
6965.16 70.8794
6965.36 70.5607
6965.75 70.4754
6966.54 70.6784
6968.12 71.2541
6971.29 72.4764
6977.61 74.9976
6990.25 80.2852
7015.55 91.7822
7066.13 117.382
7167.30 155.698
7273.40 134.996
7379.50 90.9559
7461.00 65.8690
7542.50 49.0181
7624.00 37.7552
7705.50 30.0507
7868.50 20.7820
8031.50 16.1462
8194.50 14.7067
8357.50 17.3847
8439.00 21.6413
8520.50 29.8196
8602.00 45.3268
8683.50 74.4115
8777.20 131.737
8870.90 181.133
8964.55 160.766
9058.20 114.101
9144.68 82.2784
9231.15 61.8823
9317.63 48.6966
9404.10 39.8087
9577.05 28.9494
9750.00 22.7358
9771.21 22.1572
9781.81 21.8800
9787.11 21.7474
9789.77 21.6938
9791.09 21.7075
9791.75 21.8276
9792.08 22.1210
9792.25 22.5725
9792.42 23.7794
9792.60 25.9485
9792.79 23.7730
9793.00 22.4156
9793.20 21.9888
9793.60 21.7286
9794.41 21.6049
9796.03 21.5304
9799.27 21.4401
9805.74 21.2781
9818.69 20.9661
9844.59 20.3710
9896.40 19.2817
10000.0 17.4346
10309.8 13.6268
10464.7 12.3147
10542.1 11.7544
10580.8 11.4942
10600.2 11.3693
10609.9 11.3107
10614.7 11.2920
10617.1 11.3206
10618.4 11.4581
10619.0 11.8634
10619.3 12.6934
10619.4 13.8387
10619.6 16.6436
10619.7 19.8455
10619.8 22.0771
10619.9 19.8529
10620.0 16.6518
10620.1 14.0831
10620.2 12.8574
10620.5 11.9561
10621.1 11.4836
10622.1 11.3037
10624.3 11.2364
10628.7 11.1942
10637.4 11.1363
10654.9 11.0292
10689.8 10.8230
10759.6 10.4350
10829.5 10.0792
10846.9 9.99825
10864.4 9.92871
10873.1 9.90800
10877.5 9.90824
10881.8 9.92567
10886.2 9.98547
10888.4 10.0536
10890.6 10.1826
10892.8 10.4563
10893.8 10.7190
10894.9 11.1719
10896.0 12.0467
10896.6 12.8315
10897.1 14.0632
10897.7 16.2392
10898.2 20.3689
10898.5 24.1398
10898.8 29.8188
10899.0 38.9770
10899.3 53.9102
10899.6 80.3828
10899.9 98.0332
10900.3 80.4597
10900.6 54.0068
10900.9 35.4964
10901.3 25.8217
10901.7 20.5312
10902.0 17.4146
10902.4 15.4507
10902.7 14.1425
10903.4 12.5871
10904.2 11.7129
10904.9 11.1872
10906.3 10.6005
10907.7 10.2975
10909.2 10.1217
10912.0 9.93095
10914.9 9.83119
10917.8 9.76976
10923.5 9.69408
10935.0 9.60567
10946.4 9.54130
10969.3 9.43090
10992.2 9.32891
11083.9 8.95136
11267.2 8.28544
11450.5 7.71000
11542.2 7.44992
11588.0 7.32622
11610.9 7.26711
11622.4 7.24304
11628.1 7.25031
11631.0 7.31922
11631.7 7.38565
11632.4 7.54147
11632.8 7.71458
11633.1 8.06174
11633.5 8.88759
11633.7 9.75266
11633.8 11.1419
11634.0 13.4890
11634.2 15.0492
11634.4 13.4956
11634.6 11.1494
11634.9 9.26624
11635.1 8.40215
11635.6 7.73213
11636.2 7.49381
11636.7 7.38411
11638.7 7.24892
11642.9 7.19773
11651.2 7.16509
11667.7 7.11989
11700.9 7.03612
11767.1 6.87509
11899.6 6.57200
12164.6 6.02939
12429.6 5.55486
12562.2 5.33906
12595.3 5.28780
12628.4 5.23935
12645.0 5.21829
12661.5 5.20591
12669.8 5.21149
12678.1 5.25042
12682.2 5.31482
12684.3 5.38129
12686.4 5.50307
12688.4 5.75852
12689.5 6.00634
12690.5 6.43501
12691.6 7.29256
12692.1 8.07782
12692.6 9.34533
12693.1 11.6883
12693.4 13.6477
12693.6 16.5988
12693.9 21.2985
12694.1 29.3056
12694.4 43.9906
12694.7 70.6035
12694.9 109.284
12695.1 134.859
12695.3 109.424
12695.6 70.7727
12695.8 44.1413
12696.1 29.8426
12696.3 21.8747
12696.6 17.2718
12696.8 14.1992
12697.1 12.2125
12697.5 9.73992
12698.0 8.33927
12698.5 7.50283
12699.5 6.57511
12700.5 6.09621
12701.5 5.82194
12703.5 5.53072
12705.4 5.38742
12707.4 5.30572
12711.3 5.21915
12719.2 5.14763
12727.1 5.11428
12742.9 5.07503
12758.6 5.04607
12790.1 4.99580
12821.6 4.94878
12947.7 4.77045
13199.8 4.43880
13704.1 3.84731
14208.3 3.32485
14460.4 3.08222
14586.5 2.96460
14649.5 2.90683
14681.0 2.87916
14696.8 2.86949
14704.7 2.88053
14708.6 2.94337
14710.6 3.15968
14711.1 3.34206
14711.6 3.74442
14712.1 4.89622
14712.3 6.45456
14712.6 9.78266
14712.7 14.0823
14712.9 16.7459
14713.1 13.8422
14713.3 9.79941
14713.5 6.46819
14713.7 4.94870
14714.2 3.78922
14714.7 3.36649
14715.2 3.17680
14717.0 2.94467
14720.8 2.86911
14728.4 2.84199
14743.5 2.82283
14773.8 2.79401
14834.4 2.73923
14895.0 2.68554
14925.3 2.66083
14940.4 2.65658
14948.0 2.68572
14949.9 2.71979
14951.8 2.81342
14952.7 2.93568
14953.7 3.23780
14954.2 3.60146
14954.6 4.38604
14954.9 5.19766
14955.1 6.60216
14955.3 9.55930
14955.5 12.2036
14955.6 16.1378
14955.7 24.2940
14955.9 29.7088
14956.1 24.3355
14956.3 16.1898
14956.4 11.4849
14956.6 8.63545
14956.7 6.89897
14956.9 5.79356
14957.2 4.54555
14957.5 3.90524
14958.1 3.30718
14958.6 3.05064
14959.8 2.83521
14961.0 2.74986
14963.4 2.68267
14965.8 2.65628
14975.3 2.62309
14994.4 2.59959
15032.5 2.56426
15108.7 2.49708
15261.1 2.36485
15565.9 2.10431
15870.7 1.84609
16023.1 1.71700
16099.3 1.65347
16137.4 1.62728
16156.4 1.63717
16161.2 1.65984
16165.9 1.72951
16168.3 1.82542
16170.7 2.07979
16171.9 2.39855
16173.1 3.16154
16173.7 4.02258
16174.3 5.75699
16174.6 7.40308
16174.9 10.1484
16175.2 15.0341
16175.4 23.6279
16175.7 37.1031
16176.0 45.6906
16176.3 36.6875
16176.6 23.7290
16176.8 17.2846
16177.0 13.1580
16177.4 8.40159
16177.7 5.99516
16178.1 4.64798
16178.9 3.29507
16179.6 2.67035
16181.2 2.12912
16182.7 1.91043
16185.7 1.73576
16188.8 1.66811
16194.9 1.61361
16201.0 1.59025
16225.3 1.55087
16274.0 1.50374
16371.5 1.41748
16566.4 1.24398
16956.3 0.873490
17151.2 0.666039
17346.1 0.431821
17443.6 0.301274
17541.0 0.163679
17589.7 0.0970259
17638.5 0.0418971
17662.8 0.0258820
17687.2 0.0274411
17699.4 0.0401050
17711.6 0.0663716
17723.7 0.115866
17729.8 0.161483
17732.9 0.220665
17734.4 0.355025
17735.2 0.692364
17735.5 1.35321
17735.7 2.23008
17735.9 4.33426
17736.1 6.85465
17736.2 8.48987
17736.3 6.86992
17736.5 4.35520
17736.6 2.71226
17736.7 1.79926
17737.0 1.00084
17737.6 0.512194
17738.6 0.317091
17740.8 0.271739
17745.2 0.306587
17753.9 0.455851
17762.7 0.707692
17771.4 1.15005
17775.8 1.50304
17780.1 2.00791
17784.5 2.76376
17788.8 3.94998
17793.2 5.94855
17797.6 9.59955
17799.8 12.6326
17801.9 17.0625
17804.1 23.7357
17806.3 33.9209
17812.7 81.9512
17814.3 83.1440
17815.9 75.0319
17819.1 50.0382
17821.3 36.6764
17823.4 27.4292
17825.6 21.1206
17827.8 16.7541
17832.1 11.4013
17836.4 8.43890
17840.7 6.66062
17845.0 5.53667
17853.7 4.30748
17862.3 3.78032
17871.0 3.63320
17888.3 4.07473
17905.5 5.44350
17922.8 8.17145
17940.1 13.4027
17957.4 23.5018
17993.4 61.0576
18002.4 61.9395
18011.4 56.3172
18029.4 39.2672
18041.8 29.8277
18054.2 23.0914
18066.6 18.3652
18079.0 15.0010
18103.8 10.7006
18128.6 8.17746
18153.4 6.56635
18178.2 5.46898
18227.8 4.09437
18277.4 3.28256
18326.9 2.75299
18426.1 2.11146
18624.5 1.51549
18723.6 1.37102
18773.2 1.32420
18798.0 1.31518
18810.4 1.34992
18813.5 1.39220
18816.6 1.51246
18818.2 1.67393
18819.7 2.09844
18820.5 2.63383
18821.3 3.89777
18821.7 5.32628
18822.0 8.16270
18822.2 10.9537
18822.4 15.3660
18822.6 23.0929
18822.8 37.9969
18823.0 59.5698
18823.2 74.9939
18823.4 59.7241
18823.6 38.1860
18823.7 25.5711
18823.9 18.2380
18824.0 13.6028
18824.2 10.5656
18824.5 6.95188
18824.8 5.12247
18825.4 3.34791
18826.0 2.57665
18827.2 1.92420
18828.4 1.66509
18830.8 1.46251
18833.3 1.38614
18838.1 1.32706
18843.0 1.30391
18862.3 1.27402
18901.1 1.25586
18978.7 1.25042
19056.2 1.27450
19095.0 1.29769
19114.4 1.31228
19124.0 1.32065
19128.9 1.32632
19131.3 1.33390
19132.5 1.35293
19133.1 1.40339
19133.4 1.50299
19133.7 1.96366
19133.9 2.60172
19134.1 1.96666
19134.5 1.47928
19134.9 1.38987
19135.6 1.35028
19137.0 1.33745
19139.9 1.33590
19145.6 1.34019
19157.0 1.35132
19179.9 1.37636
19225.6 1.43596
19317.1 1.59665
19500.0 2.12846
19750.0 3.57269
19875.0 4.81816
20000.0 6.64036
20118.3 9.16182
20177.4 10.8308
20207.0 11.7963
20221.8 12.3247
20229.2 12.6350
20232.9 12.9219
20233.8 13.0949
20234.7 13.4613
20235.2 13.8545
20235.6 14.6578
20236.1 16.7055
20236.3 19.0656
20236.6 23.7496
20236.8 30.4124
20237.0 34.7354
20237.2 30.4679
20237.4 23.8288
20237.6 19.1564
20237.8 16.8066
20238.3 14.7586
20238.8 13.9874
20239.2 13.6305
20240.2 13.3365
20241.1 13.2368
20244.9 13.2302
20252.3 13.4803
20267.3 14.0777
20297.3 15.3869
20357.2 18.4346
20477.0 26.6264
20656.2 45.3259
20745.8 56.8606
20790.6 62.4654
20813.0 65.0735
20824.2 66.3219
20829.8 66.9865
20832.6 67.5185
20833.3 67.8002
20834.0 68.3523
20834.7 69.9099
20835.0 72.1112
20835.2 74.1596
20835.3 77.5883
20835.6 83.7620
20835.8 87.8325
20836.0 83.8561
20836.2 77.7394
20836.5 72.8218
20836.8 70.6172
20837.4 69.0025
20838.0 68.4713
20838.6 68.2608
20840.9 68.1725
20845.7 68.5355
20855.2 69.3977
20874.1 71.0100
20912.0 73.5249
21020.5 74.7031
21129.0 68.2764
21346.0 48.5680
21485.0 38.0952
21623.9 30.2653
21762.9 24.5199
21832.4 22.2371
21867.1 21.2151
21884.5 20.7309
21893.2 20.4956
21897.5 20.3808
21899.7 20.3282
21900.8 20.3162
21901.3 20.3468
21901.8 20.7786
21902.0 21.2917
21902.2 20.7713
21902.7 20.3395
21903.1 20.2671
21903.9 20.2195
21905.7 20.1664
21909.1 20.0743
21915.9 19.8964
21929.6 19.5490
21957.0 18.8818
22011.9 17.6502
22121.5 15.5378
22231.1 13.8035
22285.9 13.0519
22313.3 12.7016
22327.0 12.5339
22333.9 12.4568
22337.3 12.4376
22339.0 12.4883
22339.9 12.6690
22340.3 13.0368
22340.7 14.5716
22341.0 16.7760
22341.3 14.5660
22341.7 13.2244
22342.0 12.7893
22342.6 12.5115
22343.9 12.3818
22346.4 12.3140
22351.4 12.2436
22361.5 12.1236
22381.6 11.8946
22421.8 11.4602
22502.2 10.6753
22582.7 10.0015
22602.8 9.85786
22622.9 9.74415
22633.0 9.72192
22638.0 9.73603
22643.0 9.78990
22648.1 9.93873
22650.6 10.0964
22653.1 10.3796
22655.6 10.9471
22656.9 11.4610
22658.1 12.2865
22659.4 13.7497
22660.6 16.6093
22661.3 19.1841
22661.9 23.2692
22662.5 30.0553
22663.1 41.2865
22663.8 60.5434
22664.5 73.4699
22665.2 60.7070
22665.9 41.4821
22666.8 27.5485
22667.6 20.5730
22668.4 16.8255
22669.2 14.6420
22670.1 13.2619
22670.9 12.3592
22672.5 11.2763
22674.2 10.6739
22675.8 10.3072
22679.1 9.89486
22682.4 9.67459
22685.7 9.53920
22692.2 9.37711
22698.8 9.27712
22705.4 9.20333
22718.5 9.08954
22744.8 8.91180
22771.1 8.76040
22876.2 8.29327
23086.5 8.11194
23191.6 8.69123
23296.7 10.2409
23401.9 13.8237
23507.0 21.8795
23696.0 50.3839
23791.0 47.3773
23886.0 34.2495
23954.4 26.5086
24022.8 20.9956
24159.7 14.3534
24296.5 10.7392
24364.9 9.50985
24382.1 9.24275
24399.2 8.99028
24416.3 8.75741
24424.8 8.67716
24429.1 8.75575
24431.2 9.17821
24431.8 9.55708
24432.3 10.3869
24432.8 12.7531
24433.1 15.9126
24433.4 22.7008
24433.6 31.4508
24433.8 37.0581
24433.9 31.5550
24434.1 22.8345
24434.3 18.2453
24434.5 15.2359
24434.8 12.1331
24435.4 10.0092
24436.0 9.30474
24436.7 8.98872
24439.2 8.59525
24444.3 8.42037
24454.4 8.26181
24474.6 8.00855
24515.1 7.55346
24596.0 6.76746
24758.0 5.53299
25081.8 3.79201
25405.6 2.48042
25567.5 1.89090
25648.5 1.60555
25688.9 1.46591
25709.2 1.39786
25719.3 1.36691
25724.4 1.36208
25726.9 1.39759
25728.1 1.53337
25728.8 1.88991
25729.1 2.56268
25729.4 5.01775
25729.7 8.73696
25729.9 5.04251
25730.1 3.21017
25730.3 2.38429
25730.7 1.78663
25731.4 1.48155
25732.9 1.36553
25735.9 1.32154
25741.9 1.29226
25753.9 1.25101
25777.8 1.17620
25825.7 1.05546
25849.7 1.03508
25861.7 1.05379
25873.7 1.11670
25885.6 1.27914
25891.6 1.44168
25897.6 1.71826
25903.6 2.22402
25909.6 3.25724
25912.6 4.20844
25915.6 5.74626
25918.6 8.37120
25921.6 12.9534
25924.7 20.3693
25927.8 25.3417
25931.0 20.4262
25934.1 13.0080
25936.0 9.81160
25937.9 7.54850
25941.7 4.81622
25945.4 3.36473
25949.2 2.52483
25953.0 1.99719
25956.8 1.64535
25964.3 1.21785
25971.9 0.972841
25979.4 0.815500
25994.5 0.621697
26009.6 0.500832
26024.8 0.412535
26055.0 0.281287
26085.2 0.182103
26115.4 0.106143
26145.6 0.0554587
26160.7 0.0420694
26175.9 0.0388440
26191.0 0.0481338
26206.1 0.0730495
26221.2 0.117713
26236.3 0.187618
26251.4 0.290153
26266.5 0.435362
26281.6 0.637067
26296.7 0.914540
26311.8 1.29504
26327.0 1.81763
26342.1 2.53913
26357.2 3.54300
26372.3 4.95255
26387.4 6.94883
26402.5 9.78939
26417.6 13.8056
26450.0 27.5483
26482.4 42.0095
26514.8 40.7303
26547.2 31.0466
26581.6 23.1925
26615.9 18.7511
26650.3 16.5553
26684.6 15.8403
26753.3 17.6958
26822.0 23.9204
26917.5 41.2929
27013.0 59.9326
27108.5 57.0939
27204.0 42.5586
27278.0 33.1243
27352.0 26.3632
27426.0 21.5952
27500.0 18.1640
27596.0 14.9919
27692.0 12.7361
27883.9 9.77118
28075.9 7.91333
28171.9 7.21916
28219.9 6.91345
28243.9 6.77000
28255.9 6.70291
28261.9 6.67958
28264.9 6.70061
28266.4 6.80092
28267.1 7.02878
28267.5 7.35376
28267.9 8.17804
28268.3 9.73563
28268.8 8.18595
28269.3 7.23672
28269.8 6.92350
28270.7 6.73058
28272.6 6.64062
28276.5 6.59276
28284.1 6.54234
28299.5 6.45627
28330.1 6.29357
28391.4 5.98978
28514.0 5.45237
28636.7 4.98918
28698.0 4.78020
28728.6 4.68178
28743.9 4.63896
28751.6 4.63891
28755.4 4.71619
28757.4 5.00685
28758.3 5.81463
28758.8 7.43483
28759.0 9.59529
28759.3 14.2333
28759.4 20.0034
28759.6 23.9325
28759.8 20.0646
28759.9 14.3070
28760.1 10.2195
28760.3 8.11042
28760.7 6.27297
28761.5 5.20314
28763.0 4.76891
28766.1 4.61918
28772.2 4.55951
28784.4 4.51076
28808.9 4.43406
28857.9 4.29092
28955.8 4.02380
29151.7 3.54811
29543.5 2.76051
29935.3 2.09809
30131.2 1.75602
30180.2 1.64830
30204.7 1.58369
30229.2 1.50566
30253.7 1.40350
30265.9 1.33685
30278.2 1.25361
30290.4 1.14692
30302.7 1.02028
30308.8 0.979257
30311.8 0.993273
30314.9 1.07369
30318.0 1.31797
30319.5 1.57535
30321.0 2.01381
30322.6 2.78322
30324.1 4.19323
30325.6 6.91514
30326.4 9.18890
30327.1 12.3682
30330.2 33.8667
30331.0 35.0811
30331.8 32.6067
30333.3 23.7468
30335.1 15.9424
30336.9 11.4648
30338.7 8.83839
30340.4 7.19509
30342.2 6.10059
30344.0 5.33249
30347.5 4.34359
30351.1 3.74524
30354.6 3.34918
30361.7 2.86220
30368.8 2.57572
30375.8 2.38753
30390.0 2.15322
30404.2 2.01031
30418.3 1.91164
30446.7 1.77840
30503.3 1.61574
30560.0 1.50404
30786.6 1.19110
31013.2 0.948705
31126.5 0.842033
31183.2 0.791926
31211.5 0.767711
31225.7 0.756047
31232.8 0.751373
31236.3 0.753520
31238.1 0.770721
31239.0 0.829681
31239.4 0.976672
31239.9 2.13430
31240.1 3.54554
31240.2 2.15317
31240.7 1.00077
31241.1 0.841529
31241.9 0.774067
31243.6 0.750336
31247.0 0.740905
31253.7 0.733475
31267.1 0.721977
31294.0 0.700301
31347.8 0.658733
31455.3 0.581913
31562.9 0.513969
31616.6 0.483768
31643.5 0.470454
31656.9 0.467413
31663.7 0.478977
31667.0 0.532212
31668.7 0.714408
31669.5 1.22518
31670.0 2.28994
31670.2 3.78555
31670.4 7.50410
31670.7 14.5642
31670.9 7.52619
31671.2 3.07857
31671.5 1.70180
31672.1 0.914800
31673.3 0.596660
31675.7 0.493053
31680.5 0.461475
31690.1 0.448966
31709.3 0.437969
31728.4 0.429257
31738.0 0.426317
31742.8 0.429667
31745.2 0.449040
31746.4 0.515946
31747.0 0.696818
31747.3 1.04912
31747.6 2.48932
31747.8 4.57813
31748.1 2.51354
31748.4 1.08764
31748.6 0.728871
31749.2 0.531015
31750.3 0.453939
31752.6 0.428551
31757.2 0.419554
31766.3 0.413824
31784.5 0.406089
31821.0 0.392727
31894.0 0.370864
32039.8 0.347483
32185.7 0.357609
32258.7 0.387699
32276.9 0.407358
32295.1 0.453385
32304.3 0.511402
32308.8 0.566845
32313.4 0.664513
32317.9 0.862673
32320.2 1.04919
32322.5 1.36791
32324.8 1.97917
32325.9 2.51876
32327.1 3.37794
32328.2 4.85844
32329.3 7.69633
32329.9 10.1632
32330.5 13.9626
32331.1 20.0323
32331.6 29.6009
32332.3 47.3964
32333.0 59.1540
32333.7 47.3925
32334.4 29.9250
32335.1 18.1988
32335.9 11.8068
32336.6 8.19814
32337.3 6.04764
32338.0 4.64770
32338.8 3.71549
32340.2 2.57135
32341.7 1.93144
32343.1 1.53903
32346.0 1.10384
32348.9 0.880635
32351.8 0.752215
32357.6 0.617818
32369.2 0.518234
32380.8 0.485218
32404.1 0.470183
32415.7 0.475233
32421.5 0.493736
32424.4 0.555558
32425.8 0.740352
32426.5 1.17487
32426.9 1.86263
32427.3 3.95435
32427.6 7.47675
32428.0 4.00183
32428.5 1.68352
32428.9 1.03851
32429.8 0.681624
32431.6 0.540327
32435.2 0.495866
32442.4 0.485852
32456.8 0.490194
32485.6 0.509033
32543.1 0.558903
32658.3 0.694100
32888.5 1.12134
33118.8 1.83417
33233.9 2.36728
33262.7 2.55019
33291.4 2.81435
33305.8 3.04358
33313.0 3.22684
33320.2 3.51272
33327.4 4.02630
33331.0 4.46477
33334.6 5.14887
33338.2 6.31562
33341.8 8.53293
33343.6 10.4523
33345.4 13.4022
33347.2 18.1084
33349.0 25.6381
33351.2 39.4377
33353.4 48.6839
33355.6 39.6177
33357.8 25.9678
33359.2 19.7639
33360.6 15.4768
33363.4 10.4731
33366.2 7.89775
33369.0 6.45356
33371.9 5.57171
33374.7 5.00375
33380.3 4.34842
33385.9 4.00860
33391.6 3.81878
33402.8 3.64556
33425.3 3.59976
33447.8 3.68091
33537.8 4.29440
33717.9 6.03697
34078.0 11.6798
34488.9 23.2756
34694.4 31.6903
34797.1 36.6690
34848.5 39.4064
34874.2 40.8514
34887.0 41.5967
34893.5 41.9802
34896.7 42.1926
34898.3 42.3649
34899.1 42.6304
