Rb-87(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 10.3942
1.25000E-05 9.75705
1.50000E-05 9.28673
2.00000E-05 8.62654
2.75000E-05 7.99838
3.50000E-05 7.58497
4.25000E-05 7.28652
5.00000E-05 7.05804
6.25000E-05 6.77310
7.50000E-05 6.56277
0.000100000 6.26752
0.000125000 6.06604
0.000150000 5.91731
0.000200000 5.70854
0.000275000 5.50990
0.000350000 5.37916
0.000425000 5.28479
0.000500000 5.21254
0.000625000 5.12243
0.000750000 5.05592
0.00100000 4.96255
0.00125000 4.89884
0.00150000 4.85181
0.00200000 4.78579
0.00275000 4.72297
0.00350000 4.68163
0.00425000 4.65178
0.00500000 4.62894
0.00625000 4.60044
0.00750000 4.57941
0.0100000 4.54988
0.0125000 4.52973
0.0150000 4.51486
0.0200000 4.49398
0.0253000 4.47901
0.0314750 4.46660
0.0376500 4.45737
0.0500000 4.44436
0.0625000 4.43534
0.0750000 4.42868
0.100000 4.41933
0.125000 4.41294
0.150000 4.40822
0.200000 4.40158
0.275000 4.39524
0.350000 4.39105
0.500000 4.38566
0.750000 4.38051
1.00000 4.37736
1.50000 4.37345
2.00000 4.37095
2.75000 4.36835
3.50000 4.36642
5.00000 4.36350
7.50000 4.35981
10.0000 4.35674
15.0000 4.35126
20.0000 4.34613
27.5000 4.33860
35.0000 4.33105
50.0000 4.31548
75.0000 4.28731
100.000 4.25537
150.000 4.17497
175.000 4.12260
200.000 4.05793
216.758 4.00525
233.516 3.94313
241.895 3.90875
246.085 3.89147
250.274 3.87549
254.464 3.86449
256.559 3.86437
258.653 3.87370
259.701 3.88573
260.748 3.90746
261.795 3.94739
262.843 4.02563
263.366 4.09390
263.890 4.20004
264.414 4.37634
264.938 4.69857
265.199 4.96941
265.461 5.38080
265.723 6.04947
265.985 7.24188
266.116 8.22435
266.247 9.68897
266.378 12.0119
266.509 16.0176
266.640 23.8118
266.705 30.8111
266.770 42.1389
266.836 62.2262
266.869 78.5292
266.901 102.402
266.934 139.156
266.967 198.489
267.000 299.862
267.032 477.413
267.066 762.327
267.100 952.566
267.134 762.404
267.168 477.543
267.195 325.643
267.221 229.476
267.248 168.194
267.275 127.952
267.328 80.7496
267.381 55.7849
267.435 41.1106
267.488 31.8377
267.595 21.2329
267.701 15.6549
267.808 12.3710
267.915 10.2780
268.021 8.86327
268.235 7.12940
268.448 6.14770
268.662 5.53840
268.875 5.13443
269.302 4.64793
269.729 4.37676
270.155 4.20971
270.582 4.09909
271.436 3.96502
272.289 3.88853
273.143 3.83951
273.996 3.80523
275.703 3.75916
277.410 3.72767
280.825 3.68151
284.239 3.64325
287.653 3.60689
294.481 3.53220
308.138 3.35505
321.795 3.11467
328.623 2.95869
335.452 2.77011
342.280 2.54235
349.109 2.27811
352.523 2.14501
355.937 2.03819
359.351 2.02126
362.765 2.27714
364.472 2.65962
366.180 3.41873
367.887 4.93950
368.740 6.23682
369.594 8.16168
370.447 11.1074
371.301 15.8040
372.154 23.7262
373.008 38.1755
373.435 50.1060
373.862 67.7421
374.288 95.0898
374.715 140.207
375.142 221.153
375.355 287.274
375.569 384.047
375.782 531.913
375.995 768.728
376.209 1165.99
376.422 1844.55
376.661 3028.63
376.900 3882.95
377.139 3184.08
377.378 2040.09
377.618 1286.11
377.857 856.657
378.097 605.519
378.336 449.965
378.576 348.071
378.815 278.044
379.294 190.908
379.773 140.807
380.252 109.307
381.210 73.2167
382.168 53.9227
383.126 42.2919
384.084 34.6765
385.042 29.3809
386.958 22.6150
388.874 18.5555
390.790 15.8909
392.706 14.0267
396.538 11.6170
400.370 10.1448
404.202 9.16076
408.034 8.46039
415.697 7.53483
423.361 6.95376
431.025 6.55636
438.689 6.26789
454.017 5.87750
469.345 5.62552
484.672 5.44917
500.000 5.31853
523.059 5.17487
546.118 5.07060
592.235 4.92771
638.352 4.83248
684.470 4.76280
730.587 4.70835
776.705 4.66369
799.763 4.64400
822.822 4.62577
845.881 4.60927
851.645 4.60586
857.410 4.60390
860.292 4.60485
863.175 4.61127
864.616 4.62197
865.337 4.63314
866.057 4.65391
866.778 4.69860
867.138 4.74297
867.498 4.82315
867.678 4.88999
867.859 4.99083
868.039 5.15343
868.219 5.44017
868.309 5.67388
868.399 6.01905
868.489 6.55921
868.579 7.47166
868.669 9.19636
868.714 10.6933
868.759 13.0383
868.804 16.9998
868.849 24.3289
868.872 30.4859
868.894 39.6600
868.917 53.7149
868.939 75.3030
868.970 117.816
869.000 146.041
869.030 117.677
869.061 75.3166
869.093 47.0409
869.125 31.6888
869.157 23.0491
869.189 17.8705
869.221 14.5495
869.253 12.3158
869.317 9.61174
869.381 8.10378
869.444 7.18382
869.572 6.16695
869.700 5.64800
869.828 5.34852
869.956 5.16028
870.084 5.03442
870.340 4.88161
870.595 4.79599
871.107 4.70834
871.618 4.66657
872.130 4.64337
873.153 4.61964
874.176 4.60815
875.199 4.60154
877.245 4.59423
881.336 4.58721
885.428 4.58299
893.612 4.57654
901.796 4.57088
918.163 4.56031
934.530 4.55022
967.265 4.53097
1000.00 4.51267
1125.00 4.44868
1250.00 4.39011
1500.00 4.27800
2000.00 4.03688
2452.97 3.75539
2679.46 3.57017
2905.94 3.33170
3132.43 2.99929
3245.67 2.77143
3358.91 2.47324
3415.53 2.28524
3472.15 2.06124
3528.77 1.79166
3585.40 1.47033
3613.71 1.29511
3642.02 1.12534
3670.33 1.00005
3698.64 1.03301
3712.79 1.20198
3726.95 1.59472
3741.10 2.42649
3748.18 3.13967
3755.26 4.18421
3762.34 5.74038
3769.42 8.11527
3776.49 11.8610
3783.57 18.0320
3790.65 28.8048
3797.73 49.0614
3801.26 65.9709
3804.80 90.7410
3808.34 127.666
3811.88 182.632
3817.59 317.264
3823.30 429.282
3829.01 370.895
3834.72 250.036
3839.27 179.483
3843.82 132.919
3848.38 102.214
3852.93 81.3572
3862.03 55.9984
3871.14 41.8290
3880.24 33.0912
3889.34 27.2922
3907.55 20.2380
3925.76 16.2035
3943.97 13.6367
3962.17 11.8772
3980.38 10.6035
4016.80 8.89135
4053.21 7.79662
4089.63 7.03523
4126.04 6.47233
4198.87 5.68560
4271.70 5.14745
4417.36 4.41139
4563.02 3.87635
4635.85 3.65024
4708.68 3.45863
4781.51 3.34215
4854.34 3.44204
4890.76 3.70563
4927.17 4.31383
4963.59 5.69443
4981.79 6.98795
5000.00 9.06261
5021.08 13.2868
5042.15 21.6285
5052.69 28.8889
5063.23 39.9148
5073.76 57.0622
5084.30 83.7982
5099.65 144.241
5115.00 194.802
5130.35 169.172
5145.70 115.292
5162.85 74.2275
5180.00 51.2643
5197.15 37.9977
5214.30 29.7965
5231.45 24.3953
5248.60 20.6460
5282.91 15.8889
5317.21 13.0629
5351.51 11.2210
5420.11 8.99313
5488.71 7.70201
5557.32 6.85523
5694.52 5.78712
5831.73 5.10473
5968.93 4.59476
6243.34 3.78226
6517.75 3.02722
6654.96 2.62411
6792.16 2.18605
6929.37 1.70840
7066.57 1.22221
7135.17 1.02170
7203.78 0.927500
7238.08 0.962464
7255.23 1.01344
7272.38 1.09692
7289.53 1.23716
7298.10 1.35515
7306.68 1.55759
7315.26 1.99478
7319.54 2.44603
7323.83 3.28624
7328.12 5.05444
7330.26 6.71692
7332.41 9.47090
7334.55 14.3745
7336.69 23.9481
7337.77 32.2685
7338.84 44.9437
7339.91 64.7805
7340.98 95.9498
7342.49 164.093
7344.00 220.205
7345.51 189.738
7347.02 128.126
7348.18 93.4711
7349.34 70.3468
7350.50 54.9352
7351.65 44.4091
