Fe-54(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 115.420
1.25000E-05 103.465
1.50000E-05 94.6403
2.00000E-05 82.2531
2.75000E-05 70.4668
3.50000E-05 62.7099
4.25000E-05 57.1101
5.00000E-05 52.8232
6.25000E-05 47.4767
7.50000E-05 43.5302
0.000100000 37.9905
0.000125000 34.2100
0.000150000 31.4194
0.000200000 27.5022
0.000275000 23.7751
0.000350000 21.3221
0.000425000 19.5513
0.000500000 18.1957
0.000625000 16.5050
0.000750000 15.2570
0.00100000 13.5052
0.00125000 12.3097
0.00150000 11.4272
0.00200000 10.1885
0.00275000 9.00983
0.00350000 8.23414
0.00425000 7.67416
0.00500000 7.24547
0.00625000 6.71083
0.00750000 6.31617
0.0100000 5.76220
0.0125000 5.38415
0.0150000 5.10509
0.0200000 4.71337
0.0253000 4.43258
0.0314750 4.19969
0.0376500 4.02675
0.0500000 3.78269
0.0625000 3.61361
0.0750000 3.48880
0.100000 3.31360
0.125000 3.19403
0.150000 3.10576
0.200000 2.98185
0.275000 2.86393
0.350000 2.78630
0.414000 2.73750
0.414000 2.73750
0.414001 2.73750
0.414002 2.73750
0.414003 2.73750
0.414005 2.73750
0.414011 2.73749
0.414021 2.73749
0.414042 2.73747
0.414084 2.73745
0.414168 2.73739
0.414336 2.73728
0.414672 2.73705
0.415344 2.73660
0.416688 2.73570
0.419375 2.73392
0.424750 2.73041
0.435500 2.72357
0.457000 2.71064
0.500000 2.68731
0.625000 2.63375
0.750000 2.59418
1.00000 2.53858
1.50000 2.47246
2.00000 2.43287
2.75000 2.39498
3.50000 2.36982
5.00000 2.33731
7.50000 2.30583
10.0000 2.28622
15.0000 2.26125
20.0000 2.24466
27.5000 2.22658
35.0000 2.21252
50.0000 2.19002
75.0000 2.15973
100.000 2.13320
150.000 2.08472
200.000 2.03899
275.000 1.97275
350.000 1.90806
500.000 1.78129
750.000 1.57505
999.999 1.37398
1000.00 1.37398
1000.01 1.37397
1000.01 1.37397
1000.03 1.37396
1000.05 1.37394
1000.10 1.37390
1000.20 1.37382
1000.39 1.37367
1000.78 1.37336
1001.56 1.37274
1003.13 1.37150
1006.25 1.36902
1012.50 1.36406
1025.00 1.35415
1050.00 1.33438
1100.00 1.29501
1200.00 1.21693
1400.00 1.06370
1400.00 1.06369
1400.01 1.06369
1400.01 1.06368
1400.03 1.06368
1400.05 1.06366
1400.10 1.06362
1400.20 1.06355
1400.39 1.06340
1400.78 1.06310
1401.56 1.06251
1403.13 1.06133
1406.25 1.05897
1412.50 1.05426
1425.00 1.04484
1450.00 1.02605
1500.00 0.988682
1625.00 0.896604
1750.00 0.806600
2000.00 0.633852
2000.00 0.633851
2000.01 0.633847
2000.01 0.633843
2000.02 0.633836
2000.05 0.633820
2000.09 0.633789
2000.19 0.633728
2000.37 0.633605
2000.73 0.633360
2001.47 0.632871
2002.93 0.631891
2005.86 0.629933
2011.72 0.626021
2023.44 0.618218
2046.88 0.602691
2093.75 0.571964
2187.50 0.511896
2375.00 0.397953
2750.00 0.201337
3000.00 0.101251
3000.00 0.101251
3000.01 0.101248
3000.02 0.101245
3000.03 0.101240
3000.06 0.101230
3000.12 0.101209
3000.25 0.101168
3000.49 0.101085
3000.98 0.100920
3001.96 0.100590
3003.91 0.0999322
3007.81 0.0986224
3015.63 0.0960279
3031.25 0.0909397
3062.50 0.0811767
3125.00 0.0633739
3250.00 0.0352642
3312.50 0.0253337
3343.75 0.0214896
3375.00 0.0184300
3406.25 0.0161843
3437.50 0.0147829
3468.75 0.0142577
3500.00 0.0146418
3531.25 0.0159696
3562.50 0.0182773
3593.75 0.0216022
3625.00 0.0259835
3687.50 0.0380804
3750.00 0.0549160
3875.00 0.104354
4000.00 0.177765
4125.00 0.279285
4250.00 0.413874
4500.00 0.807393
4500.00 0.807397
4500.01 0.807413
4500.02 0.807429
4500.03 0.807458
4500.06 0.807519
4500.12 0.807639
4500.25 0.807879
4500.49 0.808359
4500.98 0.809320
4501.96 0.811246
4503.91 0.815107
4507.81 0.822869
4515.63 0.838555
4531.25 0.870589
4562.50 0.937367
4625.00 1.08234
4750.00 1.42307
5000.00 2.35791
5000.00 2.35792
5000.01 2.35795
5000.01 2.35798
5000.02 2.35803
5000.05 2.35813
5000.09 2.35834
5000.19 2.35876
5000.37 2.35959
5000.73 2.36126
5001.47 2.36460
5002.93 2.37130
5005.86 2.38473
5011.72 2.41180
5023.44 2.46670
5046.88 2.57968
5093.75 2.81892
5187.50 3.35537
5375.00 4.70689
5562.50 6.54493
5750.00 9.06306
5937.50 12.5502
6125.00 17.4477
6312.50 24.4453
6500.00 34.6445
6500.00 34.6447
6500.01 34.6450
6500.01 34.6454
6500.02 34.6460
6500.04 34.6474
6500.08 34.6501
6500.17 34.6556
6500.33 34.6665
6500.67 34.6883
6501.33 34.7320
6502.66 34.8197
6505.31 34.9956
6510.62 35.3505
6521.25 36.0725
6542.49 37.5666
6584.98 40.7675
6669.95 48.1315
6839.90 67.7975
7009.85 96.7586
7179.80 139.054
7483.90 252.920
7635.95 311.484
7788.00 342.805
8092.10 295.181
8396.20 203.897
8698.10 140.142
9000.00 101.246
9000.00 101.246
9000.01 101.245
9000.02 101.244
9000.03 101.243
9000.06 101.240
9000.12 101.234
9000.24 101.222
9000.47 101.199
9000.94 101.152
9001.87 101.059
9003.75 100.873
9007.49 100.502
9014.98 99.7667
