Ca-40(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 23.6394
1.25000E-05 21.4627
1.50000E-05 19.8560
2.00000E-05 17.6007
2.75000E-05 15.4547
3.50000E-05 14.0424
4.25000E-05 13.0229
5.00000E-05 12.2424
6.25000E-05 11.2689
7.50000E-05 10.5504
0.000100000 9.54177
0.000125000 8.85346
0.000150000 8.34537
0.000200000 7.63217
0.000275000 6.95356
0.000350000 6.50696
0.000425000 6.18454
0.000500000 5.93772
0.000625000 5.62990
0.000750000 5.40267
0.00100000 5.08372
0.00125000 4.86605
0.00150000 4.70538
0.00200000 4.47985
0.00275000 4.26525
0.00350000 4.12403
0.00425000 4.02207
0.00500000 3.94402
0.00625000 3.84667
0.00750000 3.77482
0.0100000 3.67396
0.0125000 3.60513
0.0150000 3.55432
0.0200000 3.48300
0.0253000 3.43187
0.0314750 3.38947
0.0376500 3.35799
0.0500000 3.31355
0.0625000 3.28277
0.0750000 3.26004
0.100000 3.22814
0.125000 3.20638
0.150000 3.19031
0.200000 3.16775
0.275000 3.14628
0.350000 3.13216
0.500000 3.11414
0.750000 3.09720
1.00000 3.08710
1.50000 3.07509
2.00000 3.06792
2.75000 3.06108
3.50000 3.05656
5.00000 3.05075
7.50000 3.04520
10.0000 3.04182
15.0000 3.03766
20.0000 3.03502
27.5000 3.03229
35.0000 3.03031
50.0000 3.02736
75.0000 3.02375
100.000 3.02083
150.000 3.01582
200.000 3.01130
275.000 3.00492
350.000 2.99880
500.000 2.98693
750.000 2.96772
1000.00 2.94893
1500.00 2.91217
2000.00 2.87630
2440.41 2.84536
2660.62 2.83011
2770.72 2.82254
2825.77 2.81880
2853.30 2.81707
2867.06 2.81670
2873.94 2.81847
2877.38 2.82669
2879.10 2.85658
2879.53 2.88406
2879.96 2.95126
2880.18 3.02841
2880.39 3.19283
2880.61 3.63342
2880.72 4.17002
2880.82 5.24492
2880.91 6.70432
2881.00 7.67789
2881.09 6.70451
2881.18 5.24515
2881.25 4.45142
2881.32 3.95436
2881.46 3.43775
2881.60 3.19988
2881.74 3.07439
2882.02 2.95433
2882.31 2.90157
2882.87 2.85748
2883.44 2.84008
2885.69 2.82149
2890.21 2.81613
2899.25 2.81419
2917.32 2.81262
2953.46 2.81007
2989.60 2.80761
3007.67 2.80646
3016.71 2.80614
3021.23 2.80694
3023.49 2.81069
3024.62 2.82266
3025.18 2.85216
3025.46 2.90302
3025.75 3.07114
3026.00 3.33724
3026.26 3.07117
3026.45 2.93271
3026.65 2.87549
3027.05 2.83463
3027.85 2.81495
3029.44 2.80779
3032.62 2.80545
3038.98 2.80443
3051.70 2.80341
3077.15 2.80165
3128.04 2.79819
3229.82 2.79131
3433.38 2.77766
3840.50 2.75067
4247.62 2.72412
4451.18 2.71100
4552.97 2.70448
4603.86 2.70125
4629.30 2.69971
4642.02 2.69923
4648.38 2.70009
4651.57 2.70450
4653.16 2.71969
4653.95 2.76225
4654.35 2.85099
4654.55 2.97545
4654.75 3.27438
4655.00 3.85021
4655.26 3.27444
4655.42 3.00430
4655.59 2.87846
4655.93 2.77874
4656.60 2.72638
4657.95 2.70634
4660.64 2.69996
4666.03 2.69788
4676.80 2.69673
4698.35 2.69524
4741.44 2.69247
4827.63 2.68700
5000.00 2.67613
5489.46 2.64563
5978.91 2.61569
6468.36 2.58628
6713.09 2.57177
6835.46 2.56459
6896.64 2.56109
6927.23 2.55969
6942.52 2.56035
6950.17 2.56597
6954.00 2.58873
6955.91 2.67095
6956.39 2.74710
6956.86 2.93532
6957.10 3.15430
6957.34 3.62963
6957.46 4.10601
6957.58 4.94963
6957.70 6.60884
6957.76 8.05362
6957.82 10.1244
6957.91 14.6654
6958.00 17.6932
6958.09 14.6665
6958.18 10.1259
6958.25 7.94032
6958.31 6.49409
6958.43 4.83936
6958.56 4.01786
6958.68 3.56669
6958.93 3.11588
6959.18 2.90981
6959.68 2.73342
6960.18 2.66252
6962.17 2.58597
6966.16 2.56446
6974.13 2.55837
6990.09 2.55599
7021.99 2.55376
7085.80 2.54994
7213.41 2.54250
7468.64 2.52775
7979.09 2.49866
9000.00 2.44197
10000.0 2.38825
10416.3 2.36645
10624.5 2.35600
10728.6 2.35229
10780.6 2.35657
10793.7 2.36316
10806.7 2.38319
10813.2 2.41165
10819.7 2.49219
10822.9 2.60319
10824.6 2.71283
10826.2 2.90868
10827.8 3.31836
10828.6 3.71076
10829.4 4.39727
10829.8 4.95998
10830.3 5.78863
10830.7 7.08012
10831.1 9.18244
10831.5 13.1762
10831.7 16.4984
10831.9 21.5686
10832.1 30.3411
10832.3 45.2564
10832.5 74.1878
10832.6 98.8421
10832.7 137.984
10832.8 216.985
10833.0 273.307
10833.2 217.048
10833.3 137.631
10833.5 90.5250
10833.6 61.7290
10833.7 44.3304
10833.9 33.3290
10834.2 20.9942
10834.4 14.7096
10834.7 11.1144
10835.0 8.87723
10835.6 6.36312
10836.1 5.06091
10836.7 4.30179
10837.8 3.49819
10838.9 3.10426
10840.0 2.88243
10842.3 2.65466
10844.5 2.54602
10846.8 2.48584
10851.2 2.42494
10860.2 2.38016
10869.1 2.36389
10887.0 2.35151
10904.9 2.34651
10976.5 2.33881
11119.8 2.33041
11406.2 2.31553
11979.2 2.28659
13125.0 2.23008
15416.7 2.12048
17708.3 2.00759
18854.2 1.93559
19427.1 1.87796
19713.6 1.82851
19856.8 1.78979
20000.0 1.72970
20106.6 1.65501
20160.0 1.59794
20213.3 1.51575
20239.9 1.45923
20266.6 1.38643
20293.3 1.28914
20319.9 1.15272
20333.3 1.06195
20346.6 0.949229
20359.9 0.806714
20373.2 0.624676
20386.6 0.399453
20393.2 0.283185
20399.9 0.203568
20403.2 0.208538
20406.6 0.285262
20409.9 0.507849
20411.6 0.719975
20413.2 1.04218
20414.9 1.53804
20416.6 2.30579
20418.2 3.51872
20419.9 5.47753
20421.6 8.80901
20423.2 14.6880
20424.9 25.7705
20425.7 34.6901
20426.6 47.0456
20428.3 85.7129
20430.0 121.154
20431.7 108.908
20433.4 76.0444
20434.8 56.4853
20436.1 43.1941
20437.4 34.0958
20438.7 27.8133
20441.4 19.9308
20444.0 15.4066
20446.7 12.5391
20449.3 10.6005
20454.6 8.19521
20459.9 6.78368
20465.2 5.87098
20470.5 5.23550
20475.8 4.77147
20486.4 4.14082
20497.0 3.73490
20507.6 3.45288
20518.2 3.24617
20539.3 2.96353
20560.5 2.77984
20581.7 2.65100
20602.9 2.55567
20645.2 2.42383
20687.6 2.33688
20729.9 2.27504
20772.3 2.22867
20857.0 2.16340
20941.7 2.11923
21111.1 2.06214
21280.5 2.02565
21449.9 1.99937
21788.8 1.96209
22466.4 1.91297
23144.1 1.87677
25854.8 1.76710
31276.1 1.59278
36697.4 1.44305
39408.0 1.37355
40763.3 1.33793
41102.2 1.32793
41441.0 1.31604
41610.4 1.30818
41779.8 1.29651
41864.5 1.28692
41949.3 1.26999
41991.6 1.25439
42034.0 1.22526
42055.1 1.19797
42076.3 1.14792
42086.9 1.10318
42097.5 1.02822
42102.8 0.970717
42108.1 0.901236
42110.7 0.881742
42113.4 0.952194
42114.7 1.12004
42116.0 1.59034
42116.7 2.11025
42117.3 3.06548
42118.0 4.91457
42118.7 8.60837
42119.3 15.3940
42120.0 21.9243
42120.3 22.1125
42120.7 20.2096
42121.3 14.6279
42122.1 10.2393
42122.8 7.63731
42123.5 6.02752
42124.2 5.00628
42125.6 3.80849
42127.0 3.16256
42129.8 2.50116
42132.6 2.17610
42138.2 1.86315
42143.8 1.71383
42155.1 1.57081
42166.3 1.50215
42188.8 1.43539
42211.3 1.40264
42256.3 1.37001
42301.3 1.35341
42391.2 1.33595
42481.2 1.32625
42661.1 1.31453
42841.0 1.30663
43200.8 1.29465
43560.7 1.28461
45000.0 1.24964
45624.9 1.23542
45937.3 1.22842
46093.5 1.22496
46171.6 1.22326
46210.7 1.22255
46230.2 1.22272
46240.0 1.22482
46244.9 1.23340
46247.3 1.26387
46248.5 1.35852
46249.1 1.59300
46249.4 2.01560
46249.7 3.45554
46250.0 5.68970
46250.3 3.45539
46250.7 1.75444
46251.2 1.43593
46252.1 1.29144
46253.9 1.24161
46257.6 1.22675
46264.9 1.22256
46279.6 1.22118
46308.9 1.22027
46367.4 1.21891
46484.6 1.21631
46719.0 1.21117
47187.7 1.20099
48125.1 1.18090
50000.0 1.14173
51283.9 1.11565
51925.8 1.10312
52246.8 1.09827
52407.3 1.10141
52447.4 1.10714
52487.5 1.12469
52507.6 1.14938
52527.7 1.21784
52537.7 1.30901
52542.7 1.39654
52547.7 1.54872
52552.7 1.85013
52555.3 2.12521
52557.8 2.57694
52560.3 3.40081
52561.5 4.09221
52562.8 5.12424
52564.0 6.78012
52565.3 9.57781
52566.5 14.7035
52567.8 24.5362
52568.9 38.6179
52570.0 48.0143
52571.1 38.6366
52572.2 24.5611
52573.5 14.7829
52574.7 9.68727
52575.9 6.88228
