Ti-47(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 81.7831
1.25000E-05 73.1490
1.50000E-05 66.7756
2.00000E-05 57.8294
2.75000E-05 49.3171
3.50000E-05 43.7149
4.25000E-05 39.6706
5.00000E-05 36.5745
6.25000E-05 32.7132
7.50000E-05 29.8630
0.000100000 25.8621
0.000125000 23.1318
0.000150000 21.1163
0.000200000 18.2873
0.000275000 15.5954
0.000350000 13.8239
0.000425000 12.5450
0.000500000 11.5659
0.000625000 10.3448
0.000750000 9.44350
0.00100000 8.17831
0.00125000 7.31490
0.00150000 6.67756
0.00200000 5.78294
0.00275000 4.93171
0.00350000 4.37149
0.00425000 3.96707
0.00500000 3.65745
0.00625000 3.27133
0.00750000 2.98630
0.0100000 2.58621
0.0125000 2.31318
0.0150000 2.11164
0.0200000 1.82873
0.0253000 1.62594
0.0314750 1.45775
0.0376500 1.33286
0.0500000 1.15660
0.0625000 1.03449
0.0750000 0.944361
0.100000 0.817844
0.125000 0.731505
0.150000 0.667772
0.200000 0.578312
0.275000 0.493192
0.350000 0.437173
0.500000 0.365774
0.750000 0.298665
1.00000 0.258662
1.50000 0.211213
2.00000 0.182930
2.75000 0.156022
3.50000 0.138315
5.00000 0.115751
7.50000 0.0945477
10.0000 0.0819136
15.0000 0.0669365
20.0000 0.0580163
27.5000 0.0495384
35.0000 0.0439669
50.0000 0.0368814
75.0000 0.0302504
100.000 0.0263230
150.000 0.0217144
200.000 0.0190177
275.000 0.0165244
350.000 0.0149574
500.000 0.0131412
750.000 0.0119027
1000.00 0.0118012
1500.00 0.0142613
1750.00 0.0174541
2000.00 0.0234162
2254.35 0.0360143
2381.53 0.0480026
2508.70 0.0686692
2635.88 0.108919
2699.46 0.145142
2763.05 0.204163
2826.64 0.309691
2858.43 0.396445
2890.23 0.525064
2922.02 0.725811
2953.81 1.05878
2985.61 1.64781
3017.40 2.72483
3047.70 4.32674
3078.00 5.33806
3108.30 4.21813
3138.60 2.62019
3171.49 1.54481
3204.38 0.973245
3237.27 0.656468
3270.16 0.468224
3303.05 0.348973
3335.94 0.269304
3401.72 0.173503
3467.50 0.120679
3533.28 0.0886740
3664.84 0.0537202
3796.40 0.0362683
3927.96 0.0267280
4059.53 0.0232275
4092.42 0.0248664
4125.31 0.0317931
4141.75 0.0423550
4149.97 0.0531093
4158.20 0.0728383
4166.42 0.114797
4170.53 0.156079
4174.64 0.230060
4176.70 0.291260
4178.75 0.382978
4180.81 0.529374
4182.86 0.783996
4184.92 1.28685
4185.95 1.74508
4186.97 2.49950
4188.00 3.87016
4188.52 5.01327
4189.03 6.73102
4189.54 9.45976
4190.06 14.0971
4190.57 22.5895
4191.09 38.8310
4191.54 62.2270
4192.00 77.8013
4192.46 62.1561
4192.92 38.8214
4193.31 25.4471
4193.70 17.3675
4194.10 12.4034
4194.49 9.22340
4195.28 5.61116
4196.07 3.74755
4196.86 2.67177
4197.65 1.99967
4199.22 1.24036
4200.80 0.844918
4202.37 0.613842
4203.95 0.467253
4205.53 0.368513
4208.68 0.247899
4211.83 0.179868
4214.99 0.137763
4218.14 0.109905
4224.44 0.0764499
4230.75 0.0578705
4243.36 0.0389460
4255.97 0.0299062
4268.58 0.0248308
4293.80 0.0194972
4344.24 0.0150874
4394.69 0.0130387
4596.46 0.00937999
5000.00 0.00641103
5387.20 0.00516983
5774.40 0.00465626
6161.60 0.00465158
6548.80 0.00520095
6936.00 0.00670818
7129.60 0.00820051
7323.20 0.0107522
7420.00 0.0127510
7516.80 0.0155958
7565.20 0.0174959
7613.60 0.0198542
7662.00 0.0228369
7710.40 0.0266970
7758.80 0.0318379
7807.20 0.0389413
7855.60 0.0492513
7904.00 0.0652825
7952.40 0.0929072
7976.60 0.115386
8000.80 0.149103
8025.00 0.203804
8049.20 0.302595
8061.30 0.385019
8073.40 0.508386
8085.50 0.699979
8097.60 1.00064
8112.80 1.55481
8120.40 1.81547
8128.00 1.92678
8143.20 1.57825
8158.40 1.05622
8166.14 0.867096
8173.89 0.730266
8181.63 0.634071
8189.38 0.568138
8204.86 0.498652
8220.35 0.485464
8235.84 0.513863
8251.33 0.580751
8266.81 0.689899
8282.30 0.848331
8312.65 1.29285
8343.00 1.58420
8358.18 1.48503
8373.35 1.26103
8403.70 0.791678
8428.64 0.533300
8453.59 0.372554
8478.53 0.271443
8503.47 0.205409
8553.35 0.128772
8603.24 0.0882926
8653.12 0.0645291
8703.01 0.0494536
8802.78 0.0321863
8902.54 0.0231031
9002.31 0.0178003
9201.85 0.0123612
9401.39 0.0101165
9600.93 0.00957497
9800.46 0.0105931
10000.0 0.0144164
10127.6 0.0207596
10191.4 0.0268950
10255.2 0.0375628
10318.9 0.0585207
10350.8 0.0775105
10382.7 0.108615
10414.6 0.164623
10430.6 0.210945
10446.5 0.279935
10462.5 0.388379
10478.4 0.569676
10494.4 0.894429
10510.3 1.49774
10525.2 2.38848
10540.0 2.97690
10554.9 2.37673
10569.8 1.48457
10581.6 1.00671
10593.5 0.705533
10605.3 0.514310
10617.1 0.388720
10640.8 0.242500
10664.4 0.165307
10688.1 0.120160
10711.8 0.0916612
10759.1 0.0592574
10806.4 0.0423615
10853.7 0.0325437
10948.4 0.0223906
11043.0 0.0178217
11137.6 0.0157566
11326.9 0.0155013
11516.2 0.0194804
11610.8 0.0239307
11705.5 0.0316927
11752.8 0.0377979
11800.1 0.0464729
11847.4 0.0593663
11894.7 0.0797086
11942.1 0.114493
11965.7 0.141892
11989.4 0.180924
12013.0 0.238777
12036.7 0.328418
12060.4 0.473483
12084.0 0.713491
12112.0 1.17269
12140.0 1.85255
12146.4 2.18664
12152.8 2.81922
12164.0 4.28764
12175.2 2.52299
12180.4 1.86605
12185.6 1.45530
12196.0 0.999137
12213.4 0.641241
12230.7 0.456711
12248.0 0.344494
12265.4 0.270798
12300.1 0.183740
12334.8 0.137569
12369.4 0.111570
12404.1 0.0969809
12473.5 0.0880001
12542.9 0.0994519
12577.6 0.114230
12612.3 0.138130
12646.9 0.176216
12681.6 0.237950
12716.3 0.340886
12751.0 0.513520
12790.5 0.810994
12830.0 1.00609
12869.5 0.802563
12909.0 0.503137
12934.9 0.365912
12960.8 0.271941
13012.5 0.162888
13064.3 0.107312
13116.0 0.0760029
13167.8 0.0568300
13219.5 0.0442934
13323.0 0.0294722
13426.5 0.0213856
13530.0 0.0164981
13737.0 0.0111657
13944.0 0.00853764
14151.0 0.00715045
14565.0 0.00624908
14979.0 0.00713957
15186.0 0.00849259
15393.0 0.0109963
15600.0 0.0158425
15703.5 0.0200290
15807.0 0.0264883
15910.5 0.0370922
16014.0 0.0559550
16065.8 0.0711528
16117.5 0.0929174
16169.3 0.124659
16221.0 0.170765
16300.5 0.270945
16380.0 0.336054
16459.5 0.267919
16539.0 0.168228
16592.5 0.121676
16646.0 0.0902776
16753.0 0.0548422
16860.0 0.0379600
16967.1 0.0301295
17074.1 0.0286614
17127.6 0.0309073
17181.1 0.0367938
17234.6 0.0503744
17261.3 0.0633731
17288.1 0.0851475
17314.9 0.124910
17328.2 0.158014
17341.6 0.207474
17355.0 0.285437
17368.4 0.416063
17381.7 0.650646
17388.4 0.836026
17395.1 1.08781
17407.6 1.73598
17420.0 2.16721
17432.5 1.73249
17444.9 1.08409
17457.7 0.661432
17470.5 0.428684
17483.2 0.296089
17496.0 0.215693
17508.8 0.163942
17521.5 0.128968
17547.1 0.0862946
17572.6 0.0623352
17598.2 0.0475856
17649.3 0.0310911
17700.3 0.0225117
17751.4 0.0174451
17853.6 0.0119298
17955.8 0.00909111
18058.0 0.00741596
18262.3 0.00565137
18466.7 0.00501456
18671.0 0.00556352
18773.2 0.00697069
18824.3 0.00848454
18875.4 0.0112889
18926.4 0.0172075
18952.0 0.0229370
18977.5 0.0329808
19003.1 0.0530078
19015.9 0.0714221
19028.6 0.102072
19041.4 0.158534
19047.8 0.206383
19054.2 0.279270
19060.6 0.397714
19066.9 0.604875
19070.1 0.769889
19073.3 1.00234
19076.5 1.33577
19079.7 1.81153
19084.9 2.89296
19090.0 3.61151
19095.2 2.89098
19100.3 1.80960
19103.8 1.29379
19107.3 0.946709
19110.9 0.712219
