40-Zr_n-tot
>  40-Zr-90:0.514500
>  40-Zr-91:0.112200
>  40-Zr-92:0.171500
>  40-Zr-94:0.173800
>  40-Zr-96:0.028000
2.391830e+02 6.56162204e+00
2.393390e+02 6.63904567e+00
2.394950e+02 6.78035373e+00
2.395730e+02 6.89873540e+00
2.396510e+02 7.07689723e+00
2.397290e+02 7.36122269e+00
2.398070e+02 7.84587004e+00
2.398850e+02 8.73974445e+00
2.399630e+02 1.04639998e+01
2.400320e+02 1.29116575e+01
2.401000e+02 1.45428137e+01
2.401690e+02 1.29128428e+01
2.402370e+02 1.04651587e+01
2.402880e+02 9.22242038e+00
2.403380e+02 8.41156271e+00
2.403890e+02 7.88129436e+00
2.404390e+02 7.52486913e+00
2.405410e+02 7.09982201e+00
2.406420e+02 6.87014919e+00
2.407430e+02 6.73335553e+00
2.408440e+02 6.64592201e+00
2.410460e+02 6.54479843e+00
2.412490e+02 6.49081188e+00
2.414510e+02 6.45854095e+00
2.418560e+02 6.42317627e+00
2.422600e+02 6.40481369e+00
2.426650e+02 6.39368981e+00
2.434740e+02 6.38058792e+00
2.442830e+02 6.37253504e+00
2.450920e+02 6.36650960e+00
2.467110e+02 6.35682123e+00
2.499480e+02 6.33985609e+00
2.503900e+02 6.33751056e+00
2.531840e+02 6.32279864e+00
2.566890e+02 6.30191597e+00
2.596580e+02 6.28438804e+00
2.629880e+02 6.26028856e+00
2.661320e+02 6.23785743e+00
2.692860e+02 6.21184007e+00
2.693680e+02 6.21118150e+00
2.726050e+02 6.18375821e+00
2.750000e+02 6.16513430e+00
2.755850e+02 6.16059747e+00
2.758420e+02 6.15869036e+00
2.787340e+02 6.15064408e+00
2.790790e+02 6.14983540e+00
2.806970e+02 6.16333797e+00
2.818840e+02 6.19402897e+00
2.823160e+02 6.20555346e+00
2.839340e+02 6.30977094e+00
2.850330e+02 6.47806510e+00
2.855520e+02 6.55843767e+00
2.863620e+02 6.80040099e+00
2.871710e+02 7.19976862e+00
2.879800e+02 7.89580427e+00
2.881830e+02 8.22511973e+00
2.887890e+02 9.20979519e+00
2.891940e+02 1.03217290e+01
2.895980e+02 1.19974394e+01
2.897570e+02 1.30406176e+01
2.900030e+02 1.46554311e+01
2.904080e+02 1.91635712e+01
2.908120e+02 2.75485823e+01
2.910150e+02 3.46360255e+01
2.912170e+02 4.53531293e+01
2.913320e+02 5.50686322e+01
2.914190e+02 6.24191723e+01
2.916210e+02 9.13242779e+01
2.918240e+02 1.43639032e+02
2.920260e+02 2.42011308e+02
2.922180e+02 3.93952196e+02
2.924100e+02 5.04067168e+02
2.926020e+02 4.15533162e+02
2.927940e+02 2.69174642e+02
2.929070e+02 2.09283704e+02
2.929470e+02 1.88083900e+02
2.931000e+02 1.36117279e+02
2.932530e+02 1.02626521e+02
2.934050e+02 8.03619042e+01
2.937110e+02 5.39911769e+01
2.940170e+02 3.97511771e+01
2.943230e+02 3.12403337e+01
2.944810e+02 2.83976127e+01
2.946280e+02 2.57557044e+01
2.952400e+02 1.93406955e+01
2.952690e+02 1.91752635e+01
2.958510e+02 1.58700117e+01
2.960560e+02 1.51660855e+01
2.964620e+02 1.37907753e+01
2.968430e+02 1.29570101e+01
2.970740e+02 1.24731887e+01
2.976310e+02 1.16930331e+01
2.976850e+02 1.16249033e+01
2.980240e+02 1.13941426e+01
2.984180e+02 1.11934948e+01
2.988120e+02 1.11131406e+01
2.989080e+02 1.11510246e+01
2.992050e+02 1.13907484e+01
2.995990e+02 1.22311160e+01
2.997960e+02 1.30747144e+01
2.999930e+02 1.45052768e+01
3.001310e+02 1.63233675e+01
3.001900e+02 1.71132648e+01
3.003860e+02 2.23707229e+01
3.004850e+02 2.70972376e+01
3.005830e+02 3.46111127e+01
3.006820e+02 4.71214033e+01
3.007800e+02 6.83510224e+01
3.008900e+02 1.04897061e+02
3.010000e+02 1.29595739e+02
3.011100e+02 1.04809178e+02
3.012200e+02 6.82122165e+01
3.013170e+02 4.71350839e+01
3.013540e+02 4.23494182e+01
3.014140e+02 3.45962303e+01
3.015110e+02 2.69940259e+01
3.016080e+02 2.21675175e+01
3.018020e+02 1.67083126e+01
3.019970e+02 1.38880739e+01
3.021910e+02 1.22457730e+01
3.023850e+02 1.12012442e+01
3.025760e+02 1.05981771e+01
3.027730e+02 9.99614352e+00
3.031610e+02 9.34592630e+00
3.035500e+02 8.93633864e+00
3.039380e+02 8.65057782e+00
3.043260e+02 8.43484501e+00
3.050220e+02 8.14878087e+00
3.051030e+02 8.12130820e+00
3.058790e+02 7.93463743e+00
3.066560e+02 7.78568206e+00
3.074320e+02 7.65762929e+00
3.074680e+02 7.65244369e+00
3.089850e+02 7.49052499e+00
3.099130e+02 7.40446068e+00
3.105380e+02 7.36003952e+00
3.120910e+02 7.26016042e+00
3.123590e+02 7.24390626e+00
3.136440e+02 7.18916527e+00
3.167500e+02 7.06565039e+00
3.172500e+02 7.04670439e+00
3.198560e+02 6.98194384e+00
3.221410e+02 6.92721175e+00
3.229620e+02 6.91322868e+00
3.260680e+02 6.86183168e+00
3.270320e+02 6.84623921e+00
3.319240e+02 6.78712151e+00
3.322790e+02 6.78406731e+00
3.384910e+02 6.73215194e+00
3.417060e+02 6.70566182e+00
3.447030e+02 6.68868871e+00
3.500000e+02 6.65902651e+00
3.509150e+02 6.65392481e+00
3.514880e+02 6.65075803e+00
3.612710e+02 6.61039089e+00
3.633390e+02 6.60360141e+00
3.710530e+02 6.57852597e+00
3.757630e+02 6.56666781e+00
3.881860e+02 6.53558495e+00
3.906180e+02 6.52952065e+00
4.006100e+02 6.51009637e+00
4.101830e+02 6.49155005e+00
4.254580e+02 6.46662764e+00
4.297480e+02 6.45964740e+00
4.346390e+02 6.45242444e+00
4.395300e+02 6.44571537e+00
4.419760e+02 6.44287335e+00
4.431980e+02 6.44181633e+00
4.444210e+02 6.44134229e+00
4.450330e+02 6.44154094e+00
4.456440e+02 6.44230217e+00
4.462550e+02 6.44408890e+00
4.468670e+02 6.44798342e+00
4.471720e+02 6.45149352e+00
4.474780e+02 6.45697676e+00
4.477840e+02 6.46600553e+00
4.480900e+02 6.48209055e+00
4.483950e+02 6.51443492e+00
4.485480e+02 6.54426555e+00
4.487010e+02 6.59385236e+00
4.488540e+02 6.68496550e+00
4.489300e+02 6.76173185e+00
4.490070e+02 6.87825021e+00
4.490830e+02 7.06592626e+00
4.491590e+02 7.39112586e+00
4.492360e+02 8.00384871e+00
4.493120e+02 9.22508873e+00
4.493760e+02 1.09013052e+01
4.494400e+02 1.20187320e+01
4.495040e+02 1.09016285e+01
4.495680e+02 9.22538750e+00
4.496170e+02 8.34471864e+00
4.496660e+02 7.78136261e+00
4.497160e+02 7.41920316e+00
4.497650e+02 7.17944314e+00
4.498630e+02 6.89702486e+00
4.499620e+02 6.74631769e+00
4.500600e+02 6.65746685e+00
4.501590e+02 6.60100768e+00
4.503050e+02 6.55299263e+00
4.503560e+02 6.53622036e+00
4.505530e+02 6.50192707e+00
4.507500e+02 6.48159259e+00
4.509470e+02 6.46852082e+00
4.511440e+02 6.45959147e+00
4.515380e+02 6.44843110e+00
4.519320e+02 6.44187543e+00
4.523260e+02 6.43760078e+00
4.527200e+02 6.43458613e+00
4.535080e+02 6.43053157e+00
4.542960e+02 6.42780096e+00
4.558720e+02 6.42397226e+00
4.574480e+02 6.42103779e+00
4.590240e+02 6.41846797e+00
4.621760e+02 6.41378498e+00
4.684800e+02 6.40507650e+00
4.747840e+02 6.39668667e+00
4.751530e+02 6.39621054e+00
5.000000e+02 6.36418057e+00
5.452370e+02 6.30643189e+00
5.461800e+02 6.30510282e+00
5.678560e+02 6.27456905e+00
5.904750e+02 6.23770505e+00
5.923600e+02 6.23378132e+00
6.130930e+02 6.19063679e+00
6.244030e+02 6.15973126e+00
6.357120e+02 6.11973234e+00
6.413670e+02 6.09437624e+00
6.470210e+02 6.06369219e+00
6.526760e+02 6.02559466e+00
6.583300e+02 5.97727613e+00
6.611580e+02 5.94846687e+00
6.639850e+02 5.91682611e+00
6.668120e+02 5.88471411e+00
6.696400e+02 5.86151037e+00
6.710530e+02 5.86225597e+00
6.724670e+02 5.88449418e+00
6.738810e+02 5.95414250e+00
6.752940e+02 6.13644453e+00
6.760010e+02 6.31907929e+00
6.767080e+02 6.62407375e+00
6.774150e+02 7.15651221e+00
6.781220e+02 8.15049658e+00
6.784750e+02 8.97886607e+00
6.788290e+02 1.02045578e+01
6.791820e+02 1.20970208e+01
6.795350e+02 1.51822821e+01
6.798890e+02 2.05831827e+01
6.802420e+02 3.09714073e+01
6.804190e+02 3.99252292e+01
6.805960e+02 5.35115647e+01
6.807720e+02 7.47222272e+01
6.809490e+02 1.08001795e+02
6.811900e+02 1.76676620e+02
6.814300e+02 2.28776589e+02
6.816710e+02 1.91867175e+02
6.819110e+02 1.27030060e+02
6.821170e+02 8.84500028e+01
6.823220e+02 6.43132279e+01
6.825280e+02 4.90897327e+01
6.827340e+02 3.91114754e+01
6.831450e+02 2.74444094e+01
6.835570e+02 2.11969395e+01
6.839680e+02 1.74670136e+01
6.843790e+02 1.50565149e+01
6.847200e+02 1.38787379e+01
6.852020e+02 1.22139623e+01
6.860250e+02 1.06463272e+01
6.868480e+02 9.67895093e+00
6.876700e+02 9.03328612e+00
6.884930e+02 8.57690229e+00
6.901380e+02 7.98227815e+00
6.917840e+02 7.61710258e+00
6.934290e+02 7.37267708e+00
6.950750e+02 7.19871276e+00
6.983660e+02 6.96898723e+00
7.016570e+02 6.82484786e+00
7.049480e+02 6.72619438e+00
7.082390e+02 6.65439035e+00
7.148210e+02 6.55650380e+00
7.214020e+02 6.49235620e+00
7.279840e+02 6.44648894e+00
7.345660e+02 6.41162737e+00
7.477300e+02 6.36100516e+00
7.500000e+02 6.35475335e+00
7.608940e+02 6.32486595e+00
7.770800e+02 6.29323950e+00
