Pt-196(n,tot) JEFF-3.2
Energy(eV) XS(b)
1.00000E-05 40.6981
1.25000E-05 37.5977
1.50000E-05 35.3091
1.54719E-05 34.9406
1.92448E-05 32.5002
2.00000E-05 32.0967
2.19689E-05 31.1443
2.39378E-05 30.3120
2.75000E-05 29.0400
2.97753E-05 28.3500
3.50000E-05 27.0284
3.70363E-05 26.5907
4.15521E-05 25.7377
4.60679E-05 25.0134
5.00000E-05 24.4644
5.73020E-05 23.5991
7.12756E-05 22.3309
7.50000E-05 22.0543
8.86569E-05 21.1939
0.000100000 20.6177
0.000110277 20.1744
0.000137169 19.2603
0.000150000 18.9135
0.000170618 18.4406
0.000200000 17.8977
0.000212225 17.7057
0.000238102 17.3494
0.000263978 17.0468
0.000275000 16.9311
0.000301676 16.6777
0.000328352 16.4560
0.000350000 16.2949
0.000408423 15.9262
0.000500000 15.4841
0.000508021 15.4512
0.000538993 15.3311
0.000569964 15.2209
0.000631907 15.0253
0.000750000 14.7220
0.000786004 14.6434
0.000881840 14.4583
0.000977677 14.3010
0.00100000 14.2677
0.00105402 14.1914
0.00110805 14.1208
0.00121609 13.9940
0.00150000 13.7288
0.00151265 13.7187
0.00155876 13.6832
0.00160487 13.6491
0.00169709 13.5853
0.00188152 13.4719
0.00200000 13.4075
0.00234035 13.2506
0.00275000 13.1019
0.00291107 13.0522
0.00350000 12.9007
0.00362095 12.8742
0.00406245 12.7880
0.00450396 12.7147
0.00500000 12.6443
0.00560228 12.5717
0.00696846 12.4434
0.00750000 12.4032
0.00866777 12.3284
0.0100000 12.2596
0.0107815 12.2253
0.0134107 12.1328
0.0150000 12.0891
0.0166810 12.0499
0.0200000 11.9875
0.0207488 11.9755
0.0230244 11.9428
0.0253000 11.9146
0.0321022 11.8490
0.0376500 11.8093
0.0399307 11.7954
0.0447994 11.7694
0.0496681 11.7473
0.0500000 11.7459
0.0507363 11.7429
0.0514725 11.7399
0.0529450 11.7342
0.0558900 11.7234
0.0617800 11.7041
0.0750000 11.6695
0.0768457 11.6654
0.0815306 11.6556
0.0862156 11.6466
0.0955854 11.6307
0.100000 11.6239
0.109447 11.6109
0.118895 11.5995
0.147888 11.5714
0.150000 11.5697
0.158488 11.5631
0.166976 11.5571
0.183952 11.5462
0.200000 11.5373
0.228810 11.5236
0.275000 11.5062
0.284608 11.5031
0.317304 11.4937
0.350000 11.4856
0.354012 11.4847
