Si-28(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 10.4632
1.25000E-05 9.56502
1.50000E-05 8.90205
2.00000E-05 7.97146
2.75000E-05 7.08600
3.50000E-05 6.50325
4.25000E-05 6.08256
5.00000E-05 5.76050
6.25000E-05 5.35885
7.50000E-05 5.06236
0.000100000 4.64618
0.000125000 4.36217
0.000150000 4.15252
0.000200000 3.85824
0.000275000 3.57823
0.000350000 3.39395
0.000425000 3.26092
0.000500000 3.15908
0.000625000 3.03206
0.000750000 2.93830
0.00100000 2.80670
0.00125000 2.71688
0.00150000 2.65059
0.00200000 2.55753
0.00275000 2.46898
0.00350000 2.41071
0.00425000 2.36864
0.00500000 2.33643
0.00625000 2.29627
0.00750000 2.26662
0.0100000 2.22500
0.0125000 2.19660
0.0150000 2.17563
0.0200000 2.14621
0.0253000 2.12511
0.0314750 2.10762
0.0376500 2.09463
0.0500000 2.07629
0.0625000 2.06359
0.0750000 2.05421
0.100000 2.04105
0.125000 2.03207
0.150000 2.02544
0.200000 2.01613
0.275000 2.00728
0.350000 2.00145
0.500000 1.99402
0.750000 1.98704
1.00000 1.98287
1.50000 1.97793
2.00000 1.97499
2.75000 1.97218
3.50000 1.97033
5.00000 1.96797
7.50000 1.96574
10.0000 1.96440
15.0000 1.96279
20.0000 1.96182
27.5000 1.96087
35.0000 1.96022
50.0000 1.95934
75.0000 1.95842
100.000 1.95778
150.000 1.95684
200.000 1.95610
275.000 1.95516
350.000 1.95430
500.000 1.95273
750.000 1.95026
1000.00 1.94788
1500.00 1.94321
2000.00 1.93857
2750.00 1.93161
3500.00 1.92460
5000.00 1.91041
7500.00 1.88614
10000.0 1.86094
15000.0 1.80726
20000.0 1.74803
25869.8 1.66860
28804.6 1.62324
30272.1 1.59868
31005.8 1.58585
31372.6 1.57929
31556.1 1.57599
31647.8 1.57441
31693.6 1.57393
31716.6 1.57494
31728.0 1.58013
31733.8 1.59951
31736.6 1.66313
31738.1 1.83394
31738.8 2.17440
31739.1 2.62616
31739.5 3.60944
31740.0 5.64770
31740.5 3.60952
31741.1 2.33335
31741.6 1.93722
31742.7 1.70886
31745.0 1.61479
31749.4 1.58424
31758.3 1.57538
31776.2 1.57274
31811.8 1.57148
31883.2 1.57001
32025.8 1.56733
32311.1 1.56199
32881.7 1.55109
34022.9 1.52838
36305.4 1.47855
40870.3 1.35301
45435.1 1.16021
47717.6 1.00845
48858.8 0.905637
50000.0 0.774039
51337.5 0.563639
52006.3 0.426105
52675.0 0.263242
53343.8 0.0889696
53510.9 0.0512318
53678.1 0.0215764
53761.7 0.0115810
53845.3 0.00619168
53928.9 0.00682706
54012.5 0.0153345
54096.1 0.0341380
54179.7 0.0664312
54263.3 0.116486
54346.9 0.190030
54430.5 0.294897
54514.1 0.441829
54597.7 0.645872
54681.3 0.928328
54764.9 1.31990
54848.4 1.86529
54932.0 2.63121
55015.6 3.71782
55099.2 5.27823
55182.8 7.54480
55266.4 10.8636
55350.0 15.7080
55513.5 31.1262
55677.0 47.9724
55758.8 49.9355
55840.5 46.6105
56004.0 34.3637
56187.2 23.5390
56370.5 17.0584
56553.7 13.1460
56736.9 10.6434
56920.1 8.94722
57103.4 7.74026
57469.8 6.16191
57836.3 5.19090
58202.7 4.54035
58935.6 3.73091
59668.5 3.25032
60401.4 2.93254
61867.2 2.53674
63333.0 2.29714
64798.8 2.13355
66264.6 2.01232
66631.1 1.98646
66997.5 1.96200
67364.0 1.93922
67547.2 1.93169
