37-Rb_n-g
>  37-Rb-85:0.721700
>  37-Rb-87:0.278300
2.351370e+02 1.10819264e+02
2.351840e+02 7.90478697e+01
2.352310e+02 5.77143505e+01
2.352780e+02 4.33427104e+01
2.353240e+02 3.34876852e+01
2.354180e+02 2.14464915e+01
2.355120e+02 1.47933656e+01
2.356050e+02 1.07743003e+01
2.356990e+02 8.17994307e+00
2.358860e+02 5.16209488e+00
2.360740e+02 3.54579540e+00
2.362610e+02 2.58402720e+00
2.364480e+02 1.96628618e+00
2.366360e+02 1.54642096e+00
2.370100e+02 1.02892937e+00
2.373850e+02 7.34544226e-01
2.377600e+02 5.51360059e-01
2.381340e+02 4.29752673e-01
2.388840e+02 2.83384480e-01
2.396330e+02 2.02081044e-01
2.403830e+02 1.52310952e-01
2.411320e+02 1.19672469e-01
2.418950e+02 9.99429485e-02
2.426310e+02 8.09755801e-02
2.441290e+02 5.98842400e-02
2.456280e+02 4.71854529e-02
2.460850e+02 4.46906249e-02
2.471270e+02 3.91506743e-02
2.501240e+02 3.01481436e-02
2.502740e+02 2.99257545e-02
2.531210e+02 2.67227972e-02
2.544640e+02 2.64449512e-02
2.565590e+02 2.74124901e-02
2.586530e+02 3.07095202e-02
2.591160e+02 3.22227224e-02
2.597010e+02 3.44224906e-02
2.607480e+02 4.06840890e-02
2.617950e+02 5.12726401e-02
2.628430e+02 7.09411562e-02
2.633660e+02 8.76740438e-02
2.638900e+02 1.13358878e-01
2.644140e+02 1.55624270e-01
2.649380e+02 2.32356282e-01
2.651110e+02 2.74962067e-01
2.651990e+02 2.96651631e-01
2.654610e+02 3.94168248e-01
2.657230e+02 5.52423841e-01
2.659850e+02 8.34314208e-01
2.661160e+02 1.06643604e+00
2.662470e+02 1.41235752e+00
2.663780e+02 1.96085636e+00
2.665090e+02 2.90648651e+00
2.666400e+02 4.74621664e+00
2.667050e+02 6.39813604e+00
2.667700e+02 9.07152777e+00
2.668360e+02 1.38119369e+01
2.668690e+02 1.76591491e+01
2.669010e+02 2.32925466e+01
2.669340e+02 3.19656200e+01
2.669670e+02 4.59660511e+01
2.670000e+02 6.98862074e+01
2.670320e+02 1.11780369e+02
2.670660e+02 1.79004840e+02
2.671000e+02 2.23885718e+02
2.671340e+02 1.79010949e+02
2.671680e+02 1.11795647e+02
2.671950e+02 7.59550543e+01
2.672210e+02 5.32652498e+01
2.672480e+02 3.88061676e+01
2.672750e+02 2.93119574e+01
2.673280e+02 1.81753821e+01
2.673810e+02 1.22856802e+01
2.674350e+02 8.82383940e+00
2.674880e+02 6.63633454e+00
2.675950e+02 4.13481238e+00
2.677010e+02 2.81918239e+00
2.678080e+02 2.04473159e+00
2.679150e+02 1.55122463e+00
