Pd-106(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 15.5156
1.25000E-05 13.8776
1.50000E-05 12.6685
2.00000E-05 10.9712
2.75000E-05 9.35627
3.50000E-05 8.29344
4.25000E-05 7.52618
5.00000E-05 6.93879
6.25000E-05 6.20624
7.50000E-05 5.66549
0.000100000 4.90646
0.000125000 4.38846
0.000150000 4.00610
0.000200000 3.46938
0.000275000 2.95869
0.000350000 2.62259
0.000425000 2.37995
0.000500000 2.19420
0.000625000 1.96255
0.000750000 1.79154
0.00100000 1.55151
0.00125000 1.38770
0.00150000 1.26678
0.00200000 1.09704
0.00275000 0.935537
0.00350000 0.829243
0.00425000 0.752506
0.00500000 0.693758
0.00625000 0.620489
0.00750000 0.566401
0.0100000 0.490475
0.0125000 0.438656
0.0150000 0.400401
0.0200000 0.346696
0.0253000 0.308193
0.0314750 0.276253
0.0376500 0.252530
0.0500000 0.219039
0.0625000 0.195829
0.0750000 0.178689
0.100000 0.154614
0.125000 0.138171
0.150000 0.126023
0.200000 0.108951
0.275000 0.0926745
0.350000 0.0819377
0.500000 0.0682089
0.750000 0.0552355
1.00000 0.0474532
1.50000 0.0381526
2.00000 0.0325615
2.75000 0.0272042
3.50000 0.0236610
5.00000 0.0191410
7.50000 0.0149369
10.0000 0.0125003
15.0000 0.00976780
20.0000 0.00828500
27.5000 0.00704184
35.0000 0.00635706
50.0000 0.00576968
56.6833 0.00588333
60.0249 0.00677509
60.8603 0.00771601
61.6957 0.0103588
62.1134 0.0139553
62.3223 0.0174750
62.5311 0.0237526
62.7400 0.0366339
62.8444 0.0488730
62.9488 0.0699926
63.0532 0.111140
63.1054 0.148099
63.1577 0.208082
63.2099 0.314502
63.2360 0.401163
63.2621 0.528275
63.2882 0.723837
63.3143 1.04128
63.3404 1.58640
63.3665 2.54622
63.3933 4.07135
63.4200 5.08876
63.4468 4.07307
63.4735 2.54836
63.4913 1.83644
63.5092 1.35185
63.5449 0.794979
63.5805 0.514432
63.6162 0.357947
63.6519 0.262986
63.6875 0.201428
63.7589 0.129491
63.8302 0.0908293
63.9016 0.0677471
64.0442 0.0427795
64.1869 0.0302950
64.3296 0.0231781
64.6150 0.0157911
64.9003 0.0122337
65.1857 0.0102523
65.7564 0.00823712
66.8979 0.00675955
68.0393 0.00623197
72.6051 0.00572981
81.7368 0.00569533
100.000 0.00610595
123.156 0.00741478
134.733 0.00964458
137.628 0.0113997
140.522 0.0159574
141.969 0.0220450
142.693 0.0280451
143.417 0.0389288
144.140 0.0620258
144.502 0.0848666
144.864 0.126170
145.045 0.160679
145.226 0.212943
145.407 0.297603
145.587 0.448188
145.678 0.571956
145.768 0.756031
145.859 1.04764
145.949 1.54835
146.040 2.51919
146.085 3.38501
146.130 4.78076
146.175 7.23928
146.221 12.0951
146.243 16.4637
146.266 23.4373
146.288 35.1332
146.311 55.1572
146.336 88.4766
146.360 110.789
146.385 88.4909
146.409 55.1754
146.429 36.6645
146.450 25.3125
146.470 18.2025
146.490 13.6215
146.531 8.34618
146.572 5.59678
146.613 4.00092
146.653 2.99793
146.735 1.86014
146.816 1.26560
146.897 0.917070
146.979 0.695621
147.060 0.546447
147.223 0.363839
147.386 0.260772
147.549 0.196984
147.711 0.154820
148.037 0.104272
148.362 0.0763464
149.013 0.0482663
149.664 0.0352993
150.315 0.0284700
151.618 0.0226726
152.920 0.0224629
153.571 0.0245592
154.222 0.0294609
154.873 0.0409079
155.198 0.0525437
155.524 0.0737418
155.850 0.118299
156.012 0.161591
156.175 0.238033
156.338 0.392590
156.419 0.537011
156.501 0.781284
156.582 1.24406
156.623 1.64721
156.663 2.28069
156.704 3.35246
156.745 5.35186
156.765 7.04824
156.785 9.58093
156.806 13.4926
156.826 19.5632
156.853 31.4504
156.880 39.4426
156.907 31.4558
156.934 19.5698
156.955 13.3095
156.976 9.36039
156.997 6.82698
157.018 5.16345
157.060 3.21129
157.102 2.17690
157.144 1.56754
157.186 1.18221
157.271 0.740867
157.355 0.508254
157.439 0.371402
157.607 0.225116
157.775 0.152731
157.944 0.111769
158.280 0.0694921
158.616 0.0492238
158.953 0.0379642
159.626 0.0265230
160.299 0.0211128
160.972 0.0181334
162.317 0.0151485
165.009 0.0130892
167.701 0.0125357
178.467 0.0133295
200.000 0.0191419
210.200 0.0241027
220.400 0.0317313
230.599 0.0442897
240.799 0.0671618
245.899 0.0864303
250.999 0.115885
256.099 0.164277
261.199 0.252309
263.749 0.326373
266.298 0.439381
267.573 0.519666
268.848 0.624479
269.486 0.689338
269.805 0.725667
270.123 0.764961
270.442 0.807578
270.761 0.853874
271.080 0.904303
271.398 0.959371
271.717 1.01969
272.036 1.08590
272.355 1.15885
272.673 1.23943
273.311 1.42823
273.948 1.66403
274.586 1.96382
275.223 2.35307
275.861 2.87131
276.498 3.58237
277.136 4.59565
277.773 6.10982
278.411 8.51824
279.048 12.6898
279.367 16.0282
279.686 20.8717
280.004 28.2781
280.323 40.3960
280.642 62.1724
280.801 80.1410
280.961 106.837
281.120 148.654
281.279 218.218
281.439 341.944
281.598 569.745
281.749 911.263
281.900 1138.35
282.051 910.104
282.202 568.611
282.341 363.313
282.479 242.921
282.618 170.846
282.757 125.624
283.034 75.2335
283.311 49.7173
283.589 35.1769
283.866 26.1533
284.420 16.0400
284.975 10.8161
285.530 7.77703
286.084 5.85660
286.639 4.56702
287.748 2.99761
288.857 2.11590
289.966 1.57209
291.076 1.21342
293.294 0.785042
295.512 0.549647
297.731 0.411486
298.840 0.382009
299.395 0.439591
299.533 0.508496
299.672 0.687240
299.741 0.899717
299.810 1.36721
299.845 1.83921
299.880 2.68898
299.914 4.39778
299.932 5.89402
299.949 8.10710
299.975 12.7787
300.000 15.8906
300.026 12.7780
300.051 8.10491
300.077 5.05453
300.103 3.37252
300.129 2.41058
