Pd-108(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 428.232
1.25000E-05 383.280
1.50000E-05 350.097
2.00000E-05 303.518
2.75000E-05 259.199
3.50000E-05 230.032
4.25000E-05 208.976
5.00000E-05 192.856
6.25000E-05 172.752
7.50000E-05 157.912
0.000100000 137.082
0.000125000 122.867
0.000150000 112.374
0.000200000 97.6444
0.000275000 83.6296
0.000350000 74.4062
0.000425000 67.7478
0.000500000 62.6504
0.000625000 56.2933
0.000750000 51.6007
0.00100000 45.0138
0.00125000 40.5188
0.00150000 37.2008
0.00200000 32.5434
0.00275000 28.1121
0.00350000 25.1958
0.00425000 23.0906
0.00500000 21.4791
0.00625000 19.4693
0.00750000 17.9859
0.0100000 15.9038
0.0125000 14.4831
0.0150000 13.4345
0.0200000 11.9628
0.0253000 10.9081
0.0314750 10.0336
0.0376500 9.38432
0.0500000 8.46836
0.0625000 7.83410
0.0750000 7.36609
0.100000 6.70949
0.125000 6.26168
0.150000 5.93129
0.200000 5.46782
0.275000 5.02713
0.350000 4.73723
0.500000 4.36776
0.750000 4.02035
1.00000 3.81362
1.50000 3.57544
2.00000 3.47318
2.22853 3.49184
2.45705 3.64496
2.57131 3.88257
2.68558 4.50555
2.74271 5.24260
2.79984 6.84093
2.82840 8.42035
2.85697 11.2032
2.88554 16.5682
2.89982 21.0998
2.91410 27.5969
2.93705 42.3939
2.96000 52.3858
2.98295 42.6915
3.00590 27.9633
3.02148 20.9616
3.03706 16.2198
3.06822 10.8016
3.09937 8.08554
3.13053 6.57287
3.19285 5.05701
3.25516 4.35475
3.37979 3.73966
3.50443 3.47907
3.75369 3.25304
4.00295 3.14816
5.00000 2.96209
7.50000 2.72541
10.0000 2.54566
15.0000 2.25917
17.5000 2.18262
20.0000 2.23342
21.6243 2.41961
22.4364 2.59758
23.2485 2.86495
23.6546 3.04416
23.8576 3.14797
24.0606 3.26258
24.1622 3.32430
24.2637 3.38916
24.3652 3.45735
24.4667 3.52903
24.5682 3.60441
24.6697 3.68368
24.7712 3.76706
24.8728 3.85478
24.9743 3.94710
25.0758 4.04428
25.2788 4.25434
25.4819 4.48748
25.6849 4.74657
26.0909 5.35643
26.4970 6.11728
26.9031 7.07451
27.3091 8.29085
27.7152 9.85503
28.1213 11.8952
28.5273 14.6019
28.9334 18.2667
29.3394 23.3536
29.7455 30.6342
30.1516 41.4647
30.5576 58.3977
30.9637 86.6923
31.3698 138.580
31.5728 182.123
31.7758 247.942
31.9789 353.708
32.1819 538.454
32.2834 686.854
32.3849 902.458
32.4864 1231.80
32.5879 1768.59
32.6895 2723.95
32.7402 3502.91
32.7910 4645.67
32.8417 6401.55
32.8925 9245.14
32.9433 14101.9
32.9940 22593.0
33.0470 36328.6
33.1000 45633.2
33.1530 36754.4
33.2060 23151.0
33.2388 17135.4
33.2716 12905.9
33.3372 7846.98
33.4028 5190.12
33.4684 3665.51
33.5340 2721.08
33.5996 2099.33
33.7308 1360.37
33.8620 955.724
33.9932 710.579
34.2556 440.855
34.5180 303.145
34.7804 223.186
35.0429 172.490
35.3053 138.235
35.8301 96.0333
36.3549 71.8349
36.8797 56.5693
37.4045 46.2595
38.4541 33.5106
39.5038 26.1272
40.5534 21.4081
41.6030 18.1736
43.7023 14.0803
45.8015 11.6244
47.9008 9.99255
50.0000 8.82483
55.0811 6.97874
60.1621 5.77741
65.2432 4.82660
70.3243 3.94680
72.8648 3.50231
75.4053 3.05275
77.9459 2.62652
80.4864 2.34384
81.7567 2.37357
82.3918 2.48201
83.0269 2.69266
83.3445 2.85108
83.5033 2.94705
83.6621 3.05585
83.8208 3.17895
83.9796 3.31797
84.1384 3.47478
84.2972 3.65150
84.4560 3.85055
84.6148 4.07465
84.7735 4.32697
84.9323 4.61115
85.2499 5.29249
85.5674 6.16076
85.8850 7.27343
86.2026 8.70994
86.5202 10.5825
86.8377 13.0532
87.1553 16.3621
87.4728 20.8756
87.7904 27.1738
88.1080 36.2130
88.4255 49.6568
88.7431 70.5891
89.0607 105.225
89.3782 167.549
89.5370 218.729
89.6958 294.338
89.8546 411.954
90.0134 607.762
90.1722 965.440
90.2516 1263.91
90.3309 1711.11
90.4103 2416.48
90.4897 3599.18
90.5691 5716.17
90.6485 9646.36
90.7243 15663.2
90.8000 19861.7
90.8758 16117.8
90.9515 10221.3
91.0222 6576.76
91.0929 4434.57
91.1636 3150.64
91.2343 2342.11
91.3757 1436.34
91.5170 973.154
91.6584 706.264
91.7998 538.721
92.0826 347.777
92.3653 246.743
92.6481 186.547
92.9309 147.603
93.2136 120.841
93.7792 87.2076
94.3447 67.4605
94.9102 54.7530
95.4758 46.0209
96.6068 34.9899
97.7379 28.4348
98.8689 24.1541
100.000 21.1664
101.580 18.2613
103.161 16.2436
106.322 13.6456
109.482 12.0899
110.273 11.8294
111.063 11.6816
111.458 11.7305
111.655 11.8426
111.853 12.0922
112.051 12.6671
112.149 13.2369
112.248 14.2326
112.347 16.1774
112.396 17.9125
112.446 20.6900
112.495 25.5305
112.544 34.9417
112.569 43.2437
112.594 56.2219
112.618 77.3682
112.643 112.078
112.672 172.369
112.700 212.412
112.729 172.394
112.757 112.097
112.775 84.8383
112.793 65.9318
112.830 43.7522
112.866 32.3049
112.902 25.8170
112.939 21.8265
112.975 19.2259
113.048 16.1567
113.120 14.4851
113.193 13.4765
113.338 12.3628
113.484 11.7852
113.629 11.4392
113.919 11.0445
114.210 10.8176
114.500 10.6610
115.082 10.4378
116.244 10.1226
117.406 9.87240
122.055 9.12121
126.704 8.58606
131.353 8.17878
140.650 7.59412
145.299 7.37619
147.624 7.28328
148.205 7.26396
148.786 7.25153
149.076 7.25396
149.222 7.26153
149.367 7.27904
149.512 7.31981
149.585 7.36006
149.658 7.42957
149.730 7.56236
149.767 7.67765
149.803 7.85750
149.839 8.15768
149.875 8.70486
149.894 9.15783
149.912 9.81726
149.930 10.8107
149.948 12.2897
149.974 15.3484
150.000 17.3874
150.026 15.3481
150.052 12.2878
150.076 10.4158
150.101 9.32920
150.125 8.68469
150.150 8.28239
150.198 7.83637
150.247 7.61095
150.296 7.48218
150.345 7.40177
150.442 7.31033
150.540 7.26140
150.637 7.23151
150.833 7.19661
151.223 7.16137
151.613 7.13973
153.174 7.07827
156.296 6.97618
162.539 6.79955
175.026 6.51763
200.000 6.12050
225.787 5.82978
251.574 5.59549
277.361 5.38417
283.808 5.33260
290.255 5.28234
293.478 5.25946
295.090 5.24993
296.701 5.24370
298.313 5.24589
299.119 5.25489
299.925 5.27703
300.328 5.29810
300.731 5.33212
301.134 5.39016
301.536 5.49813
301.738 5.58966
301.939 5.72926
302.141 5.95689
302.342 6.36363
302.443 6.69919
302.544 7.19960
302.644 7.99358
302.745 9.36315
302.846 12.0325
302.896 14.4295
302.947 18.3083
302.997 25.1930
303.022 30.7941
303.047 38.9662
303.073 51.5578
303.098 71.9662
303.123 106.906
303.148 167.920
303.174 265.702
303.200 330.950
303.226 265.727
303.252 167.952
303.279 104.434
303.305 69.2669
303.332 49.1745
303.358 36.9716
303.385 29.1154
303.411 23.8005
303.464 17.3211
303.517 13.6940
303.570 11.4695
303.676 9.00473
303.782 7.74228
303.888 7.01254
303.994 6.55245
304.100 6.24433
304.312 5.86935
304.524 5.65832
304.735 5.52757
304.947 5.44072
305.371 5.33543
305.795 5.27562
306.219 5.23768
306.643 5.21154
307.490 5.17744
308.338 5.15529
310.033 5.12538
311.728 5.10305
313.424 5.08363
316.814 5.04789
323.595 4.97837
330.376 4.90603
343.938 4.74375
357.500 4.54400
371.062 4.27984
384.624 3.89578
391.405 3.62250
398.186 3.25478
401.576 3.01813
404.967 2.73226
408.357 2.38655
