Mo-98(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 6.53126
1.25000E-05 5.84173
1.50000E-05 5.33275
2.00000E-05 4.61830
2.75000E-05 3.93850
3.50000E-05 3.49111
4.25000E-05 3.16813
5.00000E-05 2.92087
6.25000E-05 2.61251
7.50000E-05 2.38488
0.000100000 2.06537
0.000125000 1.84733
0.000150000 1.68637
0.000200000 1.46044
0.000275000 1.24547
0.000350000 1.10400
0.000425000 1.00187
0.000500000 0.923676
0.000625000 0.826165
0.000750000 0.754186
0.00100000 0.653150
0.00125000 0.584201
0.00150000 0.533305
0.00200000 0.461864
0.00275000 0.393890
0.00350000 0.349157
0.00425000 0.316863
0.00500000 0.292142
0.00625000 0.261312
0.00750000 0.238556
0.0100000 0.206615
0.0125000 0.184819
0.0150000 0.168732
0.0200000 0.146154
0.0253000 0.129973
0.0314750 0.116556
0.0376500 0.106595
0.0500000 0.0925422
0.0625000 0.0828121
0.0750000 0.0756333
0.100000 0.0655640
0.125000 0.0586996
0.150000 0.0536379
0.200000 0.0465443
0.275000 0.0398139
0.350000 0.0354009
0.500000 0.0298088
0.750000 0.0246153
1.00000 0.0215776
1.50000 0.0181008
2.00000 0.0161733
2.75000 0.0145925
3.50000 0.0138797
5.00000 0.0141825
6.25000 0.0163675
7.50000 0.0218458
8.12500 0.0271503
8.75000 0.0360211
9.37500 0.0521123
9.68750 0.0654365
10.0000 0.0853259
10.2550 0.109766
10.5100 0.147113
10.7650 0.208178
11.0200 0.317934
11.1475 0.408858
11.2750 0.545216
11.4025 0.762889
11.5300 1.14139
11.6575 1.88658
11.7213 2.56300
11.7850 3.67266
11.8488 5.67145
11.8806 7.32462
11.9125 9.78631
11.9444 13.6504
11.9763 20.1000
12.0081 31.6141
12.0400 52.9322
12.0700 84.7935
12.1000 106.122
12.1300 85.0037
12.1600 53.1951
12.1906 32.4632
12.2213 20.9837
12.2519 14.4207
12.2825 10.4347
12.3131 7.86667
12.3438 6.12912
12.4050 4.00908
12.4663 2.82110
12.5275 2.09177
12.6500 1.28198
12.7725 0.866891
12.8950 0.626312
13.0175 0.474540
13.1400 0.372663
13.3850 0.248571
13.6300 0.178659
13.8750 0.135367
14.1200 0.106674
14.6100 0.0721295
15.1000 0.0528505
16.0800 0.0330883
17.0600 0.0235837
18.0400 0.0182344
20.0000 0.0126504
21.8750 0.00996371
23.7500 0.00836287
27.5000 0.00656648
35.0000 0.00496522
50.0000 0.00376776
75.0000 0.00305799
100.000 0.00278495
150.000 0.00271461
200.000 0.00305261
250.485 0.00392073
300.970 0.00591826
326.212 0.00792273
351.454 0.0115971
364.076 0.0147683
376.697 0.0199287
383.007 0.0240588
389.318 0.0307960
392.473 0.0367815
395.629 0.0490218
397.206 0.0631710
397.995 0.0763504
398.784 0.0995328
399.573 0.147606
399.967 0.194555
400.362 0.278820
400.559 0.348867
400.756 0.454543
400.953 0.624971
401.150 0.926394
401.249 1.17266
401.348 1.53750
401.446 2.11094
401.545 3.08735
401.643 4.95063
401.693 6.58813
401.742 9.18504
401.791 13.6375
401.841 22.1151
401.865 29.4571
401.890 40.6557
401.915 58.5013
401.939 86.9388
401.970 139.074
402.000 173.831
402.030 139.084
402.061 86.9517
402.088 56.2099
402.115 37.9164
402.142 26.8490
402.170 19.8420
402.224 11.9741
402.278 7.95940
402.333 5.66039
402.387 4.22880
402.496 2.62008
402.605 1.78549
402.713 1.29931
402.822 0.991304
402.931 0.784429
403.148 0.532262
403.366 0.390505
403.801 0.245529
404.236 0.177006
404.671 0.139620
405.541 0.103050
407.281 0.0800123
409.021 0.0762923
412.501 0.0866446
415.981 0.113919
419.462 0.172488
421.202 0.229502
422.942 0.331775
423.812 0.417167
424.682 0.546952
425.552 0.759003
426.422 1.14233
426.857 1.46307
427.292 1.94966
427.727 2.74038
428.162 4.15414
428.379 5.32177
428.597 7.06988
428.814 9.85727
429.032 14.7025
429.249 24.2527
429.358 32.9465
429.467 47.2407
429.576 73.1554
429.630 94.7219
429.684 126.987
429.739 178.161
429.793 264.753
429.848 422.347
429.902 721.324
429.951 1156.14
430.000 1446.78
430.049 1156.03
430.098 721.305
430.135 499.755
430.171 356.060
430.208 262.544
430.245 199.921
430.318 125.537
430.391 85.4799
430.464 61.7322
430.537 46.5875
430.684 29.1674
430.830 19.9453
430.977 14.4936
431.123 11.0095
431.269 8.65150
431.562 5.75439
431.855 4.11232
432.148 3.09323
432.440 2.41815
433.026 1.60768
433.612 1.15924
434.197 0.886026
434.783 0.708010
435.954 0.499471
