37-Rb_n-tot
>  37-Rb-85:0.721700
>  37-Rb-87:0.278300
2.351370e+02 1.26887110e+02
2.351840e+02 9.32933651e+01
2.352310e+02 7.04618267e+01
2.352780e+02 5.49203966e+01
2.353240e+02 4.41624673e+01
2.354180e+02 3.08543564e+01
2.355120e+02 2.33791691e+01
2.356050e+02 1.87924429e+01
2.356990e+02 1.57866716e+01
2.358860e+02 1.22173628e+01
2.360740e+02 1.02506600e+01
2.362610e+02 9.04787776e+00
2.364480e+02 8.25453758e+00
2.366360e+02 7.70117594e+00
2.370100e+02 6.99427674e+00
2.373850e+02 6.57200766e+00
2.377600e+02 6.29661896e+00
2.381340e+02 6.10530946e+00
2.388840e+02 5.86025141e+00
2.396330e+02 5.71212603e+00
2.403830e+02 5.61379680e+00
2.411320e+02 5.54404804e+00
2.418950e+02 5.49703399e+00
2.426310e+02 5.45167930e+00
2.441290e+02 5.39289517e+00
2.456280e+02 5.35167607e+00
2.460850e+02 5.34222955e+00
2.471270e+02 5.32078038e+00
2.501240e+02 5.27628852e+00
2.502740e+02 5.27468840e+00
2.531210e+02 5.24526059e+00
2.544640e+02 5.23525788e+00
2.565590e+02 5.22115152e+00
2.586530e+02 5.20968180e+00
2.591160e+02 5.20805075e+00
2.597010e+02 5.20702445e+00
2.607480e+02 5.20789033e+00
2.617950e+02 5.21382128e+00
2.628430e+02 5.23040895e+00
2.633660e+02 5.24682017e+00
2.638900e+02 5.27376567e+00
2.644140e+02 5.32023670e+00
2.649380e+02 5.40732005e+00
2.651110e+02 5.45642493e+00
2.651990e+02 5.48147342e+00
2.654610e+02 5.59487588e+00
2.657230e+02 5.77987936e+00
2.659850e+02 6.11063968e+00
2.661160e+02 6.38351738e+00
2.662470e+02 6.79057744e+00
2.663780e+02 7.43650517e+00
2.665090e+02 8.55074779e+00
2.666400e+02 1.07193300e+01
2.667050e+02 1.26669654e+01
2.667700e+02 1.58192223e+01
2.668360e+02 2.14092440e+01
2.668690e+02 2.59462320e+01
2.669010e+02 3.25898994e+01
2.669340e+02 4.28184006e+01
2.669670e+02 5.93306376e+01
2.670000e+02 8.75426065e+01
2.670320e+02 1.36954917e+02
2.670660e+02 2.16246342e+02
2.671000e+02 2.69189715e+02
2.671340e+02 2.16267489e+02
2.671680e+02 1.36990532e+02
2.671950e+02 9.47166495e+01
2.672210e+02 6.79532655e+01
2.672480e+02 5.08983728e+01
2.672750e+02 3.96989122e+01
2.673280e+02 2.65622643e+01
2.673810e+02 1.96143683e+01
2.674350e+02 1.55302865e+01
2.674880e+02 1.29494185e+01
2.675950e+02 9.99765853e+00
