Ni-59(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1400.00 0.0154780
1500.00 0.0139190
1600.00 0.0128013
1700.00 0.0120164
1800.00 0.0114938
1900.00 0.0111885
2000.00 0.0110736
2100.00 0.0111370
2200.00 0.0113803
2300.00 0.0118201
2400.00 0.0124938
2500.00 0.0134720
2598.50 0.0148626
2600.00 0.0148881
2603.13 0.0149418
2606.25 0.0149961
2612.50 0.0151069
2625.00 0.0153372
2650.00 0.0158353
2700.00 0.0170117
2800.00 0.0204618
2900.00 0.0269786
2950.00 0.0329734
3000.00 0.0433949
3050.00 0.0647834
3075.00 0.0855830
3100.00 0.122891
3124.25 0.197409
3136.38 0.268148
3148.50 0.390374
3160.63 0.629291
3166.69 0.844853
3172.75 1.19641
3178.81 1.82496
3181.84 2.34089
3184.88 3.10419
3187.91 4.29206
3190.94 6.25242
3193.97 9.70024
3197.00 15.9894
3200.00 25.9610
3203.00 32.7278
3206.00 25.8780
3209.00 15.9382
3211.84 9.96955
3214.69 6.57475
3217.53 4.58726
3220.38 3.35776
3226.06 2.00550
3231.75 1.32857
3237.44 0.945302
3243.13 0.708504
3254.50 0.444133
3265.88 0.308135
3277.25 0.229303
3300.00 0.146550
3325.00 0.103891
3350.00 0.0816407
3400.00 0.0614034
3450.00 0.0542879
3500.00 0.0528033
3600.00 0.0588563
3700.00 0.0751291
3750.00 0.0883988
3800.00 0.106917
3850.00 0.133322
3900.00 0.172283
3950.00 0.232473
4000.00 0.331020
4050.00 0.503646
4075.00 0.638718
4100.00 0.823964
4118.70 1.00424
4170.00 1.65814
4180.00 1.77877
4190.00 1.87590
4200.00 1.93867
4210.00 1.95903
4211.00 1.95857
4213.25 1.95586
4215.50 1.95085
4220.00 1.93409
4230.00 1.86704
4265.00 1.43809
4300.00 0.996991
4303.30 0.961858
4315.39 0.843840
4327.48 0.741831
4351.65 0.579249
4400.00 0.371748
4450.00 0.252019
4500.00 0.181283
4550.00 0.136755
4600.00 0.107218
4700.00 0.0721705
4800.00 0.0534067
4900.00 0.0426313
5000.00 0.0363169
5100.00 0.0328140
5200.00 0.0313350
5300.00 0.0315618
5400.00 0.0335062
5500.00 0.0375100
5600.00 0.0443846
5700.00 0.0557919
5800.00 0.0751978
5900.00 0.110424
5950.00 0.139224
6000.00 0.181187
6050.00 0.244345
6100.00 0.341875
6143.20 0.467594
6200.00 0.697430
6237.50 0.847291
6250.00 0.881980
6262.50 0.903663
6276.00 0.910004
6300.00 0.876421
6350.00 0.685208
6400.00 0.478342
6408.90 0.447294
6431.68 0.377078
6454.45 0.319208
6500.00 0.233295
6550.00 0.171111
6600.00 0.129853
6700.00 0.0814275
6800.00 0.0557115
6900.00 0.0406363
7000.00 0.0311182
7100.00 0.0247632
7200.00 0.0203372
7300.00 0.0171559
7400.00 0.0148180
7500.00 0.0130777
7600.00 0.0117796
7700.00 0.0108246
7800.00 0.0101506
7900.00 0.00972277
8000.00 0.00952856
8100.00 0.00957822
8200.00 0.00990996
8300.00 0.0106036
8400.00 0.0118109
8500.00 0.0138224
8600.00 0.0172324
8700.00 0.0233998
8800.00 0.0360242
8850.00 0.0479660
8900.00 0.0685915
8950.00 0.109272
8975.00 0.146640
9000.00 0.209113
9020.00 0.295065
9030.00 0.359793
9040.00 0.448005
9055.00 0.650494
9062.50 0.799457
9070.00 0.992140
9070.50 1.00672
9072.31 1.06142
9074.13 1.11897
9077.75 1.24223
9085.00 1.51166
9100.00 1.94798
9103.00 1.96818
9115.00 1.77149
9130.00 1.28823
9135.60 1.14089
9145.00 0.964666
9160.00 0.856978
9170.00 0.901541
9180.00 1.06849
9190.00 1.44548
9200.00 2.27540
9207.08 3.48395
9214.15 5.79216
9220.58 9.15941
9227.00 11.3935
9233.43 9.12075
9239.85 5.73037
9247.37 3.29624
9254.89 2.05474
9262.41 1.38642
9269.93 0.996022
9277.44 0.750805
9284.96 0.587459
9300.00 0.390537
9312.50 0.295526
9325.00 0.232664
9350.00 0.156920
9375.00 0.114467
9400.00 0.0881551
9450.00 0.0584846
9500.00 0.0431521
9550.00 0.0346066
9600.00 0.0300953
9650.00 0.0289205
9700.00 0.0324467
9725.00 0.0377861
9750.00 0.0486866
9775.00 0.0732320
9787.50 0.0979991
9800.00 0.142942
9810.00 0.210981
9815.00 0.266694
9820.00 0.348835
9825.00 0.475919
9830.00 0.683937
9832.50 0.838636
9835.00 1.04491
9837.50 1.32161
9840.00 1.68946
9845.00 2.69443
9850.00 3.36258
9855.00 2.69073
9860.00 1.68568
9865.00 1.04177
9870.00 0.681213
9875.00 0.473391
9880.00 0.346367
9890.00 0.208420
9900.00 0.140142
9912.50 0.0948053
9925.00 0.0695780
9950.00 0.0439859
9974.99 0.0318988
9999.99 0.0252281
10000.0 0.125910
20000.0 0.0921295
30000.0 0.0583490
50000.0 0.0422690
60000.0 0.0342290
70000.0 0.0323833
100000 0.0268460
150000 0.0198250
200000 0.0167670
300000 0.0137450
400000 0.00842930
550000 0.00581765
600000 0.00494710
700000 0.00463120
800000 0.00431530
1.00000E+06 0.00437190
1.20000E+06 0.00350790
1.28870E+06 0.00326828
1.28871E+06 0.00326825
1.35250E+06 0.00309592
1.35252E+06 0.00309587
1.40000E+06 0.00296760
1.41500E+06 0.00296052
1.41503E+06 0.00296051
1.60000E+06 0.00287320
1.65120E+06 0.00285372
1.65124E+06 0.00285370
1.80000E+06 0.00279710
2.00000E+06 0.00270310
2.00040E+06 0.00270249
2.00042E+06 0.00270246
2.19657E+06 0.00240282
2.19660E+06 0.00240277
2.25000E+06 0.00232120
2.32878E+06 0.00231294
2.32880E+06 0.00231294
2.50000E+06 0.00229500
2.55250E+06 0.00227551
2.64350E+06 0.00224173
2.64354E+06 0.00224172
2.67450E+06 0.00223023
2.67453E+06 0.00223021
2.75000E+06 0.00220220
2.87975E+06 0.00215098
2.87980E+06 0.00215096
2.94628E+06 0.00212471
2.94630E+06 0.00212470
3.00000E+06 0.00210350
3.17280E+06 0.00201140
3.17283E+06 0.00201138
3.17690E+06 0.00200921
3.23990E+06 0.00197563
3.23995E+06 0.00197561
3.24808E+06 0.00197127
3.24810E+06 0.00197126
3.32537E+06 0.00193008
3.32540E+06 0.00193006
3.37418E+06 0.00190406
3.37420E+06 0.00190405
3.39550E+06 0.00189270
3.39554E+06 0.00189268
3.43820E+06 0.00186994
3.43825E+06 0.00186991
3.44940E+06 0.00186397
3.44943E+06 0.00186395
3.50000E+06 0.00183700
3.63040E+06 0.00178948
3.63045E+06 0.00178946
3.64770E+06 0.00178318
3.64774E+06 0.00178316
3.68028E+06 0.00177131
3.68030E+06 0.00177130
3.73210E+06 0.00175242
3.73214E+06 0.00175241
3.79316E+06 0.00173017
3.79320E+06 0.00173016
3.82670E+06 0.00171795
3.82672E+06 0.00171794
3.93858E+06 0.00167718
3.93860E+06 0.00167717
3.96095E+06 0.00166903
3.96100E+06 0.00166901
3.99040E+06 0.00165830
3.99044E+06 0.00165828
4.00000E+06 0.00165480
4.07586E+06 0.00162943
4.07590E+06 0.00162942
4.08807E+06 0.00162535
4.08810E+06 0.00162534
4.10739E+06 0.00161889
4.10740E+06 0.00161889
4.14908E+06 0.00160495
4.14910E+06 0.00160494
4.50000E+06 0.00148760
5.00000E+06 0.00138550
5.50000E+06 0.00131040
5.59983E+06 0.00129541
6.00000E+06 0.00123530
6.00000E+06 0.00123530
6.00000E+06 0.00123530
6.20176E+06 0.00120080
6.47994E+06 0.00115323
6.50000E+06 0.00114980
6.50000E+06 0.00114980
6.50000E+06 0.00114980
7.00000E+06 0.00106430
7.50000E+06 0.00102960
7.96513E+06 0.000997310
8.00000E+06 0.000994890
8.00000E+06 0.000994890
8.00000E+06 0.000994890
8.50000E+06 0.000947445
8.74211E+06 0.000924471
8.83426E+06 0.000915727
9.00000E+06 0.000900000
9.00000E+06 0.000900000
9.00000E+06 0.000900000
9.15119E+06 0.000884881
9.48898E+06 0.000851102
9.48900E+06 0.000851100
9.50000E+06 0.000850000
9.50000E+06 0.000850000
9.50000E+06 0.000850000
1.00000E+07 0.000800000
1.05000E+07 0.000770000
1.06830E+07 0.000759020
1.06833E+07 0.000759002
1.10000E+07 0.000740000
1.15000E+07 0.000710000
1.16960E+07 0.000698240
1.16961E+07 0.000698234
1.19939E+07 0.000680366
1.19940E+07 0.000680360
1.20000E+07 0.000680000
1.25000E+07 0.000650000
1.29608E+07 0.000622352
1.29610E+07 0.000622340
1.30000E+07 0.000620000
1.35000E+07 0.000590000
1.40000E+07 0.000560000
1.45000E+07 0.000530000
1.50000E+07 0.000500000
1.51967E+07 0.000488196
