W-186(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 1910.98
1.25000E-05 1709.24
1.50000E-05 1560.33
2.00000E-05 1351.30
2.75000E-05 1152.40
3.50000E-05 1021.50
4.25000E-05 927.008
5.00000E-05 854.667
6.25000E-05 764.447
7.50000E-05 697.849
0.000100000 604.368
0.000125000 540.573
0.000150000 493.482
0.000200000 427.381
0.000275000 364.487
0.000350000 323.095
0.000425000 293.213
0.000500000 270.338
0.000625000 241.809
0.000750000 220.750
0.00100000 191.191
0.00125000 171.020
0.00150000 156.130
0.00200000 135.230
0.00275000 115.345
0.00350000 102.260
0.00425000 92.8135
0.00500000 85.5826
0.00625000 76.5656
0.00750000 69.9104
0.0100000 60.5703
0.0125000 54.1979
0.0150000 49.4952
0.0200000 42.8967
0.0253000 38.1693
0.0314750 34.2508
0.0376500 31.3431
0.0500000 27.2434
0.0625000 24.4073
0.0750000 22.3167
0.100000 19.3885
0.125000 17.3961
0.150000 15.9300
0.200000 13.8817
0.275000 11.9490
0.350000 10.6912
0.500000 9.11651
0.750000 7.69145
1.00000 6.89344
1.50000 6.05857
2.00000 5.68765
2.75000 5.54864
3.50000 5.71730
5.00000 6.76309
6.25000 8.41382
7.50000 11.0442
8.75000 15.1720
10.0000 21.7653
11.0826 30.8917
12.1653 45.7097
13.2479 71.3795
13.7892 91.5905
14.3305 120.239
14.8718 162.438
15.4131 227.743
15.9544 335.664
16.4958 531.055
16.7664 693.262
17.0371 936.190
17.3077 1322.08
17.5784 1985.86
17.8490 3264.92
17.9844 4396.08
18.1197 6196.95
18.2550 9294.98
18.3904 15206.2
18.4580 20314.8
18.5257 28130.6
18.5933 40506.9
18.6610 60244.2
18.7455 96811.0
18.8300 121348
18.9145 97514.9
18.9990 61369.5
19.0616 42887.7
19.1241 30795.1
19.1867 22865.6
19.2493 17522.2
19.3744 11128.6
19.4995 7656.81
19.6246 5583.85
19.7498 4253.69
20.0000 2711.32
20.2344 1926.19
20.4688 1444.14
20.9375 906.467
21.4063 628.118
21.8750 464.908
22.3438 360.678
22.8125 289.839
23.7500 202.018
24.6875 151.311
25.6250 119.153
27.5000 81.7846
29.3750 61.4066
31.2500 48.8960
33.1250 40.5668
35.0000 34.6848
38.7500 27.0175
42.5000 22.2962
46.2500 19.1219
50.0000 16.8497
56.2500 14.2272
62.5000 12.4475
68.7500 11.1546
75.0000 10.1661
87.5000 8.73201
100.000 7.70890
117.663 6.60819
135.326 5.66841
144.157 5.19072
152.988 4.64958
157.404 4.32049
159.612 4.12635
161.820 3.89933
164.028 3.62112
