Cl-37(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 22.9129
1.25000E-05 20.6138
1.50000E-05 18.9166
2.00000E-05 16.5343
2.75000E-05 14.2675
3.50000E-05 12.7757
4.25000E-05 11.6987
5.00000E-05 10.8742
6.25000E-05 9.84602
7.50000E-05 9.08701
0.000100000 8.02161
0.000125000 7.29455
0.000150000 6.75785
0.000200000 6.00450
0.000275000 5.28769
0.000350000 4.81594
0.000425000 4.47537
0.000500000 4.21465
0.000625000 3.88950
0.000750000 3.64948
0.00100000 3.31258
0.00125000 3.08266
0.00150000 2.91294
0.00200000 2.67471
0.00275000 2.44804
0.00350000 2.29886
0.00425000 2.19116
0.00500000 2.10871
0.00625000 2.00589
0.00750000 1.92999
0.0100000 1.82345
0.0125000 1.75074
0.0150000 1.69707
0.0200000 1.62174
0.0253000 1.56773
0.0314750 1.52294
0.0376500 1.48969
0.0500000 1.44274
0.0625000 1.41023
0.0750000 1.38622
0.100000 1.35252
0.125000 1.32952
0.150000 1.31255
0.200000 1.28871
0.275000 1.26602
0.350000 1.25108
0.500000 1.23203
0.750000 1.21409
1.00000 1.20337
1.50000 1.19061
2.00000 1.18295
2.75000 1.17560
3.50000 1.17070
5.00000 1.16432
7.50000 1.15806
10.0000 1.15410
15.0000 1.14892
20.0000 1.14538
27.5000 1.14139
35.0000 1.13820
50.0000 1.13300
75.0000 1.12592
100.000 1.11980
150.000 1.10911
200.000 1.09970
275.000 1.08723
350.000 1.07624
500.000 1.05747
750.000 1.03262
1000.00 1.01282
1500.00 0.981463
2000.00 0.955570
2750.00 0.920038
3500.00 0.883374
4250.00 0.841063
5000.00 0.787527
5820.35 0.704610
6230.53 0.646306
6640.70 0.569246
6845.79 0.520932
7050.88 0.464513
7255.96 0.399936
7461.05 0.332567
7563.59 0.304855
7666.14 0.292838
7768.68 0.320986
7819.95 0.367070
7871.23 0.453394
7922.50 0.608114
7973.77 0.884248
8025.04 1.38906
8076.31 2.36111
8101.95 3.18231
8127.59 4.40391
8153.22 6.29129
8178.86 9.35238
8204.49 14.6384
8230.13 24.5355
8242.95 32.8092
8255.77 44.9825
8268.58 63.2590
8281.40 90.7051
8301.10 154.242
8320.80 205.283
8340.55 174.704
8360.30 115.700
8373.11 87.1429
8385.92 66.9035
8411.54 42.5242
8437.16 29.5532
8462.78 21.9812
8488.40 17.1974
8514.02 13.9802
