Hg-201(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 246.713
1.25000E-05 220.666
1.50000E-05 201.440
2.00000E-05 174.452
2.75000E-05 148.773
3.50000E-05 131.873
4.25000E-05 119.673
5.00000E-05 110.333
6.25000E-05 98.6849
7.50000E-05 90.0865
0.000100000 78.0172
0.000125000 69.7807
0.000150000 63.7007
0.000200000 55.1664
0.000275000 47.0460
0.000350000 41.7017
0.000425000 37.8437
0.000500000 34.8901
0.000625000 31.2066
0.000750000 28.4875
0.00100000 24.6708
0.00125000 22.0661
0.00150000 20.1434
0.00200000 17.4445
0.00275000 14.8765
0.00350000 13.1865
0.00425000 11.9663
0.00500000 11.0323
0.00625000 9.86731
0.00750000 9.00736
0.0100000 7.80023
0.0125000 6.97640
0.0150000 6.36825
0.0200000 5.51453
0.0253000 4.90252
0.0314750 4.39486
0.0376500 4.01785
0.0500000 3.48568
0.0625000 3.11694
0.0750000 2.84468
0.100000 2.46238
0.125000 2.20136
0.150000 2.00860
0.200000 1.73784
0.275000 1.47992
0.350000 1.30994
0.500000 1.09288
0.750000 0.888178
1.00000 0.765655
1.50000 0.619550
2.00000 0.531874
2.75000 0.447890
3.50000 0.392261
5.00000 0.320956
7.50000 0.253893
10.0000 0.214578
15.0000 0.171066
20.0000 0.150991
25.7140 0.148144
31.4280 0.180168
34.2850 0.234693
35.7135 0.290284
37.1420 0.391643
38.5705 0.605458
39.2848 0.814764
39.9990 1.18886
40.3561 1.49794
40.7133 1.96114
41.0704 2.70124
41.4275 3.99271
41.7846 6.55701
41.9632 8.91042
42.1418 12.8226
42.3203 20.0215
42.4096 26.1115
42.4989 35.3984
42.5882 50.4576
42.6774 76.8260
42.7667 127.311
42.8114 169.711
42.8560 230.216
42.9280 367.593
43.0000 458.755
43.0720 366.966
43.1440 229.438
43.1976 159.213
43.2511 113.552
43.3047 83.7795
43.3583 63.8183
43.4654 40.0835
43.5725 27.2955
43.6796 19.7127
43.7868 14.8783
44.0010 9.32005
44.2153 6.38041
44.4295 4.64462
44.6438 3.53667
44.8580 2.78738
45.2865 1.86929
45.7150 1.35043
46.1435 1.02945
46.5720 0.817520
47.4290 0.564714
48.2860 0.426367
50.0000 0.290724
52.5830 0.217169
55.1660 0.201065
57.7490 0.217321
60.3320 0.271266
62.9150 0.402371
64.2065 0.535562
65.4980 0.776876
66.1438 0.977655
66.7895 1.27988
67.4353 1.76499
68.0810 2.61626
68.7268 4.32007
69.0496 5.89701
69.3725 8.54223
69.6954 13.4774
69.8568 17.7135
70.0183 24.2695
70.1797 35.1261
70.3411 54.7347
70.4219 70.7849
70.5026 94.1153
70.5833 128.770
70.6640 180.156
70.7820 287.777
70.9000 359.233
71.0180 287.278
71.1360 179.541
71.2488 112.765
71.3615 74.4010
71.4743 51.8436
71.5870 37.8603
71.6998 28.7249
71.8125 22.4778
72.0380 14.7796
72.2635 10.4259
72.4890 7.73824
72.9400 4.74162
73.3910 3.20177
73.8420 2.30918
74.2930 1.74671
74.7440 1.36984
75.6460 0.912348
76.5480 0.656047
77.4500 0.498303
78.3520 0.394428
80.1560 0.270541
81.9600 0.202354
85.5680 0.133887
89.1760 0.102067
92.7840 0.0849189
100.000 0.0685912
112.500 0.0606539
125.000 0.0625141
137.500 0.0708982
150.000 0.0877564
162.500 0.120721
168.750 0.149372
175.000 0.194211
181.250 0.270250
187.500 0.415511
190.625 0.544220
193.750 0.751430
196.875 1.11773
198.438 1.41731
200.000 1.86209
201.237 2.38787
202.475 3.18006
203.712 4.45525
204.949 6.70380
205.568 8.53600
206.186 11.2427
206.805 15.4821
207.424 22.6663
207.733 28.2912
208.042 36.2823
208.352 48.1606
208.661 66.8582
208.970 98.5753
209.125 123.281
209.279 157.988
209.434 208.477
209.589 284.476
209.743 402.596
209.898 586.750
210.099 937.536
210.300 1170.30
210.502 934.962
210.703 583.592
210.902 361.299
211.100 235.889
211.299 163.173
211.497 118.543
211.696 89.5935
211.894 69.9003
212.291 45.7609
212.688 32.1776
213.085 23.8200
213.879 14.5298
214.673 9.76732
215.467 7.01119
216.261 5.27582
217.055 4.11401
218.643 2.70457
220.231 1.91568
221.818 1.43065
223.406 1.11170
226.582 0.732357
229.758 0.524840
232.934 0.399909
236.110 0.319613
242.461 0.228226
248.813 0.183441
261.516 0.157290
274.219 0.188536
280.571 0.235530
286.923 0.328193
290.098 0.408233
293.274 0.531548
296.450 0.734662
299.626 1.10331
301.214 1.41198
302.802 1.88023
304.390 2.64046
305.977 3.99750
306.771 5.11652
307.565 6.78909
308.359 9.45111
309.153 14.0656
309.550 17.7606
309.947 23.1273
310.344 31.3397
310.741 44.7959
310.940 54.9877
311.138 69.0274
311.337 89.0661
311.535 118.926
311.734 165.821
311.932 244.236
312.131 384.527
312.230 495.037
312.329 645.070
312.515 1032.04
312.700 1289.59
312.886 1030.88
313.071 643.871
313.199 458.042
313.327 333.516
313.455 250.060
313.584 192.852
313.840 123.229
314.096 84.8353
314.352 61.7157
314.608 46.8113
315.121 29.4901
315.633 20.2318
316.146 14.7254
316.658 11.1918
317.170 8.79194
318.195 5.83693
319.220 4.15760
320.245 3.11346
321.270 2.42065
323.319 1.58784
325.369 1.12589
327.419 0.843574
329.468 0.658752
333.568 0.439963
337.667 0.320938
341.766 0.249707
345.865 0.204303
354.064 0.153721
362.262 0.130685
378.660 0.124905
395.057 0.163209
403.255 0.210392
411.454 0.299938
415.553 0.376087
419.652 0.492402
423.752 0.682352
427.851 1.02362
429.901 1.30672
431.950 1.73242
434.000 2.41549
436.050 3.61410
438.099 6.01400
439.124 8.23566
440.149 11.9631
441.174 18.9178
441.686 24.8869
442.198 34.1241
442.711 49.4150
443.223 77.0163
443.479 99.5944
443.736 132.393
443.992 181.079
444.248 253.230
444.624 405.040
445.000 505.946
445.376 404.344
445.752 252.527
446.176 146.524
446.600 91.3303
447.024 61.2201
447.447 43.5146
447.871 32.3750
448.295 24.9651
449.143 16.0851
449.990 11.1965
450.838 8.23288
452.533 4.98280
454.228 3.33800
455.924 2.39386
457.619 1.80292
459.314 1.40907
462.705 0.933788
466.095 0.669541
469.486 0.508259
472.876 0.403183
479.657 0.280782
486.438 0.217436
500.000 0.167832
507.909 0.165755
515.818 0.180867
523.727 0.219259
531.636 0.299968
535.591 0.370859
539.545 0.480510
543.500 0.661018
547.454 0.986959
549.431 1.25798
551.409 1.66598
553.386 2.32118
555.363 3.47153
556.352 4.40428
557.340 5.77546
558.329 7.90830
559.318 11.4862
559.812 14.2589
560.306 18.1603
560.801 23.8858
561.295 32.7413
561.789 47.3892
562.283 73.7975
562.531 95.3775
562.778 126.675
563.025 173.075
563.272 241.681
563.636 386.345
564.000 482.437
564.365 385.569
564.729 240.792
564.962 175.546
565.196 130.463
565.662 77.6386
566.129 50.5083
566.595 35.1862
567.062 25.8106
567.528 19.6976
568.461 12.5151
569.394 8.63488
570.327 6.31144
572.193 3.79190
574.059 2.52991
575.925 1.81011
577.791 1.36151
579.656 1.06338
583.388 0.704573
587.120 0.505531
590.852 0.384166
594.584 0.305134
602.048 0.213133
609.511 0.165749
616.975 0.141109
624.439 0.130723
639.366 0.145423
646.830 0.177269
