27-Co_n-tot
>  27-Co-59:1.000000
2.277740e+03 4.57493000e+00
2.277880e+03 3.45083000e+00
2.278020e+03 2.79454000e+00
2.278170e+03 2.37856000e+00
2.278310e+03 2.10374000e+00
2.278590e+03 1.77286000e+00
2.278880e+03 1.59057000e+00
2.279160e+03 1.47994000e+00
2.279730e+03 1.35841000e+00
2.280300e+03 1.29671000e+00
2.280870e+03 1.26115000e+00
2.282010e+03 1.22376000e+00
2.284290e+03 1.19497000e+00
2.286570e+03 1.18389000e+00
2.291130e+03 1.17467000e+00
2.295690e+03 1.17030000e+00
2.313940e+03 1.16124000e+00
2.350420e+03 1.14935000e+00
2.423380e+03 1.13351000e+00
2.569310e+03 1.13301000e+00
2.715250e+03 1.18353000e+00
2.788210e+03 1.23394000e+00
2.824690e+03 1.27174000e+00
2.833810e+03 1.28698000e+00
2.838370e+03 1.29803000e+00
2.842930e+03 1.31464000e+00
2.847500e+03 1.34503000e+00
2.849780e+03 1.37293000e+00
2.852060e+03 1.42155000e+00
2.854340e+03 1.52113000e+00
2.855480e+03 1.61710000e+00
2.856620e+03 1.78664000e+00
2.857190e+03 1.92531000e+00
2.857760e+03 2.13115000e+00
2.858330e+03 2.45578000e+00
2.858900e+03 3.01151000e+00
2.859470e+03 4.08136000e+00
2.859750e+03 5.03059000e+00
2.860040e+03 6.55133000e+00
2.860320e+03 9.19772000e+00
2.860610e+03 1.43555000e+01
2.860750e+03 1.89418000e+01
2.860890e+03 2.60916000e+01
2.861030e+03 3.79008000e+01
2.861180e+03 5.74154000e+01
2.861340e+03 9.12667000e+01
2.861500e+03 1.13683000e+02
2.861660e+03 9.10722000e+01
2.861830e+03 5.74522000e+01
2.861960e+03 3.83630000e+01
2.862100e+03 2.67700000e+01
2.862240e+03 1.95387000e+01
2.862380e+03 1.49141000e+01
2.862650e+03 9.60803000e+00
2.862930e+03 6.85633000e+00
2.863200e+03 5.26428000e+00
2.863480e+03 4.26594000e+00
2.864030e+03 3.13596000e+00
2.864580e+03 2.54686000e+00
2.865130e+03 2.20216000e+00
2.865680e+03 1.98351000e+00
2.866230e+03 1.83634000e+00
2.867330e+03 1.65697000e+00
2.868430e+03 1.55627000e+00
2.870620e+03 1.45390000e+00
2.872820e+03 1.40628000e+00
2.875020e+03 1.38101000e+00
2.879420e+03 1.35795000e+00
2.883820e+03 1.34984000e+00
2.888220e+03 1.34778000e+00
2.897020e+03 1.35114000e+00
2.932210e+03 1.39029000e+00
3.002600e+03 1.49988000e+00
3.143380e+03 1.81366000e+00
3.284160e+03 2.29149000e+00
3.424940e+03 3.00871000e+00
3.565710e+03 4.09226000e+00
3.706490e+03 5.77628000e+00
3.847270e+03 8.56871000e+00
3.917660e+03 1.07493000e+01
3.952850e+03 1.21800000e+01
3.970450e+03 1.30200000e+01
3.979250e+03 1.34988000e+01
3.981450e+03 1.36429000e+01
3.983650e+03 1.38365000e+01
3.984750e+03 1.39980000e+01
3.985300e+03 1.41271000e+01
3.985850e+03 1.43333000e+01
3.986400e+03 1.47230000e+01
3.986670e+03 1.50779000e+01
3.986950e+03 1.56760000e+01
3.987220e+03 1.68168000e+01
3.987360e+03 1.78306000e+01
3.987500e+03 1.94431000e+01
3.987640e+03 2.22768000e+01
3.987770e+03 2.77866000e+01
3.987840e+03 3.27280000e+01
3.987910e+03 4.04056000e+01
3.987980e+03 5.32624000e+01
3.988050e+03 7.44994000e+01
3.988120e+03 1.10924000e+02
3.988200e+03 1.35254000e+02
3.988280e+03 1.10980000e+02
3.988350e+03 7.45767000e+01
3.988420e+03 5.31055000e+01
3.988490e+03 4.03469000e+01
3.988560e+03 3.26367000e+01
3.988630e+03 2.77595000e+01
3.988770e+03 2.22894000e+01
3.988910e+03 1.95030000e+01
3.989040e+03 1.79110000e+01
3.989180e+03 1.69225000e+01
3.989460e+03 1.58178000e+01
3.989730e+03 1.52528000e+01
3.990010e+03 1.49297000e+01
3.990560e+03 1.46028000e+01
3.991110e+03 1.44582000e+01
3.991670e+03 1.43906000e+01
3.992770e+03 1.43524000e+01
3.994980e+03 1.44058000e+01
3.997180e+03 1.45094000e+01
4.006010e+03 1.50270000e+01
4.023660e+03 1.62217000e+01
4.058970e+03 1.92044000e+01
4.129580e+03 2.94675000e+01
4.164880e+03 3.92871000e+01
4.200190e+03 5.67696000e+01
4.235500e+03 9.20938000e+01
4.253150e+03 1.23753000e+02
4.270800e+03 1.71907000e+02
4.296950e+03 2.81440000e+02
4.323100e+03 3.76042000e+02
4.349250e+03 3.33721000e+02
4.375400e+03 2.37639000e+02
4.394180e+03 1.86488000e+02
4.412960e+03 1.52145000e+02
4.450530e+03 1.14864000e+02
4.488090e+03 9.91112000e+01
4.525650e+03 9.36196000e+01
4.600780e+03 9.79617000e+01
4.675900e+03 1.14538000e+02
4.837950e+03 1.78685000e+02
5.000000e+03 2.37614000e+02
5.016000e+03 2.39425000e+02
5.058510e+03 2.39337000e+02
5.101030e+03 2.32579000e+02
5.186050e+03 2.05174000e+02
5.356100e+03 1.39730000e+02
5.485180e+03 1.03066000e+02
5.614250e+03 7.81529000e+01
5.743330e+03 6.12465000e+01
5.872400e+03 4.94631000e+01
6.130550e+03 3.46306000e+01
6.259630e+03 2.96678000e+01
6.324170e+03 2.73772000e+01
6.340300e+03 2.67301000e+01
6.356430e+03 2.59457000e+01
6.364500e+03 2.54344000e+01
6.368540e+03 2.51222000e+01
6.372570e+03 2.47563000e+01
6.376600e+03 2.43356000e+01
6.378620e+03 2.41274000e+01
6.380640e+03 2.39842000e+01
6.382650e+03 2.41048000e+01
6.383660e+03 2.44568000e+01
6.384670e+03 2.53053000e+01
6.385680e+03 2.73101000e+01
6.386180e+03 2.92347000e+01
6.386690e+03 3.23733000e+01
6.387190e+03 3.77099000e+01
6.387690e+03 4.72764000e+01
6.388200e+03 6.54630000e+01
6.388700e+03 1.01308000e+02
6.389200e+03 1.63951000e+02
6.389700e+03 2.20807000e+02
6.390200e+03 1.99960000e+02
6.390700e+03 1.45916000e+02
6.391100e+03 1.12776000e+02
6.391500e+03 9.06067000e+01
6.391910e+03 7.58502000e+01
6.392310e+03 6.57447000e+01
6.393120e+03 5.33242000e+01
6.393920e+03 4.62817000e+01
6.394730e+03 4.18787000e+01
6.395530e+03 3.89175000e+01
6.397150e+03 3.52498000e+01
6.398760e+03 3.31006000e+01
6.400370e+03 3.17009000e+01
6.403590e+03 2.99921000e+01
6.406820e+03 2.89820000e+01
6.410040e+03 2.83052000e+01
6.416490e+03 2.74295000e+01
6.422940e+03 2.68586000e+01
6.429380e+03 2.64345000e+01
6.442280e+03 2.58005000e+01
6.468070e+03 2.48863000e+01
6.493860e+03 2.41573000e+01
6.597020e+03 2.18426000e+01
6.803340e+03 1.83548000e+01
7.215990e+03 1.34520000e+01
7.422310e+03 1.14389000e+01
7.628640e+03 9.29685000e+00
7.731800e+03 7.95047000e+00
7.783380e+03 7.11284000e+00
7.834960e+03 6.08584000e+00
7.886540e+03 4.76925000e+00
7.912330e+03 3.96870000e+00
7.938120e+03 3.08519000e+00
7.963910e+03 2.25526000e+00
7.976810e+03 2.02342000e+00
7.989700e+03 2.18483000e+00
7.996150e+03 2.56821000e+00
8.002600e+03 3.31458000e+00
8.009040e+03 4.64414000e+00
8.015490e+03 6.92721000e+00
8.021940e+03 1.08034000e+01
8.028390e+03 1.73844000e+01
8.034830e+03 2.85750000e+01
8.041280e+03 4.72876000e+01
8.051590e+03 9.81494000e+01
8.056750e+03 1.26601000e+02
8.061900e+03 1.44231000e+02
8.072210e+03 1.32957000e+02
8.082520e+03 1.00222000e+02
8.093050e+03 7.48405000e+01
8.103570e+03 5.85519000e+01
8.114100e+03 4.79761000e+01
8.124620e+03 4.07948000e+01
8.145680e+03 3.19158000e+01
8.166730e+03 2.67585000e+01
8.187780e+03 2.34294000e+01
8.208830e+03 2.11128000e+01
8.250940e+03 1.81004000e+01
8.293040e+03 1.62154000e+01
8.335140e+03 1.49099000e+01
8.419350e+03 1.31812000e+01
8.587770e+03 1.12010000e+01
8.671970e+03 1.04925000e+01
8.693020e+03 1.03100000e+01
8.714080e+03 1.00965000e+01
8.724600e+03 9.95660000e+00
8.729870e+03 9.86739000e+00
8.735130e+03 9.75408000e+00
8.740390e+03 9.59721000e+00
8.743020e+03 9.49029000e+00
8.745650e+03 9.35231000e+00
8.748290e+03 9.16931000e+00
8.750920e+03 8.94432000e+00
8.752230e+03 8.87411000e+00
8.752890e+03 8.91165000e+00
8.753550e+03 9.09885000e+00
8.754210e+03 9.68941000e+00
8.754540e+03 1.03496000e+01
8.754860e+03 1.15520000e+01
8.755190e+03 1.38741000e+01
8.755520e+03 1.87737000e+01
8.755690e+03 2.33011000e+01
8.755850e+03 3.04831000e+01
8.756020e+03 4.23331000e+01
8.756180e+03 6.21720000e+01
8.756600e+03 1.43617000e+02
8.756810e+03 1.30133000e+02
8.757020e+03 9.22461000e+01
8.757190e+03 6.92223000e+01
8.757350e+03 5.38971000e+01
8.757520e+03 4.36510000e+01
8.757690e+03 3.66987000e+01
8.758020e+03 2.81716000e+01
8.758350e+03 2.33783000e+01
8.758690e+03 2.04076000e+01
8.759020e+03 1.84267000e+01
8.759690e+03 1.60024000e+01
8.760350e+03 1.46057000e+01
8.761020e+03 1.37115000e+01
8.761680e+03 1.30956000e+01
8.762350e+03 1.26479000e+01
8.763680e+03 1.20439000e+01
8.765010e+03 1.16568000e+01
8.766350e+03 1.13879000e+01
8.767680e+03 1.11902000e+01
8.770340e+03 1.09173000e+01
8.773000e+03 1.07363000e+01
8.778330e+03 1.05059000e+01
8.783660e+03 1.03598000e+01
8.788980e+03 1.02544000e+01
8.799640e+03 1.01033000e+01
8.820950e+03 9.89895000e+00
8.842260e+03 9.74456000e+00
8.927490e+03 9.27105000e+00
9.097950e+03 8.53458000e+00
9.268420e+03 7.91032000e+00
9.353650e+03 7.61684000e+00
9.396270e+03 7.47181000e+00
9.417580e+03 7.40399000e+00
9.428230e+03 7.39103000e+00
9.430900e+03 7.40629000e+00
9.433560e+03 7.46442000e+00
9.434890e+03 7.54918000e+00
9.436220e+03 7.77835000e+00
9.436890e+03 8.06767000e+00
9.437560e+03 8.76312000e+00
9.437890e+03 9.54166000e+00
9.438220e+03 1.11433000e+01
9.438390e+03 1.26512000e+01
9.438550e+03 1.51506000e+01
9.438720e+03 1.95953000e+01
9.438890e+03 2.77907000e+01
9.439040e+03 4.01600000e+01
9.439200e+03 4.83665000e+01
9.439360e+03 4.01198000e+01
9.439520e+03 2.78417000e+01
9.439640e+03 2.12277000e+01
9.439770e+03 1.70535000e+01
9.439890e+03 1.44006000e+01
9.440020e+03 1.26681000e+01
9.440270e+03 1.06296000e+01
9.440510e+03 9.55507000e+00
9.441010e+03 8.52301000e+00
9.441510e+03 8.06525000e+00
9.442510e+03 7.68064000e+00
9.443510e+03 7.52617000e+00
9.445500e+03 7.40210000e+00
9.447500e+03 7.35129000e+00
9.451490e+03 7.30437000e+00
9.455480e+03 7.27816000e+00
9.471450e+03 7.20819000e+00
9.503390e+03 7.08430000e+00
9.535320e+03 6.95318000e+00
9.567260e+03 6.80462000e+00
9.599200e+03 6.62020000e+00
9.615160e+03 6.50133000e+00
9.631130e+03 6.34776000e+00
9.647100e+03 6.12744000e+00
9.655080e+03 5.96964000e+00
9.663070e+03 5.75228000e+00
9.667060e+03 5.60768000e+00
9.671050e+03 5.42600000e+00
9.675040e+03 5.18990000e+00
9.679040e+03 4.87019000e+00
9.681030e+03 4.66436000e+00
9.683030e+03 4.41643000e+00
9.685020e+03 4.11579000e+00
9.687020e+03 3.75548000e+00
9.689020e+03 3.35937000e+00
9.690010e+03 3.19309000e+00
9.691010e+03 3.13841000e+00
9.692010e+03 3.41542000e+00
9.692510e+03 3.84971000e+00
9.693010e+03 4.69324000e+00
9.693510e+03 6.29058000e+00
9.693760e+03 7.56832000e+00
9.694010e+03 9.33020000e+00
9.694260e+03 1.17916000e+01
9.694510e+03 1.52153000e+01
9.694750e+03 1.99920000e+01
9.695000e+03 2.65924000e+01
9.695300e+03 3.75795000e+01
9.695600e+03 5.17348000e+01
9.696200e+03 7.70736000e+01
9.696500e+03 7.88807000e+01
9.696800e+03 7.33027000e+01
9.697400e+03 5.55978000e+01
9.697990e+03 4.17702000e+01
9.698580e+03 3.28276000e+01
9.699170e+03 2.70274000e+01
9.699760e+03 2.31093000e+01
9.700360e+03 2.03434000e+01
9.700950e+03 1.83130000e+01
9.702130e+03 1.55697000e+01
9.703310e+03 1.38269000e+01
9.704490e+03 1.26336000e+01
9.706860e+03 1.11187000e+01
9.709220e+03 1.02042000e+01
9.711580e+03 9.59462000e+00
9.713950e+03 9.15982000e+00
9.716310e+03 8.83404000e+00
9.721040e+03 8.37756000e+00
9.725770e+03 8.07184000e+00
9.730500e+03 7.85138000e+00
9.735230e+03 7.68377000e+00
9.744680e+03 7.44286000e+00
9.754140e+03 7.27469000e+00
9.773050e+03 7.04630000e+00
9.791960e+03 6.88918000e+00
9.810880e+03 6.76740000e+00
9.848700e+03 6.57627000e+00
