Hg-199(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 110734
1.25000E-05 99043.1
1.50000E-05 90413.4
2.00000E-05 78299.8
2.75000E-05 66773.8
3.50000E-05 59188.2
4.25000E-05 53712.0
5.00000E-05 49519.6
6.25000E-05 44291.1
7.50000E-05 40431.6
0.000100000 35013.9
0.000125000 31316.6
0.000150000 28587.3
0.000200000 24756.1
0.000275000 21110.6
0.000350000 18711.1
0.000425000 16978.8
0.000500000 15652.6
0.000625000 13998.4
0.000750000 12777.2
0.00100000 11062.7
0.00125000 9892.43
0.00150000 9028.35
0.00200000 7815.05
0.00275000 6659.93
0.00350000 5899.19
0.00425000 5349.61
0.00500000 4928.59
0.00625000 4403.05
0.00750000 4014.66
0.0100000 3468.59
0.0125000 3095.10
0.0150000 2818.78
0.0200000 2429.70
0.0253000 2149.57
0.0314750 1916.13
0.0376500 1741.92
0.0500000 1494.37
0.0625000 1321.31
0.0750000 1192.47
0.100000 1009.56
0.125000 882.962
0.150000 788.369
0.200000 653.638
0.237500 580.898
0.275000 523.081
0.350000 435.967
0.500000 324.270
0.750000 220.799
1.00000 161.957
1.50000 98.4949
2.00000 66.0922
2.75000 40.6317
3.50000 27.2976
4.25000 19.5050
5.00000 14.5936
6.25000 9.71852
7.50000 6.96328
8.75000 5.28046
10.0000 4.19541
12.5000 2.97450
15.0000 2.41088
17.5000 2.21073
20.0000 2.29473
23.3323 2.98576
24.9984 3.80640
26.6645 5.35973
27.4976 6.67877
28.3306 8.68981
29.1637 11.9644
29.9968 17.8217
30.4133 22.6597
30.8298 29.9053
31.2464 41.4702
31.6629 61.6211
31.8712 77.8454
32.0794 101.545
32.2877 138.111
32.4959 198.766
32.6001 245.262
32.7042 310.048
32.8083 403.914
32.9125 546.644
33.0166 777.227
33.1207 1178.75
33.1728 1495.78
33.2249 1941.41
33.2769 2577.31
33.3290 3479.47
33.4145 5562.69
33.5000 6945.16
33.5855 5545.41
33.6710 3459.34
33.7348 2395.12
33.7986 1705.01
33.8624 1256.05
33.9262 955.578
34.0537 598.879
34.1813 406.982
34.3089 293.332
34.4364 220.928
34.6916 137.764
34.9467 93.8256
35.2019 67.9020
35.4570 51.3664
35.7121 40.1898
36.2224 26.5036
36.7327 18.7726
37.2430 13.9896
37.7533 10.8292
38.7738 7.04910
39.7944 4.96416
40.8149 3.69564
41.8355 2.86779
43.8766 1.89009
45.9178 1.35762
47.9589 1.03651
50.0000 0.828391
53.1250 0.628318
56.2500 0.506528
62.5000 0.374488
68.7500 0.312067
75.0000 0.282636
87.5000 0.276642
100.000 0.328379
107.373 0.405453
114.746 0.587007
118.433 0.805678
120.276 1.00988
122.119 1.36708
123.962 2.09950
124.884 2.80654
125.806 4.06045
126.727 6.63040
127.188 9.07836
127.649 13.3247
127.879 16.7285
128.110 21.6792
128.340 29.2712
128.570 41.7551
128.801 64.3458
128.916 83.1271
129.031 111.264
129.146 155.777
129.262 230.986
129.377 367.543
129.434 476.629
129.492 626.245
129.596 999.782
129.700 1247.56
129.805 996.510
129.909 621.822
129.996 413.270
130.083 284.863
130.170 204.930
130.257 153.268
130.432 93.9372
130.606 63.0679
130.780 45.1559
130.954 33.9141
131.302 21.1710
131.651 14.5230
131.999 10.6327
132.695 6.50663
133.392 4.48700
134.089 3.35638
135.482 2.21465
136.875 1.69377
138.268 1.42845
141.054 1.22164
146.627 1.30494
152.200 1.78238
154.986 2.22537
157.772 2.91298
160.559 4.04087
161.952 4.89262
163.345 6.06361
164.738 7.73486
166.131 10.2363
167.524 14.2243
168.221 17.1728
168.917 21.1565
169.614 26.7234
170.311 34.8336
171.007 47.2978
171.704 67.8531
172.400 105.233
172.749 136.470
173.097 183.513
173.445 258.491
173.794 386.548
174.142 622.862
174.316 814.530
174.490 1080.75
174.795 1731.47
175.100 2163.76
175.405 1724.90
175.710 1074.23
175.900 788.907
176.090 589.951
176.469 354.286
176.849 231.747
177.228 162.007
177.608 119.090
177.987 91.0090
178.746 57.8915
179.505 39.9417
180.264 29.1730
181.783 17.4785
183.301 11.6156
184.819 8.27136
186.337 6.18765
187.855 4.80346
190.891 3.13866
193.928 2.21563
196.964 1.65246
200.000 1.28471
203.984 0.969537
207.967 0.764624
215.935 0.527022
223.902 0.405801
231.870 0.344590
239.837 0.324226
247.804 0.352259
251.788 0.407497
255.772 0.561982
257.764 0.767952
258.760 0.968436
259.755 1.32687
260.751 2.07094
261.249 2.79008
261.747 4.05775
262.245 6.61785
262.494 9.01084
262.743 13.0669
262.992 20.7629
263.117 27.4842
263.241 38.0747
263.366 56.0640
263.428 70.1026
263.490 89.8291
263.552 118.597
263.615 161.945
263.677 229.422
263.708 276.504
263.739 334.985
263.779 428.782
263.820 535.691
263.900 669.412
263.940 629.906
263.981 535.503
264.061 334.763
264.110 248.511
264.158 187.555
264.255 114.185
264.353 75.4263
264.450 53.1436
264.547 39.3170
264.644 30.2276
264.838 19.4430
265.033 13.5643
265.227 10.0260
265.616 6.16956
266.004 4.22902
266.393 3.11999
267.170 1.96862
267.948 1.41701
268.725 1.11331
270.279 0.813778
271.834 0.683709
273.388 0.623600
276.498 0.594733
282.716 0.698186
288.934 0.978899
292.043 1.22774
295.152 1.61098
298.261 2.23815
301.371 3.36268
302.925 4.29204
304.480 5.68344
305.257 6.65422
306.034 7.90163
306.812 9.54145
307.589 11.7564
308.366 14.8504
309.143 19.3549
309.921 26.2706
310.698 37.6572
311.087 46.3223
311.475 58.3080
