Ti-50(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 9.02823
1.25000E-05 8.07510
1.50000E-05 7.37152
2.00000E-05 6.38392
2.75000E-05 5.44423
3.50000E-05 4.82579
4.25000E-05 4.37934
5.00000E-05 4.03755
6.25000E-05 3.61129
7.50000E-05 3.29664
0.000100000 2.85498
0.000125000 2.55357
0.000150000 2.33108
0.000200000 2.01877
0.000275000 1.72162
0.000350000 1.52605
0.000425000 1.38487
0.000500000 1.27679
0.000625000 1.14199
0.000750000 1.04249
0.00100000 0.902823
0.00125000 0.807509
0.00150000 0.737152
0.00200000 0.638392
0.00275000 0.544423
0.00350000 0.482579
0.00425000 0.437933
0.00500000 0.403755
0.00625000 0.361129
0.00750000 0.329664
0.0100000 0.285498
0.0125000 0.255357
0.0150000 0.233108
0.0200000 0.201877
0.0253000 0.179491
0.0314750 0.160923
0.0376500 0.147136
0.0500000 0.127678
0.0625000 0.114198
0.0750000 0.104248
0.100000 0.0902815
0.125000 0.0807500
0.150000 0.0737142
0.200000 0.0638381
0.275000 0.0544409
0.350000 0.0482564
0.500000 0.0403737
0.750000 0.0329642
1.00000 0.0285472
1.50000 0.0233076
2.00000 0.0201841
2.75000 0.0172119
3.50000 0.0152557
5.00000 0.0127621
7.50000 0.0104179
10.0000 0.00902011
15.0000 0.00736158
20.0000 0.00637245
27.5000 0.00543078
35.0000 0.00481063
50.0000 0.00401944
75.0000 0.00327451
100.000 0.00282947
150.000 0.00229995
200.000 0.00198295
275.000 0.00167984
350.000 0.00147917
500.000 0.00122135
750.000 0.000975780
1000.00 0.000827119
1500.00 0.000647541
2000.00 0.000538302
2750.00 0.000432602
3500.00 0.000362189
5000.00 0.000272104
7500.00 0.000189007
10000.0 0.000142101
13494.9 0.000103670
15242.4 9.14755E-05
16116.1 8.83708E-05
16553.0 9.46870E-05
16771.4 0.000128526
16880.6 0.000267937
16935.2 0.000825973
16962.5 0.00304202
16976.2 0.0117659
16983.0 0.0456131
16984.7 0.0796954
16986.4 0.172399
16987.3 0.296972
16988.1 0.620910
16988.5 1.03370
16989.0 2.00572
16989.2 3.16596
16989.4 5.50152
16989.5 7.85875
16989.6 11.4865
16989.7 18.8086
16989.8 32.0218
16989.9 51.9996
16990.0 64.0448
16990.1 51.9995
16990.2 32.0218
16990.3 19.7544
16990.4 13.0305
16990.5 9.08283
16990.6 6.63633
16990.7 3.84433
16990.9 2.54107
16991.3 1.31820
16991.7 0.812273
16992.4 0.389782
16993.1 0.229337
16994.6 0.106216
16996.1 0.0610155
17001.9 0.0157909
17013.7 0.00407019
17037.2 0.00108673
17084.2 0.000333200
17178.3 0.000143403
17366.4 9.49706E-05
17742.6 8.12818E-05
18495.1 7.50269E-05
20000.0 6.86812E-05
23750.0 5.87610E-05
27500.0 5.36047E-05
35000.0 5.53467E-05
38750.0 6.45538E-05
42500.0 8.56687E-05
44375.0 0.000105273
46250.0 0.000137066
48125.0 0.000192781
50000.0 0.000303071
51094.9 0.000425991
52189.9 0.000652090
52737.4 0.000844162
53284.8 0.00113981
53832.3 0.00163055
54106.0 0.00201623
54242.9 0.00230616
54311.3 0.00265406
54345.6 0.00357399
54362.7 0.00695141
54371.2 0.0198983
54375.5 0.0684789
54377.6 0.239735
54378.7 0.773517
54379.2 2.07863
54379.5 4.41103
54379.6 7.00625
54379.8 12.1854
54379.9 19.3290
54380.0 24.3684
54380.1 19.3289
54380.2 12.1854
54380.4 5.41031
54380.7 2.81919
54381.1 1.14399
54381.9 0.377380
54383.5 0.110644
54386.8 0.0315132
54393.4 0.0100499
54406.5 0.00448726
54432.9 0.00312087
54485.5 0.00289142
54590.7 0.00309470
54696.0 0.00342088
54748.6 0.00361060
54801.2 0.00381825
54853.8 0.00404534
54906.4 0.00429376
54959.0 0.00456591
55011.7 0.00486457
55116.9 0.00555559
55222.1 0.00640066
55327.4 0.00744650
55432.6 0.00875726
55537.8 0.0104230
55643.1 0.0125696
55748.3 0.0153744
55853.5 0.0190795
55958.8 0.0239987
56064.0 0.0304664
56173.0 0.0389600
56282.0 0.0486350
56500.0 0.0605106
56609.0 0.0567873
56718.0 0.0481502
56936.0 0.0300004
57088.6 0.0212337
57241.1 0.0153939
57393.6 0.0115022
57546.2 0.00884638
57851.3 0.00562971
58156.3 0.00386479
58461.4 0.00280590
58766.5 0.00212530
59376.7 0.00133704
59986.9 0.000917508
60597.0 0.000668990
61207.2 0.000510178
61817.4 0.000402826
63037.7 0.000271777
64258.0 0.000198631
65478.4 0.000154593
66698.7 0.000127110
69139.4 0.000101196
71580.1 0.000105750
72800.4 0.000125505
74020.7 0.000173739
74630.9 0.000223384
75241.1 0.000320344
75546.2 0.000416558
75851.2 0.000620063
76003.8 0.000848815
76080.1 0.00105241
76156.3 0.00139100
76232.6 0.00203224
76270.7 0.00260019
76308.9 0.00351553
76347.0 0.00513312
76385.1 0.00838004
76404.2 0.0113563
76423.3 0.0162059
76442.3 0.0245764
76461.4 0.0394227
76480.7 0.0628276
76500.0 0.0784275
76519.3 0.0627881
76538.6 0.0394201
76555.2 0.0260845
76571.8 0.0179990
76588.4 0.0130318
76605.0 0.00985187
76638.2 0.00624659
76671.4 0.00439575
76704.6 0.00333732
76737.8 0.00268358
76804.2 0.00196692
76870.6 0.00162098
76937.0 0.00144565
77069.8 0.00133392
77335.4 0.00153736
77601.0 0.00216357
77733.8 0.00271361
77866.6 0.00354329
77999.4 0.00485849
78132.2 0.00710542
78265.0 0.0113941
78331.4 0.0151584
78397.8 0.0211193
78464.2 0.0313215
78530.6 0.0507265
78563.8 0.0675098
78597.0 0.0933186
78630.2 0.134710
78663.4 0.202661
78706.7 0.345496
78750.0 0.450893
78793.3 0.344625
78836.6 0.202327
78881.0 0.118446
78925.5 0.0748381
78969.9 0.0507732
79014.3 0.0364504
79058.7 0.0273400
79103.2 0.0212268
79192.0 0.0138251
79280.9 0.00970523
