K-39(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
12155.4 2.71846
12155.5 3.89882
12155.6 5.90868
12155.7 9.46297
12155.8 15.4217
12156.0 19.1387
12156.1 15.6688
12156.2 9.65739
12156.3 6.02097
12156.4 3.96331
12156.5 2.67453
12156.6 1.95869
12156.9 1.14412
12157.1 0.744900
12157.6 0.385732
12158.0 0.237204
12158.9 0.115129
12159.8 0.0680529
12161.7 0.0321471
12163.5 0.0190557
12167.1 0.00938241
12170.8 0.00592430
12178.1 0.00341163
12185.3 0.00252280
12199.9 0.00188570
12214.5 0.00166453
12243.7 0.00151388
12272.8 0.00147195
12331.2 0.00147847
12389.5 0.00155602
12506.1 0.00234391
12535.3 0.00317460
12564.5 0.00553628
12579.0 0.00881178
12593.6 0.0180210
12600.9 0.0306437
12604.6 0.0431197
12608.2 0.0655278
12611.8 0.112406
12613.7 0.157654
12615.5 0.237323
12616.4 0.302946
12617.3 0.398857
12618.2 0.548680
12619.1 0.801509
12620.0 1.27730
12620.5 1.69488
12621.0 2.33269
12621.4 3.42706
12621.9 5.39652
12622.1 7.07418
12622.3 9.56865
12622.6 13.3774
12622.8 18.8919
12623.1 30.4985
12623.4 37.9098
12623.7 30.0397
12624.0 18.8367
12624.2 13.5454
12624.4 10.0933
12624.9 5.96631
12625.3 3.86590
12625.7 2.68636
12626.1 1.96725
12626.5 1.49954
12627.3 0.955995
12628.1 0.658402
12628.9 0.480583
12630.6 0.288922
12632.2 0.192300
12633.8 0.137511
12637.1 0.0803954
12640.4 0.0528923
12643.7 0.0375800
12650.2 0.0220208
12663.3 0.0106340
12676.3 0.00657365
12702.5 0.00363306
12728.7 0.00259260
12781.0 0.00184143
12833.3 0.00157435
12937.9 0.00137785
13042.5 0.00130426
13251.7 0.00124379
13461.0 0.00121669
13670.2 0.00120285
13879.4 0.00120480
14088.7 0.00128609
14193.3 0.00165612
14245.6 0.00314146
14258.7 0.00466721
14271.7 0.00895875
14278.3 0.0148552
14284.8 0.0312022
14288.1 0.0532145
14289.7 0.0746752
14291.4 0.112408
14293.0 0.189395
14293.8 0.261753
14294.6 0.383152
14295.5 0.617021
14295.9 0.822574
14296.3 1.13846
14296.7 1.68916
14297.1 2.73316
14297.3 3.65752
