W-182(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 1035.79
1.25000E-05 926.440
1.50000E-05 845.721
2.00000E-05 732.416
2.75000E-05 624.608
3.50000E-05 553.657
4.25000E-05 502.436
5.00000E-05 463.224
6.25000E-05 414.321
7.50000E-05 378.223
0.000100000 327.552
0.000125000 292.973
0.000150000 267.448
0.000200000 231.620
0.000275000 197.529
0.000350000 175.094
0.000425000 158.898
0.000500000 146.499
0.000625000 131.036
0.000750000 119.622
0.00100000 103.602
0.00125000 92.6692
0.00150000 84.5996
0.00200000 73.2735
0.00275000 62.4981
0.00350000 55.4078
0.00425000 50.2901
0.00500000 46.3728
0.00625000 41.4885
0.00750000 37.8841
0.0100000 32.8267
0.0125000 29.3773
0.0150000 26.8325
0.0200000 23.2633
0.0253000 20.7080
0.0314750 18.5914
0.0376500 17.0220
0.0500000 14.8119
0.0625000 13.2855
0.0750000 12.1624
0.100000 10.5934
0.125000 9.53009
0.150000 8.75089
0.200000 7.66954
0.275000 6.66253
0.350000 6.02000
0.500000 5.24526
0.750000 4.61632
1.00000 4.35575
1.50000 4.39975
2.00000 5.09276
2.53130 7.05158
2.79695 9.08708
3.06260 12.8091
3.19543 15.9288
3.32825 20.6599
3.46108 28.3394
3.59390 42.0589
3.66031 53.3946
3.72673 70.3901
3.79314 97.5741
3.85955 145.112
3.89276 183.539
3.90936 208.865
3.91766 223.571
3.92596 239.905
3.93427 258.122
3.94257 278.516
3.95087 301.453
3.95917 327.366
3.96747 356.798
3.97577 390.404
3.98407 429.018
3.99238 473.668
4.00898 586.757
4.02558 745.595
4.04219 978.153
4.05879 1336.83
4.06709 1593.08
4.07539 1927.94
4.08369 2375.43
4.09199 2988.26
4.10030 3850.44
4.10860 5095.83
4.11690 6932.29
4.12520 9633.62
4.13760 15399.0
4.15000 19225.9
4.16240 15350.6
4.17480 9574.27
4.18769 5774.05
4.20059 3697.33
4.21348 2522.78
4.22638 1814.72
4.23927 1361.33
4.25216 1055.92
4.27795 685.330
4.30374 478.917
4.32953 352.832
4.38110 213.669
4.43268 142.872
4.48425 102.120
4.53583 76.5780
4.58740 59.5399
4.69055 38.9657
4.79370 27.5130
4.89685 20.5043
5.00000 15.9134
5.15625 11.4903
5.31250 8.75104
5.62500 5.68794
5.93750 4.11376
6.25000 3.20570
6.87500 2.26528
7.50000 1.82760
8.75000 1.48901
10.0000 1.43316
12.5000 1.74274
13.7500 2.14041
15.0000 2.84518
16.2500 4.18978
16.8750 5.35723
17.5000 7.18713
18.1250 10.2930
18.2813 11.4106
18.4375 12.7319
18.5156 13.4848
18.5938 14.3096
18.6328 14.7521
18.6524 14.9813
18.6719 15.2161
18.6914 15.4567
18.7109 15.7033
18.7305 15.9560
18.7500 16.2151
18.7695 16.4810
18.7891 16.7536
18.8086 17.0332
18.8281 17.3201
18.8672 17.9169
18.9063 18.5462
18.9844 19.9124
19.0625 21.4403
19.1406 23.1573
19.2188 25.0953
19.3750 29.8042
19.5313 36.0168
19.6875 44.4511
19.8438 56.3120
20.0000 73.7482
20.1259 94.5497
20.2518 125.707
20.3776 175.451
20.5035 262.113
20.5664 331.867
20.6294 433.708
20.6923 590.675
20.7553 850.570
20.8182 1326.01
20.8497 1725.71
20.8811 2331.33
20.9126 3304.57
20.9441 4986.45
20.9755 8143.72
20.9913 10745.2
21.0070 14402.4
21.0335 23026.3
21.0600 28750.8
21.0865 22975.1
21.1130 14348.8
21.1412 8566.76
21.1694 5446.99
21.1976 3699.55
21.2258 2653.13
21.2541 1986.27
21.2823 1538.53
21.3387 996.957
21.3951 696.164
21.4515 512.709
21.5644 310.439
21.6772 207.572
21.7900 148.335
21.9029 111.175
22.0157 86.3609
22.2414 56.3429
22.4671 39.5866
22.6928 29.3019
22.9184 22.5446
23.3698 14.5076
23.8212 10.0993
24.2725 7.42758
24.7239 5.68931
25.6266 3.64374
26.5293 2.53459
27.4320 1.86822
28.3348 1.43762
30.1402 0.934613
31.9456 0.663928
33.7511 0.502114
35.5565 0.397905
39.1674 0.276594
42.7783 0.211711
50.0000 0.149556
56.2500 0.126816
62.5000 0.117838
75.0000 0.128125
81.2500 0.150467
87.5000 0.195138
93.7500 0.290131
96.8750 0.380815
100.000 0.537033
101.767 0.681005
102.650 0.778545
103.092 0.836127
103.313 0.867530
103.533 0.900871
103.754 0.936329
103.975 0.974054
104.085 0.993834
104.196 1.01426
104.417 1.05717
104.638 1.10306
104.858 1.15217
105.079 1.20481
105.300 1.26135
105.742 1.38779
106.183 1.53524
106.625 1.70874
107.067 1.91472
107.508 2.16197
107.950 2.46226
108.392 2.83196
108.833 3.29417
109.275 3.88293
109.717 4.64873
110.158 5.67105
110.600 7.07818
111.042 9.09191
111.483 12.1172
111.925 16.9678
112.366 25.4659
112.587 32.3474
112.808 42.4448
113.029 58.1192
113.250 84.3394
113.471 133.066
113.581 174.673
113.691 238.739
113.802 344.044
113.912 532.133
113.967 684.373
114.023 903.352
114.078 1224.48
114.133 1694.05
114.217 2706.42
114.300 3386.69
114.384 2712.35
114.468 1692.70
114.552 1042.13
114.635 677.860
114.719 467.480
114.802 339.004
114.886 255.796
114.969 199.378
115.136 130.348
115.303 91.5541
115.470 67.7295
115.805 41.2636
116.139 27.7116
116.473 19.8719
116.807 14.9375
117.141 11.6339
117.809 7.62549
118.477 5.38124
119.146 4.00025
119.814 3.09097
121.150 2.00667
122.487 1.41019
123.823 1.04780
125.160 0.811564
127.832 0.533045
130.505 0.381925
133.178 0.291340
135.851 0.233174
141.197 0.166539
146.543 0.132725
157.234 0.106474
167.926 0.107314
178.617 0.130113
189.309 0.192022
191.981 0.220251
193.318 0.237728
194.654 0.258107
195.323 0.269593
195.991 0.282077
196.659 0.295682
197.327 0.310549
197.995 0.326844
198.664 0.344760
198.998 0.354396
199.332 0.364527
200.000 0.386416
200.798 0.415810
201.597 0.449385
202.395 0.488003
203.193 0.532761
204.790 0.646881
206.386 0.809818
207.983 1.05595
209.579 1.45996
210.378 1.77558
211.176 2.25155
211.575 2.62246
211.974 3.26027
212.174 3.89084
212.373 5.31960
212.473 7.03906
212.523 8.61953
212.573 11.2935
212.623 16.4050
212.648 20.9420
212.673 28.1844
212.698 40.8712
212.722 65.6290
212.735 87.7741
212.747 122.462
212.760 180.282
212.772 276.725
212.786 441.033
212.800 551.905
212.814 443.337
212.821 354.926
212.828 278.551
212.837 199.923
212.847 146.935
212.866 87.0019
212.885 57.0012
212.904 40.4949
212.923 30.4858
212.942 24.0655
212.979 16.5894
213.017 12.6122
213.055 10.2669
213.131 7.79127
213.283 6.01042
213.434 5.51970
214.041 6.15100
214.647 8.22299
215.253 11.9861
215.557 14.9997
215.860 19.3499
216.163 25.9401
216.466 36.5814
216.769 55.3104
216.921 70.4434
217.073 92.4861
217.224 126.063
217.376 179.900
217.527 270.795
217.679 427.924
217.840 685.621
218.000 866.110
218.161 700.456
218.322 438.604
218.436 309.238
218.550 223.384
218.664 166.379
