In-113(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
31.9880 110.390
32.0284 156.966
32.0486 192.025
32.0687 240.007
32.0889 307.999
32.1091 408.244
32.1293 563.601
32.1495 818.302
32.1697 1261.68
32.1899 2056.95
32.2100 3292.14
32.2300 4115.49
32.2501 3289.76
32.2701 2054.13
32.2914 1228.35
32.3126 782.057
32.3339 531.744
32.3552 381.695
32.3765 285.998
32.3977 221.705
32.4403 143.896
32.4828 100.632
32.5253 74.2270
32.6104 45.0932
32.6955 30.2587
32.7806 21.7082
32.8656 16.3381
32.9507 12.7486
33.1209 8.39918
33.2910 5.96532
33.4612 4.46749
33.6313 3.48064
33.9716 2.30235
34.3119 1.65471
34.6522 1.27752
34.8224 1.20002
34.9074 1.30154
34.9500 1.55845
34.9712 1.87550
34.9925 2.49919
35.0300 3.98991
35.0675 2.45536
35.0863 1.86225
35.1050 1.52558
35.1425 1.20227
35.2176 0.976983
35.3676 0.827675
35.6677 0.687896
36.2680 0.524549
37.4685 0.358537
38.6689 0.285858
39.8694 0.264144
41.0699 0.294543
41.6701 0.343704
42.2704 0.441592
42.8706 0.651746
43.1707 0.854450
43.4708 1.20834
43.7710 1.91589
43.9210 2.57736
44.0711 3.71362
44.2211 5.95227
44.2962 8.01840
44.3712 11.5125
44.4462 18.1906
44.4837 24.1175
44.5213 33.6591
44.5588 50.4672
44.5963 84.0031
44.6150 114.543
44.6338 163.934
44.6526 248.426
44.6713 396.525
44.6907 633.033
44.7100 790.745
44.7294 633.127
44.7487 396.939
44.7654 261.983
44.7820 180.200
44.7987 130.031
44.8153 98.0125
44.8486 61.9349
44.8819 43.7830
44.9152 33.8437
44.9485 28.2676
45.0151 24.3801
45.0816 27.7210
45.1149 32.9179
45.1482 42.2941
45.1815 59.5254
45.2148 93.8467
45.2315 124.372
45.2481 172.175
45.2648 250.184
45.2814 378.859
45.2911 483.633
45.3007 603.316
45.3200 752.655
45.3393 602.651
45.3586 377.731
45.3767 239.940
45.3949 160.021
45.4130 112.620
45.4311 83.0282
45.4674 50.2121
45.5037 33.6237
45.5399 24.1527
45.5762 18.2498
45.6487 11.5743
45.7212 8.06927
45.7937 5.99197
45.9388 3.73505
46.0838 2.58548
46.2289 1.91408
46.5190 1.19224
46.8090 0.827941
47.0991 0.616730
47.6793 0.391895
48.2595 0.279935
48.8397 0.215839
50.0000 0.149761
50.5313 0.137164
50.7969 0.147220
50.8633 0.160570
50.9297 0.193606
50.9629 0.229999
50.9961 0.301831
51.0127 0.365897
51.0293 0.466976
51.0459 0.633565
51.0625 0.912276
51.0813 1.38909
51.1000 1.70702
51.1188 1.38878
51.1375 0.911297
51.1540 0.633021
51.1705 0.465986
51.1870 0.364035
51.2035 0.299073
51.2365 0.225452
51.2695 0.187399
51.3356 0.151254
51.4016 0.134946
51.6656 0.113266
52.1938 0.101021
53.2500 0.0905766
54.3063 0.0877005
54.8344 0.0910812
55.0984 0.100800
55.2305 0.125857
55.2635 0.144139
55.2965 0.179543
55.3295 0.259855
55.3460 0.340248
55.3625 0.474109
55.3813 0.703984
55.4000 0.857391
55.4188 0.704620
55.4375 0.475225
55.4510 0.361406
55.4645 0.286358
55.4914 0.203389
55.5184 0.163283
55.5453 0.141620
55.6531 0.111917
55.8688 0.104629
56.3000 0.115695
56.7313 0.148667
56.9469 0.192822
57.0547 0.260131
57.1086 0.367784
57.1356 0.502136
57.1625 0.799290
57.1813 1.15678
57.2000 1.39729
57.2188 1.16863
57.2375 0.822808
57.2520 0.643093
57.2664 0.530153
57.2953 0.415090
57.3531 0.350611
57.4687 0.379624
57.5843 0.485998
57.6999 0.689301
57.8155 1.10678
57.8733 1.49823
57.9311 2.16232
57.9889 3.42131
58.0178 4.51979
58.0467 6.24870
58.0756 9.18056
58.1045 14.6694
58.1190 19.3292
58.1334 26.3442
58.1479 37.2335
58.1623 54.2163
58.1812 86.7389
58.2000 108.430
58.2189 86.7108
58.2377 54.1814
58.2506 38.6970
58.2635 28.2702
58.2764 21.2577
58.2893 16.4403
58.3150 10.5547
58.3408 7.30051
58.3666 5.33619
58.3924 4.06860
58.4439 2.59335
58.4955 1.80425
58.5470 1.33516
58.6501 0.831920
58.7532 0.587349
58.8563 0.464272
58.9594 0.452438
59.0110 0.570962
59.0367 0.753021
59.0625 1.17074
59.0813 1.70024
59.1000 2.05105
59.1188 1.68504
59.1375 1.13992
59.1526 0.842239
59.1677 0.653743
59.1979 0.452364
59.2280 0.355542
59.2582 0.301160
59.3186 0.242812
59.3789 0.211303
59.6203 0.155122
60.1031 0.116392
61.0688 0.0956443
63.0000 0.101469
64.9313 0.142085
65.8969 0.188515
66.3797 0.227135
66.6211 0.256697
66.7418 0.285685
66.8022 0.324873
66.8323 0.373962
66.8625 0.490002
66.9000 0.706526
66.9375 0.500621
66.9634 0.402703
66.9892 0.360386
67.0410 0.332906
67.1444 0.331942
67.3514 0.365238
67.7652 0.474818
68.1791 0.657634
68.5929 0.989811
68.7998 1.26833
69.0068 1.69160
69.2137 2.38076
69.4206 3.61609
69.5241 4.63918
69.6275 6.17491
69.7310 8.63290
69.8345 12.9297
69.9379 21.4776
69.9897 29.3323
70.0414 42.4020
70.0931 66.4746
70.1190 86.8607
70.1448 117.955
70.1707 168.430
70.1966 256.852
70.2095 327.137
70.2224 426.405
70.2354 568.910
70.2483 772.466
70.2692 1235.33
70.2900 1543.56
70.3109 1234.90
70.3317 771.962
70.3556 444.178
70.3795 275.213
70.4035 183.754
70.4274 130.262
70.4513 96.7326
70.4752 74.4891
70.5231 47.9057
70.5709 33.3042
70.6187 24.4644
70.7144 14.7830
70.8101 9.88749
70.9058 7.07847
71.0014 5.32034
71.0971 4.14876
71.2885 2.73683
71.4798 1.96198
71.6712 1.54812
71.7668 1.55905
71.8147 1.83114
71.8386 2.22743
71.8625 3.09172
71.9000 5.00775
71.9375 2.99706
71.9549 2.26207
71.9723 1.82522
72.0070 1.38325
72.0766 1.05427
72.2156 0.823575
72.4938 0.616011
73.0500 0.410601
73.6063 0.313392
73.8844 0.302597
74.0234 0.348434
74.0582 0.388882
74.0930 0.471039
74.1277 0.665652
74.1451 0.867281
74.1625 1.21298
74.1813 1.78411
74.2000 2.16500
74.2188 1.78418
74.2375 1.21284
74.2602 0.793637
74.2828 0.585121
74.3281 0.413027
74.3734 0.350868
74.4188 0.324957
74.5094 0.315301
74.6000 0.339426
74.6906 0.409841
74.7359 0.480144
74.7813 0.600246
74.8266 0.824371
74.8719 1.30491
74.8945 1.77436
74.9172 2.59115
74.9399 4.13950
74.9625 7.24600
74.9813 11.4783
75.0000 14.2988
75.0188 11.4790
75.0375 7.24525
75.0513 5.10196
75.0651 3.70201
75.0789 2.78432
75.0927 2.16707
75.1203 1.42951
75.1479 1.02988
75.1755 0.791741
75.2030 0.639121
75.2582 0.462264
75.3134 0.367408
75.3686 0.310434
75.4789 0.247531
75.6996 0.194573
75.9203 0.171364
76.8031 0.137527
78.5688 0.122676
80.3344 0.129841
82.1000 0.154473
83.8656 0.204869
85.6313 0.309233
86.5141 0.405967
87.3969 0.568320
88.2797 0.877527
88.7211 1.17297
88.9418 1.47267
89.0522 1.91022
89.1073 2.63634
89.1349 3.56970
89.1625 5.68565
89.1813 8.20016
89.2000 9.88399
89.2188 8.24754
89.2375 5.77940
89.2555 4.25267
89.2735 3.38808
89.3094 2.59231
89.3814 2.16508
89.5252 2.17827
89.8130 2.77579
90.1007 3.85150
90.3885 5.79117
90.5323 7.39540
90.6762 9.80183
90.8201 13.6550
90.9639 20.4089
91.0359 25.8838
91.1078 33.9369
91.1797 46.4854
91.2517 67.5970
91.2876 84.0115
91.3236 107.193
91.3596 141.374
91.3955 194.570
91.4315 283.421
91.4675 445.865
91.4855 580.596
91.5034 778.690
91.5214 1077.33
91.5394 1527.72
91.5647 2443.68
91.5900 3054.01
91.6153 2442.80
91.6406 1526.80
91.6612 1024.74
91.6818 711.880
91.7024 515.026
91.7230 386.758
91.7642 238.494
91.8054 160.799
91.8466 115.560
91.8878 87.1072
91.9703 54.8838
92.0527 38.2029
92.1351 28.6481
92.2999 19.3681
92.4647 16.9011
92.5471 17.8665
92.6296 21.1294
92.7120 29.0053
92.7532 36.5893
92.7944 49.2524
92.8356 72.1836
92.8562 91.0831
92.8768 119.058
92.8974 162.535
92.9077 193.591
92.9180 233.979
92.9283 287.302
92.9386 358.609
92.9489 454.577
92.9592 582.596
92.9694 744.579
92.9796 929.771
93.0000 1161.24
93.0102 1092.96
93.0204 929.316
93.0408 581.870
93.0647 332.399
93.0886 205.604
93.1125 137.637
93.1364 98.1226
93.1604 73.4405
93.1843 57.0947
93.2321 37.5605
93.2799 26.8046
93.3277 20.2564
93.4234 12.9993
93.5190 9.24490
93.6146 7.02862
93.8059 4.60727
93.9972 3.34891
94.1885 2.59344
94.5710 1.74658
94.9536 1.29559
95.3361 1.02417
96.1012 0.734210
96.8663 0.616477
97.6314 0.631916
98.0140 0.733962
98.2052 0.846062
98.3965 1.05269
98.5878 1.48454
98.6834 1.89971
98.7791 2.62482
98.8747 4.06594
98.9225 5.38973
98.9703 7.59234
99.0182 11.6505
99.0421 15.0882
99.0660 20.3369
99.0899 28.8622
99.1138 43.8253
99.1377 72.5758
99.1497 96.7966
99.1616 131.467
99.1712 168.190
99.1808 210.186
99.2000 262.709
99.2192 210.147
99.2384 131.421
99.2503 96.8752
99.2622 72.7069
99.2860 43.9763
99.3098 28.9939
99.3336 20.4473
99.3574 15.1822
99.3812 11.7328
99.4288 7.66148
99.4764 5.45395
99.5240 4.12978
99.6192 2.69480
99.7144 1.98034
99.8096 1.57825
100.000 1.17692
100.241 0.979729
100.482 0.920119
100.963 0.987623
101.445 1.24291
101.926 1.77867
102.167 2.24453
102.408 2.96107
102.648 4.13681
102.889 6.25300
103.009 8.00985
103.130 10.6505
103.250 14.8820
103.371 22.2798
103.431 28.2610
103.491 37.0247
103.551 50.5935
103.611 73.2035
103.641 90.6041
103.672 114.938
103.702 150.353
103.732 204.515
103.762 292.691
103.792 447.973
103.807 572.398
103.822 747.899
103.837 1001.01
103.852 1364.63
103.876 2190.56
103.900 2744.00
103.924 2189.84
103.948 1363.83
103.973 818.283
103.998 523.268
