Sr-87(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
654.633 0.881893
655.480 0.689027
657.175 0.456072
658.870 0.326829
660.565 0.248691
662.260 0.199060
665.650 0.148309
667.345 0.140981
669.040 0.148476
670.735 0.184800
671.583 0.227624
672.430 0.309985
672.854 0.380821
673.278 0.489768
673.701 0.668820
674.125 0.992013
674.337 1.26089
674.549 1.66580
674.761 2.31611
674.973 3.45705
675.185 5.74089
675.291 7.85382
675.396 11.3892
675.502 17.9719
675.555 23.6039
675.608 32.2689
675.661 46.5603
675.714 72.0888
675.741 92.8290
675.767 122.724
675.794 166.674
675.820 230.816
675.860 369.436
675.900 461.521
675.940 369.033
675.980 230.780
676.010 159.618
676.040 113.669
676.070 83.7824
676.100 63.7794
676.160 40.0060
676.219 27.2394
676.279 19.6633
676.339 14.8427
676.459 9.29860
676.578 6.36207
676.698 4.62801
676.818 3.51898
676.937 2.76862
677.177 1.84657
677.416 1.32397
677.655 0.999337
677.895 0.783946
678.373 0.524708
678.852 0.380463
679.330 0.291856
679.809 0.233438
680.766 0.163354
681.724 0.124246
683.638 0.0838471
685.553 0.0640345
687.467 0.0526422
691.296 0.0405769
698.954 0.0324205
706.613 0.0338469
714.271 0.0456659
718.100 0.0594784
721.929 0.0857017
723.843 0.108095
725.758 0.142435
727.672 0.198788
729.587 0.300694
730.544 0.385768
731.502 0.514491
732.459 0.722797
733.416 1.09292
733.895 1.39684
734.373 1.84917
734.852 2.56494
735.331 3.79579
735.570 4.77375
735.809 6.18253
736.049 8.31567
736.288 11.7605
736.527 17.8263
736.647 22.7320
736.766 29.8736
736.886 40.7630
737.006 58.2044
737.125 87.6416
737.245 138.293
737.373 221.044
737.500 276.091
737.628 220.959
737.755 138.210
737.897 80.8430
738.039 50.6842
738.180 34.1010
738.322 24.3092
738.464 18.1231
738.606 14.0010
738.889 9.04679
739.173 6.31347
739.456 4.65402
740.023 2.83327
740.590 1.91365
741.157 1.38939
741.724 1.06661
742.291 0.859085
743.425 0.645764
743.992 0.616524
744.559 0.652356
745.126 0.814184
745.410 1.00091
745.693 1.35269
745.977 2.09598
746.118 2.81033
746.260 4.04749
746.402 6.46466
746.473 8.63747
746.544 12.1576
746.614 18.4043
746.650 23.4781
746.685 30.9120
746.721 42.3620
746.756 60.8657
746.774 74.4930
746.792 92.5138
746.809 116.464
746.827 148.001
746.845 189.414
746.864 236.722
746.900 295.614
746.918 278.204
746.937 236.444
746.973 147.977
747.000 103.280
747.027 74.0291
747.054 54.8514
747.080 41.9354
747.134 26.5042
747.187 18.1591
747.241 13.1819
747.295 10.0045
747.402 6.33458
747.509 4.38539
747.616 3.22992
747.830 1.98660
748.044 1.36610
748.259 1.01175
748.687 0.640574
749.115 0.457833
749.544 0.352887
750.401 0.240043
751.258 0.181357
752.115 0.145475
753.828 0.103551
755.542 0.0795645
757.256 0.0639371
760.683 0.0448089
764.111 0.0336560
767.538 0.0264589
774.393 0.0179159
781.248 0.0131647
788.103 0.0102217
801.813 0.00687902
815.523 0.00510250
829.233 0.00403961
856.653 0.00289274
884.073 0.00236139
911.493 0.00219376
925.204 0.00229822
938.914 0.00279832
945.769 0.00356264
949.196 0.00434249
952.624 0.00578259
956.051 0.00888952
957.765 0.0120028
959.479 0.0177059
960.335 0.0225314
961.192 0.0299290
962.049 0.0421139
962.906 0.0643184
963.335 0.0830155
963.763 0.111533
964.191 0.158201
964.620 0.242408
964.834 0.312635
965.048 0.418681
965.263 0.589852
965.477 0.892727
965.584 1.14020
965.691 1.50677
965.798 2.08279
965.905 3.06311
966.012 4.93236
966.066 6.57559
966.119 9.17431
966.173 13.6328
966.226 22.0886
966.253 29.3915
966.280 40.5581
966.307 58.2407
966.334 86.3300
966.367 138.246
966.400 172.732
966.433 138.074
966.467 86.3231
966.499 53.4453
966.532 34.9383
966.565 24.1672
966.598 17.5740
966.630 13.2823
966.663 10.3709
966.729 6.79429
966.794 4.78072
966.860 3.54118
966.991 2.16227
967.122 1.45483
967.253 1.04498
967.384 0.786690
967.515 0.613575
967.777 0.403256
968.039 0.285263
968.301 0.212532
968.562 0.164581
969.086 0.107246
969.610 0.0756051
970.134 0.0563135
970.658 0.0436957
971.706 0.0287365
972.754 0.0205480
973.802 0.0155847
974.850 0.0123514
976.946 0.00853529
979.042 0.00645585
983.233 0.00438451
987.425 0.00342696
991.617 0.00291005
1000.00 0.00240707
1022.99 0.00205552
1045.99 0.00207522
1091.97 0.00249320
1137.95 0.00352168
1160.95 0.00482616
1166.69 0.00562107
1172.44 0.00745136
1175.32 0.00976365
1176.75 0.0120052
1178.19 0.0160452
1179.63 0.0246051
1180.35 0.0330971
1181.06 0.0485017
1181.78 0.0811997
1182.14 0.113392
1182.50 0.171327
1182.86 0.292553
1183.04 0.410024
1183.22 0.615791
1183.31 0.784066
1183.40 1.03254
1183.49 1.42131
1183.58 2.06916
1183.67 3.30074
1183.71 4.36903
1183.76 6.03999
1183.80 8.84778
1183.85 14.0290
1183.87 18.4769
1183.89 24.7813
1183.92 34.2797
1183.94 48.5933
1183.97 77.7270
1184.00 97.1409
1184.03 77.7246
1184.06 48.5905
1184.10 27.3839
1184.14 16.7290
1184.17 11.0679
1184.21 7.86689
1184.25 5.81050
1184.28 4.48690
1184.36 2.88217
1184.43 2.00291
1184.50 1.47130
1184.65 0.889638
1184.79 0.594289
1184.94 0.426265
1185.23 0.250823
1185.53 0.165709
1185.82 0.118385
1186.40 0.0701158
1186.99 0.0473087
1187.57 0.0347718
1188.74 0.0222014
1189.91 0.0163671
1191.08 0.0132175
1193.42 0.0101616
1198.10 0.00822573
1202.78 0.00784322
1221.50 0.00945505
1230.86 0.0112467
1240.22 0.0142127
1244.90 0.0168534
1249.58 0.0223118
1251.92 0.0287162
1253.09 0.0347377
1254.26 0.0454051
1255.43 0.0676985
1256.01 0.0896190
1256.60 0.129218
1257.18 0.212594
1257.47 0.294466
1257.77 0.440422
1257.91 0.561937
1258.06 0.742881
1258.21 1.03150
1258.35 1.53347
1258.50 2.52380
1258.57 3.42573
1258.64 4.91168
1258.72 7.60745
1258.75 9.89126
1258.79 13.2272
1258.83 18.6732
1258.84 22.5464
1258.86 27.6594
1258.88 34.9814
1258.90 44.5475
1258.92 57.7611
1258.94 75.8646
1258.95 98.0209
1258.97 121.707
1259.00 150.875
1259.02 141.315
1259.03 120.228
1259.07 75.8601
1259.10 43.9278
1259.14 27.6563
1259.17 18.6707
1259.21 13.3401
1259.25 9.96464
1259.28 7.70848
1259.35 4.99113
1259.43 3.48775
1259.50 2.57296
1259.64 1.56616
1259.79 1.05216
1259.93 0.758787
1260.08 0.574641
1260.22 0.451584
1260.51 0.302184
1260.80 0.219027
1261.09 0.167767
1261.37 0.134191
1261.95 0.0941766
1262.53 0.0722731
1263.68 0.0505650
1264.83 0.0407663
1265.99 0.0357507
1268.29 0.0315513
1272.91 0.0310184
1277.52 0.0340495
1286.75 0.0461012
1295.98 0.0690872
1300.59 0.0882363
1305.21 0.116938
1309.82 0.162685
1314.43 0.242101
1316.74 0.305756
1319.05 0.398308
1321.36 0.540141
1323.66 0.773102
1325.97 1.19390
1327.12 1.54326
1328.28 2.06517
1329.43 2.88943
1330.58 4.27569
1331.74 6.78180
1332.31 8.77466
1332.89 11.4932
1333.95 18.3738
1335.00 22.9400
1336.06 18.3368
1337.11 11.4575
1338.12 7.18438
1339.13 4.73501
1340.15 3.29716
1341.16 2.40749
1342.17 1.82600
1343.18 1.42888
1345.20 0.939397
1347.23 0.662642
1349.25 0.491834
1353.30 0.301487
1357.34 0.203823
1361.39 0.147459
1365.43 0.112258
1369.48 0.0891203
1377.57 0.0632096
1385.67 0.0561364
1389.71 0.0634210
1391.74 0.0739046
1393.76 0.0951998
1395.78 0.143100
1396.79 0.191507
1397.80 0.279609
1398.31 0.353473
1398.82 0.465395
1399.32 0.646576
1399.83 0.967311
1400.08 1.23040
1400.33 1.62096
1400.59 2.23642
1400.84 3.28801
1401.09 5.30525
1401.22 7.09650
1401.35 9.93086
1401.41 12.0561
1401.47 14.8719
1401.54 18.7637
1401.60 24.3250
1401.66 32.5835
1401.72 45.3749
1401.79 65.9772
1401.85 99.5360
1401.93 159.361
1402.00 199.286
1402.08 159.343
1402.15 99.5185
1402.22 61.9790
1402.30 40.6499
1402.37 28.2140
1402.44 20.6341
1402.51 15.6206
1402.59 12.2043
1402.73 8.03031
1402.88 5.65709
1403.02 4.20369
1403.31 2.57722
1403.61 1.74144
1403.90 1.25669
1404.19 0.950944
1404.48 0.746449
1405.06 0.496775
1405.64 0.356708
1406.22 0.270054
1406.80 0.212882
