Gd-154(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
64.6088 79.8533
64.6675 107.472
64.7262 151.265
64.7848 226.267
64.8142 285.337
64.8435 369.503
64.8728 494.844
64.9022 691.936
64.9315 1024.96
64.9608 1642.12
64.9755 2159.80
64.9902 2928.32
65.0048 4101.28
65.0195 5892.85
65.0398 9516.98
65.0600 12015.8
65.0803 9709.84
65.1005 6126.72
65.1219 3706.12
65.1434 2385.69
65.1648 1639.59
65.1863 1189.61
65.2077 900.741
65.2291 705.660
65.2720 467.634
65.3149 333.933
65.3577 251.506
65.4435 159.286
65.5292 111.421
65.6150 83.3140
65.7007 65.3404
65.7864 53.1101
65.9579 37.9220
66.1294 29.1328
66.3009 23.5456
66.4724 19.7476
66.8154 15.0127
67.1583 12.2432
67.5013 10.4578
67.8443 9.22484
68.5302 7.64995
69.2161 6.69512
69.9021 6.05633
70.5880 5.59811
71.9599 4.98059
73.3318 4.58967
74.0177 4.46880
74.3607 4.44336
74.7036 4.47109
75.0466 4.63204
75.2181 4.83765
75.3896 5.25014
75.5611 6.17214
75.6468 7.09001
75.7325 8.71947
75.8183 11.9745
75.8612 14.9448
75.9040 19.8151
75.9469 28.5334
75.9683 35.6750
75.9898 46.1846
76.0112 62.3983
76.0326 88.7586
76.0541 134.047
76.0648 168.422
76.0755 213.752
76.0866 273.828
76.0978 342.887
76.1200 431.865
76.1423 350.041
76.1645 222.685
76.1878 137.235
76.2111 90.2201
76.2343 63.4771
76.2576 47.2691
76.2809 36.8269
76.3042 29.7517
76.3507 21.0952
76.3973 16.2135
76.4438 13.1947
76.5369 9.80219
76.6300 8.02956
76.7232 6.98055
76.9094 5.83825
77.0956 5.24947
77.2818 4.89759
77.6542 4.49894
78.0267 4.27501
78.3991 4.12605
79.1439 3.92668
80.6337 3.67255
82.1234 3.48395
85.1028 3.16714
88.0823 2.87065
91.0617 2.56681
92.5514 2.41161
94.0411 2.26549
95.5309 2.17124
96.2757 2.18778
97.0206 2.32025
97.7654 2.73962
98.1379 3.19443
98.5103 3.99833
98.6965 4.62699
98.7896 5.02717
98.8827 5.50178
98.9293 5.77240
98.9758 6.06857
99.0224 6.39348
99.0689 6.75048
99.1155 7.14377
99.1621 7.57788
99.2086 8.05833
99.2552 8.59148
99.3017 9.18494
99.3483 9.84725
99.4414 11.4228
99.5345 13.4288
99.6276 16.0268
99.7207 19.4613
99.8138 24.1119
99.9069 30.5989
100.000 39.9818
100.080 51.8628
100.161 69.6233
100.241 97.7266
100.322 145.648
100.362 183.318
100.402 236.882
100.442 316.377
100.482 440.915
100.523 650.072
100.563 1034.55
100.583 1354.22
100.603 1825.29
100.623 2536.58
100.643 3604.86
100.672 5821.84
100.700 7354.43
100.729 5946.30
100.757 3752.05
100.776 2726.92
100.795 2025.87
100.832 1207.88
100.870 790.365
100.907 555.072
100.945 411.037
100.982 316.938
101.057 205.977
101.132 145.451
101.207 108.911
101.357 68.6894
101.507 48.1139
101.657 36.1228
101.806 28.4866
101.956 23.3009
102.256 16.8656
102.556 13.1382
102.856 10.7684
103.156 9.16589
103.755 7.26188
104.055 6.77074
104.355 6.62561
104.655 7.12558
104.805 7.92164
104.954 9.58565
105.104 13.3405
105.179 17.0642
105.254 23.6002
105.329 36.4454
105.367 47.9445
105.385 55.9920
105.404 66.3492
105.414 72.7061
105.423 80.0361
105.432 88.5406
105.442 98.3588
105.451 110.022
105.460 123.846
105.470 140.368
105.479 160.057
105.489 184.255
105.498 213.998
105.517 296.674
105.526 355.083
105.535 428.507
105.545 522.860
105.554 640.370
105.566 821.388
105.577 1029.00
105.600 1296.35
105.612 1228.98
105.623 1054.11
105.646 671.720
105.664 465.378
105.682 332.967
105.700 247.182
105.717 189.919
105.753 121.894
105.789 85.3612
105.824 63.5699
105.860 49.6419
105.931 33.4439
106.003 24.7330
106.074 19.4912
106.216 13.7178
106.359 10.7248
106.502 8.94457
106.787 6.96501
107.072 5.89806
107.357 5.22630
107.927 4.40489
109.068 3.53331
110.208 3.01457
112.489 2.33098
114.771 1.88131
117.052 1.75554
117.622 1.84041
118.192 2.01959
118.478 2.15962
118.620 2.24598
118.763 2.34501
118.905 2.45851
119.048 2.58823
119.190 2.73659
119.333 2.90598
119.475 3.09968
119.618 3.32117
119.761 3.57468
119.903 3.86503
120.188 4.58257
120.473 5.53775
120.759 6.82701
121.044 8.59598
121.329 11.0775
121.614 14.6571
121.899 20.0109
122.184 28.3958
122.469 42.3888
122.755 67.8636
122.897 89.0469
123.040 120.731
123.182 170.859
123.325 256.296
123.467 418.403
123.539 559.113
123.610 778.194
123.681 1144.08
123.753 1809.74
123.788 2358.32
123.824 3156.53
123.859 4346.84
123.895 6122.18
123.948 9937.58
124.000 12620.7
124.053 10218.4
124.105 6441.30
124.164 3793.99
124.222 2399.74
124.281 1629.75
124.339 1173.71
124.398 883.961
124.456 690.126
124.573 455.281
124.691 324.276
124.808 243.827
125.042 154.061
125.276 107.521
125.510 80.1645
125.744 62.6361
125.979 50.6803
126.447 35.7526
126.915 27.0389
127.384 21.4412
127.852 17.5886
128.789 12.6783
129.726 9.69471
131.599 6.22853
133.473 4.38761
134.409 4.03174
134.878 4.10116
135.346 4.45604
135.580 4.79488
135.697 5.01927
135.814 5.28806
135.932 5.60853
136.049 5.98944
136.107 6.20598
136.166 6.44141
136.224 6.69821
136.283 6.97741
136.400 7.61336
136.517 8.36898
136.634 9.26887
136.751 10.3440
136.985 13.1887
137.220 17.3763
137.454 23.7412
137.688 33.8325
137.922 50.7955
138.039 63.7893
138.156 81.7623
138.273 107.442
138.391 145.652
138.508 205.545
138.625 306.123
138.742 491.801
138.800 648.398
138.859 884.657
138.918 1262.13
138.976 1903.34
139.035 3073.81
139.093 5301.73
139.147 8606.12
139.200 10929.4
139.254 8915.60
139.307 5683.76
139.342 4156.71
139.378 3101.36
139.448 1868.44
139.519 1233.94
139.589 874.798
139.660 653.439
139.730 508.291
139.871 335.626
140.013 240.701
140.154 182.795
140.436 118.315
140.718 84.7507
141.000 64.8538
141.282 51.9664
141.565 43.0668
142.129 31.7364
142.693 24.9171
143.258 20.3839
143.822 17.1429
144.951 12.7727
145.515 11.2592
146.080 10.1904
146.644 10.0010
146.926 10.7487
147.208 12.9933
147.349 15.3047
147.491 19.2022
147.526 20.5620
147.561 22.1329
147.579 23.0124
147.596 23.9553
147.614 24.9730
147.632 26.0727
147.649 27.2696
147.667 28.5596
147.685 29.9676
147.702 31.4897
147.738 34.9644
147.773 39.1022
147.808 44.0978
147.843 50.1691
147.879 57.6247
147.914 66.8597
147.949 78.5206
147.984 93.4379
148.020 112.870
148.055 138.643
148.090 173.896
148.126 223.475
148.161 295.805
148.196 405.797
148.231 583.606
148.267 889.278
148.284 1128.76
148.302 1458.92
148.319 1921.43
148.337 2565.28
148.369 4198.21
148.400 5365.97
148.432 4391.16
148.463 2810.39
148.494 1779.53
148.525 1190.56
148.557 843.284
148.588 628.167
148.619 486.483
148.650 389.286
148.712 267.969
148.775 198.160
148.837 154.258
148.961 103.959
149.086 77.0681
149.211 60.8499
149.335 50.2183
149.460 42.8151
149.709 33.3069
149.958 27.5526
150.207 23.7269
150.456 21.0095
150.955 17.3991
151.453 15.0885
152.450 12.2245
153.446 10.4276
154.443 9.11746
156.436 7.14908
158.429 5.53990
159.426 4.82633
160.423 4.29031
160.921 4.20809
161.419 4.43027
161.668 4.75340
161.918 5.31673
162.042 5.72757
162.104 5.97485
162.167 6.25478
162.229 6.57160
162.291 6.93020
162.354 7.33625
162.416 7.79557
162.478 8.31733
162.540 8.90988
162.603 9.58387
162.665 10.3519
162.790 12.2332
162.914 14.7114
163.039 18.0254
163.163 22.5290
163.288 28.7782
163.412 37.6696
163.537 50.7626
163.662 70.8543
163.786 103.427
163.911 160.248
163.973 205.549
164.035 270.557
164.098 367.841
164.160 521.322
164.222 780.442
164.285 1257.88
164.316 1655.26
164.347 2237.43
164.378 3112.07
164.409 4426.11
164.455 7242.86
164.500 9251.56
164.546 7562.52
164.591 4832.93
164.636 3053.60
164.681 2037.31
164.726 1440.34
164.771 1069.50
164.816 825.702
164.861 658.418
164.951 450.118
165.041 330.246
165.131 255.028
165.311 168.934
165.492 123.028
165.672 95.4255
165.852 77.3937
166.032 64.8835
166.392 48.9226
166.752 39.3598
167.112 33.0749
167.472 28.6639
168.193 22.9083
168.913 19.3595
169.273 18.1735
169.453 17.8016
169.633 17.7450
169.813 18.4658
169.903 19.5491
169.993 21.7989
170.084 26.8157
170.129 31.6653
170.174 39.9022
170.219 55.1257
170.264 86.8873
170.286 116.662
170.309 165.838
170.320 202.769
170.331 251.689
170.342 318.043
170.354 405.749
170.365 523.958
170.377 660.782
170.400 846.786
170.412 809.393
170.423 700.538
170.447 457.082
170.461 346.147
170.475 267.917
170.504 172.878
170.533 122.199
170.562 92.7612
170.591 74.1790
170.620 61.7990
170.677 46.7328
170.735 38.2138
170.793 32.8989
170.908 26.7767
171.024 23.4266
171.139 21.3373
171.370 18.8620
171.601 17.4144
171.832 16.4336
172.294 15.1257
173.217 13.5633
174.141 12.5562
175.988 11.2135
177.835 10.3043
181.529 9.08065
185.223 8.23948
188.918 7.57358
192.612 6.97271
194.459 6.66499
196.306 6.32834
197.230 6.14124
198.153 5.94013
198.615 5.83859
199.077 5.74706
199.538 5.69364
200.000 5.77036
200.194 5.90612
200.388 6.18248
200.581 6.74013
200.775 7.91937
200.872 8.99486
200.969 10.7065
201.066 13.5898
201.163 18.8428
201.259 29.6322
201.284 34.0771
201.308 39.6781
201.320 43.0463
201.332 46.8839
201.344 51.2786
201.356 56.3392
201.369 62.2537
201.381 69.0979
201.393 77.1352
201.405 86.6469
201.429 111.673
201.453 148.785
201.477 206.449
201.490 247.606
201.502 301.027
201.514 371.344
201.526 464.989
201.538 590.404
201.550 756.996
201.575 1234.30
201.600 1574.98
201.613 1498.53
201.625 1288.10
201.650 824.079
201.668 586.504
201.686 429.407
201.705 324.391
201.723 253.197
201.759 166.555
201.795 118.726
201.832 89.7688
201.868 70.9513
201.940 48.7980
202.013 36.6693
202.086 29.2834
202.158 24.4273
202.231 21.0509
202.376 16.7381
202.521 14.1635
202.666 12.4810
202.811 11.3078
203.101 9.79314
203.392 8.86289
203.972 7.77083
204.553 7.12666
205.133 6.67535
206.294 6.01352
206.875 5.73729
207.455 5.48520
208.036 5.27433
208.616 5.18059
208.907 5.24850
209.197 5.49473
209.487 6.11589
209.778 7.60631
209.923 9.05505
210.068 11.4490
210.140 13.2343
210.177 14.3417
210.213 15.6267
210.249 17.1346
210.267 17.9879
210.286 18.9103
210.304 19.9201
210.322 21.0155
210.340 22.2124
210.358 23.5228
210.394 26.5508
210.431 30.2334
210.467 34.7601
210.503 40.3922
210.540 47.4979
210.576 56.6072
210.612 68.5043
210.648 84.3352
210.685 106.074
210.721 136.799
210.757 181.913
210.793 251.105
210.830 364.262
210.866 562.797
210.884 720.537
210.902 941.222
210.920 1255.67
210.939 1701.50
210.969 2786.02
211.000 3560.72
211.031 2913.95
211.062 1865.95
211.087 1273.95
211.112 900.563
211.137 663.424
211.162 507.892
211.213 324.992
211.263 227.525
211.313 169.602
211.364 132.541
211.464 89.3604
211.565 65.9582
211.666 51.7759
211.766 42.4729
211.867 36.0092
212.068 27.7577
212.270 22.8277
212.471 19.6042
212.672 17.3565
213.075 14.4605
213.478 12.6938
213.880 11.5098
214.283 10.6613
215.088 9.51919
215.894 8.77300
217.504 7.80632
219.115 7.12941
219.920 6.82946
220.726 6.53911
221.531 6.27755
221.934 6.19787
222.336 6.24379
222.538 6.38303
222.739 6.69420
222.940 7.35398
223.142 8.79537
223.242 10.1322
223.343 12.2809
223.444 15.9311
223.544 22.6300
223.570 25.1570
223.595 28.2043
223.620 31.9163
223.633 34.0805
223.645 36.4696
223.658 39.1583
223.670 42.1721
223.683 45.5631
223.695 49.3616
223.721 58.6535
223.746 70.8019
223.771 87.1824
223.796 109.797
223.821 142.037
223.846 189.573
223.872 263.521
223.897 383.772
223.922 591.676
223.935 749.841
223.947 957.176
223.974 1566.22
224.000 2004.67
224.027 1644.09
224.053 1054.58
224.081 649.533
224.109 426.811
224.137 299.589
224.165 222.083
224.193 171.764
224.221 137.625
224.277 95.5052
224.333 71.4511
224.389 56.4398
224.501 39.3079
224.614 30.1871
224.726 24.7001
224.838 21.1102
224.950 18.6133
225.174 15.4188
225.398 13.4950
225.622 12.2253
225.847 11.3305
226.295 10.1591
226.743 9.42728
227.192 8.92490
227.640 8.55621
228.537 8.04391
229.434 7.69605
231.227 7.23087
233.021 6.91090
234.814 6.65926
238.402 6.24579
241.989 5.86293
243.782 5.65892
245.576 5.43138
247.369 5.16290
248.266 5.00596
249.163 4.83107
250.060 4.64793
250.508 4.57185
250.957 4.54846
251.405 4.70759
251.629 4.98799
251.853 5.63395
251.965 6.24688
252.078 7.24468
252.190 8.95985
252.302 12.1523
252.414 18.8554
252.442 21.6583
252.470 25.2215
252.484 27.3786
252.498 29.8488
252.512 32.6930
252.526 35.9874
252.540 39.8582
252.554 44.3740
252.568 49.7187
252.582 56.0992
252.596 63.7893
252.610 73.1557
252.624 84.6980
252.638 99.1073
252.652 117.357
252.666 140.841
252.680 171.595
252.694 212.632
