Ge-72(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 44.5516
1.25000E-05 39.8482
1.50000E-05 36.3762
2.00000E-05 31.5028
2.75000E-05 26.8656
3.50000E-05 23.8138
4.25000E-05 21.6107
5.00000E-05 19.9241
6.25000E-05 17.8206
7.50000E-05 16.2680
0.000100000 14.0885
0.000125000 12.6011
0.000150000 11.5032
0.000200000 9.96204
0.000275000 8.49565
0.000350000 7.53059
0.000425000 6.83390
0.000500000 6.30054
0.000625000 5.63538
0.000750000 5.14437
0.00100000 4.45515
0.00125000 3.98481
0.00150000 3.63761
0.00200000 3.15026
0.00275000 2.68655
0.00350000 2.38137
0.00425000 2.16105
0.00500000 1.99239
0.00625000 1.78204
0.00750000 1.62677
0.0100000 1.40881
0.0125000 1.26008
0.0150000 1.15028
0.0200000 0.996160
0.0253000 0.885684
0.0314750 0.794054
0.0376500 0.726013
0.0500000 0.629985
0.0625000 0.563460
0.0750000 0.514352
0.100000 0.445417
0.125000 0.398371
0.150000 0.363641
0.200000 0.314887
0.275000 0.268492
0.350000 0.237953
0.500000 0.199019
0.750000 0.162408
1.00000 0.140571
1.50000 0.114648
2.00000 0.0991778
2.75000 0.0844382
3.50000 0.0747219
5.00000 0.0623092
7.50000 0.0505947
10.0000 0.0435755
15.0000 0.0351910
20.0000 0.0301459
27.5000 0.0252948
35.0000 0.0220641
50.0000 0.0178844
75.0000 0.0138697
100.000 0.0114271
150.000 0.00848709
200.000 0.00676283
225.950 0.00628105
238.925 0.00676394
242.169 0.00749741
245.413 0.00970396
247.034 0.0128136
247.845 0.0159186
248.656 0.0215635
249.467 0.0334854
249.873 0.0451640
250.278 0.0660079
250.481 0.0831966
250.684 0.108860
250.886 0.149641
251.089 0.220169
251.292 0.358136
251.393 0.482579
251.495 0.685197
251.596 1.04723
251.647 1.34400
251.697 1.78130
251.748 2.46084
251.799 3.57778
251.849 5.52759
251.900 9.02670
251.950 14.4337
252.000 18.0365
252.050 14.4365
252.100 9.03026
252.130 6.69777
252.161 5.05079
252.221 3.07310
252.282 2.02876
252.342 1.42800
252.403 1.05523
252.463 0.810441
252.584 0.520159
252.705 0.361855
252.826 0.266575
253.068 0.162623
253.311 0.110264
253.553 0.0802767
253.795 0.0615266
254.037 0.0490293
254.521 0.0339288
255.005 0.0254993
255.974 0.0169071
256.942 0.0128310
257.910 0.0105774
259.847 0.00828911
263.720 0.00658336
267.594 0.00593286
283.088 0.00509764
314.075 0.00448167
376.050 0.00370229
500.000 0.00270773
618.850 0.00213102
678.275 0.00200261
707.987 0.00228317
715.415 0.00265178
722.843 0.00374493
726.557 0.00528791
730.271 0.00967629
732.128 0.0157531
733.057 0.0217964
733.985 0.0327751
734.914 0.0559853
735.378 0.0787779
735.842 0.119594
736.075 0.153369
736.307 0.203982
736.539 0.284815
736.771 0.425643
737.003 0.704363
737.119 0.958970
737.235 1.37933
737.351 2.14610
737.409 2.78761
737.467 3.75527
737.525 5.30396
737.583 7.95255
737.641 12.8575
737.699 22.4048
737.750 35.8430
737.800 44.8008
737.850 35.8454
737.901 22.4078
737.933 16.3736
737.965 12.1903
738.029 7.27382
738.093 4.74033
738.157 3.30638
738.221 2.42760
738.285 1.85396
738.413 1.17909
738.541 0.814085
738.669 0.595281
738.925 0.357820
739.181 0.238659
739.436 0.170626
739.948 0.0998967
740.460 0.0658016
740.972 0.0468119
741.996 0.0275033
743.020 0.0183791
744.044 0.0133580
746.091 0.00830503
750.187 0.00464055
754.282 0.00333671
762.473 0.00238396
770.663 0.00203421
803.426 0.00163352
868.950 0.00140962
1000.00 0.00116643
1250.00 0.000890475
1500.00 0.000741735
1750.00 0.000680236
2000.00 0.000755953
2047.72 0.000832394
2095.44 0.00102644
2119.30 0.00127947
2143.16 0.00197546
2155.09 0.00293305
2167.02 0.00564268
2172.98 0.00941014
2178.95 0.0200856
2181.93 0.0348849
2183.42 0.0496311
2184.91 0.0764982
2186.40 0.133583
2187.15 0.189998
2187.90 0.291568
2188.27 0.376244
2188.64 0.504052
2189.01 0.710107
2189.39 1.07274
2189.57 1.36994
2189.76 1.80688
2189.95 2.49534
2190.13 3.65583
2190.32 5.86690
2190.41 7.78549
2190.51 10.7996
2190.60 15.8974
2190.69 25.4014
2190.74 33.5395
2190.78 45.4768
2190.83 64.3146
2190.88 92.8705
2190.94 149.093
2191.00 185.775
2191.06 148.126
2191.12 92.8728
2191.18 60.9484
2191.23 41.8694
2191.28 29.8648
2191.33 22.2984
2191.44 13.5771
2191.54 9.06588
2191.65 6.46015
2191.75 4.82800
2191.96 2.98858
2192.17 2.02452
2192.38 1.46286
2192.59 1.10457
2192.80 0.864294
2193.22 0.569438
2193.64 0.403608
2194.06 0.300986
2194.48 0.233107
2195.32 0.151670
2196.15 0.106650
2197.83 0.0611226
2199.51 0.0397125
2201.18 0.0279733
2204.54 0.0162072
2211.24 0.00772579
2217.95 0.00474077
2231.36 0.00261071
2244.78 0.00187767
2271.60 0.00139089
2298.43 0.00127043
2352.08 0.00133991
2405.73 0.00166085
2459.39 0.00240503
2486.21 0.00314457
2513.04 0.00447882
2526.45 0.00559445
2539.87 0.00729088
2553.28 0.0100653
2566.69 0.0150951
2573.40 0.0193213
2580.10 0.0257682
2586.81 0.0363372
2593.52 0.0554976
2596.87 0.0715663
2600.22 0.0959883
2603.58 0.135772
2606.93 0.207149
2608.61 0.266330
2610.28 0.355259
2611.12 0.417565
2611.96 0.497776
2612.80 0.603592
2613.22 0.669641
