Cs-133(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
59.5120 5.78124
59.5349 7.14406
59.5463 8.30540
59.5577 10.0572
59.5691 12.7852
59.5805 17.0539
59.5953 25.1578
59.6100 30.5568
59.6248 25.1615
59.6395 17.0572
59.6484 13.5627
59.6574 11.0962
59.6752 8.12751
59.6930 6.55849
59.7109 5.65609
59.7287 5.09627
59.7466 4.72788
59.7823 4.29050
59.8179 4.05161
59.8536 3.90749
59.9250 3.75098
59.9964 3.67610
60.0678 3.64688
60.1391 3.68714
60.1748 3.80691
60.1927 3.96043
60.2105 4.27475
60.2253 4.70585
60.2400 4.99222
60.2548 4.69874
60.2695 4.26029
60.2873 3.93736
60.3051 3.77462
60.3407 3.63528
60.3763 3.57933
60.4119 3.55025
60.5542 3.50259
60.8389 3.46589
61.4083 3.42323
62.5471 3.36001
64.8248 3.25799
69.3800 3.09336
73.9353 2.95298
76.2129 2.89539
77.3517 2.87900
77.9211 2.87922
78.2058 2.88439
78.3482 2.89294
78.4193 2.90913
78.4549 2.93618
78.4905 3.03127
78.5200 3.17488
78.5495 3.03324
78.5939 2.93136
78.6383 2.91055
78.7271 2.90332
78.9048 2.90869
79.2600 2.93554
79.6153 2.98344
79.7929 3.02714
79.8817 3.07940
79.9261 3.15782
79.9483 3.25653
79.9705 3.48153
80.0000 3.92055
80.0295 3.49744
80.0501 3.29399
80.0707 3.20584
80.1119 3.14651
80.1943 3.13726
80.3591 3.18934
80.6888 3.37923
81.0184 3.71757
81.3481 4.36325
81.5129 4.91856
81.6777 5.77224
81.8425 7.16825
82.0073 9.65470
82.1722 14.6740
82.2546 19.3172
82.3370 27.0519
82.4194 41.2404
82.4606 53.1610
82.5018 71.1595
82.5430 99.9009
82.5842 148.973
82.6048 186.928
82.6254 239.274
82.6460 312.257
82.6666 413.321
82.7033 665.379
82.7400 838.208
82.7767 676.958
82.8134 427.806
82.8373 312.801
82.8612 233.461
82.9090 140.712
82.9568 93.1302
83.0046 66.2279
83.0524 49.7241
83.1001 38.9263
83.1957 26.1639
83.2913 19.2058
83.3869 14.9971
83.5780 10.3663
83.7692 7.99592
83.9604 6.61350
84.1515 5.73215
84.3427 5.13266
84.7250 4.38604
85.1073 3.95016
85.8720 3.47547
86.6366 3.22742
87.4012 3.07895
88.1659 2.99174
88.5482 2.98941
88.7394 3.07720
88.7871 3.16098
88.8349 3.35503
88.8588 3.56057
88.8827 3.95283
88.9066 4.81157
88.9186 5.63637
88.9305 6.95444
88.9453 9.37002
88.9600 10.9800
88.9748 9.36980
88.9895 6.95321
88.9996 5.79703
89.0098 5.01912
89.0300 4.13749
89.0503 3.69907
89.0705 3.45659
89.1110 3.21526
89.1515 3.10451
89.3136 2.96976
89.6377 2.92920
90.2858 2.95636
90.9340 3.08049
91.5821 3.39864
91.9062 3.71096
92.2303 4.22936
92.5543 5.13967
92.8784 6.88228
93.0404 8.38599
93.2025 10.7031
93.3645 14.5002
93.5266 21.2726
93.6076 26.8031
93.6886 34.9464
93.7696 47.5790
93.8506 68.5708
93.9317 106.898
93.9722 138.919
94.0127 186.994
94.0532 263.100
94.0937 391.480
94.1342 623.478
94.1747 1059.74
94.2124 1712.96
94.2500 2164.03
94.2877 1749.86
94.3253 1105.94
94.3696 636.421
94.4140 396.467
94.4583 267.183
94.5026 191.687
94.5470 144.310
94.5913 112.813
94.6800 74.9764
94.7686 54.0160
94.8573 41.2021
95.0346 26.9601
95.2120 19.5996
95.3893 15.2809
95.5667 12.5164
95.7440 10.6315
96.0987 8.28085
96.4533 6.91026
96.8080 6.03132
97.1627 5.42791
97.8720 4.66370
98.5813 4.20530
99.2907 3.90120
100.000 3.68432
101.309 3.41047
102.618 3.22541
105.235 2.97737
107.853 2.80257
109.162 2.72866
109.816 2.69466
110.143 2.68088
110.307 2.68289
110.389 2.70651
110.430 2.75874
110.450 2.82882
110.471 2.98415
110.500 3.30706
110.530 2.98125
110.547 2.83990
110.564 2.76821
110.599 2.70636
110.668 2.66920
110.807 2.64887
111.085 2.63090
111.640 2.60294
112.750 2.55178
113.860 2.50574
114.415 2.48748
114.693 2.48811
114.832 2.51640
114.901 2.59716
114.936 2.74445
114.953 2.91890
114.971 3.26279
