Mg-26(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 4.75721
1.25000E-05 4.55379
1.50000E-05 4.40362
2.00000E-05 4.19284
2.75000E-05 3.99228
3.50000E-05 3.86029
4.25000E-05 3.76500
5.00000E-05 3.69205
6.25000E-05 3.60107
7.50000E-05 3.53392
0.000100000 3.43965
0.000125000 3.37532
0.000150000 3.32784
0.000200000 3.26118
0.000275000 3.19776
0.000350000 3.15602
0.000425000 3.12589
0.000500000 3.10282
0.000625000 3.07405
0.000750000 3.05281
0.00100000 3.02301
0.00125000 3.00266
0.00150000 2.98765
0.00200000 2.96657
0.00275000 2.94651
0.00350000 2.93331
0.00425000 2.92378
0.00500000 2.91649
0.00625000 2.90739
0.00750000 2.90068
0.0100000 2.89125
0.0125000 2.88482
0.0150000 2.88007
0.0200000 2.87340
0.0253000 2.86862
0.0314750 2.86466
0.0376500 2.86172
0.0500000 2.85757
0.0625000 2.85469
0.0750000 2.85256
0.100000 2.84958
0.125000 2.84755
0.150000 2.84605
0.200000 2.84394
0.275000 2.84193
0.350000 2.84061
0.500000 2.83893
0.750000 2.83734
1.00000 2.83640
1.50000 2.83527
2.00000 2.83460
2.75000 2.83395
3.50000 2.83353
5.00000 2.83298
7.50000 2.83244
10.0000 2.83211
15.0000 2.83170
20.0000 2.83142
27.5000 2.83113
35.0000 2.83090
50.0000 2.83054
75.0000 2.83006
100.000 2.82965
150.000 2.82890
200.000 2.82820
275.000 2.82719
350.000 2.82620
500.000 2.82427
750.000 2.82111
1000.00 2.81801
1500.00 2.81193
2000.00 2.80599
2750.00 2.79733
3500.00 2.78894
5000.00 2.77292
7500.00 2.74825
10000.0 2.72580
15000.0 2.68640
20000.0 2.65292
27500.0 2.61108
35000.0 2.57683
50000.0 2.52421
59349.6 2.49918
64024.3 2.48843
66361.7 2.48345
67530.4 2.48107
68114.8 2.47994
68406.9 2.47945
68553.0 2.47935
68626.1 2.47968
68662.6 2.48083
68680.9 2.48430
68690.0 2.49489
68694.6 2.52623
68696.8 2.60656
68698.0 2.76222
68699.1 3.43381
68699.9 4.32865
68700.7 3.37354
68701.6 2.76972
68702.6 2.60720
68704.5 2.52109
68708.3 2.48914
68716.0 2.48019
68731.3 2.47831
68761.8 2.47812
68823.0 2.47815
68945.2 2.47804
69189.7 2.47764
69678.8 2.47674
70656.9 2.47489
72613.1 2.47129
76525.5 2.46455
84350.3 2.45290
100000 2.43672
129945 2.43477
159889 2.49038
179945 2.58868
189972 2.67017
194986 2.72258
200000 2.78472
204945 2.85742
207417 2.89881
209889 2.94432
212361 2.99556
213597 3.02486
214834 3.05932
215452 3.08035
216070 3.10629
216688 3.14144
217306 3.19584
217924 3.29754
218233 3.39032
218542 3.54709
218851 3.84540
219006 4.10650
219160 4.51773
219315 5.21273
219469 6.49887
219546 7.57398
219624 9.16111
219701 11.5681
219778 15.2146
219889 22.9525
220000 28.5132
220111 23.8982
220222 16.4196
220290 13.1036
220358 10.7516
220494 7.90096
220630 6.38154
220766 5.49957
220901 4.94738
221037 4.58112
221309 4.14205
221581 3.90031
221852 3.75420
222396 3.59678
222939 3.52189
223483 3.48422
224026 3.46605
224569 3.45924
225656 3.46479
226743 3.48467
228917 3.54633
231090 3.62522
233264 3.71649
237611 3.93194
246306 4.50530
255000 5.31964
277500 8.89644
288750 10.8740
300000 11.5708
322500 9.03861
345000 6.38530
358750 5.37145
372500 4.66112
386250 4.13357
400000 3.69254
406528 3.47936
409792 3.36119
413057 3.22701
416321 3.06554
417953 2.96922
419585 2.85928
421217 2.73671
422033 2.67559
422849 2.62546
423665 2.61379
424481 2.72603
424889 2.90491
425297 3.27435
425705 4.03352
426113 5.58745
426557 8.76331
427000 12.0573
427444 11.5065
427887 8.92771
428286 7.05244
428685 5.78789
429084 4.94464
429483 4.38376
429881 4.04920
430280 3.97309
430679 4.32334
431078 5.52805
431539 8.94809
432000 13.7586
432461 14.8275
432922 12.6981
433456 10.2596
433989 8.63594
434523 7.57916
435057 6.85976
435591 6.34513
436124 5.96084
437192 5.42681
438259 5.07305
439326 4.82054
441461 4.48120
443596 4.26040
445731 4.10271
450000 3.88718
450000 4.10938
500000 4.06367
600000 3.97084
700000 3.88050
800000 3.79227
900000 3.70631
1.00000E+06 3.62329
1.50000E+06 3.25456
1.87892E+06 3.02806
1.88030E+06 3.02730
1.94015E+06 2.99519
2.00000E+06 2.96442
2.25000E+06 2.84376
2.50000E+06 2.74000
3.00000E+06 2.56606
3.05247E+06 2.55020
3.05247E+06 2.55020
3.05410E+06 2.54973
3.16557E+06 2.51821
3.27705E+06 2.48782
3.50000E+06 2.43015
3.72729E+06 2.37821
4.00000E+06 2.32251
4.09347E+06 2.30490
4.48563E+06 2.23833
4.50000E+06 2.23608
4.50017E+06 2.23606
4.51887E+06 2.23315
5.00000E+06 2.16537
5.02166E+06 2.16261
5.09022E+06 2.15400
5.16502E+06 2.14486
5.49640E+06 2.10728
5.50000E+06 2.10690
5.62693E+06 2.09370
5.68650E+06 2.08769
5.68651E+06 2.08769
5.91089E+06 2.06622
6.00000E+06 2.05816
6.50000E+06 2.01741
6.68341E+06 2.00464
7.00000E+06 1.98359
7.50000E+06 1.95547
8.00000E+06 1.93240
8.22843E+06 1.92349
8.31057E+06 1.92032
9.00000E+06 1.89884
1.00000E+07 1.87816
1.01073E+07 1.87680
1.10000E+07 1.86557
1.10252E+07 1.86539
1.15243E+07 1.86157
1.20000E+07 1.85757
1.21321E+07 1.85598
1.23493E+07 1.85396
1.30000E+07 1.85204
1.40000E+07 1.84776
1.46958E+07 1.84418
1.47888E+07 1.84418
1.50000E+07 1.84455
1.60000E+07 1.84242
1.70000E+07 1.84147
1.80000E+07 1.84137
1.90000E+07 1.84198
2.00000E+07 1.84302
