Cd-106(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 49.6021
1.25000E-05 44.3654
1.50000E-05 40.4999
2.00000E-05 35.0739
2.75000E-05 29.9112
3.50000E-05 26.5134
4.25000E-05 24.0605
5.00000E-05 22.1827
6.25000E-05 19.8408
7.50000E-05 18.1121
0.000100000 15.6855
0.000125000 14.0296
0.000150000 12.8072
0.000200000 11.0913
0.000275000 9.45869
0.000350000 8.38422
0.000425000 7.60855
0.000500000 7.01472
0.000625000 6.27414
0.000750000 5.72747
0.00100000 4.96011
0.00125000 4.43644
0.00150000 4.04988
0.00200000 3.50726
0.00275000 2.99096
0.00350000 2.65117
0.00425000 2.40586
0.00500000 2.21806
0.00625000 1.98385
0.00750000 1.81095
0.0100000 1.56826
0.0125000 1.40262
0.0150000 1.28035
0.0200000 1.10871
0.0253000 0.985667
0.0314750 0.883602
0.0376500 0.807804
0.0500000 0.700812
0.0625000 0.626676
0.0750000 0.571938
0.100000 0.495077
0.125000 0.442600
0.150000 0.403845
0.200000 0.349408
0.275000 0.297552
0.350000 0.263376
0.500000 0.219731
0.750000 0.178564
1.00000 0.153914
1.50000 0.124497
2.00000 0.106817
2.75000 0.0898375
3.50000 0.0785441
5.00000 0.0639541
7.50000 0.0499599
10.0000 0.0414476
15.0000 0.0311678
20.0000 0.0249712
27.5000 0.0190962
35.0000 0.0153080
50.0000 0.0107131
75.0000 0.00687374
100.000 0.00496089
125.000 0.00388585
150.000 0.00324500
200.000 0.00264111
264.133 0.00261916
296.199 0.00290198
328.266 0.00350725
360.332 0.00480059
376.365 0.00604241
392.398 0.00823354
408.432 0.0127670
416.448 0.0172005
424.465 0.0252140
428.473 0.0319467
432.481 0.0422357
436.490 0.0591605
440.498 0.0900472
442.502 0.116131
444.506 0.156084
446.510 0.221878
448.515 0.341846
449.517 0.442948
450.519 0.597386
451.521 0.850577
452.523 1.30896
453.024 1.69242
453.525 2.27363
454.026 3.21637
454.276 3.92492
454.402 4.37070
454.527 4.89657
454.652 5.52400
454.715 5.88424
454.778 6.28023
454.840 6.71832
454.903 7.20306
454.965 7.74218
455.028 8.34413
455.153 9.78043
455.279 11.6198
455.404 14.0322
455.529 17.2758
455.654 21.7874
455.780 28.3076
455.905 38.2368
456.030 54.3676
456.093 66.5069
456.155 83.0827
456.218 106.516
456.281 140.996
456.343 194.334
456.406 281.313
456.468 431.777
456.531 699.484
456.594 1119.31
456.657 1400.10
456.720 1120.85
456.783 700.619
456.822 515.309
456.861 385.775
456.940 231.994
457.018 151.924
457.097 106.297
457.175 78.2058
457.253 59.8095
457.410 38.1087
457.567 26.3274
457.724 19.2556
458.037 11.5623
458.351 7.69687
458.664 5.48821
458.978 4.10921
459.291 3.19123
459.918 2.08363
460.545 1.46672
461.172 1.08832
461.799 0.839680
463.053 0.543651
464.308 0.380936
465.562 0.282070
466.816 0.217579
469.324 0.141410
471.832 0.0999540
