78-Pt_n-g
> 78-Pt-192:0.007821
> 78-Pt-194:0.328626
> 78-Pt-195:0.337827
> 78-Pt-196:0.252120
> 78-Pt-198:0.073606
2.870000e-03 3.04612565e+01
2.871000e-03 3.04562999e+01
2.890330e-03 3.03606478e+01
2.911070e-03 3.02583836e+01
2.958850e-03 3.00234092e+01
3.030660e-03 2.96710544e+01
3.134550e-03 2.91636387e+01
3.185000e-03 2.89181799e+01
3.311310e-03 2.83812801e+01
3.485940e-03 2.76427475e+01
3.500000e-03 2.75834450e+01
3.512890e-03 2.75330975e+01
3.554140e-03 2.73737984e+01
3.562070e-03 2.73431974e+01
3.608270e-03 2.71682486e+01
3.611250e-03 2.71569766e+01
3.620950e-03 2.71212854e+01
3.709610e-03 2.67955781e+01
3.716540e-03 2.67714466e+01
3.906330e-03 2.61120261e+01
3.933090e-03 2.60278955e+01
4.062450e-03 2.56229013e+01
4.073800e-03 2.55874517e+01
4.299770e-03 2.48902633e+01
4.366180e-03 2.47170571e+01
4.503960e-03 2.43600296e+01
5.000000e-03 2.30776373e+01
5.011870e-03 2.30512735e+01
5.047940e-03 2.29711926e+01
5.084010e-03 2.28911512e+01
5.156140e-03 2.27312078e+01
5.262920e-03 2.24947685e+01
5.300400e-03 2.24201927e+01
5.468680e-03 2.20863355e+01
5.588920e-03 2.18496178e+01
5.602280e-03 2.18234500e+01
5.852370e-03 2.13352887e+01
6.165960e-03 2.08020246e+01
6.441820e-03 2.03374915e+01
6.849580e-03 1.97574243e+01
6.968460e-03 1.95897275e+01
7.500000e-03 1.88423750e+01
7.585780e-03 1.87387594e+01
7.804120e-03 1.84753875e+01
7.884790e-03 1.83782643e+01
8.022470e-03 1.82292300e+01
8.459160e-03 1.77578901e+01
8.579170e-03 1.76290053e+01
8.667770e-03 1.75345059e+01
8.767890e-03 1.74280333e+01
9.332550e-03 1.69049635e+01
9.650990e-03 1.66116592e+01
1.000000e-02 1.63175982e+01
1.074550e-02 1.57484076e+01
1.078150e-02 1.57211082e+01
1.090640e-02 1.56266691e+01
1.148160e-02 1.52385503e+01
1.181280e-02 1.50176326e+01
1.341070e-02 1.41388684e+01
1.345890e-02 1.41124542e+01
1.412540e-02 1.37502352e+01
1.445890e-02 1.35705610e+01
1.500000e-02 1.33226295e+01
1.634880e-02 1.27627998e+01
1.668100e-02 1.26395366e+01
1.685740e-02 1.25742851e+01
1.737800e-02 1.23830872e+01
1.769770e-02 1.22668065e+01
2.000000e-02 1.15372209e+01
2.074880e-02 1.13334306e+01
2.111410e-02 1.12341598e+01
2.137960e-02 1.11624090e+01
2.166190e-02 1.10866961e+01
2.302440e-02 1.07756640e+01
2.530000e-02 1.02573280e+01
3.210220e-02 9.11532208e+00
3.235940e-02 9.07230199e+00
3.245340e-02 9.05676618e+00
3.312340e-02 8.97222093e+00
3.765000e-02 8.40743593e+00
3.972300e-02 8.18525935e+00
3.981070e-02 8.17682371e+00
3.993070e-02 8.16535024e+00
4.148740e-02 8.01680312e+00
4.417200e-02 7.76241744e+00
4.439430e-02 7.74404860e+00
4.479940e-02 7.71082837e+00
4.862100e-02 7.39821373e+00
4.897780e-02 7.37137634e+00
4.966810e-02 7.31967412e+00
5.000000e-02 7.29484521e+00
5.073630e-02 7.24445822e+00
5.147250e-02 7.19409436e+00
5.196340e-02 7.16052728e+00
5.256400e-02 7.11961794e+00
5.294500e-02 7.09375367e+00
5.475610e-02 6.97091329e+00
5.512800e-02 6.94849933e+00
5.589000e-02 6.90279779e+00
5.852400e-02 6.74508790e+00
5.951220e-02 6.68624286e+00
6.025600e-02 6.64976172e+00
6.178000e-02 6.57584114e+00
6.508470e-02 6.41608828e+00
7.284270e-02 6.04340252e+00
7.413110e-02 5.99041833e+00
7.500000e-02 5.95496867e+00
7.684570e-02 5.88620311e+00
7.702520e-02 5.87952155e+00
7.905030e-02 5.80428145e+00
8.151930e-02 5.71278408e+00
8.153060e-02 5.71236806e+00
8.207980e-02 5.69217302e+00
8.310060e-02 5.65881083e+00
8.621560e-02 5.55752151e+00
8.915960e-02 5.46195244e+00
9.120120e-02 5.40400667e+00
9.558540e-02 5.28040267e+00
1.000000e-01 5.15614017e+00
1.021040e-01 5.10523383e+00
1.085500e-01 4.94960030e+00
1.091320e-01 4.93558802e+00
1.094470e-01 4.92935674e+00
1.122020e-01 4.87497390e+00
1.149950e-01 4.82049638e+00
1.188950e-01 4.74475704e+00
1.278860e-01 4.57070327e+00
1.335770e-01 4.46119836e+00
1.380390e-01 4.39196874e+00
1.478880e-01 4.24079647e+00
1.500000e-01 4.20846069e+00
1.584880e-01 4.09669150e+00
1.601790e-01 4.07444988e+00
1.634980e-01 4.03108498e+00
1.669760e-01 3.99373424e+00
1.698240e-01 3.96320293e+00
1.839520e-01 3.81336483e+00
2.000000e-01 3.64348798e+00
2.001220e-01 3.64237980e+00
2.004720e-01 3.63919693e+00
2.006260e-01 3.63780093e+00
2.008220e-01 3.63602464e+00
2.015230e-01 3.62970017e+00
2.022090e-01 3.62355168e+00
