92-U_n-g
>  92-U-235:0.007204
>  92-U-238:0.992796
4.800940e+00 1.64835251e+00
4.814520e+00 1.91248765e+00
4.821310e+00 2.13212312e+00
4.828100e+00 2.44886512e+00
4.849700e+00 3.79925049e+00
4.855130e+00 3.70792182e+00
4.860550e+00 3.37281374e+00
4.871400e+00 2.60954297e+00
4.879440e+00 2.22449882e+00
4.887480e+00 1.98103389e+00
4.895510e+00 1.82782464e+00
4.903550e+00 1.72949572e+00
4.919630e+00 1.62183010e+00
4.935700e+00 1.57338654e+00
4.951780e+00 1.55272616e+00
4.967850e+00 1.54656804e+00
5.000000e+00 1.55580816e+00
5.031000e+00 1.59784501e+00
5.062000e+00 1.64582671e+00
5.124000e+00 1.74998625e+00
5.194700e+00 1.87466634e+00
5.207660e+00 1.89803422e+00
5.265400e+00 2.05764270e+00
5.406800e+00 2.45199889e+00
5.415310e+00 2.47572400e+00
5.548150e+00 3.08253462e+00
5.622970e+00 3.42430319e+00
5.689500e+00 3.97548225e+00
5.779700e+00 4.72482846e+00
5.830630e+00 5.14968933e+00
5.869900e+00 5.69821430e+00
5.934450e+00 6.60408236e+00
5.960100e+00 7.15076419e+00
6.038280e+00 8.82905868e+00
6.050300e+00 9.24889300e+00
6.107450e+00 1.12612186e+01
6.142110e+00 1.24928659e+01
6.164600e+00 1.39205929e+01
6.221750e+00 1.75630799e+01
6.245940e+00 1.91247598e+01
6.250330e+00 1.95925008e+01
6.278900e+00 2.26895864e+01
6.297850e+00 2.48101898e+01
6.299480e+00 2.50803385e+01
6.320050e+00 2.86244633e+01
6.330340e+00 3.04965636e+01
6.340630e+00 3.24887395e+01
6.349770e+00 3.44319421e+01
6.350910e+00 3.47866305e+01
6.361200e+00 3.82911099e+01
6.375000e+00 4.35423416e+01
6.388800e+00 4.82879837e+01
6.401680e+00 5.05678384e+01
6.402600e+00 5.09157648e+01
6.416400e+00 5.55009561e+01
6.424130e+00 5.83383844e+01
6.431850e+00 6.13647847e+01
6.447300e+00 6.78092150e+01
6.453590e+00 7.05500915e+01
6.462750e+00 7.72581441e+01
6.478200e+00 8.87149271e+01
6.479550e+00 8.97225908e+01
6.492530e+00 1.02691486e+02
6.493650e+00 1.04079344e+02
6.505510e+00 1.18808631e+02
6.509100e+00 1.24091194e+02
6.512000e+00 1.28364844e+02
6.515240e+00 1.33590211e+02
6.518490e+00 1.39143168e+02
6.521730e+00 1.45054556e+02
6.524980e+00 1.51352110e+02
6.528220e+00 1.58074612e+02
6.531470e+00 1.65255754e+02
6.537960e+00 1.81184701e+02
6.540000e+00 1.86964182e+02
6.544440e+00 1.99549646e+02
6.550930e+00 2.20870177e+02
6.557420e+00 2.45809448e+02
6.563910e+00 2.75236155e+02
6.570400e+00 3.10279107e+02
6.570900e+00 3.13528811e+02
6.576890e+00 3.52464569e+02
6.583380e+00 4.03857576e+02
6.589870e+00 4.67334892e+02
6.596360e+00 5.46942158e+02
6.601800e+00 6.32155884e+02
6.602850e+00 6.48603919e+02
6.609340e+00 7.81171192e+02
6.615830e+00 9.58370584e+02
6.622320e+00 1.20218557e+03
6.628800e+00 1.54971990e+03
6.635290e+00 2.06671451e+03
6.641780e+00 2.87692138e+03
6.648270e+00 4.22723884e+03
6.654760e+00 6.63220308e+03
6.658010e+00 8.52034956e+03
6.661250e+00 1.10754065e+04
6.663600e+00 1.36247031e+04
6.667370e+00 1.77144270e+04
6.673490e+00 2.21354436e+04
