63-Eu_n-tot
> 63-Eu-151:0.478100
> 63-Eu-153:0.521900
3.281430e-01 3.52119317e+03
3.320130e-01 3.49886212e+03
3.338670e-01 3.47672640e+03
3.416050e-01 3.38436655e+03
3.453130e-01 3.35022519e+03
3.511980e-01 3.29607756e+03
3.559940e-01 3.28825451e+03
3.607900e-01 3.31187131e+03
3.674400e-01 3.40172285e+03
3.682050e-01 3.42021447e+03
3.740900e-01 3.56253178e+03
3.807400e-01 3.79938615e+03
3.873900e-01 4.11921000e+03
3.940400e-01 4.53157488e+03
4.006900e-01 5.04869147e+03
4.073400e-01 5.68440555e+03
4.139900e-01 6.45171665e+03
4.139910e-01 6.45186003e+03
4.139920e-01 6.45202732e+03
4.139930e-01 6.45214679e+03
4.139940e-01 6.45226624e+03
4.139950e-01 6.45238090e+03
4.139990e-01 6.45283967e+03
4.140010e-01 6.45310252e+03
4.140070e-01 6.45389101e+03
4.140110e-01 6.45439698e+03
4.140240e-01 6.45604140e+03
4.140320e-01 6.45705335e+03
4.140580e-01 6.46034222e+03
4.140740e-01 6.46235489e+03
4.141260e-01 6.46889610e+03
4.141580e-01 6.47292557e+03
4.142630e-01 6.48614722e+03
4.143260e-01 6.49416072e+03
4.145350e-01 6.52074519e+03
4.146620e-01 6.53704798e+03
4.150800e-01 6.59070608e+03
4.153340e-01 6.62394675e+03
4.161700e-01 6.73335326e+03
4.166780e-01 6.80291310e+03
4.189090e-01 7.10840245e+03
4.193660e-01 7.17478390e+03
4.216490e-01 7.50640286e+03
4.247410e-01 7.99071795e+03
4.271280e-01 8.36461002e+03
4.354930e-01 9.77862011e+03
4.380850e-01 1.02167780e+04
4.490430e-01 1.18027217e+04
4.545210e-01 1.22530394e+04
4.569950e-01 1.23009415e+04
4.600000e-01 1.23591437e+04
4.650000e-01 1.21315245e+04
4.700000e-01 1.16216349e+04
4.800000e-01 1.00305264e+04
5.000000e-01 6.52626121e+03
5.038300e-01 5.96945309e+03
5.177050e-01 4.34336124e+03
5.315800e-01 3.22512873e+03
5.315810e-01 3.22506177e+03
5.315830e-01 3.22496373e+03
5.315850e-01 3.22481064e+03
5.315890e-01 3.22450444e+03
5.315990e-01 3.22389694e+03
5.316170e-01 3.22267706e+03
5.316540e-01 3.22023734e+03
5.317280e-01 3.21537224e+03
5.318750e-01 3.20567069e+03
5.321700e-01 3.18637281e+03
5.327600e-01 3.14824559e+03
5.339390e-01 3.07379379e+03
5.362980e-01 2.93182322e+03
5.410160e-01 2.67341015e+03
5.504530e-01 2.24318639e+03
5.693250e-01 1.63386635e+03
5.881980e-01 1.23835303e+03
6.070700e-01 9.70392042e+02
6.448150e-01 6.45563086e+02
6.825600e-01 4.66776468e+02
6.825610e-01 4.66773069e+02
6.825620e-01 4.66768288e+02
6.825630e-01 4.66764411e+02
6.825640e-01 4.66760569e+02
