56-Ba_n-tot
> 56-Ba-130:0.001060
> 56-Ba-132:0.001010
> 56-Ba-134:0.024170
> 56-Ba-135:0.065920
> 56-Ba-136:0.078540
> 56-Ba-137:0.112320
> 56-Ba-138:0.716980
4.796290e+01 3.79420087e+00
4.818930e+01 3.78591945e+00
4.841560e+01 3.77964809e+00
4.864190e+01 3.77465244e+00
4.886830e+01 3.77050640e+00
4.909460e+01 3.76695309e+00
4.932100e+01 3.76382578e+00
4.954730e+01 3.76101814e+00
4.977370e+01 3.75845540e+00
4.988680e+01 3.75725068e+00
5.000000e+01 3.75608909e+00
5.006070e+01 3.75553959e+00
5.012130e+01 3.75500180e+00
5.018200e+01 3.75447379e+00
5.024270e+01 3.75395585e+00
5.030340e+01 3.75344760e+00
5.036400e+01 3.75294944e+00
5.042470e+01 3.75245958e+00
5.048540e+01 3.75197848e+00
5.060670e+01 3.75104232e+00
5.072800e+01 3.75013858e+00
5.097070e+01 3.74842301e+00
5.121340e+01 3.74682675e+00
5.145600e+01 3.74534973e+00
5.194140e+01 3.74276893e+00
5.242670e+01 3.74076692e+00
5.291210e+01 3.73951516e+00
5.339740e+01 3.73931894e+00
5.388280e+01 3.74070191e+00
5.436810e+01 3.74460195e+00
5.485340e+01 3.75279022e+00
5.533880e+01 3.76891780e+00
5.582410e+01 3.80146084e+00
5.606680e+01 3.82993361e+00
5.630950e+01 3.87379863e+00
5.655220e+01 3.94516641e+00
5.679480e+01 4.07063733e+00
5.691620e+01 4.17154742e+00
5.703750e+01 4.31798207e+00
5.715880e+01 4.54096780e+00
5.728020e+01 4.90236441e+00
5.740150e+01 5.53944656e+00
5.746220e+01 6.05366327e+00
5.752280e+01 6.80050831e+00
5.758350e+01 7.93259901e+00
5.764420e+01 9.73254272e+00
5.770480e+01 1.27308384e+01
5.776550e+01 1.78143229e+01
5.783280e+01 2.64398974e+01
5.790000e+01 3.23057626e+01
5.796730e+01 2.67257471e+01
5.796810e+01 2.66240431e+01
5.803450e+01 1.81826149e+01
5.807550e+01 1.44598103e+01
5.811650e+01 1.18295689e+01
5.819840e+01 8.66377400e+00
5.828040e+01 6.98955738e+00
5.836240e+01 6.02432176e+00
5.844430e+01 5.42427807e+00
5.852630e+01 5.02810345e+00
5.869020e+01 4.55563114e+00
5.885420e+01 4.29579517e+00
5.901810e+01 4.13764678e+00
5.934590e+01 3.96230562e+00
5.967380e+01 3.87147859e+00
6.000160e+01 3.81768339e+00
6.032950e+01 3.78267703e+00
6.065740e+01 3.75823293e+00
6.131310e+01 3.72626877e+00
6.195220e+01 3.70640973e+00
6.196880e+01 3.70590356e+00
6.250000e+01 3.69436980e+00
6.262450e+01 3.69167399e+00
6.328020e+01 3.68067300e+00
6.459160e+01 3.66375424e+00
6.590300e+01 3.65030561e+00
6.593630e+01 3.65000795e+00
6.721450e+01 3.64176123e+00
6.852590e+01 3.63426360e+00
6.875000e+01 3.63311441e+00
6.992030e+01 3.62675193e+00
7.114870e+01 3.62745004e+00
7.191240e+01 3.62819507e+00
7.377160e+01 3.65147566e+00
7.390440e+01 3.65316588e+00
7.490040e+01 3.68468180e+00
7.500000e+01 3.69040540e+00
7.589640e+01 3.74219319e+00
7.639440e+01 3.79563343e+00
7.689240e+01 3.84913164e+00
7.739040e+01 3.93625135e+00
7.788840e+01 4.06186439e+00
7.838650e+01 4.24933622e+00
7.888450e+01 4.54237486e+00
7.901730e+01 4.67250916e+00
7.938250e+01 5.03041295e+00
7.988050e+01 5.92000867e+00
8.012950e+01 6.66244521e+00
8.037850e+01 7.77976880e+00
8.062750e+01 9.56697802e+00
8.087650e+01 1.26740243e+01
8.100100e+01 1.51619206e+01
8.112550e+01 1.87693362e+01
8.125000e+01 2.42699743e+01
8.137450e+01 3.32266636e+01
8.149900e+01 4.91653357e+01
8.156130e+01 6.21740247e+01
8.162350e+01 8.12946849e+01
8.168580e+01 1.10752655e+02
8.174800e+01 1.58680092e+02
8.181030e+01 2.41121921e+02
8.187250e+01 3.86690721e+02
8.193630e+01 6.18496055e+02
8.200000e+01 7.74335841e+02
8.206380e+01 6.21780114e+02
8.212750e+01 3.91001737e+02
8.219910e+01 2.29551378e+02
8.227080e+01 1.45040865e+02
8.234240e+01 9.87441772e+01
8.241400e+01 7.14337675e+01
8.248560e+01 5.41989001e+01
8.255730e+01 4.27057960e+01
8.270050e+01 2.88837215e+01
8.284370e+01 2.12389443e+01
8.298700e+01 1.65831111e+01
8.327350e+01 1.14472137e+01
8.356000e+01 8.82867583e+00
8.384650e+01 7.31942653e+00
8.413300e+01 6.37916570e+00
8.426290e+01 6.10249938e+00
8.437500e+01 5.86375156e+00
8.441950e+01 5.76895680e+00
8.499240e+01 5.15942676e+00
8.527890e+01 5.12833821e+00
8.542220e+01 5.20813042e+00
8.556540e+01 5.38406757e+00
8.563710e+01 5.52229623e+00
8.570870e+01 5.70581255e+00
8.578030e+01 5.94781309e+00
8.581610e+01 6.09622290e+00
8.585190e+01 6.26673568e+00
8.588780e+01 6.46300939e+00
8.592360e+01 6.68931027e+00
8.599520e+01 7.25471433e+00
8.606680e+01 8.02263782e+00
8.613840e+01 9.08683874e+00
8.621010e+01 1.06011738e+01
8.628170e+01 1.28296867e+01
8.635330e+01 1.62565593e+01
8.642490e+01 2.18375657e+01
8.649650e+01 3.16523500e+01
8.653240e+01 3.95093978e+01
8.656820e+01 5.07981756e+01
8.660400e+01 6.76190915e+01
8.663980e+01 9.36941208e+01
8.667560e+01 1.35602541e+02
8.671140e+01 2.03635057e+02
8.675570e+01 3.31613191e+02
8.680000e+01 4.23854775e+02
8.684430e+01 3.48246899e+02
8.688860e+01 2.24452822e+02
8.693980e+01 1.33866562e+02
8.699100e+01 8.64473544e+01
8.704230e+01 6.04276241e+01
8.709350e+01 4.50056550e+01
8.714470e+01 3.52054754e+01
8.719590e+01 2.86157316e+01
8.729830e+01 2.05869033e+01
8.740080e+01 1.60557236e+01
8.750000e+01 1.33252905e+01
8.750320e+01 1.32372112e+01
8.770810e+01 1.00294838e+01
8.791290e+01 8.31650632e+00
8.811780e+01 7.27867421e+00
8.852750e+01 6.11090702e+00
8.893730e+01 5.48310308e+00
8.934700e+01 5.09514971e+00
8.950860e+01 5.00597612e+00
9.016650e+01 4.64295707e+00
9.062500e+01 4.49986075e+00
9.098590e+01 4.38740609e+00
9.180540e+01 4.22261906e+00
9.218750e+01 4.17577279e+00
9.296880e+01 4.08132379e+00
9.344430e+01 4.02388630e+00
9.375000e+01 4.00279647e+00
9.414060e+01 3.97707041e+00
9.433590e+01 3.96421889e+00
9.453130e+01 3.95136950e+00
9.472660e+01 3.93908558e+00
9.475430e+01 3.93734482e+00
9.492190e+01 3.92681513e+00
9.508320e+01 3.91713317e+00
9.511720e+01 3.91610934e+00
9.531250e+01 3.91024146e+00
9.550780e+01 3.90490194e+00
9.570310e+01 3.89999792e+00
9.589840e+01 3.89560253e+00
9.609380e+01 3.89179909e+00
9.628910e+01 3.88871337e+00
9.648440e+01 3.88642961e+00
9.667970e+01 3.88515517e+00
9.672220e+01 3.88512520e+00
9.687500e+01 3.88964543e+00
9.707030e+01 3.89685832e+00
9.726560e+01 3.90571500e+00
9.765630e+01 3.93003979e+00
9.804690e+01 3.96677309e+00
9.836110e+01 4.01184047e+00
9.843750e+01 4.02576985e+00
9.882810e+01 4.12830122e+00
9.918050e+01 4.26918355e+00
9.921880e+01 4.28659591e+00
9.960940e+01 4.56293659e+00
9.980470e+01 4.76581866e+00
1.000000e+02 5.03922154e+00
1.002110e+02 5.47677672e+00
1.004220e+02 6.12829923e+00
1.004830e+02 6.42858812e+00
1.005120e+02 6.57472056e+00
1.006330e+02 7.18557837e+00
1.008440e+02 9.02150200e+00
1.009490e+02 1.04907832e+01
1.009660e+02 1.08357213e+01
1.010250e+02 1.20456817e+01
1.010540e+02 1.26409175e+01
1.011600e+02 1.59229976e+01
1.012650e+02 2.12535679e+01
1.013710e+02 3.07304916e+01
1.014240e+02 3.84362922e+01
1.014490e+02 4.38596006e+01
1.014760e+02 4.97290135e+01
1.015290e+02 6.70212179e+01
1.015370e+02 7.12225324e+01
1.015820e+02 9.48565496e+01
1.016340e+02 1.41979036e+02
1.016870e+02 2.23470606e+02
1.017440e+02 3.58652238e+02
1.018000e+02 4.52306115e+02
1.018570e+02 3.67018433e+02
1.019140e+02 2.33729614e+02
1.019320e+02 2.05390039e+02
1.019620e+02 1.58177657e+02
1.020100e+02 1.11520511e+02
1.020490e+02 8.78625749e+01
1.020580e+02 8.24035301e+01
1.021060e+02 6.35229277e+01
1.021740e+02 4.79750218e+01
1.022010e+02 4.18250173e+01
1.022970e+02 3.05714505e+01
1.023050e+02 3.00307341e+01
1.023930e+02 2.40886713e+01
1.024150e+02 2.31676419e+01
1.024890e+02 2.01825303e+01
1.025610e+02 1.86322075e+01
1.026570e+02 1.65762494e+01
1.026800e+02 1.61539680e+01
1.028170e+02 1.52946221e+01
1.028720e+02 1.49617148e+01
1.028980e+02 1.49472111e+01
1.030190e+02 1.53939468e+01
1.030640e+02 1.57889471e+01
1.030740e+02 1.59052214e+01
1.031400e+02 1.67042890e+01
1.032550e+02 1.91071035e+01
1.032600e+02 1.92199956e+01
1.033300e+02 2.18661681e+01
1.033810e+02 2.38316428e+01
1.034470e+02 2.84048991e+01
1.034580e+02 2.91819208e+01
1.035020e+02 3.23321267e+01
1.035620e+02 3.92949798e+01
1.035860e+02 4.32544610e+01
1.036230e+02 4.94238050e+01
1.036830e+02 6.47478538e+01
1.037140e+02 7.72502907e+01
1.037430e+02 8.90477048e+01
1.038040e+02 1.29293369e+02
1.038300e+02 1.58547890e+02
1.038420e+02 1.72061373e+02
1.038640e+02 1.97004973e+02
1.039320e+02 3.14127933e+02
1.039700e+02 3.59647622e+02
1.040000e+02 3.95919424e+02
1.040340e+02 3.60381953e+02
1.040680e+02 3.25256416e+02
1.040980e+02 2.76798180e+02
1.041360e+02 2.16062835e+02
1.041860e+02 1.63510058e+02
1.041990e+02 1.55327169e+02
1.042130e+02 1.46279017e+02
1.042350e+02 1.32071071e+02
1.042850e+02 1.18492766e+02
1.043000e+02 1.20857388e+02
1.043340e+02 1.23708915e+02
