Ti-47(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 85.0132
1.25000E-05 76.3792
1.50000E-05 70.0058
2.00000E-05 61.0595
2.75000E-05 52.5472
3.50000E-05 46.9450
4.25000E-05 42.9008
5.00000E-05 39.8046
6.25000E-05 35.9434
7.50000E-05 33.0931
0.000100000 29.0922
0.000125000 26.3619
0.000150000 24.3464
0.000200000 21.5174
0.000275000 18.8256
0.000350000 17.0540
0.000425000 15.7751
0.000500000 14.7960
0.000625000 13.5750
0.000750000 12.6736
0.00100000 11.4084
0.00125000 10.5450
0.00150000 9.90769
0.00200000 9.01307
0.00275000 8.16183
0.00350000 7.60162
0.00425000 7.19719
0.00500000 6.88758
0.00625000 6.50145
0.00750000 6.21642
0.0100000 5.81633
0.0125000 5.54330
0.0150000 5.34175
0.0200000 5.05884
0.0253000 4.85605
0.0314750 4.68785
0.0376500 4.56296
0.0500000 4.38669
0.0625000 4.26457
0.0750000 4.17443
0.100000 4.04790
0.125000 3.96154
0.150000 3.89779
0.200000 3.80829
0.275000 3.72311
0.350000 3.66703
0.500000 3.59552
0.750000 3.52822
1.00000 3.48803
1.50000 3.44020
2.00000 3.41154
2.75000 3.38406
3.50000 3.36578
5.00000 3.34208
7.50000 3.31898
10.0000 3.30445
15.0000 3.28569
20.0000 3.27299
27.5000 3.25887
35.0000 3.24767
50.0000 3.22938
75.0000 3.20424
100.000 3.18199
150.000 3.14134
200.000 3.10337
275.000 3.04939
350.000 2.99805
500.000 2.90182
750.000 2.75909
1000.00 2.64039
1500.00 2.51466
1750.00 2.56304
2000.00 2.79217
2254.35 3.49021
2381.53 4.26969
2508.70 5.73743
2635.88 8.81897
2699.46 11.7253
2763.05 16.6109
2826.64 25.6123
2858.43 33.1674
2890.23 44.5322
2922.02 62.5323
2953.81 92.8421
2985.61 147.330
3017.40 248.827
3047.70 403.728
3078.00 509.615
3108.30 412.491
3138.60 262.735
3171.49 159.344
3204.38 103.363
3237.27 71.8435
3270.16 52.8375
3303.05 40.6277
3335.94 32.3585
3401.72 22.2228
3467.50 16.4809
3533.28 12.9059
3664.84 8.84171
3796.40 6.67671
3927.96 5.36719
4059.53 4.50807
4092.42 4.34502
4125.31 4.21327
4141.75 4.17620
4149.97 4.17749
4158.20 4.21030
4166.42 4.32023
4170.53 4.44532
4174.64 4.68320
4176.70 4.88563
4178.75 5.19328
4180.81 5.68948
4182.86 6.55895
4184.92 8.28471
4185.95 9.86110
4186.97 12.4596
4188.00 17.1847
4188.52 21.1273
4189.03 27.0533
4189.54 36.4693
4190.06 52.4741
4190.57 81.7893
4191.09 137.863
4191.54 218.652
4192.00 272.459
4192.46 218.471
4192.92 137.907
4193.31 91.7235
4193.70 63.8200
4194.10 46.6738
4194.49 35.6888
4195.28 23.2078
4196.07 16.7663
4196.86 13.0460
4197.65 10.7203
4199.22 8.08972
4200.80 6.71646
4202.37 5.91129
4203.95 5.39819
4205.53 5.05055
4208.68 4.62114
4211.83 4.37371
4214.99 4.21608
4218.14 4.10785
4224.44 3.96871
4230.75 3.88143
4243.36 3.77101
4255.97 3.69605
4268.58 3.63598
4293.80 3.53575
4344.24 3.36857
4394.69 3.22310
4596.46 2.75876
5000.00 2.13429
5387.20 1.71602
5774.40 1.37667
6161.60 1.07188
6548.80 0.778011
6936.00 0.490096
7129.60 0.361618
7323.20 0.277840
7420.00 0.277928
7516.80 0.338464
7565.20 0.407032
7613.60 0.515566
7662.00 0.681967
7710.40 0.934382
7758.80 1.31896
7807.20 1.91544
7855.60 2.87136
7904.00 4.48585
7952.40 7.44850
7976.60 9.93020
8000.80 13.6835
8025.00 19.7445
8049.20 30.4493
8061.30 39.1247
8073.40 51.7204
8085.50 70.4912
8097.60 98.2823
8112.80 143.917
8120.40 160.741
8128.00 161.256
8143.20 113.205
8158.40 60.9973
8166.14 43.7957
8173.89 31.8669
8181.63 23.7672
8189.38 18.3771
8204.86 12.9057
8220.35 12.0286
8235.84 14.5296
8251.33 20.3492
8266.81 30.2028
8282.30 45.3969
8312.65 94.7361
8343.00 146.269
8358.18 150.563
8373.35 138.868
8403.70 100.308
8428.64 74.4259
8453.59 56.5658
8478.53 44.4137
8503.47 35.9452
8553.35 25.3291
8603.24 19.1786
8653.12 15.2720
8703.01 12.6139
8802.78 9.28508
8902.54 7.31695
9002.31 6.03063
9201.85 4.46253
9401.39 3.54632
9600.93 2.95232
9800.46 2.56144
10000.0 2.37366
10127.6 2.45663
10191.4 2.64042
10255.2 3.03911
10318.9 3.92666
10350.8 4.77684
10382.7 6.20866
10414.6 8.84208
10430.6 11.0463
10446.5 14.3526
10462.5 19.5830
10478.4 28.3784
10494.4 44.2214
10510.3 73.8278
10525.2 117.869
10540.0 147.607
10554.9 118.811
10569.8 75.0504
10581.6 51.4501
10593.5 36.5092
10605.3 26.9842
10617.1 20.7032
10640.8 13.3464
10664.4 9.42559
10688.1 7.10685
10711.8 5.62371
10759.1 3.89757
10806.4 2.95762
10853.7 2.37872
10948.4 1.70719
11043.0 1.32215
11137.6 1.06357
11326.9 0.731775
11516.2 0.597675
11610.8 0.662082
11705.5 0.932783
11752.8 1.21988
11800.1 1.69428
11847.4 2.49154
11894.7 3.88562
11942.1 6.48800
11965.7 8.65375
11989.4 11.8499
12013.0 16.7459
12036.7 24.5674
12060.4 37.5765
12084.0 59.5499
12112.0 101.084
12140.0 142.523
12146.4 151.849
12152.8 167.557
12164.0 204.055
12175.2 145.306
12180.4 121.195
12185.6 104.157
12196.0 81.4272
12213.4 58.3404
12230.7 43.8357
12248.0 34.0231
12265.4 27.1229
12300.1 18.3719
12334.8 13.2929
12369.4 10.1134
12404.1 8.02292
12473.5 5.70468
12542.9 5.05328
12577.6 5.38293
12612.3 6.36500
12646.9 8.40088
12681.6 12.3077
12716.3 19.7534
12751.0 33.9019
12790.5 62.4942
12830.0 90.1995
12869.5 83.0120
12909.0 59.4159
12934.9 46.8542
12960.8 37.5850
13012.5 25.8942
13064.3 19.3196
13116.0 15.2872
13167.8 12.6211
13219.5 10.7501
13323.0 8.32276
13426.5 6.82786
13530.0 5.81674
13737.0 4.53207
13944.0 3.74287
14151.0 3.20421
14565.0 2.52439
14979.0 2.20109
15186.0 2.20633
15393.0 2.43131
15600.0 3.13993
15703.5 3.88442
15807.0 5.16127
15910.5 7.45569
16014.0 11.8797
16065.8 15.6404
16117.5 21.2305
16169.3 29.7020
16221.0 42.5312
16300.5 72.4497
16380.0 96.5865
16459.5 82.6425
16539.0 55.4529
16592.5 41.7737
16646.0 32.1357
16753.0 20.5764
16860.0 14.3928
16967.1 10.7000
17074.1 8.25263
17127.6 7.29935
17181.1 6.47107
17234.6 5.77036
17261.3 5.50084
17288.1 5.35378
17314.9 5.49801
17328.2 5.81424
17341.6 6.46675
17355.0 7.75811
17368.4 10.3429
17381.7 15.7462
17388.4 20.4731
17395.1 27.3898
17407.6 47.7652
17420.0 67.5471
17432.5 62.4880
17444.9 45.6803
17457.7 32.7345
17470.5 24.8108
17483.2 19.8969
17496.0 16.6849
17508.8 14.4680
17521.5 12.8672
17547.1 10.7295
17572.6 9.37382
17598.2 8.43603
17649.3 7.20807
17700.3 6.42024
17751.4 5.85628
17853.6 5.07244
17955.8 4.52767
18058.0 4.11042
18262.3 3.48123
18466.7 2.99023
18671.0 2.53548
18773.2 2.28151
18824.3 2.13365
18875.4 1.96093
18926.4 1.75126
18952.0 1.63083
18977.5 1.50858
19003.1 1.42609
19015.9 1.44723
19028.6 1.59311
19041.4 2.06250
19047.8 2.57932
19054.2 3.49523
19060.6 5.19601
19066.9 8.55480
19070.1 11.4581
19073.3 15.7888
19076.5 22.3767
19079.7 32.3941
19084.9 57.8008
19090.0 80.9380
19095.2 72.7707
19100.3 51.1324
19103.8 39.5226
19107.3 31.2217
19110.9 25.3277
19114.4 21.1024
19121.4 15.6356
19128.4 12.3878
19135.5 10.2974
19142.5 8.86471
19156.5 7.06102
19170.6 5.99101
19184.7 5.29071
19212.8 4.43631
19240.9 3.93497
19269.0 3.60366
19325.2 3.18551
19381.5 2.92402
19437.7 2.73801
19550.2 2.47616
19775.1 2.13205
20000.0 1.87423
20309.5 1.55583
20464.3 1.39049
20619.1 1.20665
20773.8 0.987846
20851.2 0.858963
20928.6 0.716624
21006.0 0.577853
21044.7 0.534349
21083.3 0.555503
21102.7 0.621366
21122.0 0.760669
21141.4 1.03118
21160.7 1.54655
21180.1 2.54966
21189.7 3.38594
21199.4 4.59951
21209.1 6.39716
21218.8 9.10727
21228.4 13.2591
21238.1 19.6124
21254.1 36.4069
21270.0 52.5343
21286.0 48.2556
21302.0 34.4197
21311.8 27.4975
21321.6 22.2974
21341.2 15.6007
21360.8 11.7629
21380.5 9.39055
21400.1 7.82024
21419.7 6.72141
21458.9 5.30765
21498.1 4.44984
21537.3 3.87925
21615.8 3.17033
21694.2 2.74603
21772.7 2.46087
21851.1 2.25349
21890.3 2.16939
21909.9 2.13303
21919.8 2.12353
21924.7 2.14736
21927.1 2.24998
21928.3 2.53643
21928.9 3.09450
21929.3 3.83690
21929.6 5.48782
21929.8 7.53021
21930.0 8.88600
21930.2 7.53916
21930.4 5.49075
21930.8 3.81065
21931.1 3.08333
21931.7 2.52178
21933.0 2.23694
21935.5 2.12759
21940.5 2.08632
21950.6 2.05977
21970.7 2.02369
22011.0 1.96062
22091.6 1.85148
22252.7 1.67774
22575.0 1.42872
22897.3 1.24650
23058.5 1.17028
23139.1 1.13519
23179.4 1.11871
23199.5 1.11226
23209.6 1.11547
23214.6 1.14087
23217.1 1.23362
23218.4 1.50510
23219.0 2.10339
23219.3 2.97693
23219.6 5.30071
23219.8 7.86381
23220.0 9.51673
23220.2 7.87721
23220.4 5.31750
23220.6 3.22350
23220.9 2.31878
23221.4 1.62665
23222.5 1.28288
23224.6 1.15419
23228.8 1.11323
23237.2 1.09881
23254.1 1.08914
23287.8 1.07520
23355.2 1.04966
23490.1 1.00295
23625.0 0.962720
23692.4 0.946120
23726.2 0.939344
23743.0 0.937033
23751.5 0.937639
23755.7 0.942343
23757.8 0.957279
23758.8 1.00163
23759.4 1.12748
23759.6 1.41447
23759.8 1.89109
23759.9 3.48213
23760.0 5.82422
23760.1 3.27454
23760.3 1.50796
23760.5 1.15897
23760.8 0.997064
23761.6 0.944094
23763.0 0.931305
23765.9 0.929339
23771.7 0.929075
23783.3 0.928145
23806.5 0.926023
23852.9 0.924614
23899.2 0.930497
23945.6 0.951125
23992.0 1.00696
24015.2 1.06609
24038.4 1.17396
24061.6 1.39513
24073.1 1.60163
24084.7 1.94887
24096.3 2.59656
24102.1 3.15059
24107.9 4.00204
24113.7 5.40257
24119.5 7.89361
24125.3 12.7964
24128.2 17.0187
24131.1 23.1432
24135.6 36.5583
24140.0 45.5103
24144.5 36.5954
24148.9 23.2022
24154.0 13.7590
24159.0 8.87247
24164.1 6.21369
24169.2 4.65250
24174.2 3.67086
24179.3 3.01793
24189.4 2.23493
24199.5 1.80276
24209.6 1.54028
24229.9 1.25076
24250.1 1.10259
24270.4 1.01638
24310.9 0.924252
24351.3 0.877966
24391.8 0.851248
24472.8 0.823833
24634.7 0.812412
24796.7 0.833720
25120.6 0.980319
25444.5 1.35477
25768.3 2.20195
25930.3 2.97012
26092.2 4.15193
26254.2 6.01545
26416.1 9.04147
26578.1 14.0991
26740.0 22.6618
26819.9 28.7813
26899.7 36.5266
26979.6 46.7877
27019.5 54.3163
27059.4 66.7634
27089.7 82.2292
27120.0 96.0937
27145.0 94.8035
27170.0 86.4954
27180.6 82.9972
27206.8 76.0643
27233.0 71.2475
27285.5 64.7462
27390.3 54.7195
27495.2 45.3558
27600.0 37.1667
27762.0 27.5361
27924.1 20.9914
28086.1 16.5299
28248.1 13.4034
28572.2 9.44250
28896.2 7.10010
29220.3 5.56370
29544.3 4.46836
29706.3 4.03403
29787.3 3.84850
29868.4 3.69952
29949.4 3.63175
29989.9 3.66907
30030.4 3.81539
30070.9 4.20130
30091.1 4.58031
30111.4 5.20082
30131.7 6.25759
30151.9 8.15524
30172.2 11.7882
30192.4 19.0310
30211.2 30.6351
30230.0 40.1454
30248.8 34.8616
30267.6 24.2799
30283.6 17.8173
30299.5 13.6769
30315.5 11.0105
30331.4 9.22936
30363.3 7.08822
30395.3 5.89431
30427.2 5.14965
30459.1 4.64489
30522.9 4.00225
30586.7 3.60248
30650.6 3.32150
30778.2 2.93411
31033.5 2.46190
31288.8 2.20333
31544.1 2.19021
31799.4 2.71844
31927.1 3.45540
32054.7 4.87737
32182.4 7.62626
32310.0 12.9315
32460.0 24.3793
32610.0 36.3804
32760.0 34.7918
32910.0 25.9273
33029.7 20.0800
33149.4 15.9710
33269.1 13.1256
33388.8 11.1110
33628.1 8.53440
33867.5 7.00735
34106.9 6.02555
34346.3 5.36317
34825.0 4.61870
35303.8 4.46914
35782.5 5.19006
36021.9 6.28649
36261.3 8.61563
36380.9 10.7255
36500.6 14.0370
36620.3 19.4061
36740.0 28.1885
36890.0 45.0886
37040.0 56.5783
37190.0 44.8551
37340.0 28.1392
37432.1 21.0522
37524.2 16.1315
37708.4 10.3744
37800.4 8.80047
37892.5 8.03212
37938.6 8.16357
37984.6 9.13278
38007.6 10.3113
38030.7 12.4834
38053.7 16.6192
38076.7 24.6397
38098.4 37.0960
38120.0 46.1249
38141.7 38.6510
38163.3 26.3656
38179.4 19.8827
38195.6 15.5738
38211.7 12.6970
38227.8 10.7173
38260.1 8.26124
38292.4 6.84119
38356.9 5.28821
38421.4 4.44058
38550.4 3.48167
38679.5 2.90979
38937.6 2.22889
39195.7 1.91020
39453.7 1.97485
39582.8 2.23845
39711.8 2.77078
39840.9 3.75098
39969.9 5.51675
40099.0 8.70958
40228.0 14.4553
40389.0 26.8558
40550.0 38.8096
40711.5 35.6090
40873.0 25.5739
40952.1 22.3771
40991.6 22.8174
41011.3 25.0251
41031.1 31.1193
41060.0 45.6634
41088.9 31.0905
41104.1 24.7054
41119.2 20.9452
41149.5 17.0183
41210.2 13.5974
41331.4 10.4385
41574.0 7.50691
41695.2 6.97634
41816.5 7.15921
41937.7 8.46544
42059.0 11.7723
42209.5 20.4246
42360.0 30.7906
42510.5 30.8633
42661.0 24.2207
42803.4 18.7133
42945.7 14.9174
43088.0 12.3332
43230.4 10.5112
43515.1 8.14817
43799.8 6.68372
44084.4 5.67504
44369.1 4.92580
44938.5 3.86010
45507.9 3.14039
46077.3 2.78158
46361.9 2.90949
46646.6 3.62525
46789.0 4.48214
46931.3 6.03063
47073.7 8.85856
47216.0 14.0154
47388.0 24.8015
47560.0 34.9538
47732.0 31.6690
47904.0 22.3104
48064.5 15.6321
48224.9 11.2479
48385.4 8.29151
48545.9 6.15578
48706.3 4.51852
48866.8 3.34057
48947.0 3.08657
49027.2 3.41949
49067.4 4.04375
49107.5 5.23882
49147.6 7.37515
49187.7 11.0293
49223.3 16.1314
49258.9 23.2880
49330.0 39.0014
49365.6 42.2648
49401.2 41.1223
49472.4 33.0229
49538.4 25.9090
49604.3 20.8430
49670.3 17.3300
49736.2 14.8250
49868.1 11.5426
50000.0 9.48106
50155.1 7.81685
50310.3 6.57535
50465.4 5.54709
50620.5 4.61055
50775.6 3.68300
50853.2 3.20919
50930.8 2.74186
51008.3 2.34399
51085.9 2.24939
51124.7 2.53675
51163.4 3.36401
51202.2 5.29949
51221.6 7.00835
51241.0 9.48154
51265.8 14.1380
51290.5 20.7532
51340.0 35.7399
51364.8 39.2125
51389.6 38.5981
51439.1 31.6808
51498.8 23.7921
51558.5 18.7431
51618.3 15.5526
51678.0 13.4255
51737.7 11.9249
51797.4 10.8146
51916.8 9.28038
52036.3 8.26242
52155.7 7.52780
52394.6 6.51225
52633.4 5.81383
52872.3 5.27833
53350.0 4.44183
53827.7 3.71284
54066.6 3.33464
54305.5 2.91619
54544.3 2.42843
54663.8 2.15198
54783.2 1.86202
54902.6 1.60268
55022.0 1.55593
55081.8 1.80168
55141.5 2.52743
55171.3 3.23641
55201.2 4.33916
55231.1 6.03582
55260.9 8.60558
55293.2 12.7456
55325.5 18.5127
55390.0 31.1342
55422.3 33.7791
55454.6 32.9214
55519.1 26.5910
55595.5 19.8017
55671.8 15.5082
55748.1 12.8164
55824.5 11.0367
55900.8 9.79301
55977.2 8.88204
56129.8 7.64255
56282.5 6.83807
56435.2 6.27031
56740.6 5.50945
57046.0 5.00738
57351.3 4.63727
57962.1 4.09267
58572.8 3.66340
59183.5 3.25237
59488.9 3.02162
59641.6 2.88969
59794.3 2.73890
59947.0 2.55935
60023.3 2.45509
60099.6 2.34120
60176.0 2.22800
60214.2 2.18543
60252.3 2.17687
60290.5 2.25907
60328.7 2.59805
60347.8 3.00509
60366.8 3.76112
60385.9 5.19740
60405.0 7.94415
60427.5 13.8866
60450.0 20.2044
60472.6 19.5270
60495.1 14.9685
60515.1 11.6561
60535.1 9.41993
60555.0 7.92469
60575.0 6.89269
60614.9 5.60076
60654.9 4.84198
60694.8 4.34581
60734.8 3.99431
60814.7 3.51885
60894.5 3.19649
60974.4 2.94772
61134.2 2.54600
61294.0 2.18864
61373.9 2.01923
61453.8 1.87045
61533.6 1.78897
61613.5 1.92384
61653.5 2.20140
61693.4 2.79130
61733.4 3.98304
61773.3 6.31845
61800.0 8.90254
61826.7 12.4692
61880.0 20.1220
61933.4 20.9523
61986.7 16.8745
62029.4 13.7955
62072.0 11.5107
62114.6 9.86700
62157.3 8.66720
62242.6 7.07167
62327.9 6.07154
62413.1 5.38205
62498.4 4.86832
62669.0 4.11414
62839.6 3.51721
62924.9 3.23252
63010.2 2.94148
63095.4 2.64419
63138.1 2.50525
63180.7 2.40018
63223.4 2.39781
63266.0 2.71080
63287.3 3.17338
63308.7 4.10325
63330.0 5.97235
63351.3 9.72064
63375.7 17.8261
63400.0 26.6826
63424.4 26.0208
63448.7 19.8417
63469.0 15.4793
63489.2 12.4046
63509.5 10.2595
63529.8 8.71469
63570.3 6.63981
63610.8 5.24644
63651.3 4.14054
63671.6 3.63690
63691.9 3.16241
63712.1 2.76064
63732.4 2.61266
63742.5 2.80531
63752.6 3.41770
63762.8 4.87376
63772.9 8.00182
63779.7 11.6627
63786.5 16.9193
63800.0 29.1075
63806.8 32.1124
63813.6 31.8436
63827.1 26.5695
63842.3 20.6984
63857.4 16.7530
63872.6 14.1740
63887.8 12.4179
63903.0 11.1640
63918.1 10.2301
63948.5 8.93725
63978.8 8.08462
64009.1 7.47777
64069.8 6.66396
64130.5 6.13528
64191.2 5.75834
64312.5 5.24571
64433.9 4.90402
64555.3 4.65375
64798.0 4.30026
65040.7 4.05233
65283.4 3.86148
65768.8 3.57170
66739.7 3.15267
67710.6 2.79894
68681.4 2.42517
69166.9 2.20670
69652.3 1.95028
70137.7 1.64190
70623.1 1.29517
70865.9 1.16563
71108.6 1.23658
71229.9 1.49650
71351.3 2.12557
71412.0 2.69208
71472.7 3.53207
71533.3 4.76821
71594.0 6.56394
71665.5 9.64750
71737.0 13.9139
71880.0 23.1100
71951.5 24.9426
72023.0 24.1989
72166.0 19.3955
72265.0 16.1767
72364.0 13.6650
72463.0 11.7713
72561.9 10.3355
72759.9 8.34717
72957.9 7.04156
73155.8 6.09113
73353.8 5.31424
73452.8 4.95451
73551.7 4.62453
73601.2 4.51393
73650.7 4.56049
73675.5 4.74969
73700.2 5.21369
73725.0 6.27947
73749.7 8.67469
73774.9 13.5581
73800.0 19.0415
73825.2 18.8483
73850.4 15.2104
73876.5 12.0852
73902.6 10.0681
73928.6 8.76494
73954.7 7.88110
74006.9 6.77345
74059.0 6.10094
74163.3 5.27643
74267.6 4.71877
74371.9 4.24452
74476.2 3.79634
74528.4 3.61018
74580.5 3.56159
74606.6 3.68879
74632.7 4.06209
74658.7 4.94621
74684.8 6.87783
74717.4 11.9911
74750.0 18.7574
74782.6 19.9979
74815.2 16.8325
74836.4 14.7259
74857.6 13.0258
74900.0 10.6919
74900.0 7.79375
80000.0 7.51684
90000.0 7.04608
100000 6.65042
150000 5.33226
162820 5.13894
162824 5.13888
162825 5.13887
162825 5.13887
200000 4.57829
