Se-77(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 2123.97
1.25000E-05 1900.63
1.50000E-05 1735.76
2.00000E-05 1504.34
2.75000E-05 1284.15
3.50000E-05 1139.23
4.25000E-05 1034.62
5.00000E-05 954.528
6.25000E-05 854.645
7.50000E-05 780.915
0.000100000 677.421
0.000125000 606.793
0.000150000 554.658
0.000200000 481.476
0.000275000 411.844
0.000350000 366.017
0.000425000 332.934
0.000500000 307.606
0.000625000 276.020
0.000750000 252.703
0.00100000 219.974
0.00125000 197.639
0.00150000 181.151
0.00200000 158.007
0.00275000 135.984
0.00350000 121.490
0.00425000 111.026
0.00500000 103.015
0.00625000 93.0234
0.00750000 85.6474
0.0100000 75.2927
0.0125000 68.2253
0.0150000 63.0075
0.0200000 55.6817
0.0253000 50.4288
0.0314750 46.0705
0.0376500 42.8329
0.0500000 38.2610
0.0625000 35.0913
0.0750000 32.7495
0.100000 29.4584
0.125000 27.2085
0.150000 25.5448
0.200000 23.2034
0.275000 20.9657
0.350000 19.4847
0.500000 17.5816
0.750000 15.7659
1.00000 14.6620
1.50000 13.3158
2.00000 12.4821
2.75000 11.6534
3.50000 11.0799
5.00000 10.3007
7.50000 9.49530
10.0000 8.96699
15.0000 8.27801
20.0000 7.82895
27.5000 7.37204
35.0000 7.05434
42.5000 6.81534
50.0000 6.62541
62.5000 6.37601
75.0000 6.17702
87.5000 6.00708
93.7500 5.93002
100.000 5.86231
102.912 5.84202
104.368 5.84089
105.825 5.85521
107.281 5.90871
108.009 5.97144
108.737 6.09134
109.465 6.34452
109.829 6.58320
110.193 6.98349
110.557 7.71819
110.739 8.33214
110.921 9.25215
111.103 10.7022
111.285 13.1287
111.467 17.4574
111.649 25.4564
111.825 37.8277
112.000 46.5196
112.176 38.8804
112.351 26.7688
112.504 19.6690
112.656 15.3370
112.809 12.6604
112.961 10.9370
113.267 8.96079
113.572 7.92785
113.877 7.32326
114.182 6.93917
114.792 6.49471
115.403 6.25446
116.013 6.10783
117.233 5.94087
118.454 5.84842
119.675 5.78841
122.116 5.71078
126.998 5.61525
131.881 5.54443
141.645 5.42566
146.528 5.37958
148.969 5.38663
149.579 5.41170
150.190 5.48516
150.495 5.57790
150.800 5.79222
150.952 6.01890
151.105 6.45032
151.181 6.82261
151.258 7.39142
151.334 8.29069
151.410 9.72018
151.505 12.3560
151.600 14.1115
151.695 12.3584
151.790 9.72180
151.885 8.02243
151.981 7.07139
152.076 6.52342
152.172 6.18846
152.362 5.82425
152.553 5.64332
152.935 5.47733
153.316 5.40508
154.079 5.34241
154.843 5.31401
157.895 5.26604
164.000 5.22471
170.105 5.23290
173.158 5.29432
173.921 5.33991
174.684 5.44416
175.065 5.56520
175.447 5.84312
175.638 6.14589
175.829 6.75520
175.924 7.31561
176.019 8.23259
176.115 9.82475
176.210 12.6677
176.305 17.0872
176.400 20.0333
176.495 17.0981
176.590 12.6848
176.682 9.93036
176.773 8.35582
176.864 7.43232
176.956 6.86241
177.139 6.23822
177.322 5.92878
177.687 5.65184
178.053 5.54078
178.785 5.46643
179.516 5.45653
182.443 5.57390
188.295 6.23321
191.221 6.92005
194.148 8.10595
197.074 10.2812
200.000 14.6653
201.334 18.1930
202.668 23.5822
204.001 32.2915
205.335 47.4744
206.669 76.9566
207.336 103.029
208.003 144.320
208.669 214.505
209.336 345.263
209.670 455.186
210.003 618.544
210.337 867.594
210.670 1247.70
211.135 2025.01
211.600 2569.81
212.070 2089.21
212.540 1327.97
212.844 976.960
213.148 733.493
213.757 446.991
214.365 298.637
214.973 214.050
