Sn-124(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 6.72304
1.25000E-05 6.01327
1.50000E-05 5.48934
2.00000E-05 4.75391
2.75000E-05 4.05415
3.50000E-05 3.59362
4.25000E-05 3.26115
5.00000E-05 3.00664
6.25000E-05 2.68922
7.50000E-05 2.45491
0.000100000 2.12602
0.000125000 1.90157
0.000150000 1.73589
0.000200000 1.50332
0.000275000 1.28204
0.000350000 1.13641
0.000425000 1.03128
0.000500000 0.950790
0.000625000 0.850414
0.000750000 0.776320
0.00100000 0.672316
0.00125000 0.601340
0.00150000 0.548948
0.00200000 0.475408
0.00275000 0.405434
0.00350000 0.359384
0.00425000 0.326140
0.00500000 0.300690
0.00625000 0.268952
0.00750000 0.245524
0.0100000 0.212639
0.0125000 0.190199
0.0150000 0.173635
0.0200000 0.150385
0.0253000 0.133722
0.0314750 0.119902
0.0376500 0.109642
0.0500000 0.0951632
0.0625000 0.0851357
0.0750000 0.0777353
0.100000 0.0673511
0.125000 0.0602678
0.150000 0.0550416
0.200000 0.0477108
0.275000 0.0407437
0.350000 0.0361653
0.500000 0.0303426
0.750000 0.0248923
1.00000 0.0216622
1.50000 0.0178655
2.00000 0.0156351
2.75000 0.0135566
3.50000 0.0122302
5.00000 0.0106328
7.50000 0.00934245
10.0000 0.00881113
15.0000 0.00884568
20.0000 0.00988373
27.5000 0.0135462
31.2500 0.0168499
35.0000 0.0218642
38.7500 0.0297702
42.5000 0.0430206
46.2500 0.0673670
48.1250 0.0878571
50.0000 0.118967
51.4846 0.156572
52.9692 0.214597
54.4538 0.310764
55.9384 0.487075
56.6807 0.636081
57.4230 0.863975
58.1653 1.23768
58.9076 1.91335
59.2788 2.47703
59.6499 3.32874
60.0211 4.70314
60.3922 7.13230
60.5778 9.11401
60.7634 12.0438
60.9489 16.6349
61.1345 24.4141
61.3201 39.1419
61.4129 51.9727
61.5057 72.1298
61.5984 106.225
61.6912 169.790
61.7376 223.526
61.7840 304.061
61.8304 428.417
61.8768 621.274
61.9384 997.429
62.0000 1249.76
62.0616 998.277
62.1232 622.398
62.1602 462.203
62.1972 348.976
62.2712 212.572
62.3451 140.412
62.4191 98.8397
62.4931 73.0478
62.5671 56.0610
62.7150 35.8987
62.8630 24.8968
63.0109 18.2626
63.3069 11.0189
63.6028 7.36480
63.8987 5.26948
64.1946 3.95786
64.4905 3.08276
65.0823 2.02397
65.6742 1.43199
66.2660 1.06764
66.8578 0.827473
68.0415 0.540282
69.2251 0.381449
70.4088 0.284350
71.5924 0.220613
73.9597 0.144652
76.3270 0.102719
78.6943 0.0770778
81.0616 0.0602215
85.7962 0.0400620
90.5308 0.0288614
95.2654 0.0219610
100.000 0.0173878
112.500 0.0106705
125.000 0.00737308
137.500 0.00548198
150.000 0.00428216
175.000 0.00287922
200.000 0.00210494
237.500 0.00144812
275.000 0.00107236
350.000 0.000671947
425.000 0.000471083
500.000 0.000362677
539.487 0.000359482
559.231 0.000503652
569.103 0.00114705
571.571 0.00182034
574.039 0.00374224
575.273 0.00642307
576.507 0.0140282
577.124 0.0245721
577.741 0.0542323
578.049 0.0949248
578.204 0.135127
578.358 0.207564
578.512 0.359013
578.589 0.505743
578.666 0.764769
578.705 0.976239
578.743 1.28794
578.782 1.77750
578.820 2.60470
578.859 4.17514
578.878 5.54484
578.898 7.68552
578.917 11.3262
578.936 18.1287
578.946 23.9274
578.955 32.5467
578.965 45.8550
578.975 66.4823
578.987 106.437
579.000 133.101
579.013 106.439
579.025 66.4851
579.037 42.8916
579.048 28.9785
579.059 20.5416
579.071 15.1897
579.093 9.14961
579.116 6.07887
579.139 4.31126
579.161 3.21504
579.207 1.97856
579.252 1.33757
579.297 0.963733
579.343 0.727055
579.388 0.568172
579.478 0.373980
579.569 0.264666
579.750 0.152549
579.931 0.0991069
580.112 0.0695688
580.475 0.0397260
581.199 0.0180235
581.924 0.0103207
583.373 0.00476733
584.822 0.00280840
590.618 0.000903932
602.210 0.000416487
625.394 0.000280217
671.763 0.000223596
764.500 0.000179351
857.237 0.000168155
903.605 0.000228953
926.789 0.000512605
938.381 0.00166552
941.280 0.00286142
944.178 0.00626982
945.627 0.0110230
947.076 0.0245135
947.800 0.0432345
948.162 0.0619156
948.525 0.0959821
948.887 0.168521
949.068 0.240279
949.249 0.369941
949.340 0.478219
949.430 0.642020
949.521 0.906918
949.611 1.37621
949.657 1.76096
949.702 2.33233
949.747 3.23323
949.792 4.76944
949.838 7.72475
949.860 10.3468
949.883 14.5163
949.906 21.7734
949.928 35.7536
949.940 48.0219
949.951 67.1098
949.962 98.0341
949.974 148.753
949.987 238.370
950.000 297.519
950.013 237.654
950.027 148.756
950.039 94.6360
950.051 63.2489
950.063 44.4859
950.075 32.7094
950.100 19.5953
950.124 12.9549
950.149 9.17028
950.173 6.82118
950.222 4.18756
950.271 2.82655
950.319 2.03436
950.368 1.53350
950.417 1.19700
950.515 0.787178
950.612 0.556690
950.807 0.320394
951.003 0.207925
951.198 0.145761
951.588 0.0829967
951.979 0.0535307
952.369 0.0373892
953.150 0.0212142
954.712 0.00955838
956.273 0.00545027
959.397 0.00250129
962.520 0.00146458
975.013 0.000459214
1000.00 0.000202797
1062.50 0.000126276
1125.00 0.000109819
1250.00 9.67548E-05
1500.00 9.47772E-05
1625.00 0.000104645
1750.00 0.000126648
1875.00 0.000172499
1937.50 0.000213222
2000.00 0.000277011
2047.41 0.000352244
2094.83 0.000469126
2142.24 0.000664193
2189.65 0.00102491
2213.36 0.00133231
2237.06 0.00180630
2260.77 0.00259243
2284.48 0.00403789
2296.33 0.00526470
2308.18 0.00715010
