Bi-209(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
4660.06 0.000174757
4728.05 0.000216348
4796.04 0.000292635
4864.03 0.000442542
4898.02 0.000576845
4932.01 0.000794288
4966.01 0.00118050
4983.00 0.00149734
5000.00 0.00196869
5013.64 0.00253626
5027.29 0.00339877
5040.93 0.00480261
5054.58 0.00731734
5061.40 0.00939834
5068.22 0.0125198
5075.04 0.0175101
5081.86 0.0262184
5088.69 0.0434916
5092.10 0.0593163
5095.51 0.0855587
5098.92 0.133645
5100.62 0.174154
5102.33 0.235591
5104.04 0.334588
5104.89 0.407866
5105.74 0.506064
5106.59 0.640861
5107.45 0.829270
5108.30 1.09690
5109.15 1.47394
5110.58 2.35872
5112.00 2.94807
5113.43 2.35702
5114.85 1.47231
5115.99 0.993198
5117.14 0.692498
5118.28 0.502304
5119.43 0.377845
5121.71 0.233251
5124.00 0.157083
5126.29 0.112557
5128.57 0.0844595
5133.15 0.0524495
5137.72 0.0356553
5142.30 0.0257894
5146.87 0.0195099
5151.45 0.0152720
5160.60 0.0100857
5169.74 0.00715575
5178.89 0.00534126
5188.04 0.00414063
5206.34 0.00270112
5224.64 0.00190422
5242.94 0.00141760
5261.23 0.00109891
5297.83 0.000720852
5334.43 0.000513818
5371.02 0.000388371
5407.62 0.000306713
5480.81 0.000210522
5554.00 0.000158330
5700.39 0.000106980
5846.77 8.43437E-05
5993.15 7.43579E-05
6139.54 7.73953E-05
6212.73 0.000108006
6249.33 0.000229399
6267.62 0.000708220
6276.77 0.00260134
6281.35 0.0100257
6282.49 0.0175742
6283.64 0.0385606
6284.21 0.0669845
6284.78 0.144057
6285.07 0.244924
6285.35 0.504575
6285.49 0.822554
6285.57 1.10894
6285.64 1.56433
6285.71 2.37643
6285.78 3.96070
6285.82 5.40523
6285.85 7.63742
6285.89 11.4711
6285.92 17.8978
6285.96 28.5779
6286.00 35.7962
6286.04 28.5774
6286.08 17.8976
6286.11 12.4900
6286.14 8.88981
6286.16 6.54813
6286.19 4.98144
6286.25 3.12293
6286.31 2.12365
6286.37 1.53194
6286.43 1.15493
6286.54 0.721704
6286.66 0.492578
6286.77 0.357221
6287.01 0.212229
6287.47 0.0996893
6287.93 0.0577343
6288.86 0.0264106
6289.79 0.0151005
6293.50 0.00391006
6300.92 0.00104398
6315.76 0.000320447
6345.44 0.000144281
6404.79 0.000130817
6434.47 0.000171483
6464.15 0.000300531
6478.99 0.000483355
6486.41 0.000666618
6493.83 0.00100167
6501.25 0.00171668
6504.96 0.00242560
6508.67 0.00370927
6510.53 0.00478269
6512.38 0.00640927
6514.24 0.00904578
6516.09 0.0137391
6517.02 0.0175996
6517.95 0.0233456
6518.87 0.0324574
6519.80 0.0481269
6520.73 0.0785799
6521.19 0.105845
6521.66 0.149820
6522.12 0.227532
6522.58 0.381845
6522.81 0.521836
6523.05 0.746873
6523.28 1.12777
6523.51 1.78308
6523.76 2.85494
6524.00 3.56530
6524.25 2.84990
6524.49 1.78282
6524.64 1.31341
6524.80 0.984663
6525.10 0.593430
6525.40 0.389185
6525.71 0.272881
6526.01 0.200899
6526.31 0.153724
6526.92 0.0980727
6527.53 0.0677984
6528.14 0.0496328
6529.35 0.0298451
6530.57 0.0198986
6531.78 0.0142100
6533.00 0.0106568
6534.21 0.00829069
6536.64 0.00543480
6539.07 0.00384285
6543.93 0.00222343
6548.79 0.00145802
6553.65 0.00103673
6563.37 0.000612855
6573.09 0.000414435
6582.81 0.000305828
6602.25 0.000196999
6641.13 0.000118358
6680.01 9.04242E-05
6757.77 7.01406E-05
6835.53 6.29699E-05
7146.57 5.72279E-05
7768.64 6.33123E-05
8390.71 7.89744E-05
8701.75 9.43675E-05
8857.27 0.000116562
8935.03 0.000177288
8973.91 0.000398967
8983.63 0.000624331
8993.35 0.00126061
8998.21 0.00214055
9003.07 0.00461087
9005.50 0.00799350
9006.71 0.0113287
9007.93 0.0173318
9009.14 0.0298399
9009.75 0.0419423
9010.36 0.0632046
9010.96 0.106012
9011.27 0.145812
9011.57 0.212586
9011.87 0.338213
9012.03 0.446677
9012.18 0.614121
9012.33 0.894905
9012.48 1.40756
9012.56 1.83171
9012.63 2.45449
9012.71 3.39115
9012.78 4.79297
9012.89 7.65834
9013.00 9.58486
9013.11 7.65802
9013.22 4.79276
9013.28 3.49849
9013.35 2.59914
9013.49 1.55133
9013.63 1.00833
9013.77 0.703696
9013.90 0.515770
9014.04 0.394083
9014.31 0.250763
9014.59 0.172946
9014.86 0.126336
9015.41 0.0758393
9015.96 0.0504720
9016.51 0.0360146
9017.61 0.0209759
9018.71 0.0137303
9019.81 0.00969524
9022.01 0.00559553
9026.40 0.00259404
9030.80 0.00152404
9039.59 0.000752121
9048.38 0.000481781
9065.96 0.000294643
9083.54 0.000242297
9118.70 0.000325856
9136.28 0.000835200
9145.07 0.00286880
9147.27 0.00494110
9149.46 0.0107154
9150.56 0.0185493
9151.66 0.0398526
9152.21 0.0678736
9152.49 0.0945075
9152.76 0.140278
9153.04 0.229751
9153.17 0.309829
9153.31 0.439662
9153.45 0.671922
9153.52 0.861598
9153.59 1.13576
9153.65 1.56363
9153.72 2.24804
9153.79 3.44076
9153.86 5.54372
9153.93 8.87555
9154.00 11.0885
9154.07 8.87532
9154.14 5.54357
9154.21 3.46351
9154.28 2.27402
9154.34 1.57928
9154.41 1.15568
9154.48 0.874929
9154.55 0.685874
9154.68 0.450905
9154.82 0.317261
9154.95 0.235472
9155.22 0.144170
9155.49 0.0970441
9155.76 0.0698076
9156.30 0.0410375
9157.39 0.0191121
9158.47 0.0110472
9160.63 0.00509154
9162.79 0.00295333
9167.12 0.00140030
9171.45 0.000849546
9188.75 0.000311792
9223.36 0.000174939
9292.58 0.000142817
9431.02 0.000148389
9569.46 0.000187066
9638.68 0.000276561
9673.29 0.000515775
9690.60 0.00127074
9699.25 0.00401521
9703.58 0.0145057
9705.74 0.0542054
9706.82 0.197421
9707.09 0.331360
9707.36 0.664415
9707.50 1.05622
9707.63 1.92002
9707.70 2.80532
9707.77 4.39702
9707.84 7.69987
9707.87 10.6700
9707.90 15.0912
9707.95 24.0897
9708.00 30.1921
9708.05 24.0895
9708.10 15.0911
9708.15 9.02982
9708.20 5.78004
9708.30 2.83984
9708.40 1.64773
9708.50 1.07274
9708.70 0.553830
9708.90 0.336529
9709.30 0.161920
9709.70 0.0949454
9711.31 0.0256273
9714.52 0.00709567
9720.95 0.00245446
9733.81 0.00203451
9740.24 0.00299182
9743.46 0.00403961
9746.67 0.00597986
9749.88 0.0100946
9751.49 0.0141125
9753.10 0.0212463
9754.71 0.0357679
9755.51 0.0494533
9756.31 0.0728087
9757.12 0.117675
9757.52 0.157341
9757.92 0.220441
9758.32 0.329798
9758.72 0.540910
9758.92 0.725938
9759.13 1.01344
9759.33 1.47839
9759.53 2.23442
9759.76 3.57704
9760.00 4.47282
9760.24 3.57673
9760.47 2.23422
9760.71 1.38256
9760.94 0.902454
9761.18 0.624257
9761.41 0.453587
9761.64 0.342910
9761.88 0.267630
9762.35 0.175359
9762.81 0.123432
9763.28 0.0914741
9764.22 0.0559559
9765.15 0.0377108
9766.09 0.0271416
9767.96 0.0160205
9769.83 0.0105935
9771.70 0.00754878
9775.45 0.00443065
9779.19 0.00294639
9782.93 0.00212551
9790.42 0.00129469
9805.39 0.000687500
9820.36 0.000470406
9850.30 0.000313587
9880.24 0.000259626
9940.12 0.000225641
10000.0 0.000219752
10123.0 0.000230715
10246.0 0.000253727
10492.0 0.000324391
10738.0 0.000439236
10984.0 0.000636937
11230.0 0.00101888
11353.0 0.00135940
11476.0 0.00190852
11599.0 0.00287484
11722.0 0.00479558
11783.5 0.00653424
11845.0 0.00932900
11906.5 0.0140617
11937.3 0.0176122
11968.0 0.0222565
12033.0 0.0355436
12098.0 0.0441822
12163.0 0.0350531
12228.0 0.0217880
12278.4 0.0148596
12328.8 0.0104566
12379.2 0.00763879
12429.6 0.00577651
12530.4 0.00359498
12631.1 0.00243712
12731.9 0.00175825
12832.7 0.00132950
13034.3 0.000843239
13235.8 0.000592478
13437.4 0.000450677
13840.5 0.000320677
14243.6 0.000306545
14445.2 0.000344408
14646.8 0.000436477
14848.3 0.000647638
14949.1 0.000854371
15049.9 0.00121324
15150.7 0.00190954
15201.1 0.00252935
15251.4 0.00352389
15301.8 0.00525690
15352.2 0.00863937
15377.4 0.0116386
15402.6 0.0163506
15427.8 0.0240883
15440.4 0.0297345
15453.0 0.0369631
15467.3 0.0472061
15481.5 0.0588569
15510.0 0.0732389
15538.5 0.0585745
15567.0 0.0366884
15596.3 0.0223478
15625.5 0.0144226
15654.8 0.00990044
15684.0 0.00715881
15713.3 0.00539516
15742.5 0.00420354
15801.0 0.00275220
15859.5 0.00194038
15918.1 0.00144278
16035.1 0.000891212
16152.1 0.000608810
16269.1 0.000445190
16503.1 0.000272599
16737.1 0.000188501
16971.2 0.000143432
17205.2 0.000131430
17263.7 0.000144398
17322.2 0.000192234
17351.5 0.000263483
17380.7 0.000469239
17395.3 0.000755582
17410.0 0.00155817
17417.3 0.00265480
17420.9 0.00373257
17424.6 0.00565776
17428.3 0.00964951
17430.1 0.0134785
17431.9 0.0201095
17433.7 0.0332954
17434.7 0.0454364
17435.6 0.0653074
17436.5 0.102023
17436.9 0.132932
17437.4 0.178548
17437.9 0.253104
17438.3 0.378035
17438.8 0.615067
17439.2 1.06704
17439.6 1.72020
17440.0 2.14284
17440.4 1.70262
17440.8 1.06695
17441.2 0.667222
17441.5 0.443544
17441.9 0.310887
17442.3 0.228063
17443.0 0.136262
17443.8 0.0899654
17444.5 0.0636424
17445.2 0.0473283
17446.7 0.0290632
17448.2 0.0196354
17449.7 0.0141519
17452.6 0.00835935
17455.6 0.00552583
17458.6 0.00393269
17464.5 0.00229970
17470.4 0.00152250
17476.3 0.00109285
17488.2 0.000658865
17511.9 0.000342959
17535.5 0.000230612
17582.9 0.000149741
17630.3 0.000123291
17677.6 0.000117579
17725.0 0.000136594
17748.7 0.000172968
17760.5 0.000211449
17772.4 0.000283512
17784.2 0.000440267
17790.1 0.000597848
17796.1 0.000886866
17802.0 0.00150641
17804.9 0.00212370
17807.9 0.00324768
17810.9 0.00563312
17812.3 0.00798561
17813.8 0.0122208
17815.3 0.0210478
17816.0 0.0295825
17816.8 0.0446077
17817.5 0.0748246
17818.3 0.150283
17819.0 0.436035
17819.2 0.643715
17819.4 1.00427
17819.5 1.34025
17819.6 1.79128
17819.7 2.46760
17819.7 3.52404
17819.8 4.55972
17819.9 5.61826
17820.0 7.06111
17820.1 5.61816
17820.3 3.52395
17820.4 2.13234
17820.5 1.38205
17820.7 0.926721
17820.8 0.673534
17820.9 0.499288
17821.1 0.390706
17821.3 0.257022
17821.6 0.179190
17821.9 0.133264
17822.4 0.0811527
17822.9 0.0541449
17823.5 0.0388913
17824.5 0.0228397
17825.6 0.0149616
17826.6 0.0105935
17828.8 0.00610696
17830.9 0.00397975
17833.0 0.00280680
17837.3 0.00162677
17841.5 0.00107214
17845.8 0.000768556
17854.3 0.000464714
17862.8 0.000322721
17871.3 0.000245121
17888.4 0.000167075
17905.4 0.000130263
17922.4 0.000109768
17956.5 8.84233E-05
18024.6 7.10581E-05
18092.7 6.31733E-05
18365.2 4.93146E-05
18910.1 3.69318E-05
19455.1 3.03692E-05
20000.0 2.77585E-05
20214.9 2.86121E-05
20429.8 3.27289E-05
20644.6 5.09108E-05
20752.1 9.72190E-05
20805.8 0.000230693
20832.7 0.000695341
20839.4 0.00115682
20846.1 0.00242880
20849.4 0.00414436
20852.8 0.00875234
20854.5 0.0147573
20855.3 0.0204134
20856.2 0.0300838
20857.0 0.0486550
20857.4 0.0650862
20857.8 0.0913299
20858.3 0.136793
20858.7 0.224768
20858.9 0.302065
20859.1 0.422475
20859.3 0.617838
20859.5 0.936823
20859.8 1.48805
20860.0 1.87393
20860.3 1.48798
20860.5 0.936782
20860.7 0.642057
20860.9 0.460588
20861.0 0.341518
20861.2 0.261211
20861.6 0.163180
20862.0 0.111788
20862.3 0.0804149
20862.7 0.0609454
20863.4 0.0383825
20864.1 0.0262241
20864.9 0.0191224
20866.3 0.0114304
20869.2 0.00543357
20872.1 0.00320260
20877.9 0.00154096
20883.7 0.000946199
20895.3 0.000524888
20906.9 0.000392283
20930.2 0.000350336
20953.4 0.000439055
20965.0 0.000535473
20976.6 0.000689657
20988.2 0.000945111
20999.8 0.00140235
