Cd-113(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 760645
1.25000E-05 680358
1.50000E-05 621094
2.00000E-05 537910
2.75000E-05 458765
3.50000E-05 406682
4.25000E-05 369086
5.00000E-05 340306
6.25000E-05 304417
7.50000E-05 277928
0.000100000 240753
0.000125000 215390
0.000150000 196673
0.000200000 170410
0.000275000 145436
0.000350000 129013
0.000425000 117166
0.000500000 108104
0.000625000 96814.0
0.000750000 88490.9
0.00100000 76830.3
0.00125000 68894.3
0.00150000 63052.1
0.00200000 54884.4
0.00275000 47166.8
0.00350000 42132.8
0.00425000 38532.2
0.00500000 35802.2
0.00625000 32442.0
0.00750000 30005.8
0.0100000 26681.6
0.0125000 24511.6
0.0150000 22989.8
0.0200000 21038.0
0.0253000 19859.9
0.0314750 19131.3
0.0376500 18837.2
0.0500000 19093.8
0.0625000 20197.9
0.0750000 22056.1
0.0875000 24718.9
0.100000 28319.4
0.110815 32324.9
0.121630 37255.5
0.135898 45112.2
0.150165 53636.4
0.164433 60283.9
0.171566 61728.7
0.178700 61415.7
0.189350 57637.4
0.200000 50925.9
0.217885 37768.5
0.226828 31829.2
0.235770 26710.7
0.244027 22728.7
0.252284 19397.3
0.260542 16627.2
0.268799 14327.0
0.277056 12414.1
0.285313 10817.6
0.293570 9479.24
0.301828 8351.41
0.318342 6581.61
0.334856 5283.45
0.351371 4311.09
0.367885 3568.58
0.384399 2991.59
0.400914 2536.13
0.417428 2171.49
0.433943 1875.84
0.500000 1122.66
0.562500 748.698
0.625000 528.284
0.687500 389.022
0.750000 296.205
0.875000 185.234
1.00000 124.795
1.12500 88.7484
1.25000 65.7582
1.50000 39.5187
1.75000 25.8998
2.00000 18.0506
2.37500 11.4079
2.75000 7.74738
3.12500 5.54546
3.50000 4.13197
4.25000 2.50773
5.00000 1.65893
5.96000 1.06862
6.44000 0.886869
6.68000 0.824851
6.80000 0.819148
6.92000 0.919259
7.00000 1.08323
7.08000 0.881188
7.17125 0.741752
7.26250 0.686463
7.44500 0.628148
7.81000 0.552587
8.54000 0.444317
10.0000 0.307892
12.0794 0.207046
14.1587 0.165675
15.1984 0.168566
15.7182 0.182296
16.2381 0.214354
16.7579 0.290352
17.0178 0.368108
17.2777 0.509867
17.5377 0.806832
17.6676 1.09397
17.7976 1.59853
17.9275 2.60940
17.9925 3.54545
18.0575 5.11604
18.1225 8.04655
18.1550 10.5620
18.1875 14.4548
18.2199 20.9000
18.2524 32.5372
18.2687 42.0632
18.2849 55.8974
18.3012 76.4382
18.3174 106.890
18.3412 170.878
18.3650 213.449
18.3888 170.656
18.4126 106.612
18.4374 64.3234
18.4622 41.2270
18.4870 28.1610
18.5118 20.2875
18.5366 15.2440
18.5614 11.8472
18.6110 7.72366
18.6606 5.42491
18.7102 4.01985
18.8095 2.46696
18.9087 1.67533
19.0079 1.21872
19.1071 0.931858
19.2063 0.740028
19.4047 0.507515
19.6032 0.377411
20.0000 0.244993
20.4475 0.178735
20.8950 0.152306
21.1188 0.154282
21.3425 0.182895
21.4544 0.228001
21.5103 0.271802
21.5663 0.346807
21.6222 0.488677
21.6502 0.611242
21.6781 0.801549
21.7061 1.11741
21.7341 1.68878
21.7620 2.83724
21.7760 3.84771
21.7900 5.34636
21.8105 8.50009
21.8310 10.6056
21.8515 8.50689
21.8720 5.35406
21.8930 3.29914
21.9139 2.16243
21.9348 1.51304
21.9558 1.11855
21.9977 0.692330
22.0395 0.482252
22.0814 0.364217
22.1233 0.291499
22.2071 0.210115
22.2908 0.167704
22.3746 0.142558
22.5421 0.114857
22.8772 0.0909734
23.2123 0.0798470
24.5525 0.0612860
27.2330 0.0475156
32.5940 0.0375738
37.9550 0.0354492
40.6355 0.0369561
41.9758 0.0411358
42.3108 0.0447266
42.6459 0.0538758
42.8134 0.0653277
42.9809 0.0934055
43.0647 0.125950
43.1485 0.196406
43.1904 0.266512
43.2322 0.391467
43.2741 0.637333
43.2951 0.849380
43.3160 1.15867
43.3480 1.83190
43.3800 2.28127
43.4120 1.83329
43.4440 1.16047
43.4684 0.810239
43.4928 0.584999
43.5172 0.439543
43.5416 0.342744
43.5904 0.228518
43.6392 0.167421
43.6880 0.131359
43.7368 0.108446
43.8344 0.0822112
44.0296 0.0603171
44.2248 0.0517764
45.0055 0.0436058
46.5670 0.0448654
48.1285 0.0559610
48.5189 0.0652448
48.9093 0.0884935
49.1044 0.117237
49.2020 0.143440
49.2996 0.186828
49.3972 0.266395
49.4460 0.333535
49.4948 0.435657
49.5436 0.600780
49.5924 0.888570
49.6412 1.43604
49.6656 1.89299
49.6900 2.54163
49.7300 4.03860
49.7700 5.03764
49.8100 4.04205
49.8500 2.54613
49.8875 1.63168
49.9250 1.10066
49.9625 0.785740
50.0000 0.589280
50.0480 0.432235
50.0960 0.334032
50.1921 0.223813
50.2881 0.167144
50.3841 0.134448
50.5762 0.100433
50.7682 0.0843063
51.1523 0.0707004
51.5364 0.0660974
53.0728 0.0699217
53.8409 0.0793573
54.6091 0.100628
54.9932 0.125335
55.1853 0.147765
55.3773 0.185696
55.5694 0.259036
55.6654 0.325199
55.7614 0.433772
55.8574 0.630444
55.9055 0.794398
55.9535 1.04092
56.0015 1.43312
56.0495 2.10138
56.0975 3.33025
56.1455 5.70005
56.1878 9.07097
56.2300 11.3206
56.2723 9.07885
56.3145 5.71075
56.3432 4.11510
56.3718 3.03646
56.4292 1.80722
56.4865 1.19343
56.5438 0.853337
56.6012 0.648012
56.6585 0.515595
56.7732 0.362015
56.8879 0.280606
57.0025 0.232950
57.2319 0.183650
57.6905 0.151790
58.1492 0.148656
59.0666 0.173744
59.9839 0.235498
60.9013 0.372056
61.3599 0.507796
61.8186 0.753670
62.0479 0.959534
62.2773 1.27213
62.5066 1.78068
62.7360 2.69155
62.8506 3.44546
62.9653 4.57674
63.0800 6.38649
63.1946 9.54805
63.3093 15.8308
63.3666 21.5995
63.4240 31.1866
63.4813 48.8206
63.5100 63.7274
63.5386 86.4271
63.5673 123.190
63.5816 150.528
63.5960 187.375
63.6103 238.222
63.6246 309.824
63.6390 412.241
63.6533 557.957
63.6650 714.033
63.6767 892.146
63.7000 1114.63
63.7117 1049.00
63.7234 891.800
63.7467 557.533
63.7640 387.399
63.7813 276.647
63.7986 204.323
63.8159 155.768
63.8505 97.9414
63.8851 66.7418
63.9197 48.2152
63.9543 36.3939
64.0235 22.7860
64.0927 15.5770
64.1619 11.3149
64.2312 8.59063
64.3004 6.74613
64.4388 4.48174
64.5772 3.19876
64.7156 2.40277
64.8540 1.87549
65.1308 1.24289
65.4077 0.892871
65.6845 0.679560
65.9613 0.540378
66.5150 0.376695
67.0686 0.288893
68.1759 0.205941
69.2832 0.173939
70.3905 0.163874
72.6051 0.178334
74.8197 0.232064
77.0343 0.351334
78.1416 0.462029
79.2489 0.644940
80.3562 0.978891
80.9099 1.26591
81.1867 1.48328
81.3251 1.67050
81.3943 1.87120
81.4635 2.45052
81.5200 3.28250
81.5765 2.56366
81.6275 2.17771
81.6785 2.07379
81.7805 2.09133
81.9845 2.32963
82.3924 3.10569
82.8004 4.39524
83.2083 6.72022
83.4123 8.65342
83.6163 11.5663
83.8202 16.2528
83.9222 19.7478
84.0242 24.5065
84.1262 31.2202
84.2282 41.1224
84.3302 56.5930
84.3812 67.8110
84.4322 82.7055
84.4832 103.066
84.5341 131.882
84.5851 174.504
84.6361 241.104
84.6871 352.939
84.7381 559.076
84.7636 731.367
84.7891 986.670
84.8146 1375.43
84.8401 1967.87
84.8751 3146.98
84.9100 3931.89
84.9450 3145.24
84.9799 1965.91
85.0061 1359.88
85.0324 967.374
85.0586 712.354
85.0848 541.883
85.1373 339.668
85.1897 230.955
85.2422 166.574
85.2946 125.563
85.3995 78.4364
85.5044 53.5125
85.6093 38.7923
85.7142 29.3911
85.8191 23.0284
86.0289 15.2217
86.2387 10.8002
86.4486 8.05728
86.6584 6.24027
87.0780 4.05929
87.4976 2.85091
87.9172 2.11276
88.3368 1.62939
89.1760 1.05637
90.0153 0.743267
90.8545 0.554334
91.6937 0.432225
93.3722 0.291298
95.0506 0.220690
96.7291 0.196117
97.1487 0.203837
97.5683 0.234565
97.7781 0.276202
97.9879 0.376402
98.0928 0.486375
98.1977 0.705280
98.2502 0.903037
98.3026 1.21974
98.3551 1.75288
98.4075 2.66896
98.4638 4.17508
98.5200 5.17993
98.5763 4.17700
98.6325 2.67106
98.6752 1.88932
98.7180 1.38581
98.7607 1.06007
98.8034 0.843083
98.8889 0.586646
98.9744 0.449278
99.1453 0.316622
99.3163 0.257737
99.6581 0.209508
100.000 0.192574
101.121 0.200350
101.401 0.218315
101.681 0.261340
101.821 0.312310
101.961 0.432197
102.031 0.567242
102.101 0.850870
102.136 1.12492
102.171 1.59855
102.206 2.48919
102.241 4.26401
102.271 6.73421
102.300 8.39587
102.330 6.73814
102.359 4.27046
102.391 2.59506
102.424 1.71303
102.456 1.22511
102.488 0.937180
102.553 0.633753
102.617 0.489011
102.746 0.363445
102.875 0.315097
103.133 0.285850
103.390 0.286464
104.422 0.382085
104.937 0.482938
105.453 0.651637
105.968 0.980749
106.226 1.36024
106.355 1.85301
106.420 2.45307
106.452 3.00708
106.484 3.88995
106.560 6.49763
106.636 4.14973
106.687 3.08363
106.739 2.66148
106.841 2.50899
107.047 3.02442
107.252 4.15348
107.458 6.24593
107.560 7.98235
107.663 10.5797
107.766 14.7088
107.868 21.8489
107.920 27.5548
107.971 35.8002
108.022 48.3886
108.048 57.3071
108.074 68.8546
108.099 84.2879
108.125 105.436
108.151 135.414
108.176 179.474
108.202 248.026
108.228 360.103
108.241 444.387
108.253 556.270
108.266 706.794
108.279 907.635
108.305 1457.51
108.330 1826.24
108.356 1457.11
108.381 907.159
108.398 651.969
108.415 479.625
108.449 281.464
108.483 181.547
108.516 125.770
108.550 91.8233
108.584 69.8853
108.652 44.2341
108.719 30.4261
108.787 22.1956
108.855 16.8915
108.922 13.2870
109.058 8.83502
109.193 6.29838
109.328 4.71810
109.463 3.66778
109.734 2.40257
110.005 1.69868
110.275 1.26721
110.546 0.983847
111.087 0.646237
111.628 0.460399
112.169 0.347209
112.710 0.273131
113.793 0.185070
114.875 0.136565
117.040 0.0874433
119.205 0.0641929
121.369 0.0514431
125.699 0.0393984
130.028 0.0363046
134.357 0.0418809
136.522 0.0526095
137.604 0.0636386
138.687 0.0838261
139.769 0.126761
140.310 0.169248
140.851 0.246190
141.122 0.310654
141.393 0.408597
141.663 0.568049
141.934 0.853803
142.069 1.09057
142.204 1.44612
142.340 2.01547
142.475 3.01146
142.610 4.99479
142.678 6.82128
142.746 9.85984
142.813 15.4764
142.847 20.2352
142.881 27.5099
142.915 39.3461
142.948 60.1729
142.982 100.355
142.999 134.371
143.016 183.272
143.043 294.238
143.070 368.629
143.097 294.174
143.124 183.197
143.155 105.980
143.185 66.0422
143.215 44.2219
143.246 31.4476
143.276 23.3880
143.307 18.0465
143.368 11.6339
143.429 8.10428
143.489 5.96391
143.611 3.61722
143.733 2.42764
143.855 1.74428
143.977 1.31622
144.098 1.03081
144.342 0.685455
144.585 0.492846
144.829 0.374635
145.072 0.297073
145.560 0.205057
146.047 0.154999
147.021 0.106280
147.995 0.0857793
148.969 0.0773043
150.917 0.0791155
152.866 0.104568
153.840 0.133860
154.814 0.189026
155.301 0.236046
155.788 0.308220
156.275 0.426996
156.762 0.642827
157.006 0.824022
157.250 1.09945
157.493 1.54832
157.737 2.35302
157.858 3.01984
157.980 4.02115
158.102 5.62419
158.224 8.42412
158.346 13.9976
158.406 19.1196
158.467 27.6238
158.528 43.3019
158.559 56.5975
158.589 76.8093
158.604 91.1926
158.620 109.699
158.635 134.129
158.650 167.089
158.665 212.591
158.680 276.800
158.696 368.807
158.711 499.976
158.735 800.398
158.760 999.482
158.772 940.004
158.785 798.959
158.809 499.807
158.824 369.370
158.840 277.661
158.870 168.240
158.900 110.719
158.930 77.7292
158.960 57.2737
158.990 43.8876
159.050 28.0362
159.111 19.3984
159.171 14.2100
159.291 8.55315
159.412 5.70753
159.532 4.07946
159.653 3.06239
159.773 2.38553
160.014 1.56788
160.255 1.11243
160.496 0.832932
160.737 0.649378
161.219 0.430900
161.701 0.311044
162.183 0.238447
162.665 0.191343
163.629 0.136580
164.592 0.108734
165.556 0.100003
165.797 0.104828
166.038 0.122019
166.159 0.144486
166.279 0.196395
166.339 0.250716
166.400 0.352224
166.460 0.566754
166.490 0.765146
166.520 1.07202
166.560 1.66821
166.600 2.06568
166.640 1.66794
166.680 1.07120
166.706 0.802729
166.731 0.617299
166.782 0.399011
166.833 0.286065
166.883 0.222094
166.985 0.156868
167.087 0.126238
167.290 0.0990618
167.493 0.0874036
168.307 0.0726254
169.933 0.0666377
173.186 0.0704301
176.439 0.0868637
179.692 0.121792
181.318 0.152233
182.944 0.199160
184.571 0.276458
186.197 0.416856
187.011 0.534630
187.824 0.713696
188.637 1.00552
189.450 1.52961
189.857 1.96455
190.263 2.61897
190.670 3.66986
191.077 5.51611
191.280 7.01417
191.483 9.21847
191.687 12.6514
191.890 18.4205
192.093 29.2098
192.195 38.4979
192.296 52.8918
192.398 76.8250
192.500 120.204
192.551 155.948
192.601 208.037
192.652 285.823
192.703 401.920
192.777 643.955
192.850 805.510
192.924 643.465
192.997 401.424
193.045 290.487
193.093 214.655
193.189 126.736
193.285 82.0117
193.381 56.9528
193.477 41.6733
193.573 31.7536
193.765 20.1312
193.957 13.8685
194.149 10.1279
194.534 6.08179
194.918 4.06895
195.302 2.95275
195.686 2.40235
195.878 2.56906
195.974 3.22921
196.022 4.10185
196.070 5.89943
196.110 8.38756
196.150 10.0335
196.190 8.31264
196.230 5.74843
196.260 4.44072
196.289 3.57862
196.348 2.61553
196.466 1.84921
196.701 1.35842
197.173 0.998024
198.115 0.663729
199.058 0.485851
200.000 0.378036
201.715 0.275273
202.573 0.272165
202.787 0.292400
203.001 0.352347
203.109 0.426296
203.216 0.590722
203.269 0.756715
203.323 1.05587
203.377 1.65253
203.403 2.17330
203.430 2.93663
203.470 4.57071
203.510 5.65983
203.550 4.56999
203.590 2.93456
203.622 2.04782
203.654 1.49060
203.686 1.13775
203.718 0.906989
203.783 0.637554
203.847 0.495296
203.975 0.358480
204.103 0.297158
204.360 0.244351
204.616 0.222129
205.643 0.196487
207.695 0.211811
208.721 0.244532
209.748 0.307523
210.774 0.441477
211.287 0.611658
211.415 0.707635
211.544 0.891085
211.608 1.06705
211.672 1.38560
211.736 2.05717
211.768 2.69047
211.800 3.68890
211.840 5.52917
211.880 6.76067
211.920 5.55891
211.960 3.74775
212.010 2.39295
212.060 1.74579
212.110 1.41987
212.160 1.24527
212.260 1.09344
212.360 1.05427
212.761 1.22935
213.161 1.67785
213.561 2.52399
213.761 3.23416
213.961 4.30684
214.161 6.03560
214.362 9.08428
214.462 11.5675
214.562 15.2328
214.662 20.9644
214.762 30.6376
214.812 38.1997
214.862 48.8917
