20-Ca_n-tot
>  20-Ca-40:0.969371
>  20-Ca-42:0.006470
>  20-Ca-43:0.001350
>  20-Ca-44:0.020899
>  20-Ca-46:0.000040
>  20-Ca-48:0.001870
1.293780e-01 3.21348444e+00
1.400290e-01 3.20616601e+00
1.479320e-01 3.20073580e+00
1.500000e-01 3.19931488e+00
1.518830e-01 3.19840668e+00
1.646280e-01 3.19225964e+00
1.783160e-01 3.18565785e+00
1.929960e-01 3.17857766e+00
2.000000e-01 3.17519965e+00
2.093340e-01 3.17234337e+00
2.269000e-01 3.16696809e+00
2.457660e-01 3.16119505e+00
2.659990e-01 3.15500376e+00
2.750000e-01 3.15224947e+00
2.885160e-01 3.14952912e+00
3.127270e-01 3.14465625e+00
3.387290e-01 3.13942294e+00
3.500000e-01 3.13715450e+00
3.666150e-01 3.13502074e+00
3.976500e-01 3.13103516e+00
4.310190e-01 3.12674988e+00
4.668560e-01 3.12214769e+00
5.000000e-01 3.11789137e+00
5.052910e-01 3.11750807e+00
5.480640e-01 3.11440945e+00
6.099230e-01 3.10992824e+00
6.611060e-01 3.10622045e+00
7.160730e-01 3.10223858e+00
7.500000e-01 3.09978088e+00
7.750260e-01 3.09869977e+00
8.406320e-01 3.09586564e+00
9.111750e-01 3.09281827e+00
9.869340e-01 3.08954560e+00
1.000000e+00 3.08898117e+00
1.098330e+00 3.08645549e+00
1.188750e+00 3.08413300e+00
1.289380e+00 3.08154829e+00
1.397580e+00 3.07876917e+00
1.411660e+00 3.07840752e+00
1.500000e+00 3.07613852e+00
1.513780e+00 3.07592714e+00
1.638410e+00 3.07401535e+00
1.823330e+00 3.07117878e+00
2.000000e+00 3.06846880e+00
2.029120e+00 3.06818459e+00
2.200890e+00 3.06650817e+00
2.385580e+00 3.06470566e+00
2.583930e+00 3.06276986e+00
2.750000e+00 3.06114910e+00
2.875570e+00 3.06033877e+00
3.112310e+00 3.05881105e+00
3.375770e+00 3.05711091e+00
3.500000e+00 3.05630924e+00
3.756790e+00 3.05524344e+00
4.072040e+00 3.05393501e+00
4.289570e+00 3.05303217e+00
4.773720e+00 3.05102277e+00
5.000000e+00 3.05008363e+00
5.177820e+00 3.04965993e+00
5.612330e+00 3.04862463e+00
5.912140e+00 3.04791028e+00
6.579430e+00 3.04632035e+00
7.322030e+00 3.04455101e+00
7.500000e+00 3.04412697e+00
8.148460e+00 3.04318341e+00
9.068160e+00 3.04184520e+00
1.000000e+01 3.04048933e+00
1.009170e+01 3.04040689e+00
1.123070e+01 3.03938286e+00
1.218140e+01 3.03852814e+00
1.320360e+01 3.03760914e+00
1.469390e+01 3.03626932e+00
1.500000e+01 3.03599413e+00
1.635230e+01 3.03521825e+00
1.819800e+01 3.03415930e+00
2.000000e+01 3.03312543e+00
2.025190e+01 3.03302514e+00
2.253770e+01 3.03211508e+00
2.441160e+01 3.03136902e+00
2.642140e+01 3.03056885e+00
2.750000e+01 3.03013943e+00
2.940350e+01 3.02958505e+00
3.272220e+01 3.02861851e+00
3.500000e+01 3.02795513e+00
3.641550e+01 3.02764523e+00
4.052560e+01 3.02674540e+00
4.395610e+01 3.02599437e+00
4.764480e+01 3.02518681e+00
5.000000e+01 3.02467119e+00
5.160620e+01 3.02440994e+00
5.585480e+01 3.02371892e+00
5.900690e+01 3.02320624e+00
6.566690e+01 3.02212302e+00
7.307850e+01 3.02091756e+00
7.500000e+01 3.02060504e+00
8.132680e+01 3.01976531e+00
8.808860e+01 3.01886785e+00
9.534070e+01 3.01790532e+00
1.000000e+02 3.01728692e+00
1.034110e+02 3.01689665e+00
1.120890e+02 3.01590377e+00
1.214090e+02 3.01483744e+00
1.314040e+02 3.01369388e+00
1.462360e+02 3.01199691e+00
1.500000e+02 3.01156627e+00
1.627410e+02 3.01025077e+00
1.811090e+02 3.00835430e+00
2.000000e+02 3.00640383e+00
2.015500e+02 3.00625368e+00
2.242990e+02 3.00404996e+00
