Zr-94(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
5821.46 1.83305
5822.67 1.37335
5825.09 0.852854
5827.50 0.581311
5829.92 0.422157
5832.34 0.320959
5834.75 0.252622
5839.59 0.168819
5844.42 0.121264
5849.26 0.0916289
5854.09 0.0718770
5863.76 0.0479213
5873.43 0.0344314
5883.10 0.0260486
5892.76 0.0204637
5912.10 0.0136836
5931.44 0.00985822
5950.77 0.00747851
5970.11 0.00589363
6008.78 0.00397477
6047.46 0.00290039
6086.13 0.00224024
6124.80 0.00180827
6202.15 0.00130575
6279.50 0.00105258
6434.19 0.000897682
6588.88 0.00107272
6666.23 0.00134244
6743.58 0.00187434
6782.25 0.00233103
6820.92 0.00302852
6859.60 0.00416148
6898.27 0.00617243
6917.61 0.00781711
6936.94 0.0102535
6956.28 0.0140816
6965.95 0.0168717
6970.78 0.0185925
6975.61 0.0205932
6980.45 0.0229380
6985.28 0.0257086
6987.70 0.0272865
6990.12 0.0290144
6992.53 0.0309119
6994.95 0.0330014
6999.79 0.0378679
7004.62 0.0438889
7009.45 0.0514542
7014.29 0.0611289
7019.12 0.0737580
7023.96 0.0906288
7028.79 0.113793
7033.62 0.146619
7038.46 0.194837
7043.29 0.268458
7048.13 0.384825
7052.96 0.570145
7058.98 0.911741
7065.00 1.13850
7071.02 0.909727
7077.04 0.568208
7081.94 0.381218
7086.85 0.264683
7091.75 0.191382
7096.65 0.143605
7106.46 0.0883798
7116.26 0.0594213
7126.07 0.0425500
7135.87 0.0319210
7155.48 0.0198386
7175.09 0.0135152
7194.70 0.00980618
7214.31 0.00744976
7233.92 0.00586196
7273.14 0.00392532
7312.36 0.00283955
7351.58 0.00217733
7390.80 0.00175301
7469.24 0.00131097
7508.46 0.00124127
7547.68 0.00129572
7586.90 0.00159288
7606.51 0.00195107
7626.12 0.00264954
7635.92 0.00325704
7645.73 0.00420117
7655.53 0.00577330
7665.34 0.00866601
7670.24 0.0111181
7675.14 0.0148785
7680.04 0.0210732
7684.95 0.0323519
7687.40 0.0418397
7689.85 0.0562889
7692.30 0.0798802
7694.75 0.122322
7695.98 0.157599
7697.20 0.210672
7698.43 0.296021
7699.65 0.445907
7700.27 0.567644
7700.88 0.746807
7701.49 1.02587
7702.10 1.49382
7702.72 2.36964
7703.02 3.12419
7703.33 4.28994
7703.64 6.23054
7703.94 9.73259
7704.10 12.6034
7704.25 16.7820
7704.40 22.9988
7704.55 32.2356
7704.78 51.5549
7705.00 64.4223
7705.22 51.4576
7705.45 32.1603
7705.59 23.5481
7705.73 17.5987
7706.01 10.5600
7706.29 6.90682
7706.57 4.82897
7706.85 3.55125
7707.13 2.71515
7707.69 1.72911
7708.25 1.19384
7708.81 0.873169
7709.93 0.524524
7711.05 0.349291
7712.17 0.249230
7713.29 0.186702
7714.41 0.145114
7716.65 0.0949086
7718.89 0.0669321
7721.13 0.0497658
7723.37 0.0384852
7727.86 0.0250386
7732.34 0.0176394
7736.82 0.0131356
7741.30 0.0101925
7750.26 0.00670442
7759.23 0.00479316
7777.15 0.00287329
7795.08 0.00197162
7813.01 0.00147387
7848.86 0.000965242
7884.71 0.000718012
7920.56 0.000575567
7992.27 0.000419810
8135.68 0.000283726
8279.09 0.000220794
8565.91 0.000161817
8852.72 0.000138234
9139.54 0.000134416
9426.36 0.000155294
9569.77 0.000186654
9713.18 0.000258566
9784.89 0.000332782
9856.59 0.000472393
9892.44 0.000593716
9928.30 0.000784888
9964.15 0.00111235
10000.0 0.00174572
10016.1 0.00224240
10032.2 0.00300375
10048.3 0.00425793
10064.4 0.00654472
10072.5 0.00847084
10080.5 0.0114108
10088.6 0.0162242
10096.6 0.0249198
10100.6 0.0321858
10104.7 0.0431448
10108.7 0.0609016
10112.7 0.0922964
10114.7 0.118131
10116.7 0.156292
10118.7 0.216367
10120.8 0.318876
10122.8 0.516525
10123.8 0.691428
10124.8 0.967266
10125.8 1.44831
10126.8 2.36437
10127.3 3.18187
10127.8 4.42569
10128.3 6.42446
10128.8 9.67262
10129.4 15.5145
10130.0 19.4233
10130.6 15.5112
10131.2 9.67048
10131.6 6.84440
10132.0 4.96237
10132.5 3.70862
10132.9 2.85324
10133.7 1.81725
10134.6 1.25372
10135.4 0.910364
10136.2 0.691753
10137.9 0.435871
10139.6 0.298482
10141.2 0.217349
10142.9 0.165247
10144.6 0.129838
10147.9 0.0861073
10151.3 0.0613155
10154.6 0.0458802
10158.0 0.0356256
10164.6 0.0232647
10171.3 0.0164038
10178.0 0.0121947
10184.7 0.00943580
10198.1 0.00614972
10211.4 0.00434724
10224.8 0.00325346
10238.2 0.00254132
10264.9 0.00170447
10291.7 0.00125623
10318.4 0.000996039
10345.2 0.000841929
10398.7 0.000731329
10425.4 0.000769293
10452.1 0.000909767
10478.9 0.00128000
10492.3 0.00167210
10505.6 0.00240305
10512.3 0.00302553
10519.0 0.00398090
10525.7 0.00555247
10532.4 0.00839881
10535.7 0.0107887
10539.1 0.0144022
10542.4 0.0202599
10545.8 0.0306869
10547.4 0.0393187
10549.1 0.0521188
10550.8 0.0723977
10552.4 0.107318
10554.1 0.175131
10555.0 0.236299
10555.8 0.334054
10556.6 0.508795
10557.5 0.852917
10557.9 1.16865
10558.3 1.67856
10558.7 2.54677
10559.1 4.01218
10559.6 6.42581
10560.0 8.03703
10560.4 6.42484
10560.9 4.01154
10561.2 2.68597
10561.6 1.86188
10562.0 1.34476
10562.3 1.00817
10563.0 0.619749
10563.8 0.418444
10564.5 0.299196
10565.2 0.224167
10566.6 0.139385
10568.1 0.0946517
10569.5 0.0685758
10570.9 0.0519654
10572.4 0.0407433
10575.2 0.0269625
10578.1 0.0192011
10581.0 0.0143746
10583.8 0.0111902
10589.6 0.00735580
10595.3 0.00523454
10601.0 0.00393677
10606.7 0.00308511
10618.2 0.00207082
10629.7 0.00151295
10652.6 0.000949444
10675.5 0.000683355
10698.5 0.000535988
10744.3 0.000385579
10836.0 0.000274009
10927.8 0.000235953
11111.2 0.000222693
11294.6 0.000249109
11478.1 0.000317796
11569.8 0.000380587
11661.5 0.000482587
11753.2 0.000671153
11799.1 0.000839570
11845.0 0.00112428
11890.8 0.00169175
11913.7 0.00223417
11936.7 0.00319984
11948.1 0.00400275
11959.6 0.00521816
11971.1 0.00719864
11982.5 0.0107597
11988.3 0.0137319
11994.0 0.0182176
11999.7 0.0254688
12005.5 0.0383363
12008.3 0.0489064
12011.2 0.0645614
12014.1 0.0893669
12016.9 0.131724
12019.8 0.213671
12021.2 0.286231
12022.7 0.402521
12024.1 0.606921
12025.5 1.00409
12026.2 1.35959
12027.0 1.91125
12027.7 2.83210
12028.4 4.34959
12029.2 6.97132
12030.0 8.72335
12030.8 6.96965
12031.6 4.34850
12032.6 2.49811
12033.5 1.55409
12034.4 1.03667
12035.3 0.737055
12036.3 0.546983
12037.2 0.422178
12039.0 0.272502
12040.9 0.189687
12042.7 0.139544
12046.4 0.0847153
12050.1 0.0568903
12053.8 0.0409570
12057.5 0.0309521
12061.2 0.0242979
12068.6 0.0162473
12076.0 0.0117637
12083.4 0.00902105
12090.7 0.00723031
12105.5 0.00512339
12120.3 0.00400346
12149.8 0.00298695
12179.4 0.00266667
12209.0 0.00267862
12268.1 0.00340116
12297.6 0.00418501
12327.2 0.00544615
12356.7 0.00755907
12386.3 0.0114039
12401.1 0.0146124
12415.8 0.0194507
12430.6 0.0272305
12445.4 0.0408929
12452.8 0.0519814
12460.2 0.0682879
12467.6 0.0936568
12475.0 0.136214
12482.3 0.215563
12486.0 0.283716
12489.7 0.388778
12493.4 0.562893
12497.1 0.875519
12499.0 1.13126
12500.8 1.49969
12502.7 2.04786
12504.5 2.85356
12507.3 4.58546
12510.0 5.74621
12512.8 4.58173
12515.5 2.85112
12517.2 2.09381
12518.9 1.56604
12522.3 0.942283
12525.8 0.616831
12529.2 0.431976
12532.6 0.317822
12536.0 0.243276
12542.8 0.155214
12549.6 0.107339
12556.5 0.0786118
12570.1 0.0473259
12583.8 0.0315985
12597.4 0.0226023
12611.1 0.0169820
12624.7 0.0132385
12652.0 0.00871767
12679.3 0.00619830
12706.6 0.00465235
12733.9 0.00363683
12788.5 0.00243073
12843.1 0.00177475
12897.7 0.00138655
12952.3 0.00114842
13061.5 0.000941184
13116.2 0.000953313
13170.8 0.00108118
13225.4 0.00145906
13280.0 0.00265024
13307.3 0.00434928
13320.9 0.00605689
13334.6 0.00918417
13341.4 0.0118283
13348.2 0.0158674
13355.0 0.0225083
13361.9 0.0345306
13365.3 0.0446280
13368.7 0.0599071
13372.1 0.0847062
13375.5 0.128938
13377.2 0.165498
13378.9 0.220153
13380.6 0.307113
13382.3 0.456604
13384.1 0.750709
13384.9 1.01453
13385.8 1.44402
13386.6 2.22166
13387.0 2.86230
13387.5 3.78591
13387.9 5.25325
13388.3 7.60646
13388.7 11.8119
13389.2 19.1883
13389.6 30.6853
13390.0 38.3416
13390.4 30.6822
13390.8 19.1863
13391.3 11.9418
13391.7 7.90266
13392.1 5.47467
13392.5 4.01027
13392.9 3.03055
13393.3 2.37776
13394.1 1.56218
13394.9 1.10128
13395.7 0.816834
13397.3 0.500997
13398.9 0.337300
13400.6 0.242383
13402.2 0.182533
13403.8 0.142606
13407.0 0.0937301
13410.3 0.0663707
13413.5 0.0494405
13416.7 0.0383035
13423.2 0.0249599
13429.7 0.0175890
13436.1 0.0130929
13442.6 0.0101534
13455.5 0.00665950
13468.5 0.00474515
13494.3 0.00282309
13520.2 0.00192421
13546.1 0.00143230
13597.8 0.000939362
13649.6 0.000711010
13701.3 0.000590457
13804.8 0.000492851
13908.3 0.000512687
13960.0 0.000578943
14011.8 0.000723502
14063.5 0.00105703
